0|arte astratta
11H(PHILIP NERI)2|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - primo periodo della vita del santo
11H(PHILIP NERI)3|devozione privata di San Filippo Neri
11H(PHILIP NERI)31|devozione privata di San Filippo Neri - vocazione, conversione del santo
11H(PHILIP NERI)32|devozione privata di San Filippo Neri - battesimo, consacrazione, pronuncia dei voti del santo
11H(PHILIP NERI)33|devozione privata di San Filippo Neri - rinuncia ai beni terreni, vita ascetica del santo
11H(PHILIP NERI)34|la Madonna appare a San Filippo Neri, che si inginocchia in preghiera, o celebra la messa; talora due angeli sostengono San Filippo Neri svenuto
11H(PHILIP NERI)35|devozione privata di San Filippo Neri - tentazioni del santo
11H(PHILIP NERI)36|devozione privata di San Filippo Neri - penitenza del santo
11H(PHILIP NERI)37|devozione privata di San Filippo Neri - il santo in meditazione, in estasi
11H(PHILIP NERI)4|attività ed episodi non miracolosi ~ San Filippo Neri
11H(PHILIP NERI)41|San Filippo Neri incontra San Carlo Borromeo
11H(PHILIP NERI)42|San Filippo Neri guarisce gli infermi
11H(PHILIP NERI)5|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - attività ed episodi miracolosi ~ santo
11H(PHILIP NERI)59|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - stimmatizzazione del santo
11H(PHILIP NERI)6|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - martirio, sofferenze, avversità, morte del santo
11H(PHILIP NERI)68|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - morte, letto di morte del santo
11H(PHILIP NERI)69|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - maltrattamento del cadavere del santo
11H(PHILIP NERI)7|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - gloria, trionfo del santo
11H(PHILIP NERI)8|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - avvenimenti post mortem ~ santo
11H(PHILIP NERI)81|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - rinvenimento, traslazione delle reliquie del santo
11H(PHILIP NERI)82|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(PHILIP NERI)83|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - interventi compiuti dopo la morte, apparizioni post mortem del santo
11H(PHILIP NERI)84|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - beatificazione, canonizzazione del santo
11H(PHILIP NERI)9|San Filippo Neri, fondatore della Congregazione degli Oratoriani; attributi: giglio, rosario - ritratti del santo
11H(PHILIP)|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada
11H(PHILIP)0|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - santo raffigurato in un gruppo; gruppo di santi
11H(PHILIP)1|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - specifiche iconografie ~ santo
11H(PHILIP)11|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - santo come patrono, protettore, intercessore
11H(PHILIP)119|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - santo che protegge i devoti con il manto, 'Schutzmantel'
11H(PHILIP)12|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - santo (come Dottore della Chiesa) che scrive, studia, insegna, detta
11H(PHILIP)13|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - santo come fondatore di un Ordine
11H(PHILIP)131|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - santo ~ conferma dell'Ordine, approvazione della Regola
11H(PHILIP)2|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - primo periodo della vita del santo
11H(PHILIP)3|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - devozione privata del santo
11H(PHILIP)31|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - vocazione, conversione del santo
11H(PHILIP)32|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - battesimo, consacrazione, pronuncia dei voti del santo
11H(PHILIP)33|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - rinuncia ai beni terreni, vita ascetica del santo
11H(PHILIP)34|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - visione/i, nozze mistiche del santo
11H(PHILIP)35|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - tentazioni del santo
11H(PHILIP)36|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - penitenza del santo
11H(PHILIP)37|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - il santo in meditazione, in estasi
11H(PHILIP)4|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - attività ed episodi non miracolosi ~ santo
11H(PHILIP)5|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - attività ed episodi miracolosi ~ santo
11H(PHILIP)59|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - stimmatizzazione del santo
11H(PHILIP)6|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - martirio, sofferenze, avversità, morte del santo
11H(PHILIP)68|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - morte, letto di morte del santo
11H(PHILIP)69|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - maltrattamento del cadavere del santo
11H(PHILIP)7|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - gloria, trionfo del santo
11H(PHILIP)8|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - avvenimenti post mortem ~ santo
11H(PHILIP)81|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - rinvenimento, traslazione delle reliquie del santo
11H(PHILIP)82|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(PHILIP)83|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - interventi compiuti dopo la morte, apparizioni post mortem del santo
11H(PHILIP)84|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - beatificazione, canonizzazione del santo
11H(PHILIP)9|San Filippo apostolo; attributi: cartiglio, croce, lancia, libro, piatto con serpente, pietra, spada - ritratti del santo
11H(QUINTIN)|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i
11H(QUINTIN)0|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - santo raffigurato in un gruppo; gruppo di santi
11H(QUINTIN)1|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - specifiche iconografie ~ santo
11H(QUINTIN)11|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - santo come patrono, protettore, intercessore
11H(QUINTIN)119|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - santo che protegge i devoti con il manto, 'Schutzmantel'
11H(QUINTIN)12|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - santo (come Dottore della Chiesa) che scrive, studia, insegna, detta
11H(QUINTIN)13|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - santo come fondatore di un Ordine
11H(QUINTIN)131|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - santo ~ conferma dell'Ordine, approvazione della Regola
11H(QUINTIN)2|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - primo periodo della vita del santo
11H(QUINTIN)3|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - devozione privata del santo
11H(QUINTIN)31|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - vocazione, conversione del santo
11H(QUINTIN)32|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - battesimo, consacrazione, pronuncia dei voti del santo
11H(QUINTIN)33|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - rinuncia ai beni terreni, vita ascetica del santo
11H(QUINTIN)34|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - visione/i, nozze mistiche del santo
11H(QUINTIN)35|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - tentazioni del santo
11H(QUINTIN)36|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - penitenza del santo
11H(QUINTIN)37|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - il santo in meditazione, in estasi
11H(QUINTIN)4|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - attività ed episodi non miracolosi ~ santo
11H(QUINTIN)5|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - attività ed episodi miracolosi ~ santo
11H(QUINTIN)59|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - stimmatizzazione del santo
11H(QUINTIN)6|martirio, sofferenze, avversità, morte di San Quintino
11H(QUINTIN)61|San Quintino è torturato con chiodi in testa, nelle spalle e/o sotto le unghie
11H(QUINTIN)68|San Quintino è decapitato
11H(QUINTIN)69|il corpo di San Quintino è gettato nel fiume Senna
11H(QUINTIN)7|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - gloria, trionfo del santo
11H(QUINTIN)8|avvenimenti post mortem ~ San Quintino
11H(QUINTIN)81|con l'aiuto di un angelo, Eusebia trova il corpo e il capo di San Quintino nel fiume Senna
11H(QUINTIN)82|avvenimenti post mortem ~ San Quintino - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(QUINTIN)83|un ladro condannato dal giudice ad essere impiccato, è miracolosamente salvato da (dalle reliquie di) San Quintino
11H(QUINTIN)84|avvenimenti post mortem ~ San Quintino - beatificazione, canonizzazione del santo
11H(QUINTIN)9|San Quintino (Quintinus, Quentin) di Vermand martire; attributi: chiodo/i - ritratti del santo
11H(RAYMUND)|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio
11H(RAYMUND)0|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - santo raffigurato in un gruppo; gruppo di santi
11H(RAYMUND)1|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - specifiche iconografie ~ santo
11H(RAYMUND)11|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - santo come patrono, protettore, intercessore
11H(RAYMUND)119|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - santo che protegge i devoti con il manto, 'Schutzmantel'
11H(RAYMUND)12|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - santo (come Dottore della Chiesa) che scrive, studia, insegna, detta
11H(RAYMUND)13|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - santo come fondatore di un Ordine
11H(RAYMUND)131|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - santo ~ conferma dell'Ordine, approvazione della Regola
11H(RAYMUND)2|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - primo periodo della vita del santo
11H(RAYMUND)3|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - devozione privata del santo
11H(RAYMUND)31|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - vocazione, conversione del santo
11H(RAYMUND)32|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - battesimo, consacrazione, pronuncia dei voti del santo
11H(RAYMUND)33|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - rinuncia ai beni terreni, vita ascetica del santo
11H(RAYMUND)34|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - visione/i, nozze mistiche del santo
11H(RAYMUND)35|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - tentazioni del santo
11H(RAYMUND)36|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - penitenza del santo
11H(RAYMUND)37|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - il santo in meditazione, in estasi
11H(RAYMUND)4|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - attività ed episodi non miracolosi ~ santo
11H(RAYMUND)5|attività ed episodi miracolosi ~ San Raimondo
11H(RAYMUND)51|San Raimondo attraversa miracolosamente il mare, senza barca, utilizzando il mantello come vela e il bastone come albero maestro
11H(RAYMUND)59|attività ed episodi miracolosi ~ San Raimondo - stimmatizzazione del santo
11H(RAYMUND)6|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - martirio, sofferenze, avversità, morte del santo
11H(RAYMUND)68|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - morte, letto di morte del santo
11H(RAYMUND)69|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - maltrattamento del cadavere del santo
11H(RAYMUND)7|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - gloria, trionfo del santo
11H(RAYMUND)8|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - avvenimenti post mortem ~ santo
11H(RAYMUND)81|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - rinvenimento, traslazione delle reliquie del santo
11H(RAYMUND)82|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(RAYMUND)83|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - interventi compiuti dopo la morte, apparizioni post mortem del santo
11H(RAYMUND)84|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - beatificazione, canonizzazione del santo
11H(RAYMUND)9|San Raimondo di Pennafort, frate domenicano e fondatore dei Mercedari; attributi: chiave, crocifisso, giglio - ritratti del santo
11H(REMIGIUS)|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio)
11H(REMIGIUS)0|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - santo raffigurato in un gruppo; gruppo di santi
11H(REMIGIUS)1|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - specifiche iconografie ~ santo
11H(REMIGIUS)11|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - santo come patrono, protettore, intercessore
11H(REMIGIUS)119|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - santo che protegge i devoti con il manto, 'Schutzmantel'
11H(REMIGIUS)12|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - santo (come Dottore della Chiesa) che scrive, studia, insegna, detta
11H(REMIGIUS)13|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - santo come fondatore di un Ordine
11H(REMIGIUS)131|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - santo ~ conferma dell'Ordine, approvazione della Regola
11H(REMIGIUS)2|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - primo periodo della vita del santo
11H(REMIGIUS)3|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - devozione privata del santo
11H(REMIGIUS)31|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - vocazione, conversione del santo
11H(REMIGIUS)32|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - battesimo, consacrazione, pronuncia dei voti del santo
11H(REMIGIUS)33|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - rinuncia ai beni terreni, vita ascetica del santo
11H(REMIGIUS)34|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - visione/i, nozze mistiche del santo
11H(REMIGIUS)35|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - tentazioni del santo
11H(REMIGIUS)36|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - penitenza del santo
11H(REMIGIUS)37|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - il santo in meditazione, in estasi
11H(REMIGIUS)4|attività ed episodi non miracolosi ~ San Remigio
11H(REMIGIUS)41|San Remigio battezza Clodoveo, re dei Franchi; ocasionalmente può comparire una colomba con l'ampolla nel becco
11H(REMIGIUS)5|attività ed episodi miracolosi ~ San Remigio
11H(REMIGIUS)51|guarigioni miracolose di San Remigio
11H(REMIGIUS)52|il miracolo della botte di vino: San Remigio benedice una botte vuota ed essa si riempie miracolosamente di vino; talvolta la botte scoppia e il vino inonda la cantina
11H(REMIGIUS)53|a Reims, San Remigio spegne un'incendio provocato dai diavoli
11H(REMIGIUS)54|alcuni passeri beccano il cibo dalla tavola di San Remigio
11H(REMIGIUS)59|attività ed episodi miracolosi ~ San Remigio - stimmatizzazione del santo
11H(REMIGIUS)6|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - martirio, sofferenze, avversità, morte del santo
11H(REMIGIUS)68|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - morte, letto di morte del santo
11H(REMIGIUS)69|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - maltrattamento del cadavere del santo
11H(REMIGIUS)7|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - gloria, trionfo del santo
11H(REMIGIUS)8|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - avvenimenti post mortem ~ santo
11H(REMIGIUS)81|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - rinvenimento, traslazione delle reliquie del santo
11H(REMIGIUS)82|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(REMIGIUS)83|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - interventi compiuti dopo la morte, apparizioni post mortem del santo
11H(REMIGIUS)84|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - beatificazione, canonizzazione del santo
11H(REMIGIUS)9|San Remigio (Rémi) vescovo di Reims; attributi: ampolla d'olio, colomba con ampolla d'olio nel becco, fanciulla (in ginocchio) - ritratti del santo
11H(ROCH)|San Rocco (Roccus, Rock) di Montpellier confessore e pellegrino; attributi: angelo (con un contenitore per unguenti o una spugna), bastone e bisaccia da pellegrino, cane (talora con una forma di pane), conchiglia, (il santo mostra) il punto della coscia in cui si trova la piaga
11H(ROCH)0|San Rocco (Roccus, Rock) di Montpellier confessore e pellegrino; attributi: angelo (con un contenitore per unguenti o una spugna), bastone e bisaccia da pellegrino, cane (talora con una forma di pane), conchiglia, (il santo mostra) il punto della coscia in cui si trova la piaga - santo raffigurato in un gruppo; gruppo di santi
11H(ROCH)1|specifiche iconografie ~ San Rocco
11H(ROCH)11|San Rocco come protettore dalla peste
11H(ROCH)111|San Rocco designato da Cristo come patrono degli appestati; un angelo regge (o indica) l'iscrizione 'Eris in peste patronis'
11H(ROCH)112|San Rocco intercede presso la Madonna per gli appestati
11H(ROCH)119|San Rocco come protettore dalla peste - santo che protegge i devoti con il manto, 'Schutzmantel'
11H(ROCH)12|specifiche iconografie ~ San Rocco - santo (come Dottore della Chiesa) che scrive, studia, insegna, detta
11H(ROCH)13|specifiche iconografie ~ San Rocco - santo come fondatore di un Ordine
11H(ROCH)131|specifiche iconografie ~ San Rocco - santo ~ conferma dell'Ordine, approvazione della Regola
11H(ROCH)2|San Rocco (Roccus, Rock) di Montpellier confessore e pellegrino; attributi: angelo (con un contenitore per unguenti o una spugna), bastone e bisaccia da pellegrino, cane (talora con una forma di pane), conchiglia, (il santo mostra) il punto della coscia in cui si trova la piaga - primo periodo della vita del santo
11H(ROCH)3|devozione privata di San Rocco
11H(ROCH)31|devozione privata di San Rocco - vocazione, conversione del santo
11H(ROCH)32|devozione privata di San Rocco - battesimo, consacrazione, pronuncia dei voti del santo
11H(ROCH)33|San Rocco distribuisce le sue ricchezze ai poveri, e parte in pellegrinaggio
11H(ROCH)34|devozione privata di San Rocco - visione/i, nozze mistiche del santo
11H(ROCH)35|devozione privata di San Rocco - tentazioni del santo
11H(ROCH)36|devozione privata di San Rocco - penitenza del santo
11H(ROCH)37|devozione privata di San Rocco - il santo in meditazione, in estasi
11H(ROCH)4|San Rocco (Roccus, Rock) di Montpellier confessore e pellegrino; attributi: angelo (con un contenitore per unguenti o una spugna), bastone e bisaccia da pellegrino, cane (talora con una forma di pane), conchiglia, (il santo mostra) il punto della coscia in cui si trova la piaga - attività ed episodi non miracolosi ~ santo
11H(ROCH)5|attività ed episodi miracolosi ~ San Rocco
11H(ROCH)51|San Rocco guarisce (o assiste) gli appestati in ospedale
11H(ROCH)59|attività ed episodi miracolosi ~ San Rocco - stimmatizzazione del santo
11H(ROCH)6|martirio, sofferenze, avversità, morte di San Rocco
11H(ROCH)61|colpito dalla peste, San Rocco giace nel deserto; il suo cane gli porta una forma di pane, e un angelo veglia su di lui, curandogli la piaga all'interno della coscia del santo
11H(ROCH)62|San Rocco in prigione è visitato e confortato da un angelo
11H(ROCH)68|martirio, sofferenze, avversità, morte di San Rocco - morte, letto di morte del santo
11H(ROCH)69|martirio, sofferenze, avversità, morte di San Rocco - maltrattamento del cadavere del santo
11H(ROCH)7|gloria di San Rocco
11H(ROCH)8|San Rocco (Roccus, Rock) di Montpellier confessore e pellegrino; attributi: angelo (con un contenitore per unguenti o una spugna), bastone e bisaccia da pellegrino, cane (talora con una forma di pane), conchiglia, (il santo mostra) il punto della coscia in cui si trova la piaga - avvenimenti post mortem ~ santo
11H(ROCH)81|San Rocco (Roccus, Rock) di Montpellier confessore e pellegrino; attributi: angelo (con un contenitore per unguenti o una spugna), bastone e bisaccia da pellegrino, cane (talora con una forma di pane), conchiglia, (il santo mostra) il punto della coscia in cui si trova la piaga - rinvenimento, traslazione delle reliquie del santo
11H(ROCH)82|San Rocco (Roccus, Rock) di Montpellier confessore e pellegrino; attributi: angelo (con un contenitore per unguenti o una spugna), bastone e bisaccia da pellegrino, cane (talora con una forma di pane), conchiglia, (il santo mostra) il punto della coscia in cui si trova la piaga - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(ROCH)83|San Rocco (Roccus, Rock) di Montpellier confessore e pellegrino; attributi: angelo (con un contenitore per unguenti o una spugna), bastone e bisaccia da pellegrino, cane (talora con una forma di pane), conchiglia, (il santo mostra) il punto della coscia in cui si trova la piaga - interventi compiuti dopo la morte, apparizioni post mortem del santo
11H(ROCH)84|San Rocco (Roccus, Rock) di Montpellier confessore e pellegrino; attributi: angelo (con un contenitore per unguenti o una spugna), bastone e bisaccia da pellegrino, cane (talora con una forma di pane), conchiglia, (il santo mostra) il punto della coscia in cui si trova la piaga - beatificazione, canonizzazione del santo
11H(ROCH)9|San Rocco (Roccus, Rock) di Montpellier confessore e pellegrino; attributi: angelo (con un contenitore per unguenti o una spugna), bastone e bisaccia da pellegrino, cane (talora con una forma di pane), conchiglia, (il santo mostra) il punto della coscia in cui si trova la piaga - ritratti del santo
11H(ROMUALD)|San Romualdo di Camaldoli (o Ravenna) monaco benedettino, fondatore dei Camaldolesi; attributi: bastone a forma di tau, libro
11H(ROMUALD)0|San Romualdo di Camaldoli (o Ravenna) monaco benedettino, fondatore dei Camaldolesi; attributi: bastone a forma di tau, libro - santo raffigurato in un gruppo; gruppo di santi
11H(ROMUALD)1|specifiche iconografie ~ San Romualdo
11H(ROMUALD)11|specifiche iconografie ~ San Romualdo - santo come patrono, protettore, intercessore
11H(ROMUALD)119|specifiche iconografie ~ San Romualdo - santo che protegge i devoti con il manto, 'Schutzmantel'
11H(ROMUALD)12|specifiche iconografie ~ San Romualdo - santo (come Dottore della Chiesa) che scrive, studia, insegna, detta
11H(ROMUALD)13|San Romualdo come fondatore dell'Ordine dei Camaldolesi
11H(ROMUALD)131|San Benedetto dà a San Romualdo e ai suoi frati la Regola dell'Ordine
11H(ROMUALD)2|San Romualdo di Camaldoli (o Ravenna) monaco benedettino, fondatore dei Camaldolesi; attributi: bastone a forma di tau, libro - primo periodo della vita del santo
11H(ROMUALD)3|devozione privata di San Romualdo
11H(ROMUALD)31|devozione privata di San Romualdo - vocazione, conversione del santo
11H(ROMUALD)32|devozione privata di San Romualdo - battesimo, consacrazione, pronuncia dei voti del santo
11H(ROMUALD)33|devozione privata di San Romualdo - rinuncia ai beni terreni, vita ascetica del santo
11H(ROMUALD)34|visioni di San Romualdo
11H(ROMUALD)341|San Romualdo sogna una scala a pioli che sale fino al Cielo; i monaci del suo ordine, vestiti di bianco, salgono la scala
11H(ROMUALD)3411|San Romualdo, tra i suoi monaci, indica la visione della scala a pioli
11H(ROMUALD)342|Sant'Apollinare appare a San Romualdo
11H(ROMUALD)343|un angelo caccia via il demonio da San Romualdo inginocchiato
11H(ROMUALD)35|devozione privata di San Romualdo - tentazioni del santo
11H(ROMUALD)36|devozione privata di San Romualdo - penitenza del santo
