5|idee e concetti astratti
71L17|storia di Atalia, regina di Giuda (2 Re 11, 1-3, 13-16; 2 Cr. 22, 10-12; 23, 12-15
71L171|Atalia si impadronisce del trono alla morte del figlio Acazia
71L1711|Atalia fa uccidere tutti i membri della famiglia reale
71L1712|Ioas viene soccosrso dalla zia Ioseba
71L172|morte di Atalia: viene presa dai soldati, portata al palazzo e uccisa alla Porta dei Cavalli
71L18|storia di Ioas, figlio di Acazia, re di Giuda (2 Re 11, 4-12; 21; 2 Cr. 23-24)
71L181|Ioas viene proclamato re all'età di sette anni
71L1811|Ioas viene educato nel tempio da Ioseba e da Ioiada, il sacerdote
71L1812|Ioiada convoca un gruppo di soldati, presenta loro Ioas e li convince a concludere una alleanza
71L1813|Ioas, protetto dai soldati, viene incoronato e unto re; la gente lo acclama
71L18131|Atalia, sentito il clamore dell'acclamazione, si reca al tempio e vede il nuovo re presso una colonna; si strappa le vesti
71L1814|la gente distrugge il tempio, gli altari e le immagini di Baal, e uccide i sacerdoti di Baal
71L182|il buon regno di Ioas
71L1821|il tempio viene restaurato
71L18211|una cassa per la raccolta delle offerte viene collocata nel tempio
71L18212|il denaro viene utilizzato per pagare gli operai
71L183|Ioas ribalta la sua condotta e la gente torna all'idolatria
71L1831|morte di Ioiada
71L1832|Zaccaria, figlio di Ioiada, mette in guardia la popolazione
71L18321|su ordine del re, la gente lapida Zaccaria nel cortile del tempio
71L184|Cazael re di Aram attacca Giuda e Gerusalemme
71L1841|i tesori del tempio e del palazzo vengono donati a re Cazael, che quindi ritira il suo esercito
71L185|morte di Ioas: gli ufficiali complottano contro di lui e lo uccidono
71L1851|Ioas viene ucciso nel suo letto
71L19|storia di Amazia, figlio di Ioas, re di Giuda (2 Re 14, 1-21; 2 Cr. 25)
71L191|Amazia diviene re e fa uccidere i due ufficiali che avevano assassinato il padre
71L192|vittoria di Amazia su Edom
71L1921|Amazia riorganizza l'esercito e assolda soldati a Israele
71L19211|un profeta consiglia re Amazia di non portare con se i soldati israeliti; il re li congeda
71L1922|i prigionieri edomiti vengono condotti in cima a una roccia e gettati giù
71L1923|Amazia adora gli idoli edomiti
71L19231|un profeta condanna Amazia
71L193|Amazia viene assassinato da Lachis; il corpo viene riportato a Gerusalemme su un cavallo
71L2|regno di Giuda (seconda parte)
71L21|storia di Ozia (Azaria), figlio di Amazia, re di Giuda (2 Re 15, 1-7; 2 Cr. 26)
71L211|attività pubbliche di Ozia
71L2111|Ozia intraprende la guerra contro i Filistei
71L2112|le fortificazioni di Gerusalemme vengono rafforzate
71L2113|Ozia prepara un grande esercito alla battaglia
71L212|l'empietà di Ozia
71L2121|Ozia insuperbisce e sfida i precetti di Dio bruciando incenso sull'altare; il sacerdote Azaria gli si oppone e quando il re si adira compare la lebbra sulla sua fronte
71L2122|i sacerdoti costringono re Ozia a uscire dal tempio
71L22|storia di Iotam, figlio di Ozia, re di Giuda (2 Re 15, 32-38; 2 Cr. 27)
71L221|Iotam costruisce la porta superiore del tempio e rafforza le mura della città
71L222|Iotam sconfigge gli Ammoniti
71L23|storia di Acaz, figlio di Iotam, re di Giuda (2 Re 16; 2 Cr. 28)
71L231|apostasia di Acaz
71L2311|re Acaz brucia suo figlio come offerta sacrificale
71L2312|Acaz manda da Damasco al sacerdote Uria un modello di un altare siriano; l'altare viene costruito e collocato nel tempio di Gerusalemme
71L2313|il tempio viene riorganizzato e alcune zone vengono chiuse ~ storia di Acaz
71L232|guerra contro Siria e Israele ~ storia di Acaz
71L2321|Rezin re di Aram e Pekach re di Israele sconfiggono Acaz facendo molti prigionier
71L2322|il profeta Oded incontra l'esercito israelita di ritorno con i prigionieri giudei ed esorta gli Israeliti a lasciare liberi i prigionieri
71L2323|quattro uomini vengono incaricati di fornire ai prigionieri giudei vesti e cibo, quindi tutti i prigionieri vengono ricondotti a Giuda
71L233|Acaz chiede aiuto al re di Assiria
71L2331|gli Edomiti attaccano di nuovo Giuda
71L2332|Acaz prende argento e oro dal tempio e dal palazzo e li invia in dono a Tiglat-Pilezer
71L2333|il re assiro Tiglat-Pilezer conquista Damasco e uccide Rezin
71L24|storia di Ezechia, figlio di Acaz, re di Giuda (2 Re 18-20; 2 Cr. 29-32)
71L241|atti religiosi di Ezechia
71L2411|Ezechia distrugge i santuari locali
71L2412|Ezechia abbatte gli idoli
71L24121|Ezechia distrugge il serpente di bronzo di Mosè
71L2413|la purificazione del tempio ~ storia di Ezechia
71L24131|il tempio viene restaurato ~ storia di Ezechia
71L24132|re Ezechia raduna i Leviti e i sacerdoti e gli ordina di preparare il tempio per il culto
71L2414|il tempio viene riconsacrato ~ storia di Ezechia
71L24141|sette giovenche, sette arieti, sette agnelli e sette capri vengono sacrificati; il popolo canta e i sacerdoti suonano trombe, arpe e cembali ~ storia di Ezechia
71L2415|la Pasqua viene di nuovo celebrata a Gerusalemme ~ Ezechia
71L24151|preparazione per la Pasqua: dei messaggeri vengono mandati per il paese
71L241511|la gente deride i messaggeri ~ storia di Ezechia
71L24152|viene organizzata una seconda celebrazione della Pasqua ~ storia di Ezechia
71L2416|Ezechia riforma la vita religiosa
71L24161|la popolazione porta doni al tempio ~ storia di Ezechia
71L242|Ezechia sconfigge i Filistei
71L243|guerra contro gli Assiri ~ storia di Ezechia (anche Is. 36 - 37)
71L2431|Ezechia libera il paese dal giogo assiro
71L2432|Sennacherib, il re di Assiria, invade Giuda e conquista molte città
71L24321|Ezechia paga un pesante tributo al re: i tesori del palazzo e del tempio
71L2433|Sennacherib manda Rabsace con un esercito ad assediare Gerusalemme
71L24331|Ezechia per difendere Gerusalemme taglia i rifornimenti d'acqua al di fuori della città
71L24332|le mura di Gerusalmme vengono restaurate e vi vengono innalzate delle torri
71L24333|Ezechia riunisce un esercito e parla ai soldati
71L2434|gli Assiri giungono a Gerusalemme e mandano a chiamare il re
71L24341|tre emissari escono da Gerusalemme per incontrare gli Assiri; dalle mura della città la popolazione ascolta le trattativ
71L243411|uno degli ufficiali assiri (Rabsace) grida verso la popolazione invitandola alla resa
71L243412|la popolazione di Gerusalemme resta in silenzio rifiutandosi di rispondere ~ storia di Ezechia
71L24342|Ezechia udito il rapporto dei tre emissari si strappa le vesti
71L2435|re Ezechia chiede consiglio a Isaia
71L24351|re Ezechia manda tre uomini coperti di sacco a Isaia
71L2436|Ezechia riceve una lettera da Sennacherib con ulteriori minacce
71L24361|Ezechioa prega Dio per la liberazione
71L2437|Isaia profetizza la ritirata degli Assiri
71L2438|quella notte un angelo del Signore devasta il campo degli Assiri: 185000 soldati vengono uccisi
71L2439|Sennacherib torna a Ninive
71L24391|mentre Sennacherib prega nel tempio, due dei suoi figli lo uccidono a colpi di spad
71L244|malattia e guarigione di Ezechia (anche Is. 38)
71L2441|re Ezechia si ammala e viene visitato da Isaia, che gli dice di prepararsi a morire; Ezechia volta la faccia verso la parete, prega e inizia a piangere
71L2442|quando Isaia sta per uscire dal palazzo, Dio gli dice di tornare dal re e di annunciargli la guarigione
71L2443|Isaia fa mettere dei fichi sul bubbone del re
71L2444|Ezechia chiede un segno che provi che Dio lo guarirà
71L24441|Isaia prega Dio e l'ombra della meridiana torna indietro di dieci gradi
71L2445|cantico di Ezechia
71L245|Ezechia mostra i suoi tesori (anche Is. 39)
71L2451|il re di babilonia, Merodach-Baladan, manda a Ezechia una lettera e dei doni
71L2452|Ezechia accoglie i messaggeri e mostra loro le sue ricchezze
71L24521|Isaia si reca da Ezechia e profetizza che tutto ciò che il re possiede sarà portato a Babilonia
71L25|storia di Manasse, figlio di Ezechia, re di Giuda (2 Re 21, 1-18; 2 Cr. 33, 1-20)
71L251|apostasia di Manasse
71L2511|Manasse ricostruisce i luoghi di culto pagano ed erige altari a Baal
71L2512|Manasse costruisce altari pagani nel tempio di Gerusalemme e adora le stelle
71L2513|Manasse brucia il figlio come offerta sacrificale
71L2514|Manasse pratica la magia e la divinazione
71L252|caduto in disgrazia, Manasse torna al culto del vero Dio
71L2521|Assaraddon dell'Assiria, figlio e successore di Sennacherib, invade Giuda e cattura Manasse
71L2522|prigioniero a Babilonia, Manasse chiede aiuto a Dio
71L25221|preghiera di Manasse
71L2523|Manasse torna a Gerusalemme come sovrano
71L25231|le mura di Gerusalemme vengono rafforzate
71L25232|gli idoli e gli altari vengono rimossi dal tempio
71L26|storia di Amon, figlio di Manasse, re di Giuda (2 Re 21, 19-26; 2 Cr. 33, 21-25)
71L261|Amon adora gli idoli
71L262|Amon viene ucciso nel palazzo
71L2621|la popolazione di Giuda uccide gli assassini di Amon
71L27|storia di Giosia, figlio di Amon, re di Giuda (2 Re 22, 1 - 23, 30; 2 Cr. 34-35)
71L271|ritrovamento del libro della Legge ~ storia di Giosia
71L2711|Giosia ordina il restauro del tempio
71L2712|Safan, lo scriba, si reca dal sommo sacerdote Chelkia che gli dice di aver trovato il libro della Legge nel tempio
71L2713|Safan legge il libro al re che si strappa le vesti
71L2714|Giosia manda Chelkia, safan e altri tre ufficiali da Culda, la profetessa, che predice la punizione di Gerusalemme ma non prima della morte di Giosia
71L27141|Chelkia, Safan e i tre ufficiali riferiscono a Giosia
71L272|Giosia abbandona i culti pagani
71L2721|Giosia raduna gli anziani, i sacerdoti e tutta la popolazione nel tempio
71L27211|davanti alla popolazione riunita Giosia legge il libro della Legge
71L2722|in piedi presso una colonna, re Giosia stringe un patto con Dio promettendo di osservare le sue leggi
71L27221|anche il popolo promette di osservare il patto
71L2723|gli idoli vengono portati fuori dal tempio, bruciati e le loro ceneri ridotte in polvere ~ storia di Giosia
71L27231|Giosia rimuove i cavalli e brucia i carri utilizzati nel culto del dio-sole
71L2724|i sacerdoti pagani vengono destituiti o uccisi
71L2725|tutti i santuari pagani del regno vengono profanati e distrutti
71L27251|l'altare a Betel viene profanato: le ossa prese da alcuni sepolcri circostanti vengono bruciate sull'altare (la tomba del profeta Giuda viene risparmiata)
71L2726|maghi e stregoni vengono cacciati
71L273|Giosia celebra la Pasqua
71L2731|Giosia assegna ai sacerdoti e ai Leviti i loro compiti
71L2732|il re e i suoi ufficiali contribuiscono ai sacrifici con le loro greggi
71L2733|gli animali vengono uccisi e arrostiti; altre offerte vengono cotte in pentole e tegani
71L274|battaglia contro gli Egiziani e morte di Giosia
71L2741|il Faraone Necao II re d'Egitto attraversa la Palestina col suo esercito
71L2742|Giosia in marcia per fermare l'avanzata di Faraone
71L2743|Necao manda un'ambasciata a Giosia
71L2744|durante la battaglia di Meghiddo Giosia viene colpito da frecce egiziane
71L2745|il cadavere di Giosia viene caricato su un carro e portato a Gerusalemme
71L2746|sepoltura di Giosia
71L28|storia di Ioacaz, figlio di Giosia, re di Giuda (2 Re 23, 31-34; 2 Cr. 36, 1-4)
71L281|Ioacaz viene fatto prigioniero da Necao II e portato in Egitto
71L29|storia di Ioiakim, figlio di Giosia, re di Giuda (2 Re 23, 34 - 24, 6: 2 Cr. 36, 5-8)
71L291|re Necao II proclama re di Giuda Eliakim, fratello di Ioacaz, e gli cambia il nome in Ioiakim
71L2911|Giuda paga un pesante tributo a Faraone
71L292|Nabucodonosor di Babilonia durante la marcia verso l'Egitto, invade Giuda e Ioiakim diviene vassallo di Babilonia (anche Dan, 1, 1-2)
71L293|re Ioiakim si ribella a Babilonia
71L2931|alcune bande di Aramei, Moabiti e Ammoniti si uniscono ai Babilonesi
71L2932|ultimi anni e morte di Ioiakim
71L29321|Ioiakim viene fatto prigioniero e portato in catene a Babilonia
71L3|regno di Giuda (terza parte)
71L31|storia di Ioiachin, figlio di Ioiakim, re di Giuda (2 Re 24, 8-16; 25, 27-30; 2 Cr. 36, 9-10)
71L311|Ioiachin diviene re
71L312|primo assedio di Gerusalemme
71L3121|Nabucodonosor conquista la città: Ioiachin, la madre, le mogli e i principi vengono deportati
71L31211|tutti i tesori del tempio e del palazzo vengono portati a Babilonia
71L3122|diecimila Israeliti, compreso il profeta Ezechiele, vengono deportati a Babilonia
71L313|quando Evil-Merodach diviene re di Babilonia, fa liberare Ioiachin e gli concede di mangiare per sempre alla sua tavola (anche Ger. 52, 31-34)
71L32|storia di Sedecia, re di Giuda (2 Re 24, 18-25; 21; 2 Cr. 36, 11-21; Ger. 52, 1-30)
71L321|Nabucodonosor proclama re Mattania, zio di Ioiachin, e gli cambia il nome in Sedecia
71L322|secondo assedio di Gerusalemme
71L3221|Nabucodonosor si accampa con l'esercito fuori di Gerusalemme
71L3222|il popolo di Gerusalemme è afflitto dalla carestia
71L3223|vine aperta una breccia nelle mura di Gerusalemme; Sedecia e i soldati fuggono durante la notte
71L3224|Sedecia viene catturato dai Babilonesi
71L32241|Sedecia viene incatenato e portato al cospetto di Nabucodonosor
71L32242|i figli di Sedecia vengono uccisi sotto gli occhi del padre
71L322421|vengono uccisi i capi di Giuda ~ la storia di Sedecia
71L32243|vengono cavati gli occhi a Sedecia
71L323|la caduta di Gerusalemme
71L3231|Nabuzaradan, comandante dell'esercito babilonese, da fuoco al tempio e al palazzo di Gerusalemme
71L3232|il tempio di Gerusalemme viene saccheggiato
71L3233|le mura della città vengono demolite
71L3234|il sommo sacerdote e gli ufficiali che erano ancora a Gerusalemme vengono condotti da Nabucodonosor, torturati e uccisi
71L3235|la gente di Giuda, esclusi i più poveri, vengono deportati a Babilonia
71L33|Godolia, governatore di Giuda (2 Re 25, 22-26)
71L331|Godolia viene nominato governatore del paese da Nabucodonosor a Mizpa
71L332|Godolia convince Giovanni e alcuni ufficiali e soldati che non si erano arresi a rimanere in Giuda per servire il re di Babilonia
71L333|Ismaele e i suoi uomini attaccano Mizpa e uccidono Godolia
71L3331|Godolia viene ucciso mentre mangia con Ismaele e i suoi uomini (Ger. 41, 1-2)
71L334|ottanta uomini venuti a offrire sacrifici nel tempio vengono uccisi e i loro corpi vengono gettati in un pozzo (Ger. 41, 4-7)
71L335|Giovanni e il resto dei Giudei fuggono in Egitto (Ger. 41, 16-18)
71L4|la cattività babilonese degli Ebrei
71M|storia di Elia
71M1|Elia presso il torrente Cherit
71M11|Elia preannuncia a re Acab che Dio manderà una lunga siccità per punire l'idolatria di Israele
71M12|Elia nutrito dal corvo (o da corvi): il profeta vive presso il torrente e dei corvi gli portano il cibo
71M2|Elia e la vedova di Zarepta (1 Re 17, 7-24)
71M21|quando il torrente si secca, Elia si trasferisce a Zarepta; alla porta della città incontra una donna che raccoglie legna insieme al suo bambino (i pezzi di legno possono formare una croce)
71M211|Elia chiede alla vedova di Zarepta di portargli del cibo
71M22|Elia viene nutrito dalla vedova di Zarepta
71M221|il miracolo del barile di farina e dell'orcio d'olio: come ricompensa della carità della vedova, Elia rende inestinguibile la sua provvista di farina e di olio fino alla fine della carestia
71M23|Elia risuscita il figlio della vedova di Zarepta
71M231|il figlio della vedova di Zarepta si ammala gravemente
71M232|la vedova di Zarepta si lamenta con Elia
71M233|Elia porta il bambino della vedova di Zarepta al piano di sopra
71M234|Elia mette il bambino della vedova di Zarepta sul letto e si distende tre volta sopra di lui
71M2341|Elia prega Dio ~ storia della vedova di Zarepta
71M235|Elia riconsegna alla madre, la vedova di Zarepta, il bambino vivo
71M3|Elia incontra di nuovo Acab (1 Re 18, 1-19)
71M31|eventi preliminari
71M311|la pietà di Abdia, maggiordomo della casa di Acab; quando la regina Gezabele uccide i sacerdoti del Signore, Abdia ne nasconde cento in una caverna e procura loro il cib
71M312|Acab perlustra il paese in cerca di Elia e fa girare ai suoi uomini di non aver trovato il profeta
71M32|Dio ordina a Elia di presentarsi ad Acab
71M33|al culmine della carestia, Acab ordina ad Abdia di cercare erba per i cavalli e per i muli
71M34|Abdia incontra Elia che gli ordina di avvertire il re
71M35|Abdia riferisce ad Acab, il quale si reca da Elia
71M36|Elia rimprovera Acab e gli chiede di radunare i sacerdoti di Baal sul monte Carmelo per una sfida
71M4|Elia sfida i sacerdoti di Baal; fine della siccità (1 Re 18, 20-46)
71M41|Acab riunisce i sacerdoti di Baal e il popolo di Israele per l'incontro sul monte Carmelo
71M42|Elia parla al popolo
71M43|vengono eretti due altari sacrificali ~ storia di Elia
71M431|gli adoratori di Baal preparano un altare e sacrificano un toro; tutte le grida dei sacerdoti, le danze e le automutilazioni sono inutili
71M4311|i fedeli di Baal vengono scherniti da Elia
71M432|Elia ripara con dodici pietre l'altare; prepara il sacrificio
71M4321|quando Elia lo prega, Dio manda del fuoco che brucia non solo il sacrificio ma anche l'altare; la gente si prostra
71M44|su ordine di Elia, i sacerdoti di Baal vengono condotti al torrente Kison e uccis
71M45|fine della siccità ~ storia di Elia
71M451|Elia sale sulla cima del monte Carmelo e si getta a terra; manda poi un servo verso il mare per attendere la pioggia
71M4511|il servo riferisce di aver visto una piccola nuvola ~ storia di Elia
71M452|sotto una pioggia torrenziale, Acab ritorna a Izreel sul carro mentre Elia corre davanti a lui
71M5|Elia e l'angelo; Elia sul monte Oreb (1 Re 19, 1-18)
71M51|Gezabele manda a Elia un messaggio in cui lo minaccia di morte
71M52|Elia fugge nel deserto
71M521|Elia siede sotto un ginepro e si addormenta
71M53|un angelo sveglia Elia; di norma una focaccia e una brocca d'acqua sono raffigurati vicino alla testa di Elia
71M531|un angelo, che tiene in mano una focaccia e una brocca (o un calice), sveglia Elia
71M54|Elia va sul monte Oreb e si rifugia in una caverna
71M55|dopo una tempesta di vento, un terremoto e un incendio, si sente la voce di Dio d Elia si copre il volto con il mantello
71M551|Elia ascolta la voce di Dio dall'ingresso della caverna sul monte Oreb
71M6|la chiamata di Eliseo (1 Re 19, 19-21)
71M61|Elia incontra Eliseo che ara con dei buoi e gli getta addosso il suo mantello
71M62|Elia uccide una coppia di buoi e ne cuoce la carne con il legno del giogo
71M63|il banchetto di commiato di Eliseo dal padre, dalla madre e dagli amici
71M64|Eliseo versa acqua sulle mani di Elia (2 Re 3, 11)
71M7|Elia e i messaggeri di re Acazia (2 Re 1, 3-16)
71M71|un angelo ordina a Elia di incontrare i messaggeri di re Acazia
71M72|Elia rimanda i messaggeri a re Acazia per comunicargli che sarebbe morto presto
71M73|dopo che i messaggeri hanno riferito a Acazia, il re manda un ufficiale e cinquanta uomini a prendere Elia
71M74|quando giungono da Elia, un fuoco scende dal cielo e uccide l'ufficiale con i cinquanta uomini; il re manda altri uomini che vengono uccisi anch'essi
71M75|il re manda un terzo ufficiale; l'ufficiale si inginocchia e chiede a Elia di risparmiare la sua vita e quella dei suoi uomini
71M751|un angelo consiglia a Elia di recarsi dal re insieme all'ufficiale
71M76|Elia si reca da Acazia e gli preannuncia la morte
71M8|l'ascensione di Elia (2 Re 2, 1-18)
71M81|Elia ed Eliseo parlano mentre si recano al Giordano
71M811|Elia ed Eliseo attraversano le città di Betel e Gerico e in entrambe incontrano un gruppo di giovani profeti
71M82|Elia ed Eliseo si fermano sulla riva del Giordano; Elia avvolge il mantello e con esso colpisce le acque del fiume: le acque si dividono
71M821|Elia ed Eliseo vanno sull'altra sponda del Giordano
71M83|il commiato di Elia: Eliseo chiede che parte dello spirito di Eliseo passi in lui
71M84|un carro, dei cavalli di fuoco e un turbine portano Elia in cielo; il mantello di Elia cade a terra (o Elia lo porge ad Eliseo)
71M85|Eliseo diviene il successore di Elia
71M851|Eliseo raccoglie il mantello di Elia e torna verso il Giordano
71M852|Eliseo colpisce le acque con il mantello di Elia, le acque si dividono ed egli riattraversa il fiume; viene cos riconosciuto successore di Elia dai figli dei profeti
71M853|i giovani profeti convincono Eliseo a lasciarli andare a cercare Elia; la ricerca è inutile
71M854|Eliseo viene accolto a Gerico
71M9|altre scene dalla storia di Elia
71M91|nascita di Elia
71M911|due angeli fasciano Elia neonato con le fiamme
71M92|Enoch accoglie in cielo Elia
71N|storia di Eliseo
71N1|sette miracoli di Eliseo
71N11|purificazione dell'acqua di Gerico: quando gli abitanti di Gerico si lamentano dell'acqua, Eliseo mette del sale in una pentola, poi lo versa nell'acqua (2 Re 2, 19-22)
71N12|l'olio della vedova: il poco olio che una donna tiene nel suo orcio aumenta tanto da permettere a lei e al figlio di riempire molti vasi che gli erano stati prestati (2 Re 4, 1-7)
71N121|una vedova che doveva del denaro a un creditore si reca da Eliseo che le ordina di farsi prestare più vasi vuoti possibile
71N13|Eliseo e la Sunammita (2 Re 4, 8-37; 8, 1-6)
71N131|l'ospitalità della Sunammita
71N1311|Eliseo cena con la Sunammita
71N1312|la Sunammita dà una stanza a Eliseo
71N132|Eliseo promette alla Sunammita un figlio come ricompensa per l'ospitalità
71N1321|nascita del figlio della Sunammita
71N1322|il figlio della Sunammita raggiunge il padre e i mietitori nel campo e si accascia
71N1323|il figlio della Sunammita muore in grembo alla madre
71N1324|la Sunammita si reca sulla sua asina da Eliseo, si china, gli afferra le ginocchia e lo supplica di seguirla
71N1325|Ghecazi viene mandato alla casa della Sunammita con il bastone di Eliseo; cerca invano di resuscitare il bambino
71N133|resurrezione del figlio della Sunammita
71N1331|Eliseo trova il bambino della Sunammita disteso sul letto e prega Dio
71N1332|Eliseo si distende sopra il bambino della Sunammita
71N1333|Ghecazi va a chiamare la Sunammita; quando vede il figlio vivo la Sunammita cade ai piedi di Eliseo
71N134|la Sunammita e la carestia
71N1341|Eliseo consiglia alla Sunammita di lasciare il paese
71N1342|quando la Sunammita tempo dopo torna, si reca con il figlio dal re di Israele, che trova in colloquio con il servo di Eliseo, e chiede che le siano restituite la terra e la casa; la richiesta viene accolta
71N14|la minestra avvelenata: Eliseo purifica la minestra avvelenata versandovi della farina (2 Re 4, 38-41)
71N141|uno dei figli dei profeti raccoglie erbe e zucche selvatiche e le mette in una pentola di minestra; la minestra diviene immangiabile
71N15|cento uomini vengono nutriti con venti pani: Eliseo riceve pani d'orzo e un sacco di farro che moltiplica per dar da mangiare a cento uomini (2 Re 4, 42-44)
71N16|la lebbra di Naaman (2 Re 5)
71N161|Naaman, comandante dell'esercito degli Aramei, malato di lebbra
71N1611|una giovane serva, prigioniera israelita, rivela alla sua padrona che un profeta di Samaria potrebbe curare il marito
71N16111|Naaman viene a sapere di Eliseo
71N1612|Naaman si reca a Samaria con una lettera e molti doni del re di Aram
71N1613|quando il re di Israele (Ioram) legge la lettera si strappa le vesti
71N1614|Naaman si reca alla porta della casa di Eliseo; il profeta gli manda un servo per dirgli di bagnarsi sette volte nel Giordan
71N1615|Naaman è riluttante ma viene persuaso dal suo servo
71N162|Naaman si reca al Giordano, si immerge sette volte e guarisce
71N1621|Naaman offre dei doni a Eliseo, ma questi rifiuta; Naaman chiede di caricare due muli di terra
71N163|punizione di Ghecazi
71N1631|Ghecazi segue il carro di Naaman; riceve due talenti e delle vesti che nasconde nella casa di Eliseo
71N1632|Eliseo rimprovera Ghecazi e per punizione fa si che venga contagiato dalla lebbra di Naaman
71N17|il ritrovamento del ferro dell'ascia: mentre uno dei figli dei profeti sta tagliando un albero per costruire una casa per Eliseo e i suoi compagni, il ferro dell'ascia cade nel Giordano; Eliseo getta un bastoncino nell'acqua e fa venire a galla il ferr
71N2|la maledizione dei bambini: mentre Eliseo cammina per strada alcuni bambini lo deridono per la sua calvizie; Eliseo li maledice (2 Re 2, 23-25)
71N21|dal bosco escono due orsi che sbranano i bambini
71N3|la cattura degli Aramei (2 Re 6, 8-23)
71N31|Eliseo mette in guardia il re israelita dalle imboscate preparate dal re arameo, il quale quindi invia delle truppe per catturare il profeta
71N32|quando il servo di Eliseo vede le truppe aramee si spaventa, ma Elseo gli apre gli occhi per fargli vedere il monte pieno di cavalli e carri di fuoco
71N33|gli Aramei avanzano verso Eliseo; prega Dio e gli Aramei vengono colpiti da cecità
71N34|Eliseo conduce gli Aramei ciechi a Samaria
71N341|a Samaria Eliseo ridà la vista agli Aramei e fa dare loro da mangiare dal re di Israele, poi li lascia tornare al loro paese
71N4|Eliseo e Cazael (2 Re 8, 7-15)
71N41|Eliseo va a Damasco
71N42|il re di Aram Ben-Hadad II, ammalato, manda Cazael a consultare Eliseo
71N43|Cazael va da Eliseo con quaranta cammelli e molti doni
71N44|Eliseo piange e rivela a Cazael che diverrà re di Aram
71N45|Cazael uccide Ben-Hadad: immerge un sacco nell'acqua e con questo soffoca il re
71N46|Cazael diviene re di Aram
71N5|Eliseo fa ungere Ieu re di Israele (2 Re 9, 1-13)
71N51|Eliseo manda a Ramot uno dei figli dei profeti con un vasetto d'olio per ungere Ieu
71N52|il figlio del profeta trova Ieu seduto tra gli ufficiali suoi compagni
71N53|il giovane profeta entra in camera con Ieu; gli versa l'olio sulla testa e gli ordina di uccidere Acab e tutta la sua famiglia
71N54|quando Ieu racconta agli ufficiali della missione del figlio del profeta, questi stendono le vesti sui gradini, suonano le trombe e lo salutano re
71N6|malattia e morte di Eliseo (2 Re 13, 14-20)
71N61|Ioas, re di Israele, va a visitare il profeta malato
71N611|Eliseo ordina a Ioas di scoccare una freccia dalla finestra verso Aram e gli predice vittoria
71N612|Eliseo ordina a Ioas di colpire la terra con le frecce e gli predice che sconfiggerà gli Aramei solo tre volte
71N62|Eliseo muore
71N621|sepoltura di Eliseo
71N7|le ossa di Eliseo (2 Re 13, 21)
71N71|all'arrivo di una banda di predoni Moabiti, durante un funerale, un cadavere viene gettato nella tomba di Eliseo; quando viene a contatto con le ossa di Eliseo il corpo torna in vita
71O|profeti prima e durante la cattività babilonese (Amos, Osea, Isaia, Michea, Sofonia, Abacuc, Geremia, Naum, Ezechiele)
71O1|il libro di Amos
71O11|Amos, mandriano di Tekoa, profetizza a Betel (Am. 1-2)
71O111|il Signore ruggirà da Sion ~ profezia di Amos
71O112|il Signore darà fuoco alla casa di Cazael
71O113|il Signore spezzerà il catenaccio di Damasco ~ profezia di Amos
71O114|il Signore darà fuoco a Giuda e divorerà i palazzi di Gerusalemme ~ profezia di Amos
71O115|altre profezie di distruzione ~ libro di Amos
71O12|Amos parla alle donne ('vacche') di Basan (Am. 4, 1-3)
71O13|visioni di Amos (Am. 7 - 9, 8)
71O131|la visione delle cavallette ~ libro di Amos
71O132|la visione del fuoco (la siccità) ~ libro di Amos
71O133|la visione del Signore sopra un muro con un piombino in mano ~ libro di Amos
71O134|Amos vede un canestro di frutta
71O135|Amos vede il Signore presso l'altare che ordina la sua distruzione
71O14|Amos viene ucciso da Amazia, un sacerdote di Betel
71O19|altre scene ~ Amos
71O19(...)|altre scene ~ Amos (con libro, capitolo e versetti tra parentesi)
71O2|il libro di Osea
71O21|il Signore parla a Osea: 'Và, prendi in moglie una prostituta...' (Os. 1, 2)
71O22|Osea, Gomer e i tre figli (Os. 1, 3-11)
71O221|il matrimonio di Osea con la prostituta Gomer
71O222|la nascita del primo figlio; il Signore gli ordina di chiamarlo Izreel
71O23|Osea e l'adultera (Os. 3)
71O24|profezie di Osea; Israele biasimata e minacciata a causa della sua empietà e idolatria (Os. 4 - 14)
71O3|il libro di Isaia
71O31|Isaia comunica con Dio
71O311|preghiera di Isaia e apparizione di Dio (Is. 26, 9 e Is. 45, 6)
71O32|visioni di Isaia
71O321|il Signore siede su un trono nel tempio pieno di fumo; sopra il Signore degli angeli con sei ali ciascuno (Is. 6, 1-4)
71O322|purificazione di Isaia: un angelo gli tocca le labbra con del carbone ardente preso con le molle dall'altare (Is. 6, 5-13)
71O323|altre visioni di Isaia
71O33|profezie di Isaia
71O331|profezia di Isaia sulla nascita di Cristo (Emanuele) (in alcuni casi con Maria, l'arcangelo Gabriele e re Acaz) (Is. 7, 14-16)
71O332|profezia di Isaia sulla Passione di Cristo (Is. 52, 13 - 53, 12)
71O3321|'Noi tutti eravamo sperduti come un gregge' ('Is. 53, 6)
71O333|profezia di Isaia sull'albero di Iesse (Is. 11, 1)
71O334|profezia di Isaia sul regno pacifico: 'il lupo dimorerà con l'agnello' (Is. 11, 6-9)
71O335|profezia di Isaia su Babele, Moab, Damasco, ecc.
71O336|profezia di Isaia sulla caduta di Babele (Is. 14, 12-20)
71O337|altre profezie di Isaia
