5|abstrakte Ideen und Konzeptionen
71L27231|Joschija entfernt die Pferde und verbrennt die Triumphwagen, die für den Kult des Sonnengotts benutzt worden sind
71L2724|die heidnischen Priester werden entweder getötet oder unterdrückt
71L2725|im ganzen Königreich werden die heidnischen Schreine entweiht und zerstört
71L27251|der Altar von Bethel wird entweiht: Knochen aus einigen nahegelegenen Gräbern werden auf dem Altar verbrannt (das Grab des Propheten von Juda bleibt verschont)
71L2726|Zauberer und Magiere werden verjagt
71L273|Joschija feiert das Passafest
71L2731|Joschija teilt den Leviten und den Priestern ihre Aufgaben zu
71L2732|König Joschija und sein Hofstaat opfern beim Passafest Tiere aus ihren eigenen Herden
71L2733|die Tiere werden getötet und über dem Feuer gebraten; andere Opfergaben werden in Töpfen und Kesseln gekocht
71L274|die Schlacht gegen die Ägypter und der Tod Joschijas
71L2741|König Necho II. von Ägypten durchzieht mit seiner Armee Palästina
71L2742|Joschija rückt aus, um den Feldzug des Pharao zu stoppen
71L2743|Necho schickt Botschafter zu Joschija
71L2744|in der Schlacht von Megiddo wird Joschia von ägyptischen Pfeilen getötet
71L2745|Joschijas Leichnam wird auf einen Wagen gelegt und nach Jerusalem gebracht
71L2746|das Begräbnis Joschijas
71L28|die Geschichte von Joahas, dem Sohn Joschijas und König Judas (2 Könige 23:31-34; 2 Chronik 36:1-4)
71L281|Joahas wird von König Necho II. gefangengenommen und nach Ägypten gebracht
71L29|die Geschichte von Jojakim, dem Sohn Joschijas und König Judas (2 Könige 23:34 - 24:6; 2 Chronik 36:5-8)
71L291|König Necho II. ernennt den Bruder des Joahas, Eljakim, zum König von Juda und ändert seinen Namen in Jojakim
71L2911|Juda muß erhebliche Tributzahlungen an den Pharao abführen
71L292|Nebukadnezzar von Babylon erobert auf seinem Feldzug gegen Ägypten Juda; Jojakim wird zum Vasallen Babylons (2 Könige 24:1; 2 Chronik 36:6-7; Daniel 1:1-2)
71L293|König Jojakim rebelliert gegen Babylon
71L2931|die Babylonier erhalten durch syrische, moabitische und ammonitische Truppen Verstärkung
71L2932|die letzten Lebensjahre und der Tod Jojakims
71L29321|Jojakim wird gefangengenommen und in Ketten nach Babylon verschleppt
71L3|die Geschichte des Königreichs Juda und seiner Könige
71L31|die Geschichte von Jojachin, dem Sohn Jojakims und König Judas (2 Könige 24:8-16, 25:27-30; 2 Chronik 36:9-10)
71L311|Jojachin wird König
71L312|die erste Belagerung Jerusalems
71L3121|Nebukadnezzar erobert die Stadt; Jojachin, seine Mutter, die Frauen und die königlichen Prinzen werden als Gefangene verschleppt
71L31211|alle Schätze des Tempels und des Palastes von Jerusalem werden nach Babylon geschafft
71L3122|zehntausend Israeliten, einschließlich des Propheten Ezechiel, werden nach Babylon deportiert
71L313|als Ewil-Merodach König von Babylon wird, entläßt er Jojachin aus dem Gefängnis und erlaubt ihm, bis zum Ende seines Lebens an der Tafel des Königs zu speisen (2 Könige 25:27-30; Jeremia 52:31-34)
71L32|die Geschichte von Zidkija, dem König Judas (2 Könige 24:18 - 25:21; 2 Chronik 36:11-21; Jeremia 52:1-30)
71L321|Nebukadnezzar ernennt Mattanja, Jojachins Onkel, zum König und ändert seinen Namen in Zidkija
71L322|die zweite Belagerung Jerusalems
71L3221|Nebukadnezzar und sein Heer schlagen ihr Lager vor Jerusalem auf
71L3222|in Jerusalem wütet eine Hungersnot
71L3223|Zidkija und seine Soldaten schlagen eine Bresche in die Stadtmauer Jerusalems und entkommen nachts durch die feindlichen Reihen
71L3224|Zidkija wird von den Babyloniern gefangengenommen
71L32241|Zidkija wird in Ketten vor Nebukadnezzar gebracht
71L32242|Zidkija muß der Hinrichtung seiner Söhne zuschauen
71L322421|die führenden Männer von Juda werden hingerichtet
71L32243|König Zidkija wird geblendet
71L323|der Fall Jerusalems
71L3231|Nebusaradan, der Befehlshaber der babylonischen Armee, brennt den Tempel und den Palast in Jerusalem nieder
71L3232|der Tempel von Jerusalem wird geplündert
71L3233|die Stadtmauern von Jerusalem werden niedergerissen
71L3234|der Hohepriester und alle Amtsträger, die noch in Jerusalem verblieben sind, werden vor Nebukadnezzar gebracht, gefoltert und getötet
71L3235|die Bevölkerung Judas wird mit Ausnahme ihrer ärmsten Mitglieder nach Babylon verschleppt
71L33|Gedalja, der Statthalter von Juda (2 Könige 25:22-26)
71L331|Gedalja wird in Mizja zum Statthalter des Landes gemacht
71L332|Gedalja überredet Johanan und einige Offiziere und Soldaten, die nicht am Aufstand beteiligt waren, in Juda zu siedeln und dem König von Babylon zu dienen
71L333|Jischmael und seine Männer greifen Mizpa an und töten Gedalja
71L3331|Gedalja wird getötet, als er mit Ischmael und seinen Leuten zu Tisch sitzt (Jeremia 41:1-2)
71L334|achtzig Männer, die im Tempel Opfer darbringen wollen, werden getötet; ihre Leichen werden in einen Brunnen geworfen
71L335|Johanan und die verbliebenen Judäer fliehen nach Ägypten (Jeremia 41:16-18)
71L4|die Babylonische Gefangenschaft der Juden
71M|die Geschichte von Elias
71M1|Elias am Bach Kerit (1 Kings 17:1-6)
71M11|Elias verkündigt König Ahab, daß Gott eine lange Trockenheit über das Land bringen wird, um die Gottlosigkeit Israels zu bestrafen
71M12|Elias wird von den Raben ernährt, die ihm Essen bringen, während er am Bach lebt
71M2|Elias und die Witwe von Sarepta (1 Könige 17:7-24)
71M21|als der Bach austrocknet, überquert ihn Elias und wandert zur Stadt Sarepta; am Stadttor trifft er eine Frau und ihren kleinen Sohn, die Holz auflesen
71M211|Elias bittet die Witwe von Sarepta, ihm etwas zum Essen zu geben
71M22|Elias speist bei der Witwe von Sarepta
71M221|das Wunder des Mehltopfs und des Ölkrugs: um die Barmherzigkeit der Frau zu belohnen, erneuert Elias ihren Vorrat an Mehl und Öl solange, bis die Hungersnot zu Ende geht
71M23|Elias erweckt das Kind der Witwe von Sarepta
71M231|der Sohn der Witwe von Sarepta fällt einer tödlichen Krankheit zum Opfer
71M232|die Witwe von Sarepta klagt vor Elias
71M233|Elias nimmt das Kind der Witwe von Sarepta und trägt es in das Obergeschoß
71M234|Elias legt das Kind der Witwe von Sarepta auf sein Bett und streckt sich dreimal über den Jungen hin
71M2341|Elias betet zu Gott
71M235|Elias übergibt das lebende Kind wieder seiner Mutter, der Witwe von Sarepta
71M3|Elias trifft ein weiteres Mal Ahab (1 Könige 18:1-19)
71M31|vorausgehende Ereignisse
71M311|die Frömmigkeit des Obadja, dem Statthalter von Ahabs Haus: als Königin Jezebel die Priester Gottes tötet, versteckt Obadja hundert von ihnen in einer Höhle und ernährt sie
71M312|Ahab läßt das ganze Land nach Elias durchsuchen und verlangt von seinen Männern den Schwur, daß sie den Propheten nicht haben finden können
71M32|Gott befiehlt Elias, selbst vor König Ahab zu treten
71M33|auf dem Höhepunkt der Hungersnot befiehlt Ahab Obadja, nach Gras für die Pferde und Maultiere zu suchen
71M34|auf seinem Weg trifft Obadja Elias, der ihm befiehlt, den König herbeizurufen
71M35|Obadja erstattet Ahab Bericht; der König bricht auf, um Elias zu treffen
71M36|Ahab wird von Elias angeklagt und aufgefordert, zur Durchführung eines Wettkampfs auf dem Berg Karmel die Baalspriester zu versammeln
71M4|Elias fordert die Baalspriester heraus; das Ende der Trockenheit (1 Könige 18:20-46)
71M41|Ahab ruft die Baalspriester und das israelitische Volk zu einer Versammlung auf dem Berg Karmel zusammen
71M42|Elias hält eine Rede vor dem Volk
71M43|zwei Opferaltäre werden errichtet
71M431|ein Altar wird von den Baalspriestern hergerichtet und ein Stier als Opfer vorbereitet; alle Schreie, wilden Tänze und Selbstverstümmelungen der Priester bleiben aber erfolglos
71M4311|Elias verspottet die Baalspriester
71M432|Elias nimmt zwölf Steine und repariert den zerstörten Altar; er bereitet sein Opfer vor
71M4321|als Elias betet, schickt Gott Feuer hinab, das nicht allein das Opfertier, sondern auch den Altar selbst in Brand setzt; das Volk wirft sich nieder
71M44|auf den Befehl des Elias werden die Baalspriester zum Bach Kischon gebracht und dort getötet
71M45|das Ende der Trockenheit
71M451|Elias steigt auf den Gipfel des Berg Karmel und beugt sich zur Erde nieder; er schickt einen Diener, um Ausschau auf das Meer nach Regen zu halten
71M4511|der Diener berichtet, daß er eine kleine Wolke gesehen hat
71M452|in einem Platzregen kehrt Ahab in seinem Wagen nach Jesreel zurück; Elias läuft vor ihm her
71M5|Elias und der Engel; Elias auf dem Berg Horeb (1 Könige 19:1-18)
71M51|Jezebel schickt Elias eine Nachricht, in der sie ihm mit seiner Ermordung droht
71M52|Elias flieht in die Wildnis
71M521|Elias sitzt entmutigt unter einem Wacholderstrauch und schläft ein
71M53|ein Engel weckt Elias; ein Brotlaib und ein Wasserkrug befinden sich in der Regel neben dem Propheten
71M531|ein Engel, der einen Brotlaib und einen Krug (oder Kelch) hält, weckt Elias
71M54|Elias kommt zum Berg Horeb, wo er in einer Höhle haust
71M55|nach einem Sturm, einem Erdbeben und einem Feuer hört Elias Gottes Stimme und bedeckt sein Gesicht mit seinem Mantel
71M551|Elias steht am Eingang der Höhle des Bergs Horeb und hört Gott zu
71M6|die Berufung des Elischa (1 Könige 19:19-21)
71M61|Ellias begegnet Elischa, der mit einem Ochsengespann pflügt, und bedeckt ihn mit seinem Mantel
71M62|Elischa tötet die beiden Ochsen und kocht ihr Fleisch mit dem Holz des Jochs
71M63|Elischas Abschiedsmahl mit Vater, Mutter und Freunden
71M64|Elias gießt Wasser über Elischas Hände (2 Könige 3:11)
71M7|Elias und die Boten König Ahasjas (2 Könige 1:3-16)
71M71|ein Engel befiehlt Elias, die Boten König Ahasjas zu treffen
71M72|Elias schickt die Boten mit der Botschaft zu Ahasja zurück, daß er früh sterben werde
71M73|nachdem die Boten Ahasja Bericht erstattet haben, entsendet der König einen Offizier mit fünfzig Männern, um Elias gefangenzunehmen
71M74|als sie zu Elias kommen, werden der Offizier und seine Soldaten von herabstürzendem Feuer getötet; ihren Nachfolgern ergeht es ebenso
71M75|ein dritter Offizier wird zu König Ahasja entsandt; er fällt auf seine Knie und fleht Elias an, sein Leben und das seiner Männer zu verschonen
71M751|ein Engel weist Elias an, mit dem Offizier zum König zu gehen
71M76|Elias geht zu Ahasja und prophezeit ihm seinen Tod
71M8|die Himmelfahrt des Elias (2 Könige 2:1-18)
71M81|Elias und Elischa unterhalten sich, während sie zum Jordan gehen
71M811|Elias und Elischa gehen an den Städten Bethel und Jericho vorbei und treffen dort jeweils eine Gruppe junger Propheten
71M82|Elias und Elischa halten am Ufer des Jordan an; Elias wickelt seinen Mantel zusammen und schlägt mit ihm auf das Wasser: die Wassermassen des Flusses teilen sich
71M821|Elias und Elischa durchqueren den Jordan
71M83|der Abschied des Elias: Elischa bittet darum, daß der Geist des Elias sich auf ihm niederlassen möge
71M84|in einem feurigen Wagen, der von Pferden gezogen wird und inmitten eines Wirbelsturms erscheint, wird Elias gen Himmel entrückt; sein Mantel fällt dabei herunter oder wird von ihm an Elischa übergeben
71M85|Elischa wird als der Nachfolger des Elias anerkannt
71M851|Elischa hebt den Mantel des Elias auf und geht zum Jordan zurück
71M852|Elischa schlägt mit dem Mantel des Elias auf das Wasser, das sich daraufhin wieder teilt, und durchquert den Fluß; dadurch lenkt er die Aufmerksamkeit der jungen Propheten auf sich
71M853|die jungen Propheten drängen Elischa, sie auf die Suche nach Elias zu schicken; ihre Suche bleibt aber erfolglos
71M854|Elischa wird in Jericho begrüßt
71M9|andere Szenen aus der Geschichte von Elias
71M91|die Geburt des Elias
71M911|zwei Engel wickeln das Kind Elias in Flammen ein
71M92|Henoch empfängt Elias im Himmel
71N|die Geschichte von Elischa (Eliseus)
71N1|die sieben Hilfewunder
71N11|das Wasser von Jericho wird gereinigt: als die Bewohner Jerichos über ihr Wasser klagen, streut Elischa etwas Salz in ein Gefäß und schüttet es dann ins Wasser
71N12|das Öl der Witwe: ein kleiner Rest Öl, der einer Frau noch verblieben ist, vermehrt sich so stark, daß die Witwe und ihr Sohn viele geborgte Gefäße damit füllen können
71N121|eine Witwe, die von einem Gläubiger zur Zahlung gedrängt wird, bittet Elischa um Hilfe; dieser weist sie an, sich möglichst viele leere Krüge zu borgen
71N13|Elischa und die Schunemiterin (2 Könige 4:8-37, 8:1-6)
71N131|die Gastfreundschaft der der Schunemiterin
71N1311|Elischa speist mit der Schunemiterin
71N1312|Elischa wird im Haus der Schunemiterin aufgenommen
71N132|Elischa verspricht der Schunemiterin, daß sie als Lohn für ihre Gastfreundschaft einem Sohn das Leben geben wird
71N1321|die Geburt des Sohnes der Schunemiterin
71N1322|als der Sohn der Schunemiterin seinen Vater und die Erntearbeiter auf dem Feld besucht, bricht er zusammen
71N1323|der Sohn der Schunemiterin stirbt im Schoß seiner Mutter
71N1324|die Schunemiterin reitet mit ihrem Esel aus, um Elischa zu treffen; sie kniet vor ihm nieder, umfaßt seine Füße und fleht ihn an, mit ihr zu kommen
71N1325|Gehasi wird mit Elischas Stab zum Haus der Schunemiterin entsandt; er versucht vergeblich, das Kind zum Leben zu erwecken
71N133|die Auferweckung des Sohns der Schunemiterin
71N1331|Elischa findet den Sohn der Schunemiterin ausgestreckt auf seinem Bett und betet daraufhin zu Gott
71N1332|Elischa streckt sich liegend über dem Kind der Schunemiterin aus
71N1333|Gehasi holt die Schunemiterin herbei; als sie ihr Kind lebend vorfindet, wirft sie sich zu Elischas Füßen nieder
71N134|die Schunemiterin und die Hungersnot
71N1341|Elischa rät der Schunemiterin, das Land zu verlassen
71N1342|als die Schunemiterin nach der Hungersnot zurückkehrt, geht sie mit ihrem Sohn zum König von Israel, der gerade mit Elischas Dienern spricht; sie bittet darum, daß sie ihr Haus und Land zurückerhält; ihrem Gesuch wird stattgegeben
71N14|der tödliche Topf: Elischa entgiftet ein tödliches Gericht, indem er Mehl in den Topf wirft (2 Könige 4:38-41)
71N141|einer der Prophetenjünger sammelt Kräuter und wilde Kürbisse; er wirft sie in einen Kochtopf und vergiftet damit unabsichtlich das Essen
71N15|hundert Männer werden mit zwanzig Brotlaiben gesättigt: Elischa erhält zwanzig Gerstenbrote und einen Sack Getreide, mit denen er hundert Männer sättigt
71N16|Naamans Aussatz (2 Könige 5)
71N161|Naaman, der Befehlshaber des syrischen Heeres, leidet an Aussatz
71N1611|ein junges Dienstmädchen, eine israelitische Gefangene, erzählt ihrer Herrin, daß ein Prophet aus Samaria ihren Mann heilen könne
71N16111|Naaman erfährt von Elischa
71N1612|Naaman reist nach Samaria und bringt einen Brief und viele wertvolle Geschenke des syrischen Königs mit
71N1613|als der Brief Naamans dem König von Israel (Joram) gezeigt wird, zerreißt er verzweifelt seine Kleidung
71N1614|Naaman kommt vor die Tür von Elischas Haus; der Prophet schickt ihm einen Diener, der ihm aufträgt, sich siebenmal im Jordan zu waschen
71N1615|Naaman weigert sich, im Jordan zu baden, wird aber von seinen Dienern überreden
71N162|Naaman kommt zum Jordan, taucht siebenmal unter und wird geheilt
71N1621|Naaman drängt Elischa, Geschenke entgegenzunehmen, aber der Prophet lehnt sie ab; Naaman bittet um zwei Maultiere, die mit Erde beladen sind
71N163|Gehasis Bestrafung
71N1631|Gehasi holt Naamans Wagen ein; er erhält zwei Talente Silber und Gewänder, die er in Elischas Haus versteckt
71N1632|Elischa tadelt Gehasi und verkündigt als Strafe, daß Gehasi künftig mit Naamans Aussatz behaftet sein wird
71N17|die Wiederauffindung der Axt: als einer der Prophetenjünger einen Baum fällt, um ein neues Haus für Elischa und seine Anhänger zu bauen, fällt seine Axt in den Jordan; Elischa läßt die Axt wiederauftauchen, indem er ein Stück Holz in das Wasser wirft (2 Könige 6:1-7)
71N2|die Verfluchung der Kinder: als Elischa auf seinem Weg einige Kinder trifft, die ihn wegen seiner Kahlheit verspotten, verflucht Elischa sie (2 Könige 2:23-25)
71N21|zwei Bären kommen aus dem Wald und zerreißen die Kinder, die von Elischa verflucht worden sind, in Stücke
71N3|die Verwirrung der Syrer (2 Könige 6:8-23)
71N31|Elischa warnt den israelitischen König vor einem Hinterhalt des syrischen Königs, der ständig Truppen entsendet, um den Propheten gefangenzunehmen
71N32|als Elischas Diener die syrischen Truppen entdeckt, ist er entsetzt, bis Elischa ihm die Augen öffnet und er sieht, daß der ganze Hügel von Pferden und feurigen Wagen bedeckt ist
71N33|die Syrer treten vor Elischa; der Prophet betet zu Gott und die Syrer erblinden
71N34|Elischa führt die erblindeten Syrer nach Samaria
71N341|in Samaria läßt Elischa die Syrer wieder sehen und bewegt den israelitischen König dazu, sie mit Nahrung zu versehen und nach Syrien zurückkehren zu lassen
71N4|Elischa und Hasael (2 Könige 8:7-15)
71N41|Elischa geht nach Damaskus
71N42|der kranke König Ben-Hadad II. von Syrien schickt Hasael zu Elischa
71N43|Hasael kommt mit vierzig Kamelen und zahlreichen Geschenken
71N44|Elischa weint und prophezeit Hasael, daß er König von Syrien werden wird
71N45|Hasael tötet Ben-Hadad, indem er ein Tuch in Wasser taucht und den König damit erstickt
71N46|Hasael wird König von Syrien
71N5|Elischa salbt Jehu zum König Israels (2 Könige 9:1-13)
71N51|Elischa schickt einen der Prophetenjünger mit einem Ölkrug nach Ramot, um Jehu zu salben
71N52|der Prophetenjünger trifft auf Jehu, der inmitten der ihm unterstellten Offiziere sitzt
71N53|der junge Prophet geht mit Jehu in das Haus; dort schüttet er das Öl über seinen Kopf und befiehlt ihm, Ahab und seine ganze Familie zu erschlagen
71N54|als Jehu den Offizieren von der Botschaft des Prophetenjüngers erzählt, breiten sie ihre Kleider auf den Stufen aus, blasen in ihre Trompeten und akklamieren Jehu
71N6|Elischas Krankheit und Tod (2 Könige 13:14-20)
71N61|Joasch, König von Israel, besucht den kranken Propheten Elischa
71N611|Elischa fordert Joasch auf, einen Pfeil durch das Fenster in Richtung Syrien zu schießen; er prophezeit, daß Joasch siegreich sein wird
71N612|Elischa fordert Joasch auf, Pfeile in den Erdboden zu schießen, und prophezeit, daß ihm nur drei Siege über die Syrer vergönnt sein werden
71N62|Elischa stirbt
71N621|das Begräbnis Elischas
71N7|Elischas sterbliche Überreste (2 Könige 13:21)
71N71|während einer Trauerfeier nähert sich eine Bande plündernder Moabiter; der Leichnam wird hastig in Elischas Grab geworfen; als er mit Elischas sterblichen Überresten in Berührung kommt, erwacht der Mann wieder zum Leben
71O|Propheten (vor und während der babylonischen Gefangenschaft)
71O1|das Buch Amos
71O11|Amos, der Hirte von Tekoa, prophezeit in Bethel (Amos 1-2)
71O111|Jahwe wird brüllen von Zion her (Prophezeiungen des Amos)
71O112|Gott wird Feuer werfen in Hasaels Haus (Prophezeiungen des Amos)
71O113|Gott wird die Riegel von Damaskus zerbrechen (Prophezeiungen des Amos)
71O114|Gott wird Feuer auf Juda werfen, daß es die Paläste Jerusalems verzehre (Prophezeiungen des Amos)
71O115|andere Prophezeiungen der Zerstörung im Buch Amos
71O12|Amos spricht die Frauen von Baschan als Baschanskühe an (Amos 4:1-3)
71O13|die Visionen des Amos (Amos 7 - 9:8)
71O131|die Vision von den Heuschrecken (das Buch Amos)
71O132|die Vision vom verzehrenden Feuer (das Buch Amos)
71O133|die Vision von Gott, der mit einem Senkblei in der Hand auf einer Mauer steht (das Buch Amos)
71O134|Amos sieht einen Obstkorb (das Buch Amos)
71O135|Amos sieht Gott, der auf einem Altar steht, dessen Zerstörung er befiehlt
71O14|Amos wird von dem Priester Amazja aus Bethel getöter
71O19|andere Szenen aus dem Buch Amos
71O19(...)|andere Szenen aus dem Buch Amos (mit BUCH, KAPITEL, VERS)
71O2|das Buch Hosea
71O21|Gott spricht zu Hosea: Geh, nimm dir ein buhlerisches Weib ... (Hosea 1:2)
71O22|Hosea, Gomer und die drei Kinder (Hosea 1:3-11)
71O221|die Heirat Hoseas mit der Hure Gomer
71O222|der erste Sohn Hoseas und Gomers wird geboren; Gott befiehlt Hosea, ihm den Namen Jesreel zu geben
71O23|Hosea und die Ehebrecherin (Hosea 3)
71O24|Hoseas Prophezeiungen; Israel wird für seine Gottlosigkeit und Götzendienerei getadelt und mit Strafen bedroht
71O3|das Buch Jesaja
71O31|Jesaja spricht mit Gott
71O311|das Gebet Jesajas und die Erscheinung Gottes (Jesaja 26:9, 45:6)
71O32|Jesajas Visionen
71O321|im Tempel, der von Rauch erfüllt ist, sitzt Gott auf einem Thron; über ihm befinden sich Engel mit sechs Flügeln (Jesaja 6:1-4)
71O322|die Reinigung Jesajas: ein Engel berührt Jesajas Lippen mit einer glühenden Kohle, die mit einer Zange vom Altar genommen worden ist (Jesaja 6:5-13)
71O323|andere Visionen Jesajas
71O33|Jesajas Prophezeiungen
71O331|Jesajas Prophezeiung der Geburt Christi (Immanuel) (eventuell mit Maria, dem Engel Gabriel und König Ahas)
71O332|Jesajas Prophezeiung der Passion Christi (Jesaja 52:13 - 53:12)
71O3321|Wir alle irrten umher wie die Schafe (Jesaja 53:6)
71O333|Jesajas Prophezeiung von der Wurzel Jesse (Jesaja 11:1)
71O334|Jesajas Prophezeiung vom befriedeten Königreich: dann wohnt der Wolf beim Lamm (Jesaja 11:6-9)
71O335|Jesajas Prophezeiung von der Bürde Babels, Moabs, Damaskus etc.
71O336|Jesajas Prophezeiung vom Fall Babels (Jesaja 14:12-20)
71O337|andere Prophezeiungen Jesajas
71O337(...)|andere Prophezeiungen Jesajas (mit BUCH, KAPITEL, VERS)
71O337(Is. 27:1)|Jesajas Prophezeiung von der Tötung des Leviathan
71O337(Is. 2:4)|Jesajas Prophezeiung von den Schwertern, die in Pflugscharen umgeschmiedet werden
71O34|Jesajas Verdammungen und Ermahnungen
71O341|Jesaja verdammt den Götzendienst (Jesaja 44:9-20)
71O342|Jesaja verdammt Judas Vertrauen auf Ägypten (Jesaja 30:1-7)
71O343|Jesaja ermahnt die Israeliten (Jesaja 51:1-2)
71O344|andere Verdammungen und Ermahnungen Jesajas
71O344(...)|andere Verdammungen und Ermahnungen Jesajas (mit BUCH, KAPITEL, VERS)
71O344(Is. 53:1)|Jesaja verdammt Ungläubigkeit
71O35|Lieder, Klagegesänge und Tröstungen Jesajas
71O351|Jesajas Lied vom Weinberg mit einem Turm in seiner Mitte (Jesaja 5:1-7)
71O352|Jesajas Danklied (Jesaja 12)
71O353|Jesaja klagt über Jerusalem (Jesaja 22:1-14, 29)
71O354|andere Lieder, Klagegesänge und Tröstungen Jesajas
71O354(...)|andere Lieder, Klagegesänge und Tröstungen Jesajas (mit BUCH, KAPITEL, VERS)
71O354(Is. 26)|Jesajas Lied von der Frömmigkeit
71O36|das Martyrium Jesajas: auf Befehl von König Manasse wird er in zwei Teile zersägt
71O37|andere Szenen aus dem Buch Jesaja
71O37(...)|andere Szenen aus dem Buch Jesaja (mit BUCH, KAPITEL, VERS)
71O37(Is. 21:11)|Wächter, wie weit ist es in der Nacht?
71O37(Is. 53:7)|wie ein Lamm, das zur Schlachtbank geführt wird
71O37(Is. 62:6)|der Wächter auf den Stadtmauern Jerusalems
71O4|das Buch Micha
71O41|Micha wird von Gott als Prophet berufen (Micha 1:1)
71O42|Michas Prophezeiungen
71O421|viele Nationen werden zum Berge Gottes hinaufsteigen (Micha 4:2)
71O422|Michas Prophezeiung von den Schwertern, die in Pflugscharen, und von den Speeren, die in Winzermesser umgewandelt werden
71O423|Michas Prophezeiung vom Frieden: jeder Mann sitzt unter seiner Weinrebe und seinem Feigenbaum (Micha 4:4)
71O424|Michas Prophezeiung über Bethlehem (Micha 5:2)
71O425|andere Prophezeiungen Michas
71O425(...)|andere Prophezeiungen Michas (mit BUCH, KAPITEL, VERS)
71O5|das Buch Zefanja
71O51|Zefanja wird von Gott als Prophet berufen (Zefanja 1:1)
71O52|Zefanjas Prophezeiungen
71O521|Gott wird Mann und Tier, Vögel und Fische vernichten (Zefanja 1:3)
71O522|Jerusalems Götzendiener und ihre Idole werden vernichtet werden (Zefanja 1:4)
71O523|Zefanjas Prophezeiung vom Tag des Jüngsten Gerichts (Zefanja 1:14-16)
71O524|Zefanjas Prophezeiung von der Zerstörung Ninives (Zefanja 2:13-15)
71O525|andere Prophezeiungen Zefanjas
71O525(...)|andere Prophezeiungen Zefanjas (mit BUCH, KAPITEL, VERS)
71O6|das Buch Habakuk
71O61|Habakuk spricht mit Gott (Habakuk 1)
71O62|Habakuk wird aufgefordert, seine Vision niederzuschreiben (Habakuk 2:2)
71O63|Habakuks Prophezeiungen
71O63(...)|Habakuks Prophezeiungen (mit BUCH, KAPITEL, VERS)
71O64|Habakuks Gebet (Habakuk 3)
71O7|das Buch Jeremia
71O71|die Berufung Jeremias (Jeremia 1:4-19)
71O711|Gott berührt Jeremias Lippen
71O712|Jeremias Vision vom Mandelzweig
71O7121|Jeremias Vision von der Jungfrau (Vulgate Jeremia 1:11)
71O713|Jeremias Vision vom Siedetopf
71O72|Jeremia spricht mit Gott
71O73|Jeremia in der Zeit König Joschijas
71O731|Jeremia verdammt die Götzendienerei (Jeremia 2-6)
71O7311|Jeremia spricht zu Jerusalem
71O7312|Jeremia verdammt Israels Abfall von Gott
71O7313|Jeremia prophezeit die Zerstörung Jerusalems
71O7314|Jeremia verdammt Israels Vertrauen auf Ägypten und Assyrien
71O7315|Jeremia verdammt Israels Unaufrichtigkeit
71O7316|Jeremia verdammt Judas idolatrische Opfer
71O732|Jeremias singt ein Klagelied über den Tod Joschijas (2 Chronik 35:25)
71O74|Jeremia in der Zeit Jojakims
71O741|Jeremia betet während der Hungersnot für die Israeliten (Jeremia 14)
71O742|Jeremias Prophezeiung vom Fall und von der Zerstörung Judas; Jeremias Parabeln
71O7421|die Parabel vom verdorbenen Gürtel (Jeremia 13:1-11)
71O74211|Jeremia kauft einen leinenen Gürtel
71O74212|Jeremia vergräbt den leinenen Gürtel in einer Felsspalte am Euphrat
71O74213|Jeremia gräbt den leinenen Gürtel aus; er ist verdorben
71O7422|die Parabel von den Weinflaschen und den betrunkenen Judäern (Jeremia 13:12-14)
71O7423|die Parabel vom Töpfer (Jeremia 18:1-10)
71O7424|die Parabel von der zerbrochenen irdenen Flasche vor dem Stadttor Jerusalems (Jeremia 19:1-13)
71O743|die erste Einkerkerung Jeremias (Jeremia 19:14 - 20:6)
71O7431|Jeremia predigt und prophezeit im Tempelhof
71O7432|Jeremia wird vom Priester Paschhur eingekerkert
71O7433|Jeremia wird gefoltert und am Tor des Tempels in den Block gelegt
71O7434|Jeremia wird aus dem Block befreit
71O7435|Jeremia verflucht Paschhur und prophezeit die babylonische Gefangenschaft
71O744|Jeremia ermahnt im Tempelhof die Israeliten (Jeremia 26)
71O7441|Jeremia wird von Priestern und Soldaten gefangengenommen
71O7442|Jeremia verteidigt sich mit einer Rede
71O7443|Jeremia wird freigelassen
71O745|Jeremia und die Rechabiter (Jeremia 35)
71O7451|die Rechabiter fliehen nach Jerusalem
71O7452|Jeremia bringt die Rechabiter in einen Raum des Tempels
71O7453|die Rechabiter weisen den Wein zurück, der ihnen angeboten wird
71O7454|Jeremia verdammt den Ungehorsam der Israeliten
71O7455|das Versprechen an die Rechabiter
71O746|Jeremia und Baruch (Jeremia 36)
71O7461|Jeremia diktiert Baruch seine Prophezeiungen
71O7462|Baruch verliest im Tempel die Schriftrolle mit den Prophezeiungen Jeremias
71O7463|Baruch liest die Schriftrolle mit den Prophezeiungen Jeremias den Prinzen vor
71O7464|die Schriftrolle mit den Prophezeiungen Jeremias wird König Jojakim vorgelesen
71O7465|Jojakim verbrennt die Schriftrolle mit den Prophezeiungen Jeremias
71O7466|Jeremia und Baruch verstecken sich
71O7467|Jeremia diktiert Baruch eine zweite Schriftrolle
71O7468|Jeremia prophezeit den Tod Jojakims (Jeremia 36:30-32, 22:13-19)
71O75|Jeremia während der Regierungszeit Jojachins
71O751|Jeremia prophezeit Jojachin die babylonische Gefangenschaft (Jeremia 22:24-28)
71O76|Jeremia während der Regierungszeit Zidkijas
71O761|Jeremia verdammt die falschen Propheten (Jeremia 23:9-40)
