0|abstrakte, ungegenständliche Kunst
11H(SEBASTIAN)61|der hl. Sebastian zerbricht vor einem römischen Kaiser Götzenbildnisse
11H(SEBASTIAN)62|der hl. Sebastian, der an einen Baum oder Pfahl gefesselt ist, wird von Pfeilen durchbohrt
11H(SEBASTIAN)621|der hl. Sebastian ist von Pfeilen durchbohrt; die Bogenschützen sind sichtbar
11H(SEBASTIAN)63|der hl. Sebastian wird von der Witwe Irene gepflegt, die die Pfeile entfernt
11H(SEBASTIAN)64|Engel kommen dem hl. Sebastian zu Hilfe, binden ihn vom Baum oder vom Pfahl los und entfernen die Pfeile
11H(SEBASTIAN)68|der hl. Sebastian wird gegeißelt oder zu Tode geprügelt
11H(SEBASTIAN)69|der Leichnam des hl. Sebastian wird in die Cloaca Maxima geworfen, den größten Abwasserkanal Roms
11H(SEBASTIAN)691|Lucina birgt Sebastians Leichnam aus der Cloaca Maxima
11H(SEBASTIAN)7|der Märtyrer Sebastian; mögliche Attribute: Pfeil(e), Bogen, Baumstamm - Apotheose, Verklärung, Triumph eines männlichen Heiligen
11H(SEBASTIAN)8|der Märtyrer Sebastian; mögliche Attribute: Pfeil(e), Bogen, Baumstamm - postume Ereignisse in der Vita eines männlichen Heiligen
11H(SEBASTIAN)81|der Märtyrer Sebastian; mögliche Attribute: Pfeil(e), Bogen, Baumstamm - Auffindung, Translation der Reliquien eines männlichen Heiligen
11H(SEBASTIAN)82|der Märtyrer Sebastian; mögliche Attribute: Pfeil(e), Bogen, Baumstamm - Wunder durch die Berührung von Reliquien eines männlichen Heiligen
11H(SEBASTIAN)83|der Märtyrer Sebastian; mögliche Attribute: Pfeil(e), Bogen, Baumstamm - postume Handlungen, Erscheinungen eines männlichen Heiligen
11H(SEBASTIAN)84|der Märtyrer Sebastian; mögliche Attribute: Pfeil(e), Bogen, Baumstamm - Seligsprechung, Heiligsprechung eines männlichen Heiligen
11H(SEBASTIAN)9|der Märtyrer Sebastian; mögliche Attribute: Pfeil(e), Bogen, Baumstamm - Bildnis eines männlichen Heiligen
11H(SERVATIUS)|Servatius (von Tongern), Bischof von Tongern und Maastricht; mögliche Attribute: Holzschuh, Drache, Adler, Schlüssel
11H(SERVATIUS)0|Servatius (von Tongern), Bischof von Tongern und Maastricht; mögliche Attribute: Holzschuh, Drache, Adler, Schlüssel - ein männlicher Heiliger, der in einer Gruppe dargestellt ist
11H(SERVATIUS)1|Servatius (von Tongern), Bischof von Tongern und Maastricht; mögliche Attribute: Holzschuh, Drache, Adler, Schlüssel - besondere Darstellungsformen eines männlichen Heiligen
11H(SERVATIUS)11|Servatius (von Tongern), Bischof von Tongern und Maastricht; mögliche Attribute: Holzschuh, Drache, Adler, Schlüssel - ein männlicher Heiliger als Patron, Beschützer, Fürsprecher
11H(SERVATIUS)119|Servatius (von Tongern), Bischof von Tongern und Maastricht; mögliche Attribute: Holzschuh, Drache, Adler, Schlüssel - ein männlicher Heiliger beschützt Gläubige mit seinem Mantel (Schutzmantel)
11H(SERVATIUS)12|Servatius (von Tongern), Bischof von Tongern und Maastricht; mögliche Attribute: Holzschuh, Drache, Adler, Schlüssel - ein männlicher Heiliger schreibt, studiert, unterrichtet, diktiert (z.B. als Kirchenlehrer)
11H(SERVATIUS)13|Servatius (von Tongern), Bischof von Tongern und Maastricht; mögliche Attribute: Holzschuh, Drache, Adler, Schlüssel - ein männlicher Heiliger als Ordensgründer
11H(SERVATIUS)131|Servatius (von Tongern), Bischof von Tongern und Maastricht; mögliche Attribute: Holzschuh, Drache, Adler, Schlüssel - ein männlicher Heiliger bei einer Regelbestätigung
11H(SERVATIUS)2|Servatius (von Tongern), Bischof von Tongern und Maastricht; mögliche Attribute: Holzschuh, Drache, Adler, Schlüssel - Kindheit und Jugend eines männlichen Heiligen
11H(SERVATIUS)3|Frömmigkeit des hl. Servatius
11H(SERVATIUS)31|Frömmigkeit des hl. Servatius - Berufung, Bekehrung eines männlichen Heiligen
11H(SERVATIUS)32|Frömmigkeit des hl. Servatius - Taufe, Weihe, Gelübde eines männlichen Heiligen
11H(SERVATIUS)33|Frömmigkeit des hl. Servatius - Verzicht auf weltliche Güter, Askese eines männlichen Heiligen
11H(SERVATIUS)34|Visionen des hl. Servatius
11H(SERVATIUS)341|Petrus gibt dem hl. Servatius einen silbernen Schlüssel
11H(SERVATIUS)342|ein Engel bringt dem hl. Servatius einen Bischofsstab und eine Mitra
11H(SERVATIUS)35|Frömmigkeit des hl. Servatius - Versuchung eines männlichen Heiligen
11H(SERVATIUS)36|Frömmigkeit des hl. Servatius - Buße eines männlichen Heiligen
11H(SERVATIUS)37|Frömmigkeit des hl. Servatius - ein männlicher Heiliger bei der Meditation, in Ekstase
11H(SERVATIUS)4|Servatius (von Tongern), Bischof von Tongern und Maastricht; mögliche Attribute: Holzschuh, Drache, Adler, Schlüssel - nicht-wundertätige Handlungen und Ereignisse in der Vita eines männlichen Heiligen
11H(SERVATIUS)5|Wunder in der Vita des hl. Servatius
11H(SERVATIUS)51|der hl. Servatius liegt schlafend in der Sonne, während ein Adler ihn beschattet und ihm Luft zufächelt; manchmal sieht der Hunnenkönig Attila dem Ereignis zu und wird dadurch bekehrt
11H(SERVATIUS)52|der hl. Servatius tötet einen Drachen
11H(SERVATIUS)59|Wunder in der Vita des hl. Servatius - Stigmatisation eines männlichen Heiligen
11H(SERVATIUS)6|Martyrium, Leiden, Scheitern, Tod des hl. Servatius
11H(SERVATIUS)68|der hl. Servatius stirbt durch Würfe mit Holzschuhen
11H(SERVATIUS)681|der hl. Servatius wird von Engeln begraben
11H(SERVATIUS)69|Martyrium, Leiden, Scheitern, Tod des hl. Servatius - Leichenschändung am Körper eines männlichen Heiligen
11H(SERVATIUS)7|Servatius (von Tongern), Bischof von Tongern und Maastricht; mögliche Attribute: Holzschuh, Drache, Adler, Schlüssel - Apotheose, Verklärung, Triumph eines männlichen Heiligen
11H(SERVATIUS)8|postume Ereignisse in der Vita des hl. Servatius
11H(SERVATIUS)81|postume Ereignisse in der Vita des hl. Servatius - Auffindung, Translation der Reliquien eines männlichen Heiligen
11H(SERVATIUS)82|postume Ereignisse in der Vita des hl. Servatius - Wunder durch die Berührung von Reliquien eines männlichen Heiligen
11H(SERVATIUS)83|Diebe, die einen Weinberg ausgeraubt haben, werden vom hl. Servatius versteinert
11H(SERVATIUS)84|postume Ereignisse in der Vita des hl. Servatius - Seligsprechung, Heiligsprechung eines männlichen Heiligen
11H(SERVATIUS)9|Servatius (von Tongern), Bischof von Tongern und Maastricht; mögliche Attribute: Holzschuh, Drache, Adler, Schlüssel - Bildnis eines männlichen Heiligen
11H(SEVEN SLEEPERS)|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab
11H(SEVEN SLEEPERS)0|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - ein männlicher Heiliger, der in einer Gruppe dargestellt ist
11H(SEVEN SLEEPERS)1|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - besondere Darstellungsformen eines männlichen Heiligen
11H(SEVEN SLEEPERS)11|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - ein männlicher Heiliger als Patron, Beschützer, Fürsprecher
11H(SEVEN SLEEPERS)119|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - ein männlicher Heiliger beschützt Gläubige mit seinem Mantel (Schutzmantel)
11H(SEVEN SLEEPERS)12|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - ein männlicher Heiliger schreibt, studiert, unterrichtet, diktiert (z.B. als Kirchenlehrer)
11H(SEVEN SLEEPERS)13|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - ein männlicher Heiliger als Ordensgründer
11H(SEVEN SLEEPERS)131|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - ein männlicher Heiliger bei einer Regelbestätigung
11H(SEVEN SLEEPERS)2|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Kindheit und Jugend eines männlichen Heiligen
11H(SEVEN SLEEPERS)3|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Frömmigkeit eines männlichen Heiligen
11H(SEVEN SLEEPERS)31|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Berufung, Bekehrung eines männlichen Heiligen
11H(SEVEN SLEEPERS)32|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Taufe, Weihe, Gelübde eines männlichen Heiligen
11H(SEVEN SLEEPERS)33|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Verzicht auf weltliche Güter, Askese eines männlichen Heiligen
11H(SEVEN SLEEPERS)34|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Vision(en), mystische Vermählung eines männlichen Heiligen
11H(SEVEN SLEEPERS)35|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Versuchung eines männlichen Heiligen
11H(SEVEN SLEEPERS)36|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Buße eines männlichen Heiligen
11H(SEVEN SLEEPERS)37|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - ein männlicher Heiliger bei der Meditation, in Ekstase
11H(SEVEN SLEEPERS)4|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - nicht-wundertätige Handlungen und Ereignisse in der Vita eines männlichen Heiligen
11H(SEVEN SLEEPERS)5|Wunder der hl. Siebenschläfer
11H(SEVEN SLEEPERS)51|sieben junge Christen (die Siebenschläfer) schlafen in einer Höhle
11H(SEVEN SLEEPERS)511|der römische Kaiser Decius mauert die Siebenschläfer in der Höhle ein
11H(SEVEN SLEEPERS)512|Kaiser Theodosius und ein Bischof gehen zu der Höhle, um nach zweihundert Jahren die Siebenschläfer zu erblicken
11H(SEVEN SLEEPERS)513|während eines Erdbebens wachen die Siebenschläfer auf
11H(SEVEN SLEEPERS)59|Wunder der hl. Siebenschläfer - Stigmatisation eines männlichen Heiligen
11H(SEVEN SLEEPERS)6|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Martyrium, Leiden, Scheitern, Tod eines männlichen Heiligen
11H(SEVEN SLEEPERS)68|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Tod, Totenbett eines männlichen Heiligen
11H(SEVEN SLEEPERS)69|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Leichenschändung am Körper eines männlichen Heiligen
11H(SEVEN SLEEPERS)7|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Apotheose, Verklärung, Triumph eines männlichen Heiligen
11H(SEVEN SLEEPERS)8|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - postume Ereignisse in der Vita eines männlichen Heiligen
11H(SEVEN SLEEPERS)81|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Auffindung, Translation der Reliquien eines männlichen Heiligen
11H(SEVEN SLEEPERS)82|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Wunder durch die Berührung von Reliquien eines männlichen Heiligen
11H(SEVEN SLEEPERS)83|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - postume Handlungen, Erscheinungen eines männlichen Heiligen
11H(SEVEN SLEEPERS)84|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Seligsprechung, Heiligsprechung eines männlichen Heiligen
11H(SEVEN SLEEPERS)9|die Siebenschläfer, Kinder aus Ephesus; mögliche Attribute: Hirtentasche und -stab - Bildnis eines männlichen Heiligen
11H(SEVERUS)|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge
11H(SEVERUS)0|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge - ein männlicher Heiliger, der in einer Gruppe dargestellt ist
11H(SEVERUS)1|besondere Darstellungsformen des hl. Severus
11H(SEVERUS)11|der hl. Severus als Weber bzw. als Patron der Weber
11H(SEVERUS)119|der hl. Severus als Weber bzw. als Patron der Weber - ein männlicher Heiliger beschützt Gläubige mit seinem Mantel (Schutzmantel)
11H(SEVERUS)12|besondere Darstellungsformen des hl. Severus - ein männlicher Heiliger schreibt, studiert, unterrichtet, diktiert (z.B. als Kirchenlehrer)
11H(SEVERUS)13|besondere Darstellungsformen des hl. Severus - ein männlicher Heiliger als Ordensgründer
11H(SEVERUS)131|besondere Darstellungsformen des hl. Severus - ein männlicher Heiliger bei einer Regelbestätigung
11H(SEVERUS)2|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge - Kindheit und Jugend eines männlichen Heiligen
11H(SEVERUS)3|Frömmigkeit des hl. Severus
11H(SEVERUS)31|der hl. Severus wird von einer Taube, die sich auf seine Schulter setzt, zum Bischof designiert; eine Menschenmenge verspottet den Heiligen
11H(SEVERUS)32|der hl. Severus wird zum Bischof geweiht
11H(SEVERUS)33|Frömmigkeit des hl. Severus - Verzicht auf weltliche Güter, Askese eines männlichen Heiligen
11H(SEVERUS)34|Frömmigkeit des hl. Severus - Vision(en), mystische Vermählung eines männlichen Heiligen
11H(SEVERUS)35|Frömmigkeit des hl. Severus - Versuchung eines männlichen Heiligen
11H(SEVERUS)36|Frömmigkeit des hl. Severus - Buße eines männlichen Heiligen
11H(SEVERUS)37|Frömmigkeit des hl. Severus - ein männlicher Heiliger bei der Meditation, in Ekstase
11H(SEVERUS)4|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge - nicht-wundertätige Handlungen und Ereignisse in der Vita eines männlichen Heiligen
11H(SEVERUS)5|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge - Wunder in der Vita eines männlichen Heiligen
11H(SEVERUS)59|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge - Stigmatisation eines männlichen Heiligen
11H(SEVERUS)6|Martyrium, Leiden, Scheitern, Tod des hl. Severus
11H(SEVERUS)68|das Grab der Frau und der Tochter des Severus öffnet sich; diebeiden Skelette steigen heraus, um Platz für den Heiligen zu schaffen; er steigt in das Grab und stirbt
11H(SEVERUS)69|Martyrium, Leiden, Scheitern, Tod des hl. Severus - Leichenschändung am Körper eines männlichen Heiligen
11H(SEVERUS)7|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge - Apotheose, Verklärung, Triumph eines männlichen Heiligen
11H(SEVERUS)8|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge - postume Ereignisse in der Vita eines männlichen Heiligen
11H(SEVERUS)81|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge - Auffindung, Translation der Reliquien eines männlichen Heiligen
11H(SEVERUS)82|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge - Wunder durch die Berührung von Reliquien eines männlichen Heiligen
11H(SEVERUS)83|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge - postume Handlungen, Erscheinungen eines männlichen Heiligen
11H(SEVERUS)84|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge - Seligsprechung, Heiligsprechung eines männlichen Heiligen
11H(SEVERUS)9|Severus, Weber und Bischof von Ravenna; mögliche Attribute: Taube, Webstuhl und entsprechende Werkzeuge - Bildnis eines männlichen Heiligen
11H(SIMEON STYLITES)|der Eremit Simeon Stylites
11H(SIMEON STYLITES)0|der Eremit Simeon Stylites - ein männlicher Heiliger, der in einer Gruppe dargestellt ist
11H(SIMEON STYLITES)1|besondere Darstellungsformen des hl. Simeon Stylites
11H(SIMEON STYLITES)11|der Eremit Simeon Stylites (der Ältere oder der Jüngere) steht oder sitzt auf einem Pfeiler (oder einer Säule); manchmal ist er von Engeln umgeben
11H(SIMEON STYLITES)119|der Eremit Simeon Stylites (der Ältere oder der Jüngere) steht oder sitzt auf einem Pfeiler (oder einer Säule); manchmal ist er von Engeln umgeben - ein männlicher Heiliger beschützt Gläubige mit seinem Mantel (Schutzmantel)
11H(SIMEON STYLITES)12|besondere Darstellungsformen des hl. Simeon Stylites - ein männlicher Heiliger schreibt, studiert, unterrichtet, diktiert (z.B. als Kirchenlehrer)
11H(SIMEON STYLITES)13|besondere Darstellungsformen des hl. Simeon Stylites - ein männlicher Heiliger als Ordensgründer
11H(SIMEON STYLITES)131|besondere Darstellungsformen des hl. Simeon Stylites - ein männlicher Heiliger bei einer Regelbestätigung
11H(SIMEON STYLITES)2|der Eremit Simeon Stylites - Kindheit und Jugend eines männlichen Heiligen
11H(SIMEON STYLITES)3|der Eremit Simeon Stylites - Frömmigkeit eines männlichen Heiligen
11H(SIMEON STYLITES)31|der Eremit Simeon Stylites - Berufung, Bekehrung eines männlichen Heiligen
11H(SIMEON STYLITES)32|der Eremit Simeon Stylites - Taufe, Weihe, Gelübde eines männlichen Heiligen
11H(SIMEON STYLITES)33|der Eremit Simeon Stylites - Verzicht auf weltliche Güter, Askese eines männlichen Heiligen
11H(SIMEON STYLITES)34|der Eremit Simeon Stylites - Vision(en), mystische Vermählung eines männlichen Heiligen
11H(SIMEON STYLITES)35|der Eremit Simeon Stylites - Versuchung eines männlichen Heiligen
11H(SIMEON STYLITES)36|der Eremit Simeon Stylites - Buße eines männlichen Heiligen
11H(SIMEON STYLITES)37|der Eremit Simeon Stylites - ein männlicher Heiliger bei der Meditation, in Ekstase
11H(SIMEON STYLITES)4|der Eremit Simeon Stylites - nicht-wundertätige Handlungen und Ereignisse in der Vita eines männlichen Heiligen
11H(SIMEON STYLITES)5|der Eremit Simeon Stylites - Wunder in der Vita eines männlichen Heiligen
11H(SIMEON STYLITES)59|der Eremit Simeon Stylites - Stigmatisation eines männlichen Heiligen
11H(SIMEON STYLITES)6|der Eremit Simeon Stylites - Martyrium, Leiden, Scheitern, Tod eines männlichen Heiligen
11H(SIMEON STYLITES)68|der Eremit Simeon Stylites - Tod, Totenbett eines männlichen Heiligen
11H(SIMEON STYLITES)69|der Eremit Simeon Stylites - Leichenschändung am Körper eines männlichen Heiligen
11H(SIMEON STYLITES)7|der Eremit Simeon Stylites - Apotheose, Verklärung, Triumph eines männlichen Heiligen
11H(SIMEON STYLITES)8|der Eremit Simeon Stylites - postume Ereignisse in der Vita eines männlichen Heiligen
11H(SIMEON STYLITES)81|der Eremit Simeon Stylites - Auffindung, Translation der Reliquien eines männlichen Heiligen
11H(SIMEON STYLITES)82|der Eremit Simeon Stylites - Wunder durch die Berührung von Reliquien eines männlichen Heiligen
11H(SIMEON STYLITES)83|der Eremit Simeon Stylites - postume Handlungen, Erscheinungen eines männlichen Heiligen
11H(SIMEON STYLITES)84|der Eremit Simeon Stylites - Seligsprechung, Heiligsprechung eines männlichen Heiligen
11H(SIMEON STYLITES)9|der Eremit Simeon Stylites - Bildnis eines männlichen Heiligen
11H(SIMEON)|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen
11H(SIMEON)0|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - ein männlicher Heiliger, der in einer Gruppe dargestellt ist
11H(SIMEON)1|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - besondere Darstellungsformen eines männlichen Heiligen
11H(SIMEON)11|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - ein männlicher Heiliger als Patron, Beschützer, Fürsprecher
11H(SIMEON)119|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - ein männlicher Heiliger beschützt Gläubige mit seinem Mantel (Schutzmantel)
11H(SIMEON)12|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - ein männlicher Heiliger schreibt, studiert, unterrichtet, diktiert (z.B. als Kirchenlehrer)
11H(SIMEON)13|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - ein männlicher Heiliger als Ordensgründer
11H(SIMEON)131|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - ein männlicher Heiliger bei einer Regelbestätigung
11H(SIMEON)2|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Kindheit und Jugend eines männlichen Heiligen
11H(SIMEON)3|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Frömmigkeit eines männlichen Heiligen
11H(SIMEON)31|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Berufung, Bekehrung eines männlichen Heiligen
11H(SIMEON)32|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Taufe, Weihe, Gelübde eines männlichen Heiligen
11H(SIMEON)33|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Verzicht auf weltliche Güter, Askese eines männlichen Heiligen
11H(SIMEON)34|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Vision(en), mystische Vermählung eines männlichen Heiligen
11H(SIMEON)35|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Versuchung eines männlichen Heiligen
11H(SIMEON)36|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Buße eines männlichen Heiligen
11H(SIMEON)37|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - ein männlicher Heiliger bei der Meditation, in Ekstase
11H(SIMEON)4|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - nicht-wundertätige Handlungen und Ereignisse in der Vita eines männlichen Heiligen
11H(SIMEON)5|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Wunder in der Vita eines männlichen Heiligen
11H(SIMEON)59|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Stigmatisation eines männlichen Heiligen
11H(SIMEON)6|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Martyrium, Leiden, Scheitern, Tod eines männlichen Heiligen
11H(SIMEON)68|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Tod, Totenbett eines männlichen Heiligen
11H(SIMEON)69|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Leichenschändung am Körper eines männlichen Heiligen
11H(SIMEON)7|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Apotheose, Verklärung, Triumph eines männlichen Heiligen
11H(SIMEON)8|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - postume Ereignisse in der Vita eines männlichen Heiligen
11H(SIMEON)81|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Auffindung, Translation der Reliquien eines männlichen Heiligen
11H(SIMEON)82|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Wunder durch die Berührung von Reliquien eines männlichen Heiligen
11H(SIMEON)83|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - postume Handlungen, Erscheinungen eines männlichen Heiligen
11H(SIMEON)84|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Seligsprechung, Heiligsprechung eines männlichen Heiligen
11H(SIMEON)9|Simeon der Gotträger (der Gerechte, der Greis); mögliche Attribute: das Christuskind in seinen Armen - Bildnis eines männlichen Heiligen
11H(SIMON STOCK)|der Karmelitermönch Simon Stock, mögliche Attribute: Skapulier
11H(SIMON STOCK)0|der Karmelitermönch Simon Stock, mögliche Attribute: Skapulier - ein männlicher Heiliger, der in einer Gruppe dargestellt ist
11H(SIMON STOCK)1|besondere Darstellungsformen des hl. Simon Stock
11H(SIMON STOCK)11|der hl. Simon Stock legt Fürsprache für die Seelen im Fegefeuer ein
11H(SIMON STOCK)119|der hl. Simon Stock legt Fürsprache für die Seelen im Fegefeuer ein - ein männlicher Heiliger beschützt Gläubige mit seinem Mantel (Schutzmantel)
11H(SIMON STOCK)12|besondere Darstellungsformen des hl. Simon Stock - ein männlicher Heiliger schreibt, studiert, unterrichtet, diktiert (z.B. als Kirchenlehrer)
11H(SIMON STOCK)13|besondere Darstellungsformen des hl. Simon Stock - ein männlicher Heiliger als Ordensgründer
11H(SIMON STOCK)131|besondere Darstellungsformen des hl. Simon Stock - ein männlicher Heiliger bei einer Regelbestätigung
11H(SIMON STOCK)2|der Karmelitermönch Simon Stock, mögliche Attribute: Skapulier - Kindheit und Jugend eines männlichen Heiligen
11H(SIMON STOCK)3|Frömmigkeit des hl. Simon Stock
11H(SIMON STOCK)31|Frömmigkeit des hl. Simon Stock - Berufung, Bekehrung eines männlichen Heiligen
11H(SIMON STOCK)32|Frömmigkeit des hl. Simon Stock - Taufe, Weihe, Gelübde eines männlichen Heiligen
11H(SIMON STOCK)33|Frömmigkeit des hl. Simon Stock - Verzicht auf weltliche Güter, Askese eines männlichen Heiligen
11H(SIMON STOCK)34|der hl. Simon Stock kniet vor einer Vision der Jungfrau Maria und erhält ein Skapulier von ihr oder vom Christuskind
11H(SIMON STOCK)35|Frömmigkeit des hl. Simon Stock - Versuchung eines männlichen Heiligen
11H(SIMON STOCK)36|Frömmigkeit des hl. Simon Stock - Buße eines männlichen Heiligen
11H(SIMON STOCK)37|Frömmigkeit des hl. Simon Stock - ein männlicher Heiliger bei der Meditation, in Ekstase
11H(SIMON STOCK)4|der Karmelitermönch Simon Stock, mögliche Attribute: Skapulier - nicht-wundertätige Handlungen und Ereignisse in der Vita eines männlichen Heiligen
11H(SIMON STOCK)5|der Karmelitermönch Simon Stock, mögliche Attribute: Skapulier - Wunder in der Vita eines männlichen Heiligen
11H(SIMON STOCK)59|der Karmelitermönch Simon Stock, mögliche Attribute: Skapulier - Stigmatisation eines männlichen Heiligen
11H(SIMON STOCK)6|der Karmelitermönch Simon Stock, mögliche Attribute: Skapulier - Martyrium, Leiden, Scheitern, Tod eines männlichen Heiligen
11H(SIMON STOCK)68|der Karmelitermönch Simon Stock, mögliche Attribute: Skapulier - Tod, Totenbett eines männlichen Heiligen
11H(SIMON STOCK)69|der Karmelitermönch Simon Stock, mögliche Attribute: Skapulier - Leichenschändung am Körper eines männlichen Heiligen
11H(SIMON STOCK)7|der Karmelitermönch Simon Stock, mögliche Attribute: Skapulier - Apotheose, Verklärung, Triumph eines männlichen Heiligen
11H(SIMON STOCK)8|der Karmelitermönch Simon Stock, mögliche Attribute: Skapulier - postume Ereignisse in der Vita eines männlichen Heiligen
11H(SIMON STOCK)81|der Karmelitermönch Simon Stock, mögliche Attribute: Skapulier - Auffindung, Translation der Reliquien eines männlichen Heiligen
