5|抽象的な考えと概念
71P432|ダニエルに餌を与えられた後、体が裂ける竜
71P433|ダニエルの処罰と解放: 獅子の洞窟の中のダニエル 〜 キュロス王
71P4331|激怒した民衆に、ダニエルを引き渡すことを余儀なくされるキュロス王
71P4332|獅子の洞窟の中に投げ入れられるダニエル 〜 キュロス王
71P4333|御使いに髪をつかまれて連れてこられた預言者ハバククは、危害を加えられることなく獅子に囲まれて座っているダニエルに、食べ物を持っていく
71P4334|獅子の洞窟を訪れ、生きているダニエルを発見するキュロス王
71P4335|獅子の洞窟から解放されるダニエル 〜 キュロス王
71P4336|ダニエルを非難した者が獅子の洞窟に投げ入れられ、獅子に食い尽くされる 〜 キュロス王
71P5|ダニエルの幻視 (ダニエルは、幻を説明される姿で表されることがある e.g. 大天使ガブリエルによって)
71P51|ダニエルによる最初の幻視 (ダニエル書 7)
71P511|海から出てきた四頭の大きな獣 〜 ダニエルの幻視
71P5111|後方の足で立つ、鷲の翼をもつ獅子(グリュプス) 〜 ダニエルの幻視
71P5112|後方の足で立ち上がる、三列の歯をもつ熊 〜 ダニエルの幻視
71P5113|四つの鳥の翼と四つの頭をもつ豹 〜 ダニエルの幻視
71P5114|多くの角(そのうち一本には両眼がついている)をもち、食い荒らしをする巨大な怪物 〜 ダニエルの幻視
71P512|白い衣を着て、燃え立つ玉座に坐す、日の老いたる者 〜 ダニエルの幻視
71P5121|玉座から生じた火が獣を退治する 〜 ダニエルの幻視
71P513|日の老いたる者の玉座の前の、人の子 (キリスト)
71P52|ダニエルによる二つ目の幻視 (ダニエル書 8): 大天使ガブリエルが幻の説明をする
71P521|川の付近にいる、二本の不揃いな角をもつ牡羊 〜 ダニエルの幻視
71P522|両眼の間に一本の角をもつ牡山羊 〜 ダニエルの幻視
71P523|牡山羊は牡羊と戦い、それを殺す 〜 ダニエルの幻視
71P5231|「非常に強大となった」牡山羊; 牡山羊は牡羊と戦い、それを殺す
71P53|ダニエルによる三つ目の幻視  (ダニエル書 9): 大天使ガブリエルが「七十週」の意味をダニエルに説明をする
71P531|祈りをささげるダニエル
71P54|ティグリス川での、ダニエルによる四つ目の幻視 (ダニエル書 10-12)
71P541|嘆き悲しみ、断食するダニエル
71P542|麻の衣を着た一人の男が川岸にいるのを見るダニエル; 彼の仲間達はその幻が見えなかったが、地震を体感し、恐怖のあまり逃げ出した
71P543|気を失うダニエル; ダニエルは、彼の唇に触れた一人の男(御使い)によって力づけられる
71P544|川の両岸にいる別の二人の男が、水上に立つ麻の衣を着た男と合流する 〜 ダニエルの幻視
71P6|ダニエル書における預言的章句
71P6(...)|ダニエル書における預言的章句 (書、章、節を伴う)
71P6(Dan. 12:1)|大天使ミカエルはイスラエル人を解放するだろう 〜 ダニエル書における預言的章句
71Q|エステルの物語
71Q1|モルデカイの夢: 二匹の戦う竜があらわれる; 有徳の国が退廃した国に攻撃されそうになる; 小さな泉が大河に変化する (エステル記 11:2-12)
71Q2|王妃になるエステル (エステル記 1 - 2:20)
71Q21|クセルクセスの酒宴; ワシュティ王妃の失脚
71Q211|女のための酒宴を催すワシュティ王妃 〜 エステルの物語
71Q212|七人の宦官に、ワシュティ王妃を連れてくるよう命じるクセルクセス
71Q2121|クセルクセス王のもとに来ることを拒むワシュティ王妃
71Q213|クセルクセス王は妻ワシュティに対して怒り、廷臣たちに助言を求める: メムカンは、王妃を高位から退けるように提案する
71Q2131|高位から退けられるワシュティ王妃
71Q22|新しい王妃を選出するために、王国の中で最も魅力的な若い女を婦人部屋に集めるクレルクセス王 〜 エステルの物語
71Q221|多くの若い女がスサの王宮に連れてこられ、ヘガイの世話を任される; その中には、モルデカイの養子エステルがいた
71Q222|クセルクセス王宮の婦人部屋で、特別な扱いを受けるエステル
71Q23|クセルクセス王のもとに連れて行かれる若い女たち(そのうち一人が王妃に選ばれる)
71Q231|化粧をするエステル
71Q232|クセルクセス王のもとへ向かう途中のエステル
71Q233|クセルクセス王の前にあらわれるエステル
71Q2331|他の若い女性の誰よりもエステルを愛すクセルクセス王
71Q24|エステルの戴冠
71Q241|婚宴; エステルの祝宴
71Q3|クセルクセス王の暗殺を妨げるモルデカイ (エステル記 2:21-23)
71Q31|中庭にいるモルデカイ
71Q32|中庭の門番をする二人のクセルクセス王の宦官は、王を殺そうとたくらむ; モルデカイはそのことを知る
71Q321|中庭で休んでいる時に、二人の男がクセルクセス王の死をたくらんでいることを耳にするモルデカイ (エステル記 12:1-3)
71Q33|反逆をエステルに知らせるモルデカイ
71Q331|二人の宦官をクセルクセス王に告発するモルデカイ (エステル記 12:2)
71Q34|クセルクセス王に情報提供をするエステル
71Q35|反逆者を非難するクセルクセス王
71Q351|吊るされるクセルクセス王の反逆者
71Q36|クセルクセス王に対する陰謀の報告は、王国の年代記に記載されている
71Q37|奉仕に報いて、宮廷での高い地位を得るモルデカイ; 二人の宦官に復讐することを決心するハマン (エステル記 12:6)
71Q4|ユダヤ人に対するハマンの策略 (エステル記 3)
71Q41|ハマンの昇格
71Q42|モルデカイを除き、全ての者がハマンに頭を下げる
71Q43|ハマンの怒り: 王国における全てのユダヤ人を殺すと決意するハマン
71Q44|ユダヤ人に対するハマンの策略を実行するのに適した日を見つけるために、くじが引かれる
71Q45|ユダヤ人を皆殺しにする勅令を発布するよう、クセルクセスに懇願するハマン; 承諾し、印台指輪をハマンに譲るクセルクセス
71Q46|勅令が発行され、国中に送られる 〜 ユダヤ人に対するハマンの策略
71Q5|エステルに助けを求めるモルデカイ
71Q51|衣服を裂き、粗布をまとって灰をかぶり、激しく泣き叫びながら町を歩き、王宮の入り口の前で止まるモルデカイ
71Q511|国中のユダヤ人が嘆き悲しむ
71Q52|衣服をモルデカイに送るエステル; モルデカイはそれを拒む
71Q53|何が起きているのかを探るために、モルデカイのもとにハタクを遣わすエステル; ハタクは一方からもう一方へ、何度か派遣される
71Q531|モルデカイは、勅令の写しをハタクに託し、王のもとへ行くよう、エステルに懇願する
71Q532|エステルに報告するハタク
71Q5321|勅令を読むエステル
71Q54|断食し、祈るためにユダヤ人を召集するモルデカイ
71Q541|祈りをささげるモルデカイ (エステル記 13:8-17)
71Q55|エステルの悲嘆、祈り、苦悩 (エステル記 14)
71Q56|王族の衣装を着用したエステル (エステル記 5:1, 15:1-2)
71Q561|二人の女中を連れて出発するエステル (エステル記 15:2-5)
71Q6|クセルクセスの前のエステル (エステル記 5:1-4)
71Q61|クセルクセス王のもとへ向かう途中で、王宮を通過するエステル (エステル記 15:6)
71Q62|玉座に接近するエステル
71Q63|気を失って、女中の一人の肩の上にもたれかかるエステル (エステル記 15:7)
71Q631|玉座から飛び降り、エステルを抱きしめるクセルクセス (エステル記 15:8)
71Q64|エステルに金の笏を差し伸べるクセルクセス（たいてい、エステルは跪いている）
71Q641|笏の先端に触れるエステル
71Q642|笏をもってエステルに触れるクセルクセス (エステル記 15:12)
71Q643|クセルクセスの笏に口づけするエステル
71Q7|エステルの酒宴、モルデカイの勝利 (エステル記 5:5 - 7:10)
71Q71|エステルの最初の酒宴: エステルに招待されるクセルクセスとハマン; 彼らを二回目の食事に招くエステル
71Q711|酒宴をあとにしたハマンは、王宮の入り口でモルデカイに遭遇する; モルデカイは、いかなる敬意も払わなかった
71Q712|家で、妻と友人たちに、自身の成功を自慢する一方、モルデカイについて不平を言うハマン
71Q713|妻と友人たちからの助言のもと、モルデカイのために絞首台を準備させるハマン
71Q72|眠れないクセルクセスは、宮廷日誌を読み上げさせる
71Q721|クセルクセス王は、彼が報いることを望む者に対して、どのように栄誉を与えればよいのかハマンに尋ねる
71Q7211|ハマンの失敗: 王族の衣装と馬をモルデカイに授けるよう命じるクセルクセス
71Q73|モルデカイの勝利: 王の馬に乗り、ハマンに引かれて町を通るモルデカイ (エステルとクセルクセスが王宮から見物している場合がある)
71Q731|家で、自身の失敗について不平を言うハマン; エステルの酒宴に出席するようハマンを呼び出しに来る、クセルクセス王の宦官たち
71Q74|エステルの酒宴
71Q741|ハマンを非難するエステル
71Q7411|怒って立ち上がり、王宮の庭に出るクセルクセス王
71Q742|エステルに命乞いをするハマン
71Q7421|ハマンがエステルの足もとに跪いている、あるいは彼女の長椅子に身を投げかけているところへ、クセルクセス王が戻ってくる; 絞首刑を宣告されるハマン
71Q75|絞首台にかけられるハマン
71Q8|ユダヤ人の勝利 (エステル記 8:1 - 10:3)
71Q81|クセルクセスの前のモルデカイ; 王はモルデカイに印台指輪を授ける
71Q82|クセルクセスに懇願するエステル: 王の足もとにひれ伏し、ユダヤ人に対する勅令を取り消すよう彼に求めるエステル; 王は彼女に笏を差し伸べる (エステルが勅書を持っている場合がある)
71Q83|クセルクセス王の名のもとで書簡を記すモルデカイとエステル
71Q831|モルデカイとエステルによって書かれた指示書が発送され、公表される
71Q84|ユダヤ人の喜びと祝宴
71Q841|多数の異教徒が改宗する 〜 エステルの物語
71Q85|敵を殺すユダヤ人; ハマンの十人の息子も、絞首台に吊るされる
71Q86|プリムの宴が設けられる 〜 エステルの物語
71Q87|モルデカイの昇格
71Q9|モルデカイは自身の夢を記憶しており、開催されている行事に照らして、その内容を説明する (エステル記 10:4-13)
71QQ74|エステルの酒宴 - QQ - 居合わせるモルデカイ
71QQ741|ハマンを非難するエステル - QQ - 居合わせるモルデカイ
71QQ7411|怒って立ち上がり、王宮の庭に出るクセルクセス王 - QQ - 居合わせるモルデカイ
71QQ742|エステルに命乞いをするハマン - QQ - 居合わせるモルデカイ
71QQ7421|ハマンがエステルの足もとに跪いている、あるいは彼女の長椅子に身を投げかけているところへ、クセルクセス王が戻ってくる; 絞首刑を宣告されるハマン - QQ - 居合わせるモルデカイ
71R|エズラ記、ネヘミヤ記、第一エズラ書
71R1|バビロン捕囚からの帰還
71R11|バビロン捕囚に終止符を打つペルシアの王キュロス (エズラ記 1)
71R111|神がキュロスに話す
71R112|バビロン捕囚の終了を布告し、エルサレムに神殿を建てるよう命じるキュロス
71R113|多くの財宝を与えられるユダヤ人 〜 バビロン捕囚からの帰還
71R114|ネブカドネザルが運び去った、エルサレムの神殿の容器を元に戻すキュロス
71R115|シェシュバツァルの指導の下、ユダヤ人は自国に帰還する
71R12|神殿の再建 (エズラ記 3)
71R121|ゼルバベルと大祭司イエシュアは祭壇を築き、屋外でささげ物を焼き払う
71R122|祭壇の基礎が据えられる 〜 エズラ記
71R123|神殿の基礎の完成を記念した祭儀 〜 エズラ記
71R124|かつての神殿の損失を悲しむ長老たち 〜 エズラ記
71R13|神殿の再建に異議を唱えるサマリア人 (エズラ記 4-5)
71R131|サマリア人が神殿再建を助けようとすることを拒否するゼルバベルとイエシュア
71R132|ペルシア王アルタクセルクセス宛に書簡を記すサマリア人
71R133|神殿の再建を止めるアルタクセルクセス
71R134|預言者のハガイとゼカリヤに勧告されて、神殿の再建を再開するゼルバベルとイエシュア
71R135|神殿再建の再開に異議を唱えるペルシアの総督タテナイ
71R14|神殿の再建を許可するペルシア王ダレイオス (エズラ記 6:1-12; 第一エズラ書 3-4)
71R141|ダレイオスの宴
71R142|ダレイオス王の寝室における、三人の護衛の論争
71R1421|第一の護衛は、あらゆるものの中で最も強いのは酒であると言う(書く) 〜 三人の護衛の論争
71R1422|第二の護衛は、最も強いのは王であると言う(書く) 〜 三人の護衛の論争
71R1423|第三の護衛ゼルバベルは、最も強いのは女たちであると言う(書く) 〜 三人の護衛の論争
71R14231|ダレイオス王の妾アパメは、王の頭から王冠を取って自分の頭の上に載せ、左手でダレイオスの頬を打つ
71R1424|ゼルバベルは、あらゆるものの中で最も強いのは真理であると言う(書く) 〜 三人の護衛の論争
71R143|ゼルバベルは論争に勝利し、エルサレムの神殿再建の許可をダレイオスに求める
71R144|ゼルバベルにエルサレムの神殿再建を許可するダレイオス
71R1441|許可の判断を下す、ダレイオスの勅令
71R15|神殿再建の再開 (エズラ記 6:13-22)
71R151|神殿の完成 〜 エズラ記
71R152|神殿の奉献 〜 エズラ記
71R153|新たな神殿で催される、最初の過越祭 〜 エズラ記
71R2|エズラの帰還と改革
71R21|エズラの帰還 (エズラ記 7-8)
71R211|川のほとりに召集される、解放された捕虜たち 〜 エズラの帰還
71R212|解放された捕虜たちの一団に合流するレビ人 〜 エズラの帰還
71R213|神の助けを求めて断食する、レビ人と解放された捕虜たち
71R214|祭司長たちと財宝を分け合うエズラ
71R215|エズラの指導の下で帰還する捕虜たちの旅
71R216|エズラとその配下たちのエルサレム到着
71R2161|エルサレムの祭司たちに財宝が手渡される; 財宝の重さを量る祭司たち 〜 エズラの帰還
71R2162|主に犠牲をささげる、帰還した捕虜たち 〜 エズラ記
71R217|神殿の再建を見張るエズラとダレイオス
71R218|裁く者を任命するエズラ
71R22|エズラの改革 (エズラ記 9-10)
71R221|異民族の妻を連れたユダヤ人 〜 エズラの改革
71R2211|エズラに不平を言いに来るユダヤ人の長たち
71R222|衣を裂くエズラ
71R223|一人で祈りをささげるエズラ
71R2231|大勢のユダヤ人に囲まれて、祈りをささげるエズラ
71R224|シェカンヤの発言
71R225|異民族の妻と離縁することを誓うユダヤ人
71R226|嘆き悲しみ、断食するエズラ
71R227|雨の中、全てのユダヤ人がエルサレムに召集される; 説教をし、異種族間の結婚に注意を促すエズラ
71R2271|異種族間の結婚が調査される 〜 エズラの改革
71R228|異民族の妻子と離縁するユダヤ人
71R229|律法を人々に読み聞かせるエズラ (ネヘミヤ記 8:1-8; 第一エズラ書 9:38-49)
71R3|ネヘミヤ記 (第二エズラ記)
71R31|ネヘミヤのエルサレム帰還 (ネヘミヤ記 1 - 2:11)
71R311|兄弟ハナニの訪問を受け入れるネヘミヤ
71R312|嘆き悲しみ、断食するネヘミヤ
71R313|祈るネヘミヤ
71R314|王に葡萄酒を差し出すネヘミヤ;王はネヘミヤの悲しみの理由を尋ねる
71R3141|王と王妃の前で跪くネヘミヤ
71R3142|王の寝室でのネヘミヤ
71R315|エルサレムへ行く許可を得るネヘミヤ
71R316|騎兵と軍の指揮官たちを連れて、エルサレムへ帰還するネヘミヤ
71R32|エルサレムの城壁の修復 (ネヘミヤ記 2:12 - 4; 6)
71R321|夜間にエルサレムの城壁を視察するネヘミヤ
71R322|エルサレムの城壁を修復するようユダヤ人に勧告するネヘミヤ
71R323|エルサレムの城壁を修復するユダヤ人
71R3231|武器をもったユダヤ人が、エルサレムの城壁を修復する
71R324|エルサレムの城壁修復への反対者
71R3241|労働者を蔑むサンバラトとアンモン人トビヤ
71R3242|エルサレムに対して陰謀を企てるサンバラトとトビヤ
71R3243|サンバラトとトビヤに派遣された使者が、ネヘミヤを会談に誘う; ネヘミヤは拒否する
71R3244|神殿内に隠れるようネヘミヤに助言するシェマヤ; 陰謀に気付くネヘミヤ
71R3245|ネヘミヤに反論する偽の預言者
71R325|エルサレムの城壁再建の完成
71R326|エルサレムの城壁の正式な奉献 (ネヘミヤ記 12:27-43)
71R33|貧しい人々を保護するネヘミヤ (ネヘミヤ記 5)
71R331|貴族からの高利と苦役についてネヘミヤに不平を言う、貧しいユダヤ人
71R332|貴族を叱責するネヘミヤ
71R333|誤って要求された財産の返還を誓う貴族と祭司
71R334|上着を振るうネヘミヤ
71R335|ネヘミヤに手配された日々の食事
71R34|ネヘミヤの改革 (ネヘミヤ記 8-10, 13)
71R341|人々に向けて話すネヘミヤ
71R342|人々は喜び、宴を催す 〜 ネヘミヤの改革
71R343|仮庵祭 〜 ネヘミヤ
71R344|悲嘆に暮れる日 〜 ネヘミヤの改革
71R3441|エズラによる改悛の祈り
71R345|律法に従うことへの誓い 〜 ネヘミヤの改革
71R346|トビヤのために作られた神殿内の部屋を空にして清める
71R347|レビ人の蓄えを増やす
71R348|安息日を破らないようユダヤ人に勧告するネヘミヤ
71R3481|安息日に、町の外に留まらざるを得ない商人たち; 彼らを叱責するネヘミヤ
71R349|異種族間の結婚に注意を促すネヘミヤ
71R4|第二エズラ書 (第四エズラ記)
71R41|エズラと大天使ウリエル (第二エズラ書 4:1)
71R42|髪をかきむしるエズラ (第二エズラ書 1:8)
71R43|鷲と獅子の幻を見るエズラ (第二エズラ書 11-12)
71R44|預言を書き取るよう命じるエズラ (第二エズラ書 15:1-2)
71R5|エズラ記とエズラ書におけるその他の場面
71R5(...)|エズラ記とエズラ書におけるその他の場面 (書、章、節を伴う)
71S|預言者 (バビロン捕囚後)
71S1|ハガイ書
71S11|神に駆り立てられて、神殿の建設を再開するようゼルバベルとヨシュアに勧告するハガイ (ハガイ書 1:1-11)
71S111|荒廃したエルサレムの古い神殿 〜 ハガイ書
71S112|神殿のために木を切る(ハガイ)
71S113|主の家を再建しなかったために、国土は干ばつに苦しむ
71S12|新しい神殿を建てる祭司ゼルバベル、ヨシュア、エルサレムの人々 (ハガイ書 1:14)
71S13|ハガイの預言
71S13(...)|ハガイの預言 (書、章、節を伴う)
71S2|ゼカリヤ書
71S21|預言するために主に召されるゼカリヤ (ゼカリヤ書 1:1)
71S22|主の御使いによって説明される、ゼカリヤの幻視
71S221|ミルトスの林の中の、赤毛の馬に乗った一人の男; 彼の後ろには赤毛の馬、斑点模様の馬、白い馬がいる (ゼカリヤ書 1:8-17)
71S222|四本の角 (ゼカリヤ書 1:18-19)
71S223|四人の大工 (または蹄鉄士) (ゼカリヤ書 1:20-21)
71S224|測り縄を手にした一人の男 (ゼカリヤ書 2:1-5)
71S225|主の御使いとサタンとともに描かれる大祭司ヨシュア (ゼカリヤ書 3)
71S2251|着替えさせられるヨシュア 〜 ゼカリヤの幻視
71S2252|枝 〜 ゼカリヤの幻視
71S2253|七つの目をもつ石 〜 ゼカリヤの幻視
71S226|金の燭台; 最上部には深い容器と七つの灯り、両側にオリーブの木が置かれている (ゼカリヤ書 4)
71S227|飛翔する巻物 (ゼカリヤ書 5:1-4)
71S228|鉛の覆いのついたかご(エファ升) (ゼカリヤ書 5:5-11)
71S2281|かごの中の女 〜 ゼカリヤの幻視
71S2282|かごを持ち上げる、翼を有した二人の女 〜 ゼカリヤの幻視
71S229|二つの真鍮の山の間から出てくる、四両の戦車 (それぞれ赤、黒、白、斑点と赤褐色の馬数頭がつけられている) (ゼカリヤ書 6:1-8)
71S23|ゼカリヤの預言
71S231|ロバに乗ってエルサレムから来た王の預言 (ゼカリヤ書 9:9)
71S232|屠るための羊の群れ (ゼカリヤ書 11:4-11)
71S2321|主の家の鋳物師に銀貨を投げ与えるゼカリヤ (ゼカリヤ書 11:13)
71S233|エルサレムの改悛 (ゼカリヤ書 12:10-14)
71S234|剣は羊飼いを殺し、羊は追い散らされるだろう (ゼカリヤ書 13:7)
71S235|人々の三分の二は死に絶え、三分の一は救われるだろう (ゼカリヤ書 13:8-9)
71S236|エルサレムのあらゆる鍋が聖別されるだろう (ゼカリヤ書 14:21)
71S237|ゼカリヤによるその他の預言
71S237(...)|ゼカリヤによるその他の預言 (書、章、節を伴う)
71S24|石で打ち殺されるゼカリヤ
71S3|オバデヤ書
71S31|エドムで預言するオバデヤ
71S32|オバデヤの預言
71S32(...)|オバデヤの預言 (書、章、節を伴う)
71S4|マラキ書
71S41|説教するマラキ
71S411|汚れた食料を犠牲としてささげる慣習を非難するマラキ (マラキ書 1:6-14)
71S412|祭司たちの退廃を非難するマラキ (マラキ書 2:1-9)
71S42|マラキの預言
71S421|主の使者が神殿に来ることを預言するマラキ (マラキ書 3:1-3)
71S422|マラキによるその他の預言
71S422(...)|マラキによるその他の預言 (書、章、節を伴う)
71S5|ヨエル書
71S51|説教するヨエル
71S511|「幼虫が残したものを、いなごが食らう」 (ヨエル書 1:4)
71S512|「わたしの葡萄の木は荒らされ、わたしのいちじくの木は引き裂かれた」 (ヨエル書 1:7)
71S513|ささげ物のない神殿 (ヨエル書 1:9)
71S514|心の準備をして嘆き悲しむように、祭司たちに伝えるヨエル (ヨエル書 1:13)
71S52|ヨエルの預言
71S521|「シオンでラッパを吹く」 (ヨエル書 2:1-2)
71S522|「山から甘口の葡萄酒が滴り落ち、丘はミルクで溢れるだろう」 (ヨエル書 3:18)
71S523|ヨエルによるその他の預言
71S523(...)|ヨエルによるその他の預言 (書、章、節を伴う)
71S6|バルク書
71S61|バルクの預言
71S61(...)|バルクの預言 (書、章、節を伴う)
71S62|バビロンで朗読されるバルク書 (バルク書 1:1-4)
71S621|エルサレムのために金を集める (バルク書 1:6)
71S63|回収した金をエルサレムに持っていくバルク (バルク書 1:7-14)
71S64|エレミヤの書簡 (バルク書 6)
71S641|偶像への警戒を呼びかけるエレミヤ
71T|トビト記
71T1|トビトとアンナの結婚 (トビト記 1:1-9)
71T11|息子トビアスを連れたトビトとアンナ
71T12|アンナに聖書を読み聞かせるトビト
71T2|年老いたトビトの敬虔 (トビト記 1:10-22)
71T21|飢えた人々に食料を与えるトビト
71T22|裸の人々に衣服を与えるトビト
71T23|囚人や悲嘆に暮れる人を慰めるトビト
71T24|人知れず亡くなった者の遺体を埋葬するトビト
71T241|イスラエル人を殺すセンナケリブ王
71T242|トビトが死体を埋葬していることを知らされるセンナケリブ王
71T25|ガバエルに大金を貸すトビト
71T3|トビトの失明 (トビト記 2 - 3:6)
71T31|宴に友人を招くために派遣されるトビアス
71T311|通りで死んでいる人についてトビトに伝えるトビアス
71T32|宴をあとにして家に死者を運び入れる、年老いたトビト
71T33|夜に死者を埋葬するトビト
71T34|塀にもたれかかって、横になって眠るトビト
71T35|鳥の糞がトビトの両眼に落ちる
71T351|自身の失明に気付いたが、主に背くことをしないトビト
71T36|友人たちからばかにされるトビト
71T361|友人たちを叱責するトビト
71T37|子山羊を家に持ち帰るアンナ: トビトは、彼女がそれを盗んだと考える
71T371|アンナの怒り 〜 トビトの失明
71T38|トビトの祈り
71T4|サラの不幸な結婚 (トビト記 3:7-17)
71T41|サラの七人の夫を殺す悪霊アスモダイ
71T42|サラの祈り
71T43|トビトとサラの祈りに応えて、地上に御使いラファエルが遣わされる
71T5|エクバタナへの旅 (トビト記 4-6)
71T51|天使ラファエルと出会うトビアス
71T52|トビアスと、トビト(とアンナ)を連れた天使ラファエル
71T53|両親に別れを告げるトビアス; 息子の旅立ちを嘆き悲しむアンナ
71T531|トビアスに話をするトビト
71T54|トビアスの犬を連れて旅に出る、トビアスと天使ラファエル
71T55|ティグリス川で足を洗うトビアス
71T551|トビアスが足を洗っていると、一匹の大きな魚があらわれる; 驚くトビアス
71T56|魚を捕まえて陸に引き揚げるトビアス
71T57|魚をバラバラに切断するようトビアスに伝える天使ラファエル
71T571|魚を切り裂いて心臓、肝臓、胆嚢を取り除くトビアス
71T572|魚は調理され、食らわれる 〜 トビアスによるエクバタナへの旅
71T58|旅を続けるトビアスと天使ラファエル; 通例、トビアスは魚を運んでいる
71T59|エクバタナ到着
71T6|トビアスの物語: トビアスとサラ (トビト記 7-9)
71T61|ラグエルの家でのトビアスと天使ラファエル
71T611|トビアスが自身の甥であると認識するラグエル
71T62|サラに結婚を申し込むトビアス
71T63|トビアスとサラの結婚
71T631|トビアスに、彼の妻としてサラを与えるラグエル
71T6311|トビアスとサラの手を合わせる天使ラファエル
71T632|結婚の契約を書き記す 〜 トビアスとサラ
71T633|トビアスとサラの婚宴
71T64|トビアスとサラの結婚初夜
71T641|結婚初夜の寝室に連れていかれるサラ
71T6411|サラのもとに連れていかれるトビアス
71T642|燃える炭火の上に魚の心臓と肝臓を置くトビアス; 悪霊アスモダイは消え去る
71T6421|アスモダイを縛り上げるラファエル
71T643|祈りをささげるトビアスとサラ
71T65|トビアスのために墓を掘るラグエル
71T651|トビアスが生きていることが判明する; 墓穴は再び埋められる
71T66|喜びに溢れる祝宴 〜 トビアスの物語
71T661|ガバエルのもとへ行くようラファエルに頼むトビアス
71T662|祝宴に来るガバエル
71T7|トビアスの物語: トビアスの帰還 (トビト記 10-13)
71T71|全財産の半分をトビアスに与えるラグエル
71T72|告別 〜 トビアスの帰還
71T73|帰途 〜 トビアスの帰還
71T731|他の者たちの先を進むトビアスとラファエル
71T74|息子がなかなか帰ってこないことを心配しながら待っている年老いたトビト(とアンナ); アンナは糸車をする姿で描かれる場合がある
71T741|道を見下ろすアンナ 〜 トビアスの帰還
71T75|トビアスとラファエルが来るのを見て、トビトに知らせるアンナ
71T751|トビアスの犬が到着し、トビトは戸口へと急ぐ
71T76|両親と息子の出会い 〜 トビアスの帰還
71T77|トビトの治癒: 魚の胆嚢を父の両眼の上に置くトビアス
71T78|サラの到着 〜 トビアスの帰還
71T79|ラファエルに贈り物をささげるトビアスと父トビト
71T791|自身の正体をあらわにするラファエル; トビアスとその家族はひれ伏す
71T792|空に消え去る天使ラファエル
71T8|トビトの死: 死の床で、トビアスと七人の息子に話をするトビト (トビト記 14)
71T9|その他の場面 〜 トビト記
71T9(...)|その他の場面 〜 トビト記 (書、章、節を伴う)
71U|ユディト記
71U1|アルファクサドと戦うネブカドネザル (ユディト記 1)
71U11|エクバタナの町を要塞化するメディア人の王アルファクサド
71U12|近隣諸国に使節を派遣して、アルファクサドに対する軍事支援を求めるアッシリアの王ネブカドネザル
71U121|ネブカドネザルに協力することを拒否する、アッシリアの近隣諸国; 使節の一行が帰還すると、ネブカドネザルは激怒する
71U13|ネブカドネザルに打ち負かされるアルファクサド; エクバタナの滅亡
71U14|ニネベに帰還するネブカドネザル
71U2|ホロフェルネスの軍事行動 (ユディト記 2-3)
71U21|近隣諸国と戦うための軍事指揮権をホロフェルネスに与えるネブカドネザル
71U22|ホロフェルネスの軍は国土を略奪し、破壊する
71U3|ベトリア包囲 (ユディト記 4-7)
71U31|戦闘に向けて準備するイスラエル人 〜 ベトリア包囲
71U311|喪服に身を包んで断食し、祈るイスラエル人 〜 ユディト記
71U32|イスラエル人の準備に激怒して、戦いについての会議を開く
71U33|アンモン人の指揮官アキオルとホロフェルネス
71U331|陳述するアキオル
71U332|アキオルの声明に対するホロフェルネスの憤怒
71U333|縛られて、ホロフェルネスの陣営の外に連れていかれるアキオル
71U3331|ベトリア付近の木に縛り付けられるアキオル
71U3332|イスラエル人によって解放されるアキオル
71U3333|ベトリアに連れていかれ、そこで自身にまつわる説明をするアキオル
71U33331|オジアにもてなされるアキオル
71U34|町の水源を破壊するホロフェルネス
71U341|ベトリアにおける水不足; 長老たちに不平を言う人々
71U4|ユディトとホロフェルネス (ユディト記 8-16)
71U41|ユディトの計略 〜 ユディトとホロフェルネス
71U411|オジア、カブリス、カルミスと話すマナセの寡婦ユディト
71U412|ユディトの祈り 〜 ユディトとホロフェルネス
71U413|ユディトの化粧; 晴れ着を身につけるユディト
71U414|ユディトの計略のための、その他の準備 e.g.: 食料を携えるユディトと侍女
71U42|ホロフェルネスの陣営でのユディトと侍女
71U421|城門で長老たちに別れを告げるユディトと侍女
71U422|祈りながら陣営に向かって歩くディトと侍女
71U423|陣営の見張りに止められるユディトと侍女
71U424|ホロフェルネスの天幕に導かれるユディトと侍女
71U4241|ホロフェルネスの前で跪くユディトと侍女
71U4242|ユディトとホロフェルネスの会話
71U425|夜に泉で水浴をするユディト
71U426|ホロフェルネスとの食事のために化粧をするユディト
71U427|二人きりとなるユディトとホロフェルネス
71U4271|酒を飲みすぎたホロフェルネスは、寝台で眠りに落ちる
71U4272|ホロフェルネスを殺す前に、祈りをささげるユディト
71U4273|ユディトによって、ホロフェルネスは自身の剣で斬首される; 侍女が見張りをしている場合がある
71U42731|ホロフェルネスの首と剣を手にしたユディト
71U4274|袋にホロフェルネスの首を入れるユディトと侍女
71U42741|皿の上に乗せ、布で覆われるホロフェルネスの首
71U43|ベトリアへ戻る途上のユディトと侍女
71U431|夜に、ベトリアに到着するユディトと侍女; 松明に火がつけられる
71U432|ホロフェルネスの首を人々に見せるユディト
71U433|ユディトの前に跪くアキオル
71U434|城壁に吊るされるホロフェルネスの首
71U44|イスラエル人の勝利 〜 ユディトとホロフェルネス
71U441|攻撃をするイスラエル人 〜 ユディトとホロフェルネス
