0|抽象，非具象芸術
11H(REMIGIUS)12|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 記述, 勉学, 教育, 口述する男性聖人 (例  教会博士として)
11H(REMIGIUS)13|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 修道会創立者としての男性聖人
11H(REMIGIUS)131|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人 ~ 修道会の承認, (諸)規則の認可
11H(REMIGIUS)2|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の人生初期
11H(REMIGIUS)3|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の私的祈祷
11H(REMIGIUS)31|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の召命, 改宗
11H(REMIGIUS)32|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 洗礼, 聖別, 誓いを立てる男性聖人
11H(REMIGIUS)33|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 世俗品の放棄, 禁欲的生活の男性聖人
11H(REMIGIUS)34|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - (諸)幻視, 男性聖人の神秘の結婚
11H(REMIGIUS)35|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の誘惑
11H(REMIGIUS)36|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の悔悛
11H(REMIGIUS)37|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 瞑想する男性聖人, 恍惚状態
11H(REMIGIUS)4|非奇跡的行為と出来事 ~ 聖レミギウス
11H(REMIGIUS)41|フランク人の王クロヴィスに洗礼を授ける聖レミギウス; くちばしに小瓶を咥えた鳩が現れる場合も
11H(REMIGIUS)5|奇跡的行為と出来事 ~ 聖レミギウス
11H(REMIGIUS)51|聖レミギウスの奇跡の癒し
11H(REMIGIUS)52|ワイン樽の奇跡: 聖レミギウスが樽を祝福すると、ワインが満たされる; 樽が破裂し、貯蔵庫にワインが溢れている場合も
11H(REMIGIUS)53|ランスにて、悪魔達がつけた火を消す聖レミギウス
11H(REMIGIUS)54|聖レミギウスの卓から食べるスズメ
11H(REMIGIUS)59|奇跡的行為と出来事 ~ 聖レミギウス - 聖痕を受ける男性聖人
11H(REMIGIUS)6|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の殉教, 苦しみ, 災難, 死
11H(REMIGIUS)68|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の死, 臨終
11H(REMIGIUS)69|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の死体の虐待
11H(REMIGIUS)7|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の神格化, 栄光, 勝利
11H(REMIGIUS)8|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 死後の出来事 ~ 男性聖人
11H(REMIGIUS)81|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の遺物の発見, 遷移
11H(REMIGIUS)82|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の遺物の処理中に起こる奇跡
11H(REMIGIUS)83|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の死後の行い, 出現
11H(REMIGIUS)84|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の列福, 列聖
11H(REMIGIUS)9|ランスの司教レミギウス (レミ); 可能性のあるアトリビュート: くちばしに油の小瓶を咥えた鳩, (ひざまずく)乙女, 油の小瓶 - 男性聖人の肖像
11H(ROCH)|モンペリエの聴罪司祭で巡礼者のロクス (ロッコ, ); 可能性のあるアトリビュート: 天使 (軟膏箱または薬さじを伴う), 犬 (1斤のパンを伴うことも), 太腿のペストの症状の箇所 (を指さす), ホタテ貝の貝殻, 杖, 帽子と財布
11H(ROCH)0|モンペリエの聴罪司祭で巡礼者のロクス (ロッコ, ); 可能性のあるアトリビュート: 天使 (軟膏箱または薬さじを伴う), 犬 (1斤のパンを伴うことも), 太腿のペストの症状の箇所 (を指さす), ホタテ貝の貝殻, 杖, 帽子と財布 - 一群の中に表される男性聖人
11H(ROCH)1|特定の様相 ~ 聖ロクス
11H(ROCH)11|疫病の守護者としての聖ロクス
11H(ROCH)111|キリストにより疫病による病人の守護者として任命される聖ロクス; 天使が 'Eris in peste patronis'の銘文を掲げる (または指差す)
11H(ROCH)112|疫病による病人のためにマリアに執り成しをする聖ロクス
11H(ROCH)119|疫病の守護者としての聖ロクス - 信奉者達をマントで守る男性聖人, 'Schutzmantel (庇護マント)'
11H(ROCH)12|特定の様相 ~ 聖ロクス - 記述, 勉学, 教育, 口述する男性聖人 (例  教会博士として)
11H(ROCH)13|特定の様相 ~ 聖ロクス - 修道会創立者としての男性聖人
11H(ROCH)131|特定の様相 ~ 聖ロクス - 男性聖人 ~ 修道会の承認, (諸)規則の認可
11H(ROCH)2|モンペリエの聴罪司祭で巡礼者のロクス (ロッコ, ); 可能性のあるアトリビュート: 天使 (軟膏箱または薬さじを伴う), 犬 (1斤のパンを伴うことも), 太腿のペストの症状の箇所 (を指さす), ホタテ貝の貝殻, 杖, 帽子と財布 - 男性聖人の人生初期
11H(ROCH)3|聖ロクスの私的祈祷
11H(ROCH)31|聖ロクスの私的祈祷 - 男性聖人の召命, 改宗
11H(ROCH)32|聖ロクスの私的祈祷 - 洗礼, 聖別, 誓いを立てる男性聖人
11H(ROCH)33|貧しい者達へ自身の富を分け与え、巡礼へと発つ聖ロクス
11H(ROCH)34|聖ロクスの私的祈祷 - (諸)幻視, 男性聖人の神秘の結婚
11H(ROCH)35|聖ロクスの私的祈祷 - 男性聖人の誘惑
11H(ROCH)36|聖ロクスの私的祈祷 - 男性聖人の悔悛
11H(ROCH)37|聖ロクスの私的祈祷 - 瞑想する男性聖人, 恍惚状態
11H(ROCH)4|モンペリエの聴罪司祭で巡礼者のロクス (ロッコ, ); 可能性のあるアトリビュート: 天使 (軟膏箱または薬さじを伴う), 犬 (1斤のパンを伴うことも), 太腿のペストの症状の箇所 (を指さす), ホタテ貝の貝殻, 杖, 帽子と財布 - 非奇跡的行為と出来事 ~ 男性聖人
11H(ROCH)5|奇跡的行為と出来事 ~ 聖ロクス
11H(ROCH)51|病院でペスト患者を癒す (または世話する) 聖ロクス
11H(ROCH)59|奇跡的行為と出来事 ~ 聖ロクス - 聖痕を受ける男性聖人
11H(ROCH)6|聖ロクスの殉教, 苦しみ, 災難, 死
11H(ROCH)61|疫病に襲われ砂漠に横たわる聖ロクス; his dog brings him a loaf of bread, and an angel watches over him, healing the plague-spot inside his thigh
11H(ROCH)62|天使が牢獄の中の聖ロクスを訪れ癒す
11H(ROCH)68|聖ロクスの殉教, 苦しみ, 災難, 死 - 男性聖人の死, 臨終
11H(ROCH)69|聖ロクスの殉教, 苦しみ, 災難, 死 - 男性聖人の死体の虐待
11H(ROCH)7|聖ロクスの栄光
11H(ROCH)8|モンペリエの聴罪司祭で巡礼者のロクス (ロッコ, ); 可能性のあるアトリビュート: 天使 (軟膏箱または薬さじを伴う), 犬 (1斤のパンを伴うことも), 太腿のペストの症状の箇所 (を指さす), ホタテ貝の貝殻, 杖, 帽子と財布 - 死後の出来事 ~ 男性聖人
11H(ROCH)81|モンペリエの聴罪司祭で巡礼者のロクス (ロッコ, ); 可能性のあるアトリビュート: 天使 (軟膏箱または薬さじを伴う), 犬 (1斤のパンを伴うことも), 太腿のペストの症状の箇所 (を指さす), ホタテ貝の貝殻, 杖, 帽子と財布 - 男性聖人の遺物の発見, 遷移
11H(ROCH)82|モンペリエの聴罪司祭で巡礼者のロクス (ロッコ, ); 可能性のあるアトリビュート: 天使 (軟膏箱または薬さじを伴う), 犬 (1斤のパンを伴うことも), 太腿のペストの症状の箇所 (を指さす), ホタテ貝の貝殻, 杖, 帽子と財布 - 男性聖人の遺物の処理中に起こる奇跡
11H(ROCH)83|モンペリエの聴罪司祭で巡礼者のロクス (ロッコ, ); 可能性のあるアトリビュート: 天使 (軟膏箱または薬さじを伴う), 犬 (1斤のパンを伴うことも), 太腿のペストの症状の箇所 (を指さす), ホタテ貝の貝殻, 杖, 帽子と財布 - 男性聖人の死後の行い, 出現
11H(ROCH)84|モンペリエの聴罪司祭で巡礼者のロクス (ロッコ, ); 可能性のあるアトリビュート: 天使 (軟膏箱または薬さじを伴う), 犬 (1斤のパンを伴うことも), 太腿のペストの症状の箇所 (を指さす), ホタテ貝の貝殻, 杖, 帽子と財布 - 男性聖人の列福, 列聖
11H(ROCH)9|モンペリエの聴罪司祭で巡礼者のロクス (ロッコ, ); 可能性のあるアトリビュート: 天使 (軟膏箱または薬さじを伴う), 犬 (1斤のパンを伴うことも), 太腿のペストの症状の箇所 (を指さす), ホタテ貝の貝殻, 杖, 帽子と財布 - 男性聖人の肖像
11H(ROMUALD)|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖
11H(ROMUALD)0|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 一群の中に表される男性聖人
11H(ROMUALD)1|特定の様相 ~ 聖ロムアルド
11H(ROMUALD)11|特定の様相 ~ 聖ロムアルド - 守護者, 庇護者, 仲介者としての男性聖人
11H(ROMUALD)119|特定の様相 ~ 聖ロムアルド - 信奉者達をマントで守る男性聖人, 'Schutzmantel (庇護マント)'
11H(ROMUALD)12|特定の様相 ~ 聖ロムアルド - 記述, 勉学, 教育, 口述する男性聖人 (例  教会博士として)
11H(ROMUALD)13|カマルドリ会の創設者としての聖ロムアルド
11H(ROMUALD)131|ベネディクトは聖ロムアルドと修道会士達に会則を授ける
11H(ROMUALD)2|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 男性聖人の人生初期
11H(ROMUALD)3|聖ロムアルドの私的祈祷
11H(ROMUALD)31|聖ロムアルドの私的祈祷 - 男性聖人の召命, 改宗
11H(ROMUALD)32|聖ロムアルドの私的祈祷 - 洗礼, 聖別, 誓いを立てる男性聖人
11H(ROMUALD)33|聖ロムアルドの私的祈祷 - 世俗品の放棄, 禁欲的生活の男性聖人
11H(ROMUALD)34|聖ロムアルドの幻視
11H(ROMUALD)341|梯子が天国へ昇る夢を見る聖ロムアルド; 白をまとった修道士達が梯子を昇る
11H(ROMUALD)3411|修道士達に囲まれた聖ロムアルドが梯子の幻視を指さす
11H(ROMUALD)342|聖アポリナリスが聖ロムアルドの元に現れる
11H(ROMUALD)343|跪く聖ロムアルドから天使が悪魔を追い払う
11H(ROMUALD)35|聖ロムアルドの私的祈祷 - 男性聖人の誘惑
11H(ROMUALD)36|聖ロムアルドの私的祈祷 - 男性聖人の悔悛
11H(ROMUALD)37|聖ロムアルドの私的祈祷 - 瞑想する男性聖人, 恍惚状態
11H(ROMUALD)4|非奇跡的行為と出来事 ~ 聖ロムアルド
11H(ROMUALD)41| 聖ロムアルドはオットー3世皇帝の教会への入場を拒否し、彼の残酷さを非難し、告解を強要する
11H(ROMUALD)5|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 奇跡的行為と出来事 ~ 男性聖人
11H(ROMUALD)59|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 聖痕を受ける男性聖人
11H(ROMUALD)6|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 男性聖人の殉教, 苦しみ, 災難, 死
11H(ROMUALD)68|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 男性聖人の死, 臨終
11H(ROMUALD)69|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 男性聖人の死体の虐待
11H(ROMUALD)7|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 男性聖人の神格化, 栄光, 勝利
11H(ROMUALD)8|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 死後の出来事 ~ 男性聖人
11H(ROMUALD)81|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 男性聖人の遺物の発見, 遷移
11H(ROMUALD)82|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 男性聖人の遺物の処理中に起こる奇跡
11H(ROMUALD)83|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 男性聖人の死後の行い, 出現
11H(ROMUALD)84|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 男性聖人の列福, 列聖
11H(ROMUALD)9|カマルドリ (またはラヴェンナ) のベネディクト会修道士ロムアルド, カマルドリ会の創設者; 可能性のあるアトリビュート: 本, T字の杖 - 男性聖人の肖像
11H(RUMBOLD)|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ
11H(RUMBOLD)0|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 一群の中に表される男性聖人
11H(RUMBOLD)1|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 特定の様相 ~ 男性聖人
11H(RUMBOLD)11|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 守護者, 庇護者, 仲介者としての男性聖人
11H(RUMBOLD)119|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 信奉者達をマントで守る男性聖人, 'Schutzmantel (庇護マント)'
11H(RUMBOLD)12|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 記述, 勉学, 教育, 口述する男性聖人 (例  教会博士として)
11H(RUMBOLD)13|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 修道会創立者としての男性聖人
11H(RUMBOLD)131|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 男性聖人 ~ 修道会の承認, (諸)規則の認可
11H(RUMBOLD)2|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 男性聖人の人生初期
11H(RUMBOLD)3|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 男性聖人の私的祈祷
11H(RUMBOLD)31|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 男性聖人の召命, 改宗
11H(RUMBOLD)32|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 洗礼, 聖別, 誓いを立てる男性聖人
11H(RUMBOLD)33|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 世俗品の放棄, 禁欲的生活の男性聖人
11H(RUMBOLD)34|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - (諸)幻視, 男性聖人の神秘の結婚
11H(RUMBOLD)35|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 男性聖人の誘惑
11H(RUMBOLD)36|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 男性聖人の悔悛
11H(RUMBOLD)37|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 瞑想する男性聖人, 恍惚状態
11H(RUMBOLD)4|非奇跡的行為と出来事 ~ 聖ランボルド
11H(RUMBOLD)41|メヘレンの聖リーベルトゥスに祝福または洗礼を授ける聖ランボルド
11H(RUMBOLD)5|奇跡的行為と出来事 ~ 聖ランボルド
11H(RUMBOLD)51|聖ランボルドの奇跡の癒し
11H(RUMBOLD)52|メヘレンの若い公爵を死から蘇らせる聖ランボルド
11H(RUMBOLD)59|奇跡的行為と出来事 ~ 聖ランボルド - 聖痕を受ける男性聖人
11H(RUMBOLD)6|聖ランボルドの殉教, 苦しみ, 災難, 死
11H(RUMBOLD)68|自堕落な生活を叱責された労働者達によってくわで殺される聖ランボルド 
11H(RUMBOLD)681|聖ランバルドの発光する遺体が川で見つかる
11H(RUMBOLD)69|聖ランボルドの殉教, 苦しみ, 災難, 死 - 男性聖人の死体の虐待
11H(RUMBOLD)7|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 男性聖人の神格化, 栄光, 勝利
11H(RUMBOLD)8|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 死後の出来事 ~ 男性聖人
11H(RUMBOLD)81|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 男性聖人の遺物の発見, 遷移
11H(RUMBOLD)82|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 男性聖人の遺物の処理中に起こる奇跡
11H(RUMBOLD)83|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 男性聖人の死後の行い, 出現
11H(RUMBOLD)84|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 男性聖人の列福, 列聖
11H(RUMBOLD)9|隠修士, 殉教者そして恐らくかつてのダブリンの司教であったメヘレンのランボルド (ロンバート); 可能性のあるアトリビュート: 斧, くわ - 男性聖人の肖像
11H(SATURNINUS)|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛
11H(SATURNINUS)0|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 一群の中に表される男性聖人
11H(SATURNINUS)1|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 特定の様相 ~ 男性聖人
11H(SATURNINUS)11|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 守護者, 庇護者, 仲介者としての男性聖人
11H(SATURNINUS)119|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 信奉者達をマントで守る男性聖人, 'Schutzmantel (庇護マント)'
11H(SATURNINUS)12|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 記述, 勉学, 教育, 口述する男性聖人 (例  教会博士として)
11H(SATURNINUS)13|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 修道会創立者としての男性聖人
11H(SATURNINUS)131|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 男性聖人 ~ 修道会の承認, (諸)規則の認可
11H(SATURNINUS)2|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 男性聖人の人生初期
11H(SATURNINUS)3|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 男性聖人の私的祈祷
11H(SATURNINUS)31|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 男性聖人の召命, 改宗
11H(SATURNINUS)32|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 洗礼, 聖別, 誓いを立てる男性聖人
11H(SATURNINUS)33|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 世俗品の放棄, 禁欲的生活の男性聖人
11H(SATURNINUS)34|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - (諸)幻視, 男性聖人の神秘の結婚
11H(SATURNINUS)35|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 男性聖人の誘惑
11H(SATURNINUS)36|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 男性聖人の悔悛
11H(SATURNINUS)37|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 瞑想する男性聖人, 恍惚状態
11H(SATURNINUS)4|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 非奇跡的行為と出来事 ~ 男性聖人
11H(SATURNINUS)5|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 奇跡的行為と出来事 ~ 男性聖人
11H(SATURNINUS)59|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 聖痕を受ける男性聖人
11H(SATURNINUS)6|聖サトゥルニヌスの殉教, 苦しみ, 災難, 死
11H(SATURNINUS)61|雄牛に縛り付けられた聖サトゥルニヌスがトゥールーズのキャピトルの階段を引きずられる
11H(SATURNINUS)68|聖サトゥルニヌスの殉教, 苦しみ, 災難, 死 - 男性聖人の死, 臨終
11H(SATURNINUS)69|聖サトゥルニヌスの殉教, 苦しみ, 災難, 死 - 男性聖人の死体の虐待
11H(SATURNINUS)7|聖サトゥルニヌスの神格化: 天使によって天国へ運ばれる聖サトゥルニヌス
11H(SATURNINUS)8|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 死後の出来事 ~ 男性聖人
11H(SATURNINUS)81|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 男性聖人の遺物の発見, 遷移
11H(SATURNINUS)82|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 男性聖人の遺物の処理中に起こる奇跡
11H(SATURNINUS)83|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 男性聖人の死後の行い, 出現
11H(SATURNINUS)84|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 男性聖人の列福, 列聖
11H(SATURNINUS)9|トゥールーズの殉教者かつ司教のサトゥルニヌス (セルナン); 可能性のあるアトリビュート: 雄牛 - 男性聖人の肖像
11H(SEBALD)|隠修士かつ巡礼者のニュルンベルクのセバルドゥス; 可能性のあるアトリビュート: 冠 (足元または本の上に), 教会模型
11H(SEBALD)0|隠修士かつ巡礼者のニュルンベルクのセバルドゥス; 可能性のあるアトリビュート: 冠 (足元または本の上に), 教会模型 - 一群の中に表される男性聖人
11H(SEBALD)1|隠修士かつ巡礼者のニュルンベルクのセバルドゥス; 可能性のあるアトリビュート: 冠 (足元または本の上に), 教会模型 - 特定の様相 ~ 男性聖人
11H(SEBALD)11|隠修士かつ巡礼者のニュルンベルクのセバルドゥス; 可能性のあるアトリビュート: 冠 (足元または本の上に), 教会模型 - 守護者, 庇護者, 仲介者としての男性聖人
11H(SEBALD)119|隠修士かつ巡礼者のニュルンベルクのセバルドゥス; 可能性のあるアトリビュート: 冠 (足元または本の上に), 教会模型 - 信奉者達をマントで守る男性聖人, 'Schutzmantel (庇護マント)'
11H(SEBALD)12|隠修士かつ巡礼者のニュルンベルクのセバルドゥス; 可能性のあるアトリビュート: 冠 (足元または本の上に), 教会模型 - 記述, 勉学, 教育, 口述する男性聖人 (例  教会博士として)
11H(SEBALD)13|隠修士かつ巡礼者のニュルンベルクのセバルドゥス; 可能性のあるアトリビュート: 冠 (足元または本の上に), 教会模型 - 修道会創立者としての男性聖人
11H(SEBALD)131|隠修士かつ巡礼者のニュルンベルクのセバルドゥス; 可能性のあるアトリビュート: 冠 (足元または本の上に), 教会模型 - 男性聖人 ~ 修道会の承認, (諸)規則の認可
11H(SEBALD)2|隠修士かつ巡礼者のニュルンベルクのセバルドゥス; 可能性のあるアトリビュート: 冠 (足元または本の上に), 教会模型 - 男性聖人の人生初期
11H(SEBALD)3|隠修士かつ巡礼者のニュルンベルクのセバルドゥス; 可能性のあるアトリビュート: 冠 (足元または本の上に), 教会模型 - 男性聖人の私的祈祷
11H(SEBALD)31|隠修士かつ巡礼者のニュルンベルクのセバルドゥス; 可能性のあるアトリビュート: 冠 (足元または本の上に), 教会模型 - 男性聖人の召命, 改宗
