4|社会, 文明, 文化
45HH52|負傷させることで敵を倒す - HH - 戦力を失う
45HH53|殺すことで敵を倒す - HH - 戦力を失う
45HH54|供給ラインを断つことで敵を倒す - HH - 戦力を失う
45I|戦闘後
45I1|捕虜  (戦闘後)
45I11|降伏 ~ 捕虜
45I12|武装解除 ~ 捕虜
45I13|移送, 国外退去 ~ 捕虜
45I14|尋問 ~ 捕虜
45I141|洗脳 ~ 捕虜
45I15|警戒 ~ 捕虜
45I151|戦争捕虜収容所
45I16|交換 ~ 捕虜
45I161|身代金 ~ 捕虜
45I17|捕虜を解放する
45I2|人質  (戦闘後)
45I3|公式報告  (戦闘後)
45I31|公式報告の批判  (戦闘後)
45I4|停戦交渉
45I41|破壊された橋での停戦交渉
45I5|休戦 (停戦)
45I51|神の休戦, 'Trève-Dieu'
45I52|死者を埋葬するための休戦
45I53|休戦, 停戦
45I530|Tregua' (リーパ)
45I6|勝者  (戦闘後)
45I61|征服者の勝利, 勝者の入城
45I611|勝者を月桂樹で戴冠させる
45I612|勝者の戦車に鎖で繋がれた囚人
45I62|(馬に乗った) 征服者が被征服者を踏みつける
45I63|(征服者) 犠牲者の髪を掴む
45I7|敗北者  (戦闘後)
45I71|勝者の前の敗北者
45K|包囲攻撃, 陣地戦
45K1|要塞, 軍事工学
45K11|一時的な要塞
45K111|塹壕
45K112|無人地帯
45K12|永久要塞
45K121|柵
45K122|稜堡, 砦
45K13|要塞
45K14|城塞都市
45K141|壁 ~ 城塞都市
45K1411|出し狭間 ~ 城塞都市
45K1412|胸壁, 銃眼付き胸壁 ~ 城塞都市
45K1413|銃眼 ~ 城塞都市
45K142|塔 ~ 城塞都市
45K143|堀 ~ 城塞都市
45K1431|可動橋 ~ 城塞都市
45K144|門 ~ 城塞都市
45K1441|落とし格子
45K2|攻撃 ~ 包囲攻撃
45K21|包囲攻撃
45K22|封鎖 ~ 包囲攻撃
45K23|爆撃 ~ 包囲攻撃
45K231|武器包囲 例: 破城槌
45K24|attaques brusquées'
45K25|travaux d'approche'
45K26|暴行 ~ 包囲攻撃
45K27|都市または要塞に侵入する ~ 包囲攻撃
45K3|防衛 ~ 包囲攻撃
45K31|要塞または都市の防衛
45K32|要塞からの反撃 ~ 包囲攻撃
45K33|包囲された都市内部
45K331|包囲された都市内部の要塞を強化する
45K4|都市の占領 (包囲攻撃後)
45K5|包囲を解く
45K51|外部からの援助を受けて包囲を解く, 救援
45K52|包囲された都市の解放
45L|占領 ~ 戦争
45L1|降伏 ~ 戦争
45L11|鍵を明け渡す
45L12|征服した場所へ進入する
45L13|敗北者の退却
45L2|徴集する
45L21|徴収品を配送する
45L22|戦利品の分割
45L23|戦利品を運び去る
45L29|安全通行権
45L3|略奪する ~ 兵士
45L31|戦利品, 略奪品
45L311|トロフィー ~ 戦闘, 戦争
45L3111|tropaion', すなわち装飾品 ~ 兵器
45L4|征服された都市の破壊
45L40|征服された都市の破壊のアレゴリー、擬人化
45L41|破壊 (征服された都市の)
45L42|火をつける (征服された都市の)
45L43|荒廃した、廃墟と化した場所または都市 (~ 戦争)
45M|非戦闘員 ~ 戦争
45M1|軍事状況での非戦闘員
45M11|戦場での非戦闘員
45M12|兵士の通過中の非戦闘員
45M13|民間人と戦う, 例: 'franc tireur'
45M2|兵士と民間人
45M3|占領者と民間人
45M31|戸別捜索
45M39|地下運動, パルチザン
45M391|パルチザンによるサボタージュ
45M4|爆撃の間の民間人
45M5|逃亡者
45M51|逃亡者 '移動中 (en route)'
45M52|休息する逃亡者, キャンプをする
45M6|収容所
45M7|強制収容所
46|社会および経済生活, 運輸通信
46A|共同生活
46A1|社会的成層, 社会集団
46A11|分類 (~ 社会)
46A111|三身分: 貴族, 聖職者, 平民
46A112|その他の分類 (~ 社会)
46A12|貴族と貴族階級; 騎士道, 勲爵士の位
46A121|宝冠
46A122|紋章, 紋章学
46A122(...)|紋章, 紋章学 (一族名を伴う)
46A122(...)1|紋章, 紋章学 (一族名を伴う) - 紋章
46A122(...)2|紋章, 紋章学 (一族名を伴う) - 紋章
46A122(...)3|紋章, 紋章学 (一族名を伴う) - 象徴, 箴言
46A122(...)4|紋章, 紋章学 (一族名を伴う) - インプレーザ (箴言入りの象徴的図案)
46A122(...)5|紋章, 紋章学 (一族名を伴う) - 旗
46A122(...)6|紋章, 紋章学 (一族名を伴う) - 印
46A123|使者
46A124|騎士
46A1241|騎士団
46A1241(...)|騎士団 (名称を伴う)
46A1241(...)1|騎士団 (名称を伴う) - 騎士団の記章, 例: 記章, 勲章 (団の名称 を伴う)
46A1241(GOLDEN FLEECE)|金羊毛騎士団
46A1241(GOLDEN FLEECE)1|金羊毛騎士団 - 騎士団の記章, 例: 記章, 勲章 (団の名称 を伴う)
46A1241(HOLY SPIRIT)|聖霊騎士団
46A1241(HOLY SPIRIT)1|聖霊騎士団 - 騎士団の記章, 例: 記章, 勲章 (団の名称 を伴う)
46A1241(ST. JOHN)|聖ヨハネ騎士団
46A1241(ST. JOHN)1|聖ヨハネ騎士団 - 騎士団の記章, 例: 記章, 勲章 (団の名称 を伴う)
46A1241(TEUTONIC ORDER)|騎士団: ドイツ騎士団
46A1241(TEUTONIC ORDER)1|騎士団: ドイツ騎士団 - 騎士団の記章, 例: 記章, 勲章 (団の名称 を伴う)
46A125|騎士になる, 騎士に叙勲する
46A1251|騎士見習い, 小姓
46A1252|盾持ち, 従者
46A1253|騎士に叙勲する式典
46A12531|小さな式典で騎士の位を授ける
46A125311|剣を帯びる (~ 騎士に叙勲する)
46A125312|剣で打つまたは叩く, 爵位授与 (~ 騎士に叙勲する)
46A12532|正式な式典で騎士の位を授ける
46A125321|着衣 (~ 騎士に叙勲する式典)
46A125322|徹夜祷 (~ 騎士に叙勲する式典)
46A125323|剣の祝福 (~ 騎士に叙勲する式典)
46A125324|鎧、拍車および剣の付与 (~ 騎士に叙勲する)
46A125325|剣で打つまたは叩く, 爵位授与 (騎士に叙勲する正式な式典)
46A125326|騎士に叙勲する式典の他の部分
46A126|九偉人, 'les neuf preux'
46A1261|ヨシュア (九偉人のうちの1人)
46A1262|ダビデ (九偉人のうちの1人)
46A1263|ユダ・マカバイ (九偉人のうちの1人)
46A1264|ヘクトール (九偉人のうちの1人)
46A1265|アレクサンドロス大王 (九偉人のうちの1人)
46A1266|ユリウス・カエサル (九偉人のうちの1人)
46A1267|アーサー王 (九偉人のうちの1人)
46A1268|シャルルマーニュ (九偉人のうちの1人)
46A1269|ゴドフロワ・ド・ブイヨン (九偉人のうちの1人)
46A127|著名または有名な男性, 英雄, 'homines illustres', 'uomini famosi'
46A13|平民
46A131|ブルジョワジー, 中流階級, 市民, 町民
46A132|村人; villeins (オランダ語: 'dorpers')
46A139|道化師 (一般的な) (German: 'Schalksnarr')
46A14|農民
46A141|農民と兵士の間の争い
46A15|貧民
46A151|乞食
46A1511|托鉢の碗
46A1512|乞食の行列
46A152|fahrende Leute', 浮浪者
46A153|bambochades', 酩酊者
46A154|一般的に蔑視された職業, 'unehrliche Leute'
46A155|追放人, 社会ののけ者
46A16|富裕層
46A161|富を獲得する
46A1611|宝探し, ゴールドラッシュ
46A1612|宝物を求めて掘るまたは宝物を発見する
46A162|富の展示
46A1621|宝石の陳列 等
46A1622|貴重品をばらまく
46A1623|自身の富を熟考する
46A163|富の保護
46A1631|保管所 (貴重品の)
46A16311|宝物を隠したり、隠したり、埋めたりする
46A1632|金庫, 宝物箱, 貯金箱
46A16321|金庫, 貴重品箱
46A1633|宝物の保護
46A16331|人による宝物の保護
46A16332|動物による宝物の保護
46A16333|機械的手段による宝物の保護
46A164|上流階級
46A165|ジェットセット
46A166|成り金, 'nouveau riche', 成り上がり者
46A17|労働者階級, 労働者
46A170|労働
46A171|雇用主 ~ 被雇用者
46A1711|仕事を求める被雇用者
46A172|賃金の支払い
46A1721|賃金を拒否する労働者
46A1722|賃金の支払いを拒否する雇用主
46A173|仕事に向かう労働者
46A174|労働者の帰省
46A175|子供の労働
46A179|失業
46A1791|失業者
46A18|奴隷制度; 農奴と奴隷
46A180|Servittù', 'Servittù per forza' (リーパ)
46A181|奴隷貿易
46A182|主人 ~ 奴隷
46A183|自由 ~ 奴隷制度
46A1831|解放 (奴隷の)
46A1832|自由を得る
46A1833|脱出, 脱出の試み (奴隷の)
46A1834|奴隷制度の廃止, 奴隷制度との闘争
46A2|社会的対比
46A21|金持ちと貧者の間の対比
46A211|悪い金持ち, 良い貧乏人
46A212|施しや他の慈善を与える, 例: 食べ物を配る
46A2120|Elemosina' (リーパ)
46A213|博愛主義者
46A22|都会と田舎の生活の対比; 都市居住者対地方居住者
46A221|都会の生活
46A2211|都市居住者
46A2219|都市の過疎化
46A222|田舎の生活
46A2221|地方居住者
46A22219|田舎の過疎化, 離村
46A23|重要な人々と重要でない人々の対比; 上位の者の前の下位の者, 強者の前の弱者
46A231|保護者の前の保護を受ける者
46A24|主人と従者の間の関係
46A241|２人の主人に仕える
46A3|公共の福祉
46A31|孤児院
46A311|孤児養育院
46A32|老人介護
46A321|老人ホーム
46A3211|救貧院 (オランダ語: 'hofje')
46A33|慈善事業
46A4|人種間の関係
46A41|人種差別
46A42|人種間の反感, 差別主義
46A421|人種暴動
46A422|クー・クラックス・クランと類似の組織
46A49|反差別主義; 人種の統合
46A5|言語コミュニケーション
46A51|自身を理解させようとする ~ 言語コミュニケーション
46A511|誤解
46A52|通訳 ~ 言語
46A53|翻訳者
46A54|聴覚障害者または言語障害者とのコミュニケーション
46A541|読唇術
46A542|手話
46A55|人工言語
46A551|エスペラント語
46A6|会社と重役会議
46A61|会議、特に長官, 管財人等 (オランダ語: 'regenten')
46A611|議長
46A612|秘書 (会社の)
46A613|会計係
46A614|委員会のメンバー, 取締会のメンバー
46A62|メンバー, 会員
46A621|一員になる
46A6211|投票
46A6212|加入 (~ 会社の一員)
46A629|定職, 除名 (会社からの)
46A63|会議, 集会
46A631|会議を開く
46A632|演説, 講演, 講義 (~ 会議)
46A633|議論, 討論 (~ 会議)
46A634|中断, 質問 (~ 会議)
46A635|投票 (~ 会議)
46A636|混沌, 無秩序な手順 (~ 会議)
46A637|閉会する
46A638|集会室
46A7|群衆, 暴徒
46A71|個人対集団
46A8|普通でない生き方
46A81|彷徨う共同体
46A81(...)|彷徨う共同体 (名称を伴う)
46A81(GIPSIES)|彷徨う共同体: ジプシー
46A81(NOMADS)|彷徨う共同体: 遊牧の民
46A811|テントに住む彷徨う共同体
46A812|幌馬車に住む彷徨う共同体
46A813|ボートに住む彷徨う共同体
46A82|理想主義的共同体, '自然に帰る (back to nature)'
46A821|共同体, 集団
46A821(...)|共同体, 集団 (名称を伴う)
46A8211|全ての共同負担
46A822|裸体主義者
46A823|ヌーディスト
46A83|単独生活
46A831|無人島での一人暮らし, ロビンゾナーデ
46A84|先駆的生活、辺境の生活
46A841|米国西部地方
46A85|冒険家
46A9|原始的社会構造
46A91|女家長制
46A92|父権制
46A93|氏族、部族関係
46AA122|紋章, 紋章学 - AA - 女性
46AA122(...)|紋章, 紋章学 (一族名を伴う) - AA - 女性
46AA122(...)1|紋章, 紋章学 (一族名を伴う) - AA - 女性 - 紋章
46AA122(...)2|紋章, 紋章学 (一族名を伴う) - AA - 女性 - 紋章
46AA122(...)3|紋章, 紋章学 (一族名を伴う) - AA - 女性 - 象徴, 箴言
46AA122(...)4|紋章, 紋章学 (一族名を伴う) - AA - 女性 - インプレーザ (箴言入りの象徴的図案)
46AA122(...)5|紋章, 紋章学 (一族名を伴う) - AA - 女性 - 旗
46AA122(...)6|紋章, 紋章学 (一族名を伴う) - AA - 女性 - 印
46AA126|9人の最も価値のある女性
46AA1261|エステル (9人の最も価値のある女性のうちの1人)
46AA1262|ユーディット (9人の最も価値のある女性のうちの1人)
46AA1263|ヤエル (9人の最も価値のある女性のうちの1人)
46AA1264|ルクレツィア (9人の最も価値のある女性のうちの1人)
46AA1265|ベトゥリア, コリオラヌスの母親 (9人の最も価値のある女性のうちの1人)
46AA1266|ヴィルジニア (9人の最も価値のある女性のうちの1人)
46AA1267|聖ヘレナ (9人の最も価値のある女性のうちの1人)
46AA1268|聖ビルギッタ (9人の最も価値のある女性のうちの1人)
46AA1269|聖エルジェーベト (9人の最も価値のある女性のうちの1人)
46AA127|著名または有名な男性, 英雄, 'homines illustres', 'uomini famosi' - AA - 著名または有名な女性, 女傑, 'femmes célèbres', 'les neuf preuses'
46AA14|農民 - AA - 農婦, 農夫の妻
46AA17|労働者階級, 労働者 - AA - 女性
46AA170|労働 - AA - 女性
46AA171|雇用主 ~ 被雇用者 - AA - 女性
46AA1711|仕事を求める被雇用者 - AA - 女性
46AA172|賃金の支払い - AA - 女性
46AA1721|賃金を拒否する労働者 - AA - 女性
46AA1722|賃金の支払いを拒否する雇用主 - AA - 女性
46AA173|仕事に向かう労働者 - AA - 女性
46AA174|労働者の帰省 - AA - 女性
46AA175|子供の労働 - AA - 女性
46AA179|失業 - AA - 女性
46AA1791|失業者 - AA - 女性
46AA24|主人と従者の間の関係 - AA - 悪い関係
46AA241|２人の主人に仕える - AA - 悪い関係
46AA61|会議、特に長官, 管財人等 (オランダ語: 'regenten') - AA - 女性 (オランダ語: 'regentessen')
46AA611|議長 - AA - 女性 (オランダ語: 'regentessen')
46AA612|秘書 (会社の) - AA - 女性 (オランダ語: 'regentessen')
46AA613|会計係 - AA - 女性 (オランダ語: 'regentessen')
46AA614|委員会のメンバー, 取締会のメンバー - AA - 女性 (オランダ語: 'regentessen')
46AA63|会議, 集会 - AA - 戸外にて
46AA631|会議を開く - AA - 戸外にて
46AA632|演説, 講演, 講義 (~ 会議) - AA - 戸外にて
46AA633|議論, 討論 (~ 会議) - AA - 戸外にて
46AA634|中断, 質問 (~ 会議) - AA - 戸外にて
46AA635|投票 (~ 会議) - AA - 戸外にて
46AA636|混沌, 無秩序な手順 (~ 会議) - AA - 戸外にて
46AA637|閉会する - AA - 戸外にて
46AA638|集会室 - AA - 戸外にて
46B|貿易, 商業と金融
46B0|貿易の寓話; 'Commertio della vita humana' (リーパ)
46B1|取引場所
46B11|市場
46B111|露天, 売店 (~ 市場)
46B112|屋根つき市場
46B12|(毎年の) 見本市, 展示会
46B13|商店, 小売店
46B131|デパート, スーパーマーケット
46B132|陳列窓, ショーウインドー
46B133|カウンター ~ 商店
46B14|重量戸
46B15|卸問屋 
46B16|競売, 公売
46B17|為替,株式取引所
46B18|見本市, 勧業博覧会
46B181|世界博覧会, 万国博覧会
46B19|小間物市
46B2|貿易および商業に従事する者
46B21|商人, セールスマン
46B21(...)|商人, セールスマン (展示会と専門会議の名称 を伴う)
46B22|放浪または旅する商人
46B221|露店商人
46B221(...)|露店商人 (展示会と専門会議の名称 を伴う)
46B2211|cris de Paris', ロンドンの喧嘩等
46B222|ペドラー
46B23|訪問販売員
46B24|小売店主
46B241|店員
46B25|市場に行く
46B26|市場から戻る
46B27|顧客
46B271|満足した顧客
46B272|不満を言う顧客
46B3|貿易と金融における補助的な手段と方法
46B31|通貨
46B310|Pecunia' (リーパ)
46B311|硬貨
46B3111|商業用の硬貨, 私的な硬貨
46B312|紙幣
46B313|その他の形の通貨 例: 金属棒, 貝等
46B314|小切手, 為替手形
46B3140|為替手形(寓意); 'Cambio', 'Wissel' (リーパ)
46B32|管理 ~ 貿易と金融
46B321|簿記, 会計士
46B3211|勘定
46B322|職務 (~ 管理)
46B33|計量
46B331|秤
46B3311|秤
46B3312|秤で用いられる重量
46B332|金または通貨の計量 
46B34|体積
46B341|体積, 体積の測定
46B35|広告
46B351|口頭広告
46B352|ビラ
46B3521|パンフレット
46B353|掲示
46B3531|広告板
46B3532|広告塔
46B3533|サンドイッチマン
46B354|看板
46B355|商標, 商業用の硬貨,看板, 業務用名刺
46B356| 広告, 通知
46B4|商取引
46B41|売買
46B411|購入
46B412|販売
46B413|交易する
46B414|レンタル, 賃貸
46B415|の価格
46B4151|値札
46B4152|手書きの価格、例: 本の中で
46B416|請求書
46B4161|レシート
46B42|商品を調べる
46B43|交渉
46B44|支払い (~ 商業) (ここには借金の返済等も)
46B45|貸借
46B451|負債, 借金
46B4510|Debito' (リーパ)
46B4511|IOU (= 私はあなたに借りがある), 債務
46B452|信用取引
46B4520|credito' (リーパ)
46B46|売買契約
46B47|利益と損失
46B471|利益 (~ 商業)
46B4711|利息 (~ 商業)
46B472|損失 (~ 商業)
46B48|貿易と金融における投機, 株式仲買人業
46B481|投機ブーム
46B49|輸入と輸出
46B491|輸入
46B492|輸出
46B493|交易遠征
46B494|貿易商社
46B4941|商船, 海運業
46B5|貿易と金融の組織
46B51|通貨を取り扱う
46B511|両替商
46B512|金貸し, 高利貸し
46B5120|Usura' (リーパ)
46B513|質屋, 金貸し
46B52|株式取引, 株式市場
46B521|株式市場報告
46B53|銀行
46B531|銀行員
46B54|ジャイロ
46B55|保険
46B551|保険代理店
46B56|実業家の組織
46B561|商人ギルド
46B562|商工会議所
46B57|トラスト, カルテル, モノポリー
46B6|不当廉売
46B61|セール, バーゲンセール
46B7|商業スパイ行為
46B8|ボイコット
46B9|芳しくない結果と取引の望ましくない側面
46B91|詐欺, 不正
46B910|Acquisto cattivo' (リーパ)
46B911|収賄
46B92|倒産
46B921|被告召喚令状
46B93|不況, 暴落
46B931|金融恐慌
46B932|インフレーション
46BB2|貿易および商業に従事する者 - BB - 女性 貿易と商業に従事
46BB21|商人, セールスマン - BB - 女性 貿易と商業に従事
46BB21(...)|商人, セールスマン (展示会と専門会議の名称 を伴う) - BB - 女性 貿易と商業に従事
46BB22|放浪または旅する商人 - BB - 女性 貿易と商業に従事
46BB221|露店商人 - BB - 女性 貿易と商業に従事
46BB221(...)|露店商人 (展示会と専門会議の名称 を伴う) - BB - 女性 貿易と商業に従事
46BB2211|cris de Paris', ロンドンの喧嘩等 - BB - 女性 貿易と商業に従事
46BB222|ペドラー - BB - 女性 貿易と商業に従事
46BB23|訪問販売員 - BB - 女性 貿易と商業に従事
46BB24|小売店主 - BB - 女性 貿易と商業に従事
46BB241|店員 - BB - 女性 貿易と商業に従事
46BB25|市場に行く - BB - 女性 貿易と商業に従事
46BB26|市場から戻る - BB - 女性 貿易と商業に従事
46BB27|顧客 - BB - 女性 貿易と商業に従事
46BB271|満足した顧客 - BB - 女性 貿易と商業に従事
46BB272|不満を言う顧客 - BB - 女性 貿易と商業に従事
46C|交通と輸送
46C1|陸上の交通
46C11|道路、小道
46C111|浅瀬
46C1111|川を渡る
46C1112|フェリー
46C1113|飛び石
46C112|橋
46C1121|建設中の橋
46C11211|つり橋
46C11212|カンチレバー橋
46C11213|はね橋
46C1122|橋の形状
46C11221|構造体を伴う橋, すなわち屋根または建築物
46C113|高架橋
46C114|地下道, トンネル
46C115|交通規制 (象徴, 照明等)
46C1151|交通標識
46C1152|交通整理の巡査
46C1153|信号機
46C1159|交通渋滞
46C116|四つ辻, 分岐
46C1160|四つ辻, 分岐 (寓話的または象徴的に表される)
46C1161|道標
46C1162|マイル標石
46C117|交差路, 'mont-joie'
46C118|他の構造物 ~ 道路、小道
46C1181|段
46C12|人力 ~ 陸上の交通と輸送
46C121|何かを運ぶ
46C1211|籠、バッグ、リュックサック等で何かを運ぶ
46C1212|てんびん棒で何かを運ぶ
46C1213|天秤棒で何かを運ぶ
46C1214|手押し車で何かを運ぶ
46C1215|頭や肩にのせて何かを運ぶ
46C122|手押し車
46C123|手車
46C124|人力車
46C125|自転車
46C1251|自転車のアンティークタイプ
46C1251(...)|自転車のアンティークタイプ (名称を伴う)
46C1252|三輪車
46C12521|運搬用三輪車
46C1253|一輪車
46C1254|2人乗り自転車
46C1257|他の型の自転車
46C1257(...)|他の型の自転車 (名称を伴う)
46C1258|自転車の部分、付属品
46C1258(...)|自転車の部分、付属品 (名称を伴う)
46C126|まれな輸送手段
46C1261|竹馬
46C127|人を運ぶ
46C1271|背中に背負って人を運ぶ
46C1272|担架, ストレッチャー (で人を運ぶ)
46C1273|椅子かご (で人を運ぶ)
46C128|通常は人力では推進されない車両を引いたり押したりする人間 (人間達）
46C13|動物に据え付ける; 駄獣
46C131|馬、ロバ、またはラバに乗る; 乗り手, 乗馬者
46C1311|乗馬学校,馬場
46C13111|馬術高等学校
46C13112|回転木馬
46C1312|騎馬像・肖像画
46C1313|騎馬像
46C1314|馬と同種の動物
46C13141|馬
46C13141(...)|馬 (血統や種類の名称 を伴う)
46C131411|戦闘馬
46C13142|ロバ
46C13143|ラバ
46C13144|ケッテイ
46C1315|種馬飼育場
46C1316|鞍を置くおよび馬勒をつける
46C13161|鞍と手綱 (馬具類)
46C131611|おもがい
46C131612|ハミ
46C131613|手綱
46C131614|鞍
46C1316141|象かご
46C131615|あぶみ
46C131616|遮眼帯
46C131617|飾り馬衣
46C1317|毛繕い
46C13171|毛繕いをする
46C13172|馬ぐし
46C1318|動いている馬
46C13181|ウォーキング (動いている馬)
46C13182|トロッティング (動いている馬)
46C13183|ギャロップで走る馬
46C13184|跳ねる (動いている馬)
46C13185|後脚で立つ (動いている馬)
46C13186|蹴る (動いている馬)
46C13187|手綱で馬を引く; 馬のそばの騎手
46C1319|馬の事故 (または同種の動物)
46C13191|逃げる, 走り去る (~ 馬)
46C13192|馬が騎手を落馬させる
46C13193|野生動物に攻撃される馬
46C132|馬、ロバまたはラバの他の動物に乗る
46C133|駄獣
46C14|動物の牽引, 獣引車輛 (四輪馬車等)
46C141|つける, 馬具をつける ~ 動物の牽引
46C1411|馬具
46C14111|くびき
46C14112|馬具の他の部品
46C1412|馬車の側の繋がれていない動物 (動物達)
46C1413|馬具を外す
46C142|2輪の獣引車輛
46C1421|1頭の動物によって牽引される2輪の車両
46C1422|2頭の動物達によって牽引される2輪の車両
46C1423|3頭の動物達によって牽引される2輪の車両
46C1424|3頭以上の動物達によって牽引される2輪の車両
46C14241|クアドリガ
46C143|3輪の獣引車輛
46C1431|1頭の動物によって牽引される3輪の車両
46C1432|2頭の動物達によって牽引される3輪の車両
46C1433|3頭の動物達によって牽引される3輪の車両
46C1434|3頭以上の動物達によって牽引される3輪の車両
46C144|4輪の獣引車輛 例: 辻馬車, 四輪馬車, 四輪大型馬車
46C1441|1頭の動物によって牽引される4輪の車両
46C1442|2頭の動物達によって牽引される4輪の車両
46C1443|3頭の動物達によって牽引される4輪の車両
46C1444|3頭以上の動物達によって牽引される4輪の車両
46C1444(...)|3頭以上の動物達によって牽引される4輪の車両 (動物の数 を伴う)
46C145|(農場) 荷馬車, 貨車,荷車
46C1451|幌馬車
46C146|乗馬動物または使役動物を駆り立てる
46C1461|刺す, 突き棒
46C1462|拍車
46C1463|むち
46C147|乗合馬車, 馬車
46C148|動物が引くそり (オランダ語: 'toeslede')
46C149|獣引車輛の事故
46C1491|使役動物の逃走
46C1492|2輪の獣引車輛の事故
46C14921|1頭の動物によって牽引される2輪車両の事故
46C14922|2頭の動物達によって牽引される2輪車両の事故
46C14923|3頭の動物達によって牽引される2輪車両の事故
46C14924|3頭以上の動物達によって牽引される2輪車両の事故
46C149241|クアドリガの事故
46C1493|3輪の獣引車輛の事故
46C14931|1頭の動物によって牽引される3輪車両の事故
46C14932|2頭の動物達によって牽引される3輪車両の事故
46C14933|3頭の動物達によって牽引される3輪車両の事故
46C14934|3頭以上の動物達によって牽引される3輪車両の事故
46C1494|4輪の獣引車輛の事故 例: 辻馬車, 四輪馬車, 四輪大型馬車
46C14941|1頭の動物によって牽引される4輪車両の事故
46C14942|2頭の動物達によって牽引される4輪車両の事故
46C14943|3頭の動物達によって牽引される4輪車両の事故
46C14944|3頭以上の動物達によって牽引される4輪車両の事故
46C14944(...)|3頭以上の動物達によって牽引される4輪車両の事故 (動物の数 を伴う)
46C1495|(農場) 荷馬車, 貨車,荷車の事故
46C1496|乗馬動物または使役動物を駆り立てる ~ 事故
46C14961|刺す, 突き棒 ~ 事故
46C14962|拍車 ~ 事故
46C14963|むち ~ 事故
46C1497|乗合馬車, 馬車の事故
46C1498|動物が引くそりの事故 (オランダ語: 'toeslede')
46C15|鉄道交通
46C151|鉄道, 市街電車線路; ラック式鉄道
46C1511|鉄道, 電車
46C15111|貨物列車
46C15112|旅客列車
46C1512|市街電車線路, 市街電車
46C15121|市街電車
46C1513|ラック式鉄道
46C152|機関車
46C1521|蒸気機関車
46C1522|ディーゼル機関車
46C1523|電気機関車
46C1529|機関車の他の型
46C1529(...)|機関車の他の型 (型の名称 を伴う)
46C153|客車, 鉄道車両, 荷馬車
46C1531|客車
46C1532|鉄道貨車
46C154|信号システム (鉄道, 市街電車線路)
46C1541|信号扱所, 信号所 (鉄道, 市街電車線路)
46C1542|第4種踏切 (鉄道, 市街電車線路)
46C1543|防護された踏切 (鉄道, 市街電車線路)
46C1544|信号(鉄道, 市街電車線路)
46C155|駅; 避難小屋 (鉄道, 市街電車線路)
46C1551|プラットホーム (鉄道, 市街電車線路)
46C1552|待合室 (鉄道, 市街電車線路)
46C1559|(他の) 建物, 建築物 ~ 鉄道, 市街電車線路
46C15591|停車場 ~ 鉄道, 市街電車線路
46C156|地下鉄道, 'métro'
46C1561|地下鉄駅
46C157|モノレール
46C158|高架鉄道
46C1581|ケーブル鉄道
46C159|鉄道事故
46C1591|鉄道, 市街電車線路の事故; ラック式鉄道
46C1592|機関車の事故
46C1593|客車, 鉄道車両の事故
46C1594|信号システム(鉄道) ~ 事故
46C15941|信号扱所, 信号所 ~ 事故
46C15942|第4種踏切での事故 (鉄道)
46C15943|防護された踏切での事故(鉄道)
46C1595|駅での事故; 避難小屋(鉄道)
46C1596|地下鉄道での事故
46C15961|地下鉄駅での事故
46C1597|モノレールの事故
46C1598|高架鉄道の事故
46C15981|ケーブル鉄道の事故
46C16|自動車による道路または経路による交通
46C161|自動車
46C1611|三輪自動車
46C162|バス, 長距離用バス
46C163|トラック, バン
46C164|水陸両用車両
46C165|2輪車およびその他の2輪自動車
46C166|上記に意味または言及されていない他の自動車
46C1661|トラクター
46C167|自動車の部分、部品
46C1671|自動車の部分
46C1671(...)|自動車の部分 (名称を伴う)
46C168|メンテナンス, 修理, 保管 ~ 自動車
46C1681|ガソリンスタンド
46C16811|ガソリンポンプ
46C16812|修理工場, 修理、供給のためのガレージ 等
46C16813|洗車, 洗車機
46C1682|駐車施設
46C16821|駐車場
46C16822|駐車場, 駐車用ビル, 多層式駐車場
46C16823|パーキングメーター
46C168231|駐車監視員, 駐車違反取り締まりの婦人警官
46C169|自動車の事故
46C1691|自動車の事故
46C16911|三輪自動車の事故
46C1692|バス, 長距離用バスの事故
46C1693|トラック, バンの事故
46C1694|水陸両用車両の事故
46C1695|2輪車やその他の2輪車の事故
46C17|帆掛け車
46C18|雪と氷の上の移動 (スポーツ以外)
46C181|そり (スポーツ以外)
46C1811|馬そり
46C1812|犬そり
46C1813|トナカイそり
46C1814|錐によって動かされるそり
46C182|かんじき
46C183|氷上ヨット
46C189|雪や氷上の事故
46C19|車輪 (車両の)
46C191|こしき, ハブ (車輪の)
46C1911|ボールベアリング (車輪の)
46C192|スポーク
46C193|外輪
46C1931|チューブ
46C1939|軌跡
46C199|わだち
46C2|氷上の交通
46C20|Navigatione' (リーパ)
46C21|船 (一般的な)
46C211|造船所, ドック
46C212|修繕する, コーキング, 片舷げんへ傾ける (~ 船)
46C2121|乾ドック, 浮きドック
46C213|船の模型
46C2131|瓶の中の船の模型
46C214|船の肖像画
46C215|船の外装の部分
46C215(...)|船の外装の部分 (名称を伴う)
46C215(ANCHOR)|船の外装の部分: 錨
46C215(BOW)|船の外装の部分: 船首
46C215(FIGURE-HEAD)|船の外装の部分: 船首像
46C215(MAST)|船の外装の部分: マスト
46C215(RUDDER)|船の外装の部分: 舵
46C215(WINDLASS)|船の外装の部分: 揚錨機
46C216|船の内装の部分
46C216(...)|船の内装の部分 (名称を伴う)
