4|社会，文明，文化
#46A634|打斷, 提問 (~ 會議)
#46A635|選舉 (~ 會議)
#46A636|混亂, 程序混亂 (~ 會議)
#46A637|會議結束
#46A638|會議聽
#46A7|人群, 暴民
#46A71|個人與大眾
#46A8|特殊的生活方式
#46A81|游動群落
#46A81(...)|游動群落 (名稱)
#46A81(GIPSIES)|游動群落: 吉普賽人
#46A81(NOMADS)|游動群落: 游牧民
#46A811|生活在帳篷中的游動群落
#46A812|生活在大篷車裡的游動群落
#46A813|生活在船上的游動群落
#46A82|理想主義的社群, '回歸自然'
#46A821|群落,社群 
#46A821(...)|群落,社群 (名稱)
#46A8211|社群成員分享一切
#46A822|自然主義者
#46A823|裸體主義者
#46A83|獨居生活方式
#46A831|獨自生活在荒島, 魯賓遜式的生活
#46A84|拓荒者, 邊遠地區生活
#46A841|蠻荒的西部
#46A85|冒險家
#46A9|原始社會的結構
#46A91|母系社會結構
#46A92|父系社會結構
#46A93|部落, 部落關係
#46AA122|armorial bearing, heraldry - AA - female
#46AA122(...)|armorial bearing, heraldry (with NAME of family) - AA - female
#46AA122(...)1|armorial bearing, heraldry (with NAME of family) - AA - female - coat of arms
#46AA122(...)2|armorial bearing, heraldry (with NAME of family) - AA - female - crest
#46AA122(...)3|armorial bearing, heraldry (with NAME of family) - AA - female - device, motto
#46AA122(...)4|armorial bearing, heraldry (with NAME of family) - AA - female - impresa
#46AA122(...)5|armorial bearing, heraldry (with NAME of family) - AA - female - banner
#46AA122(...)6|armorial bearing, heraldry (with NAME of family) - AA - female - seal
#46AA126|九位偉大的女性
#46AA1261|以斯帖Esther (九位偉大的女性之一)
#46AA1262|朱蒂絲Judith (九位偉大的女性之一)
#46AA1263|雅億Jael (九位偉大的女性之一)
#46AA1264|盧克蕾提亞Lucretia (九位偉大的女性之一)
#46AA1265|Veturia, mother of Coriolanus (九位偉大的女性之一)
#46AA1266|佛吉尼亞Virginia (九位偉大的女性之一)
#46AA1267|聖海倫那St. Helena (九位偉大的女性之一)
#46AA1268|聖布里吉特St. Brigit (九位偉大的女性之一)
#46AA1269|聖伊莉莎白 (九位偉大的女性之一)
#46AA127|men of name or fame, heroes, 'homines illustres', 'uomini famosi' - AA - women of name or fame, heroines, 'femmes célèbres', 'les neuf preuses'
#46AA14|farmers - AA - female farmer, farmer's wife
#46AA17|working class, labourers - AA - women
#46AA170|Labour - AA - women
#46AA171|employer ~ employee - AA - women
#46AA1711|employee asking for work - AA - women
#46AA172|paying of wages - AA - women
#46AA1721|labourer refusing payment - AA - women
#46AA1722|employer refusing to pay wages - AA - women
#46AA173|labourers going to work - AA - women
#46AA174|labourers returning home - AA - women
#46AA175|child labour - AA - women
#46AA179|unemployment - AA - women
#46AA1791|unemployed labourers - AA - women
#46AA24|relation between master and servant - AA - bad relation
#46AA241|serving two masters - AA - bad relation
#46AA61|board, esp. governors, trustees, etc. (Dutch: 'regenten') - AA - women (Dutch: 'regentessen')
#46AA611|chairman - AA - women (Dutch: 'regentessen')
#46AA612|secretary (of a society) - AA - women (Dutch: 'regentessen')
#46AA613|treasurer - AA - women (Dutch: 'regentessen')
#46AA614|committee members, board members - AA - women (Dutch: 'regentessen')
#46AA63|meeting, assembly - AA - 在室外
#46AA631|opening the meeting - AA - 在室外
#46AA632|address, talk, lecture (~ meeting) - AA - 在室外
#46AA633|debate, discussion (~ meeting) - AA - 在室外
#46AA634|interruption, questions (~ meeting) - AA - 在室外
#46AA635|voting (~ meeting) - AA - 在室外
#46AA636|chaos, disorderly procedure (~ meeting) - AA - 在室外
#46AA637|closing the meeting - AA - 在室外
#46AA638|assembly-room - AA - 在室外
#46B|貿易, 商業和金融
#46B0|貿易的人格寓言化; 'Commertio della vita humana' (Ripa)
#46B1|貿易地點
#46B11|市場
#46B111|攤位，貨攤 (~ 市場)
#46B112|（有頂篷的）市場
#46B12|(年度) 集市, 貿易展銷會
#46B13|商店
#46B131|百貨公司, 超市
#46B132|商店櫥窗, 展示櫥窗
#46B133|櫃檯 ~ 商店
#46B14|過磅處
#46B15|批發處
#46B16|拍賣
#46B17|交易, 交易所
#46B18|貿易展覽會, 工業展覽會
#46B181|世博會
#46B19|小商品市場
#46B2|商業和貿易的經營者
#46B21|商人, 推銷員
#46B21(...)|商人, 推銷員 (行業名稱)
#46B22|流動商販
#46B221|街道小販
#46B221(...)|街道小販 (行業名稱)
#46B2211|'cris de Paris', 倫敦街上的叫賣聲, 等等
#46B222|貨郎
#46B23|行商
#46B24|店主
#46B241|店員
#46B25|去市場
#46B26|從市場回來
#46B27|顧客
#46B271|滿意的顧客
#46B272|不滿意的顧客
#46B3|貿易和金融業的輔助手段和方法
#46B31|錢幣
#46B310|'Pecunia' (Ripa)
#46B311|硬幣
#46B3111|trade token, private coin
#46B312|紙幣
#46B313|其它形式的錢幣, 如: 金屬條, 貝殼, 等等
#46B314|支票, 匯票
#46B3140|匯票 (人格寓言化); 'Cambio', 'Wissel' (Ripa)
#46B32|管理 ~ 貿易和金融
#46B321|簿記, 會計
#46B3211|記賬單位
#46B322|辦公室 (~ 管理)
#46B33|称重量
#46B331|称重器
#46B3311|秤
#46B3312|秤的砝碼
#46B332|称黃金或錢幣
#46B34|體積測量
#46B341|體積測量, 測量容積
#46B35|廣告
#46B351|口頭廣告oral advertising
#46B352|傳單
#46B3521|小冊子
#46B353|海報,招貼
#46B3531|廣告牌
#46B3532|海報柱
#46B3533|身體前後掛廣告牌的人
#46B354|招牌
#46B355|商標, 買賣籌碼?trade token, 商業名片
#46B356|公告, 告示
#46B4|商業交易
#46B41|買賣
#46B411|買
#46B412|賣
#46B413|實物交易
#46B414|租用, 雇用, 租貸
#46B42|驗貨
#46B43|議價,討價還價
#46B44|付款 (~ 商業) (此處也包括償付債務, 等等)
#46B45|借和貸
#46B451|借, 債務
#46B4510|'Debito' (Ripa)
#46B4511|IOU (= 我欠你,茲借到,借據), 字據, 債券
#46B452|貸
#46B4520|'Credito' (Ripa)
#46B46|買賣契約
#46B47|利潤和虧損
#46B471|利潤 (~ 商業)
#46B4711|利息 (~ 商業)
#46B472|虧損 (~ 商業)
#46B48|貿易和金融業的投機交易, 股票買賣
#46B481|投機熱潮
#46B49|進口和出口
#46B491|進口
#46B492|出口
#46B493|貿易遠征trading expedition
#46B494|貿易公司
#46B4941|商船隊, 商業航運, 航運業
#46B5|貿易和金融業的組織
#46B51|貨幣交易
#46B511|貨幣兌換商
#46B512|放款人, 貸款人
#46B5120|'Usura' (Ripa)
#46B513|典當商人, 金融業者
#46B52|證券交易所, 證券交易市場
#46B521|證券市場報告
#46B53|銀行
#46B531|銀行家
#46B54|轉帳
#46B55|保險
#46B551|保險公司
#46B56|business men's organization
#46B561|商業行會
#46B562|商會
#46B57|信託, 產銷同盟, 壟斷
#46B6|傾銷
#46B61|銷售, 廉價銷售
#46B7|商業間諜
#46B8|抵制, 拒絕購買
#46B9|貿易的消極面
#46B91|欺詐, 詐騙
#46B910|'Acquisto cattivo' (Ripa)
#46B911|賄賂
#46B92|破產
#46B921|送達員
#46B93|經濟蕭條
#46B931|金融恐慌
#46B932|通貨膨脹
#46BB2|persons engaged in trade and commerce - BB - women engaged in trade and commerce
#46BB21|merchant, salesman - BB - women engaged in trade and commerce
#46BB21(...)|merchant, salesman (with NAME of trade or profession) - BB - women engaged in trade and commerce
#46BB22|wandering or travelling merchant - BB - women engaged in trade and commerce
#46BB221|street-trader - BB - women engaged in trade and commerce
#46BB221(...)|street-trader (with NAME of trade or profession) - BB - women engaged in trade and commerce
#46BB2211|'cris de Paris', cries of London, etc. - BB - women engaged in trade and commerce
#46BB222|pedlar - BB - women engaged in trade and commerce
#46BB23|commercial traveller - BB - women engaged in trade and commerce
#46BB24|shopkeeper - BB - women engaged in trade and commerce
#46BB241|sales clerk - BB - women engaged in trade and commerce
#46BB25|going to the market - BB - women engaged in trade and commerce
#46BB26|returning from the market - BB - women engaged in trade and commerce
#46BB27|customer - BB - women engaged in trade and commerce
#46BB271|satisfied customer - BB - women engaged in trade and commerce
#46BB272|complaining customer - BB - women engaged in trade and commerce
#46C|交通和運輸
#46C1|陸地交通
#46C11|道路, 路
#46C111|可涉水而過之處
#46C1111|過河
#46C1112|擺渡
#46C1113|水中踏腳石
#46C112|橋梁
#46C1121|以結構分類的橋梁
#46C11211|吊橋
#46C11212|懸臂橋
#46C11213|開啟橋 
#46C1122|橋梁的型態
#46C11221|帶有建築物的橋梁, 即帶有遮蓋物或房屋的
#46C113|高架道路
#46C114|地下道路, 隧道
#46C115|交通規則 (信號, 燈, 等等)
#46C1151|交通信號
#46C1152|constable on point-duty
#46C1153|交通信號燈
#46C1159|交通堵塞
#46C116|交叉路, 分叉
#46C1160|交叉路, 分叉 (人格寓言化的或象徵符號化的表現)
#46C1161|路標
#46C1162|里程碑
#46C117|road-cross, 'mont-joie'
#46C118|其它交通結構 ~ 道路, 路
#46C1181|台階
#46C12|人力 ~ 陸上交通和運輸
#46C121|運載某物
#46C1211|用籃子,袋子,背包等運載某物
#46C1212|用軛運載某物
#46C1213|用扁擔運載某物
#46C1214|用手推車?運載某物carrying something with barrow
#46C1215|用頭或肩運載某物
#46C122|獨輪車
#46C123|手推車
#46C124|人力車
#46C125|腳踏車
#46C1251|古董腳踏車類型
#46C1251(...)|古董腳踏車類型 (名稱)
#46C1252|三輪腳踏車
#46C12521|載用三輪腳踏車
#46C1253|獨輪腳踏車
#46C1254|雙人腳踏車
#46C1257|其它類型的腳踏車
#46C1257(...)|其它類型的腳踏車 (名稱)
#46C1258|腳踏車的部件
#46C1258(...)|腳踏車的部件 (名稱)
#46C126|不常見的運輸方式
#46C1261|高蹺?stilts
#46C127|運載一個人
#46C1271|將人駝在背上
#46C1272|(將人放上) 擔架
#46C1273|(將人放進) 轎子
#46C128|人推或拉非人力運輸工具
#46C13|坐騎; 馱畜
#46C131|騎馬, 驢, 騾; 騎手, 騎士
#46C1311|騎術學校, manège
#46C13111|中學騎術課?high-school riding
#46C13112|旋轉木馬
#46C1312|騎馬像
#46C1313|騎馬塑像
#46C1314|馬匹和有血緣關係的動物
#46C13141|馬
#46C13141(...)|馬 (馬種名稱)
#46C131411|fighting horses
#46C13142|驢
#46C13143|騾
#46C13144|驢騾
#46C1315|育馬場
#46C1316|上馬鞍和系韁繩
#46C13161|鞍具和韁繩 (鞍具業,鞍具庫)
#46C131611|籠套
#46C131612|嚼口
#46C131613|韁繩
#46C131614|鞍
#46C1316141|(印度)象轎
#46C131615|馬刺
#46C131616|眼罩
#46C131617|馬鞍被
#46C1317|打扮, 洗刷
#46C13171|馬夫
#46C13172|馬刷
#46C1318|運動中的馬
#46C13181|行走 (運動中的馬)
#46C13182|慢跑 (運動中的馬)
#46C13183|奔跑的馬
#46C13184|跳躍 (運動中的馬)
#46C13185|rearing (運動中的馬)
#46C13186|踢 (運動中的馬)
#46C13187|leading a horse by the reins; rider beside his horse
#46C1319|accident with horse (or kindred animal)
#46C13191|bolting, running away (~ horse)
#46C13192|horse throwing rider
#46C13193|horse attacked by wild animal
#46C132|riding on animal other than horse, ass, or mule
#46C133|pack-animal
#46C14|animal traction, animal-drawn vehicle (carriage etc.)
#46C141|hitching up, harnessing ~ animal traction
#46C1411|harness
#46C14111|yoke
#46C14112|other parts of harness
#46C1412|unhitched animal(s) beside wagon
#46C1413|unharnessing
#46C142|two-wheeled, animal-drawn vehicle
#46C1421|two-wheeled vehicle drawn by one animal
#46C1422|two-wheeled vehicle drawn by two animals
#46C1423|two-wheeled vehicle drawn by three animals
#46C1424|two-wheeled vehicle drawn by more than three animals
#46C14241|quadriga
#46C143|three-wheeled, animal drawn vehicle
#46C1431|three-wheeled vehicle drawn by one animal
#46C1432|three-wheeled vehicle drawn by two animals
#46C1433|three-wheeled vehicle drawn by three animals
#46C1434|three-wheeled vehicle drawn by more than three animals
#46C144|four-wheeled, animal-drawn vehicle, e.g.: cab, carriage, coach
#46C1441|four-wheeled vehicle drawn by one animal
#46C1442|four-wheeled vehicle drawn by two animals
#46C1443|four-wheeled vehicle drawn by three animals
#46C1444|four-wheeled vehicle drawn by more than three animals
#46C1444(...)|four-wheeled vehicle drawn by more than three animals (with NUMBER of animals)
#46C145|(farm) wagon, freight wagon, cart
#46C1451|covered wagon, hooded wagon
#46C146|inciting riding-animal or draught-animal
#46C1461|prick, goad
#46C1462|spur
#46C1463|whip
#46C147|diligence, omnibus, horse-tram
#46C148|animal-drawn sledge (Dutch: 'toeslede')
#46C149|accident with animal-drawn vehicle
#46C1491|bolting draught-animals
#46C1492|accident with two-wheeled, animal-drawn vehicle
#46C14921|accident with two-wheeled vehicle, drawn by one animal
#46C14922|accident with two-wheeled vehicle, drawn by two animals
#46C14923|accident with two-wheeled vehicle, drawn by three animals
#46C14924|accident with two-wheeled vehicle, drawn by more than three animals
#46C149241|accident with quadriga
#46C1493|accident with three-wheeled, animal drawn vehicle
#46C14931|accident with three-wheeled vehicle, drawn by one animal
#46C14932|accident with three-wheeled vehicle, drawn by two animals
#46C14933|accident with three-wheeled vehicle, drawn by three animals
#46C14934|accident with three-wheeled vehicle, drawn by more than three animals
#46C1494|accident with four-wheeled, animal-drawn vehicle, e.g.: cab, carriage, coach
#46C14941|accident with four-wheeled vehicle, drawn by one animal
#46C14942|accident with four-wheeled vehicle, drawn by two animals
#46C14943|accident with four-wheeled vehicle, drawn by three animals
#46C14944|accident with four-wheeled vehicle, drawn by more than three animals
#46C14944(...)|accident with four-wheeled vehicle, drawn by more than three animals (with NUMBER of animals)
#46C1495|accident with (farm) wagon, freight wagon, cart
#46C1496|inciting riding-animal or draught-animal ~ accident
#46C14961|prick, goad ~ accident
#46C14962|spur ~ accident
#46C14963|whip ~ accident
#46C1497|accident with diligence, omnibus, horse-tram
#46C1498|accident with animal-drawn sledge (Dutch: 'toeslede')
#46C15|鐵路交通
#46C151|railway, tramway; rack railway
#46C1511|railway, train
#46C15111|freight train
#46C15112|passenger train
#46C1512|tramway, tram
#46C15121|tram
#46C1513|rack railway
#46C152|locomotive
#46C1521|steam locomotive
#46C1522|diesel locomotive
#46C1523|electric locomotive
#46C1529|other types of locomotive
#46C1529(...)|other types of locomotive (with NAME of type)
#46C153|railway-coach, railway-carriage, wagon
#46C1531|passenger carriage
#46C1532|railway wagon
#46C154|signal system (railway, tramway)
#46C1541|signal-box, signal-station (railway, tramway)
#46C1542|unguarded level-crossing (railway, tramway)
#46C1543|guarded level-crossing (railway, tramway)
#46C1544|signal (railway, tramway)
#46C155|station; shelter (railway, tramway)
#46C1551|platform (railway, tramway)
#46C1552|waiting room (railway, tramway)
#46C1559|(other) buildings, constructions ~ railway, tramway
#46C15591|depot ~ railway, tramway
#46C156|underground railway, 'métro'
#46C1561|underground station
#46C157|monorail
#46C158|suspension railway
#46C1581|funicular railway
#46C159|railway-accident
#46C1591|accident with railway, tramway; rack railway
#46C1592|accident with locomotive
#46C1593|accident with railway-coach, railway-carriage
#46C1594|signal system (railways) ~ accident
#46C15941|signal-box, signal-station ~ accident
#46C15942|accident on unguarded level-crossing (railways)
#46C15943|accident on guarded level-crossing (railways)
#46C1595|accident in station; shelter (railways)
#46C1596|accident in underground railway
#46C15961|accident in underground station
#46C1597|accident with monorail
#46C1598|accident with suspension railway
#46C15981|accident with funicular railway
#46C16|公路上機動車交通
#46C161|automobile
#46C1611|three-wheeled automobile, car
#46C162|bus, coach
#46C163|truck, van
#46C164|amphibian vehicle
#46C165|motor-cycles and other two-wheeled motor-vehicles
#46C166|other motor-vehicles not meant or mentioned above
#46C1661|tractor
#46C167|parts, attachments of a motor vehicle
#46C1671|parts of a motor vehicle
#46C1671(...)|parts of a motor vehicle (with NAME)
#46C168|maintenance, repair, storage ~ motor vehicles
#46C1681|service station
#46C16811|petrol pump
#46C16812|repair shop, garage for repairs, supplies etc.
#46C16813|car wash, car wash machine
#46C1682|parking facilities
#46C16821|parking place, car park
#46C16822|parking garage, parking building, multistorey car park
#46C16823|parking meter
#46C168231|parking attendant, metermaid
#46C169|accident with motor-vehicle
#46C1691|accident with automobile
#46C16911|accident with three-wheeled automobile, car
#46C1692|accident with bus, coach
#46C1693|accident with truck, van
#46C1694|accident with amphibian vehicle
#46C1695|accident with motor-cycles or other two-wheeled motor-vehicles
#46C17|sailing-car
#46C18|locomotion on snow and ice (non-sport)
#46C181|sleigh, sledge (non-sport)
#46C1811|horse-sleigh
#46C1812|dog-sleigh
#46C1813|reindeer-sleigh
#46C1814|sledge moved by prickers
#46C182|snow-shoes
#46C183|ice-boat
#46C189|accident on snow or ice
#46C19|wheel (of vehicle)
#46C191|nave, hub (of wheel)
#46C1911|ball-bearing (of wheel)
#46C192|spokes
#46C193|tyre
#46C1931|inner tube
#46C1939|tyre track
#46C199|wheel track
#46C2|traffic on the water
#46C20|'Navigatione' (Ripa)
#46C21|ships (in general)
#46C211|shipyard, shipdock
#46C212|repairing, caulking, careening (~ ship)
#46C2121|dry-dock, floating-dock
#46C213|ship-model
#46C2131|ship-model in bottle
#46C214|ship's portrait
#46C215|parts of ship's exterior
#46C215(...)|parts of ship's exterior (with NAME)
#46C215(ANCHOR)|parts of ship's exterior: anchor
#46C215(BOW)|parts of ship's exterior: bow
#46C215(FIGURE-HEAD)|parts of ship's exterior: figure-head
#46C215(MAST)|parts of ship's exterior: mast
#46C215(RUDDER)|parts of ship's exterior: rudder
#46C215(WINDLASS)|parts of ship's exterior: windlass
#46C216|parts of ship's interior
#46C216(...)|parts of ship's interior (with NAME)
#46C219|improvised and unusual traffic on the water
#46C22|harbouring
#46C221|ship bound for the harbour
#46C222|ship in the roads, roadstead
#46C223|harbour
#46C2231|pier, quay, wharf
#46C2232|mooring-buoy, bollard
#46C2233|gangboard, gangplank
#46C2234|harbour equipment
#46C22341|dock crane
#46C2235|warehouse (~ harbour)
#46C2236|boat-house, shed
#46C2237|ships, boats on land, beached
#46C23|boat propelled by man or animal
#46C231|tow-boat, towing-barge
#46C232|rowing-boat, canoe, etc.
#46C2321|rowing facing forward, pushing
#46C2322|rowing facing backward, pulling
#46C23221|trireme, galley
#46C2323|oaring, sculling
#46C23231|gondola
#46C2324|canoeing
#46C2325|poling, punting
#46C233|boat or vehicle drawn by (fabulous) animal(s) of the sea
#46C24|sailing-ship, sailing-boat
#46C24(...)|sailing-ship, sailing-boat (with NAME)
#46C241|sailing-ship's rigging
#46C2411|parts of sailing-ship's rigging
#46C2411(...)|parts of sailing-ship's rigging (with NAME)
#46C24111|sail
#46C24112|rope-ladder
#46C25|steamship, motorship
#46C251|paddle-wheel boat
#46C252|submarine
#46C253|diving-bell, bathysphere
#46C254|ice-breaker
#46C255|tug, pusher tug
#46C256|freight vessel
#46C2561|motorized barge
#46C257|passenger liner
#46C26|steamsailer
#46C261|motorsailer
#46C27|crew and passengers ~ ship
#46C271|crew ~ ship
#46C2711|seaman
#46C2711(...)|seaman (with NAME of rank)
#46C2711(SAILOR)|seaman: sailor
#46C2712|discipline and punishment (on board)
#46C2713|being out on shore-leave, liberty-man
#46C2719|mutiny on ship
#46C272|passengers ~ ship
#46C273|celebration on board
#46C2731|celebration on board while crossing the equator (Neptune)
#46C279|stowaway ~ ship
#46C28|navigation and manoeuvering ~ ship
#46C280|'Navigatione' (Ripa)
#46C281|signalling ~ navigation
#46C2811|storm-signal ~ navigation
#46C282|position-finding at sea; nautical instruments
#46C2821|position-finding with the help of the stars or the sun
#46C2822|quadrant, sextant, octant (nautical instruments)
#46C2823|astrolabe
#46C283|beacon
#46C2831|lighthouse, lightship
#46C2832|bell-buoy, whistling-buoy
#46C2833|light-buoy
#46C284|fathoming, sounding
#46C285|manoeuvering a ship
#46C2851|on the bridge (manoeuvering)
#46C2852|at the helm (manoeuvering)
#46C2853|pilot-boat
#46C2854|look-out in the crow's nest
#46C286|raising a ship over a bar
#46C2861|rolling bridge (Dutch: 'overtoom')
#46C2862|ship's camel (device used to raise a ship over a bar)
#46C289|ghost-ship, spectral ship
#46C2891|Flying Dutchman (ghost-ship)
#46C29|shipping accident; sickness and death at sea
#46C291|shipwreck
#46C292|drowning, shipwrecked person
#46C2921|lifeboat
#46C2922|raft
#46C2923|falling overboard
#46C29231|being thrown overboard
#46C293|life-saving service
#46C2931|saving a person from drowning
#46C2932|lifebelt, life-buoy
#46C294|wreck ashore
#46C2941|salvaging a wreck
#46C295|luring ships to shipwreck
#46C2951|beach-comber, wrecker
#46C296|sea-sickness
#46C297|sea-burial
#46C298|damage (to a ship)
#46C3|airborne traffic, aviation
#46C31|flying on or with the aid of animal(s)
#46C32|flying on or with the aid of object(s)
#46C33|self-propelled flying
#46C34|balloon (aviation)
#46C35|airship, zeppelin
#46C36|aircraft, aeroplane
#46C361|parts, attachments of aircraft
#46C3611|parts of aircraft
#46C3611(...)|parts of aircraft (with NAME)
#46C362|crew and passengers ~ aviation
#46C3621|crew ~ aviation
#46C36211|flight crew
#46C362111|pilot
#46C36212|flight attendants, cabin crew
#46C362121|air hostess, stewardess, steward, purser
#46C36213|ground crew ~ aviation
#46C3622|air passengers
#46C37|other aircrafts
#46C371|helicopter
#46C372|autogiro (aviation)
#46C373|hover-craft
#46C38|airfield, airport
#46C381|structures, buildings ~ airfield, airport
#46C3811|airport control tower
#46C3812|hangar
#46C39|air-crash, air disaster, flying-accident
#46C4|astronautics, space-travel, interplanetary travel
#46C41|rocket (astronautics)
#46C42|space craft; capsule, station
#46C43|astronaut, cosmonaut
#46C49|UFO, flying saucer
#46C491|beings from outer space
#46C5|travelling; tourism
#46C51|stadia of travel
#46C511|preparations ~ travelling
#46C512|departure ~ travelling
#46C5121|waving farewell ~ departure on a journey
#46C513|'en route', traveller under way
#46C5131|asking the way
#46C5132|studying a map
#46C5133|hitch-hiking
#46C5134|traveller(s) attacked by robber(s)
#46C5135|(traveller) resting 在室外
#46C5136|porter, bearer
#46C514|arrival and return ~ travelling
#46C5141|being welcomed ~ travelling
#46C519|getting lost; having lost one's way; losing one's way
#46C52|hotel, hostelry, inn
#46C521|reception desk (~ hotel)
#46C522|hotel room
#46C53|migrants
#46C54|tourism
#46C541|outing, pleasure trip
#46C542|cultural tour
#46C5421|sightseeing
#46C54211|grand tour
#46C5422|conducted tour
#46C54221|guide (~ conducted tour)
#46C5423|guide-book (~ tourism)
#46C543|world tour, e.g.: world cruise
#46C55|luggage, travel requisites
#46C551|trunk, suit-case
#46C552|knapsack, rucksack
#46C56|souvenir (~ tourism)
#46C57|fictitious journey; journey to the other world, 'accès à un autre monde'
#46CC21|ships (in general) - CC - more than one ship
#46CC211|shipyard, shipdock - CC - more than one ship
#46CC212|repairing, caulking, careening (~ ship) - CC - more than one ship
#46CC2121|dry-dock, floating-dock - CC - more than one ship
#46CC213|ship-model - CC - more than one ship
#46CC2131|ship-model in bottle - CC - more than one ship
#46CC214|ship's portrait - CC - more than one ship
#46CC215|parts of ship's exterior - CC - more than one ship
#46CC215(...)|parts of ship's exterior (with NAME) - CC - more than one ship
#46CC215(ANCHOR)|parts of ship's exterior: anchor - CC - more than one ship
#46CC215(BOW)|parts of ship's exterior: bow - CC - more than one ship
#46CC215(FIGURE-HEAD)|parts of ship's exterior: figure-head - CC - more than one ship
#46CC215(MAST)|parts of ship's exterior: mast - CC - more than one ship
#46CC215(RUDDER)|parts of ship's exterior: rudder - CC - more than one ship
#46CC216|parts of ship's interior - CC - more than one ship
#46CC216(...)|parts of ship's interior (with NAME) - CC - more than one ship
#46CC219|improvised and unusual traffic on the water - CC - more than one ship
#46D|press, journalism
#46D1|oral spreading of news, town crier
#46D2|distributing pamphlets
#46D3|newspaper, news-sheet
#46D31|sale of newspaper, newspaper stand
#46D32|newsboy, newsman
#46D33|delivery (of newspaper)
#46D4|weekly, monthly, magazine, etc.
#46D41|sensational press, 'canard'
#46D5|pressmen
#46D51|editorial board
#46D52|journalist, reporter
#46D53|press photographer
#46D54|interviewing
#46E|post, telegraph and telephone; means of communication
#46E1|messenger
#46E11|messenger's box
#46E12|messenger's badge
#46E13|relay dispatch service, estafette
#46E2|postal service
#46E21|post-office
#46E211|postman
#46E212|mail-coach
#46E2121|stage (~ mail-coach)
#46E213|letter-box, pillar-box
#46E22|postal matter
#46E221|letter, envelope
#46E222|postcard, picture-postcard
#46E223|parcel, packet
#46E224|telegram
#46E225|stamp (~ postal matter)
#46E23|sending and receiving postal matter
#46E231|sending, packing of postal matter
#46E232|delivering; receiving (~ postal matter)
#46E2321|receiving good news, good message
#46E2322|receiving bad news, bad message
#46E3|animal messengers (dog, pigeon)
#46E31|dog (as messenger)
#46E32|pigeon (as messenger)
#46E4|visual signalling
#46E41|flags (~ signalling)
#46E411|flags flown from a mast
#46E412|manual signalling with flags
#46E42|semaphore
#46E43|light, fire, smoke, etc. used for signalling
#46E43(...)|light, fire, smoke, etc. used for signalling (with NAME)
#46E43(ROCKET)|light, fire, smoke, etc. used for signalling: rocket
#46E5|acoustic signalling
#46E51|acoustic signalling without instrument
#46E52|acoustic signalling with instrument
#46E521|bell ~ acoustic signalling
#46E522|megaphone, speaking-trumpet ~ acoustic signalling
#46E523|rattle ~ acoustic signalling
#46E524|siren ~ acoustic signalling
#46E525|whistle ~ acoustic signalling
#46E526|other instruments ~ acoustic signalling
#46E6|electrical and electronic means of (tele)communication
#46E61|(morse) telegraph
#46E610|telegraph (alleg.)
#46E611|telex
#46E612|telegraph pole, telephone pole
#46E62|telephone
#46E621|public call-box
#46E622|(other) telephone equipment
#46E6221|fax machine
#46E6222|mobile phone
#46E6223|answering machine ~ telephone equipment
#46E63|radio, wireless, radio broadcasting
#46E631|radiotelegraph, walkie-talkie
#46E632|radio broadcasting studio
#46E64|television, television broadcasting
#46E641|aerial, antenna; domestic satellite dish
#46E6411|telecommunications tower, antenna tower, radio mast, television tower, TV tower
#46E642|television broadcasting studio
#46E65|phonograph, gramophone; playing recorded sound or video
#46E651|gramophone record, disc, compact disc
#46E652|audio and video playing equipment
#46E6521|audio or video player
#46E653|accessories for audio and video players
#46E6531|audio accessories
#46E65311|amplifier
#46E65312|loudspeaker
#46E653121|headphones
#46E6532|video accessories
#46E65321|monitor, screen
#46E66|tape recorder, video recorder; recording
#46E661|tape, cassette, reel material ~ recording
#46E662|recording equipment and accessories
#46E6621|microphone
#46E663|recording studio
#46E67|telecommunication structure and equipment
#46E671|telecommunications network
#46E6711|computer network
#46E67111|Internet (computer network)
#46E672|communications satellite
#46E673|modem
#46E7|means of determining location
#46E71|acoustical means of determining location
#46E72|optical means of determining location
#46E73|electrical means of determining location
#46E731|radar
#46E8|other means of communication
#46E81|communication by means of 'statue parlanti', such as Marforio and Pasquino in Rome
47|技艺与工业
#470|'Artes Mechanicae' (Lanificium, Armatura, Navigatio, Agricultura, Venatio, Medicina, Theatrica)
#47A|industrial structures
#47A1|exterior of industrial structures, factories
#47A11|workshop
#47A12|factory-building
#47A121|smoke-stack
#47A122|blast-furnace
#47A13|industrial undertakings 在室外
#47A2|interior of industrial structures (regardless of the materials processed or the products made
#47A21|workshop-interior
#47A211|workbench
#47A212|fire, oven, furnace ~ interior of industrial structure
#47A22|factory-interior, machine shop
#47A221|assembly line
#47A23|laboratory, research room
#47B|handicrafts and industries
#47B1|handicrafts, craftsman at work
#47B11|handicrafts ~ metal
#47B111|smith, blacksmith
#47B1111|farrier, shoeing-smith
#47B11111|horseshoe
#47B1112|gun-smith, rifle-maker, armourer
#47B1113|lock-smith
#47B112|coppersmith, brassworker
#47B113|pewterer, tinsmith
#47B114|bell-founder
#47B115|minter
#47B116|other handicrafts ~ metal
#47B116(...)|other handicrafts ~ metal (with NAME of trade or profession)
#47B12|handicrafts ~ precious and semi-precious stones
#47B121|lapidary
#47B122|diamond polisher, diamond cutter
#47B13|handicrafts ~ stone
#47B131|stone-cutter, stone-sawyer
#47B132|stone-breaker
