5|Idées et Concepts Abstraits
71I8|mort de Salomon (1 Rois 11:43)
71I81|enterrement de Salomon
71I811|la tombe de Salomon
71I9|Roboam nommé successeur de Salomon
71K|la division du royaume, et l'histoire d'Israël, le royaume du nord
71K1|la division du royaume (Israël et Juda) (1 Rois 12:1-19; 2 Chroniques 10)
71K11|Roboam, le fils de Salomon, vient à Sichem où le peuple d'Israël s'est réuni pour l'élire roi
71K12|Jéroboam revient de son exil en Égypte
71K13|les tribus du nord demandent à Roboam d'alléger leurs impôts
71K14|Roboam prend conseil : il consulte d'abord les anciens
71K141|Roboam consulte les jeunes gens
71K15|réponse offensante de Roboam : négligeant le conseil des anciens et suivant celui des jeunes gens, Roboam non seulement refuse d'alléger les impôts mais les alourdit
71K16|les tribus du nord se révoltent contre Roboam, qui leur envoie Adoram
71K161|Adoram est tué à coups de pierres; Roboam s'enfuit dans son char à Jérusalem
71K2|histoire du royaume et des rois d'Israël (1re part.)
71K21|histoire de Jéroboam, roi d'Israël (1 Rois 12:20; 12:25 - 14:20)
71K211|les dix tribus du nord élisent Jéroboam roi d'Israël et établissent leur capitale à Sichem (plus tard à Tirça)
71K2111|les villes de Sichem et Peniël sont fortifiées
71K212|l'idolâtrie de Jéroboam
71K2121|Jéroboam place deux veaux d'or, l'un à Béthel, l'autre à Dan
71K2122|le roi Jéroboam nomme des prêtres qui ne sont pas des fils de Lévi
71K2123|Jéroboam offre un sacrifice au veau d'or à Béthel lors de la célébration du festival qu'il a instauré pour le peuple d'Israël
71K21231|un homme de Dieu de Juda vient à Béthel et prédit à Jéroboam la destruction de l'autel
71K21232|comme le roi Jéroboam montre du doigt le prophète et ordonne sa capture, sa main se dessèche (est paralysée) et l'autel se fend
71K21233|le prophète, à la requête du roi, prie Dieu et la main de Jéroboam est guérie
71K21234|le prophète refuse l'invitation à manger avec le roi Jéroboam
71K213|le vieux prophète de Béthel
71K2131|le fils d'un vieux prophète vivant à Béthel raconte à son père tout ce que 'l'homme de Dieu' de Juda a fait
71K2132|le vieux prophète, monté sur un âne, s'en va à la rencontre du prophète de Juda et l'invite à venir dans sa maison
71K2133|comme ils sont assis à table le vieux prophète annonce à son hôte que Dieu l'a condamné à mort pour sa désobéissance
71K2134|le prophète de Juda s'en va avec son âne et en chemin est tué par un lion
71K21341|le cadavre du prophète de Juda gît intact sur le chemin avec l'âne et le lion se tenant à côté
71K2135|le vieux prophète de Béthel, ayant été averti, relève le corps et l'ensevelit dans sa tombe familiale
71K21351|le vieux prophète de Béthel et son fils pleurent le prophète de Juda
71K214|mort d'Abiyya, fils de Jéroboam
71K2141|Abiyya, le fils de Jéroboam, tombe malade
71K2142|le roi Jéroboam dit à sa femme de prendre dix pains, des gâteaux, ainsi qu'une cruche de miel, et d'aller trouver le prophète Ahiyya à Silo
71K2143|la femme de Jéroboam, déguisée, rend visite à Ahiyya, devenu vieux et aveugle; celui-ci ayant été averti par Dieu la reconnaît et lui prédit la mort de son fils, ainsi que la punition d'Israël pour le péché de Jéroboam
71K2144|quand la femme de Jéroboam revient à la maison l'enfant meurt
71K22|histoire de Nadab, fils de Jéroboam, roi d'Israël (1 Rois 15:25-27)
71K221|Nadab et son armée assiègent la ville de Gibbetôn; le roi est tué par un usurpateur, Baasa
71K23|histoire de Baasa, roi d'Israël (1 Rois 15:28 - 16:7)
71K231|Baasa tue tous les membres de la famille de Jéroboam, accomplissant ainsi la prophétie de Ahiyya, et entraîne Israël dans l'idolâtrie
71K232|prophétie de Jéhu : Baasa et sa famille sont avertis par le prophète qu'ils ont provoqué la colère de Dieu
71K24|histoire d'Éla, fils de Baasa, roi d'Israël (1 Rois 16:8-10)
71K241|Zimri, un officier de l'armée, assassine le roi Éla alors que celui-ci est ivre
71K25|histoire de Zimri, roi d'Israël (1 Rois 16:11-20)
71K251|Zimri devient roi et assassine tous les membres de la famille de Baasa
71K252|Omri, le chef de l'armée d'Éla, assiège Zimri dans la ville de Tirça; Zimri, voyant que la ville est prise, met le feu au palais et périt dans ses flammes
71K26|histoire d'Omri, roi d'Israël (1 Rois 16:21-28)
71K261|le peuple d'Israël est divisé en deux; certains veulent Tibni comme roi, d'autres veulent Omri
71K2611|Omri devient roi
71K262|Omri construit Samarie et en fait sa capitale
71K27|histoire d'Achab, fils d'Omri, roi d'Israël
71K271|Achab devient roi (1 Rois 16:29-34)
71K2711|Achab épouse la princesse sidonienne, Jézabel
71K2712|l'idolâtrie d'Achab : il adore des divinités étrangères et construit un temple à Baal en Samarie
71K2713|Hiel reconstruit Jéricho, qui avait été maudite par Josué; ses deux fils, Abiram et Segub, meurent (ou sont sacrifiés)
71K272|la Syrie est vaincue à deux reprises (1 Rois 20:1-34)
71K2721|première guerre syrienne
71K27211|le roi, Ben-Hadad (Bar Hadad) II de Syrie, assiège Samarie
71K27212|des messagers syriens demandent qu'on leur livre l'or d'Achab, son argent, ses femmes et ses enfants; Achab consent
71K27213|une nouvelle députation réclame davantage d'or, d'argent, de femmes et d'enfants; après avoir discuté la chose avec ses sujets, Achab décide de résister
71K27214|un prophète prédit la victoire d'Achab
71K27215|alors que Ben-Hadad est en train de s'enivrer, les Israélites attaquent les Syriens, qui sont vaincus; Ben-Hadad réussit à s'enfuir à cheval
71K2722|deuxième guerre syrienne
71K27221|Ben-Hadad monte avec une nouvelle armée à la ville d'Apheq
71K27222|les Israélites campent, en face des Syriens, en deux groupes (tels deux petits troupeaux de chèvres en comparaison des Syriens); un prophète prédit la victoire d'Israël
71K27223|les Syriens sont vaincus à nouveau; Ben-Hadad s'échappe à l'intérieur de la ville d'Apheq
71K27224|les serviteurs de Ben-Hadad s'entourent la taille de sacs et se mettent des cordes autour du cou
71K272241|les serviteurs de Ben-Hadad se présentent devant Achab et le prient d'épargner la vie de leur roi
71K27225|comme Ben-Hadad arrive, Achab, magnanime, le fait monter dans son char; Achab conclut une alliance avec le roi syrien et le laisse partir
71K273|un prophète condamne le roi Achab (1 Rois 20:35-43)
71K2731|un prophète demande à un compagnon de le frapper : il refuse et est ensuite tué par un lion; un second le frappe et le blesse
71K2732|le prophète blessé attend le roi sur le chemin; après avoir discuté avec lui, il se fait connaître et prédit le châtiment d'Achab
71K274|la vigne de Naboth (~ le roi Achab) (1 Rois 21)
71K2741|Achab convoite la vigne de Naboth
71K2742|Naboth refuse de vendre sa vigne à Achab
71K2743|Achab devient déprimé, il se couche sur son lit, tourne son visage vers le mur et refuse de manger ~ la vigne de Naboth
71K27431|Jézabel réconforte Achab
71K2744|Jézabel complote le meurtre de Naboth et envoie des lettres aux notables de la ville de celui-ci
71K2745|un jour de jeûne est proclamé et une place d'honneur est donnée à Naboth
71K27451|deux hommes accusent faussement Naboth d'avoir blasphémé
71K2746|Naboth meurt lapidé
71K2747|Achab, prenant possession de la vigne de Naboth, est condamné par Élie
71K27471|Achab se repent : il déchire ses vêtements, se couvre de sacs et refuse la nourriture
71K275|troisième guerre contre la Syrie et mort d'Achab (1 Rois 22:1-40)
71K2751|Josaphat, roi de Juda, vient rendre visite au roi Achad, qui propose de reprendre ensemble la guerre contre la Syrie
71K2752|environ quatre cents prophètes sont convoqués : ils prédisent tous la victoire au roi Josaphat et au roi Achab, tous deux assis sur un trône en tenue d'apparat à l'entrée de la porte de Samarie; le prophète Sédécias présente des cornes de fer
71K27521|des messagers sont envoyés chercher le prophète Michée
71K27522|quand Michée se présente devant le roi Achab il prédit un désastre; Sédécias en colère frappe Michée au visage
71K27523|Achab ordonne de jeter Michée en prison
71K2753|Achab déguisé en simple soldat entre dans la bataille
71K27531|les Syriens attaquent le roi Josaphat, qu'ils prennent pour le roi d'Israël, jusqu'à ce qu'ils réalisent leur erreur; un soldat syrien tire une flèche au hasard et frappe Achab
71K27532|pendant que la bataille fait rage, Achab blessé reste maintenu debout dans son char face aux Syriens
71K2754|Achab meurt et est enterré à Samarie
71K27541|le char et l'armure d'Achab sont lavés à l'étang de Samarie; les chiens lèchent son sang, accomplissant ainsi la prophétie d'Élie
71K28|histoire d'Ochozias, fils d'Achab, roi d'Israël (1 Rois 22:51-53; 2 Rois 1)
71K281|Ochozias adorant Baal
71K282|mort d'Ochozias
71K2821|Ochozias tombe par le treillis, ou bien par la fenêtre, de la chambre haute du palais
71K2822|étant sérieusement blessé, Ochozias envoie des messagers consulter Baal Zebud
71K29|histoire de Jéhoram (Yoram), fils d'Achab, roi d'Israël
71K291|guerre contre Moab ~ histoire de Jéhoram (2 Rois 3)
71K2911|le roi Mésha de Moab se révolte contre Israël
71K2912|le roi Josaphat de Juda se joint aux Israélites et aux Édomites pour combattre Moab
71K2913|après avoir marché pendant sept jours l'armée manque d'eau ~ guerre contre Moab
71K2914|les trois rois, d'Israël, de Juda et d'Édom, consultent Élie
71K29141|tandis qu'un musicien joue de la musique, Élie dit aux trois rois de creuser des fosses et annonce que Dieu leur donnera la victoire
71K29142|au matin, après la prédiction d'Élie, de l'eau venant d'Édom se met à couler
71K2915|les Moabites sont vaincus, leurs villes détruites et leurs champs couverts de pierres
71K2916|le roi de Moab sacrifie à son dieu son propre fils sur la muraille de la ville
71K29161|les Israélites, terrifiés, retournent dans leur propre pays
71K292|le siège de Samarie (2 Rois 6:24- 7)
71K2921|le roi Ben-Hadad de Syrie assiège la ville de Samarie, si bien qu'une famine y règne
71K2922|comme le roi Jéhoram marche sur les remparts de la ville, une mère l'aborde et accuse une femme - qui l'avait entraînée à manger son fils avec elle en lui promettant de manger ensuite ensemble le sien - de se dérober à son engagement en cachant son enfant
71K29221|le roi Jéhoram, consterné, déchire ses vêtements et décide de tuer Élie
71K2923|le roi Jéhoram envoie un homme pour tuer Élie
71K29231|le roi Jéhoram vient auprès d'Élie, qui prédit l'abondance
71K292311|l'écuyer de Jéhoram exprime des doutes
71K2924|quatre lépreux, qui étaient stationnés à l'entrée de la ville, décident d'aller au camp syrien
71K29241|les quatre lépreux découvrent que les Syriens ont quitté le camp en abandonnant leurs tentes et leurs chevaux
71K29242|les quatre lépreux mangent, boivent et pillent le camp syrien
71K29243|les quatre lépreux apportent la nouvelle aux gardes de la porte de Samarie
71K2925|le roi Jéhoram envoie quelques hommes dans deux chars pour découvrir ce qui s'est passé
71K2926|le peuple de Samarie se rue dehors et pille le camp syrien
71K29261|dans la mêlée, l'écuyer de Jéhoram, qui avait douté de la prophétie d'Élie et qui était de service à la porte de la ville, meurt piétiné
71K293|guerre contre le roi Hazaël de Syrie (2 Rois 8:28-29)
71K2931|le roi Ochozias de Juda se joint au roi Jéhoram d'Israël pour combattre la Syrie
71K2932|les armées se heurtent à Ramot; Jéhoram est blessé au cours du combat ~ guerre contre le roi Hazaël de Syrie
71K294|mort de Jéhoram d'Israël et d'Ochozias de Juda (2 Rois 9:14-29)
71K2941|Jéhoram va à Yizréel pour faire soigner ses blessures et reçoit la visite du roi Ochozias de Juda
71K2942|Jéhu complote le meurtre de Jéhoram avec ses compagnons d'armes
71K2943|comme Jéhu et ses hommes arrivent à la porte de la ville de Yizréel, des messagers de Jéhoram sont envoyés pour découvrir s'ils sont amis ou ennemis
71K2944|lorsque les messagers ne reviennent pas, Jéhoram fait venir son char et sort à la rencontre de Jéhu avec le roi Ochozias
71K2945|Jéhoram, réalisant la trahison de Jéhu, vire son char pour s'enfuir, mais Jéhu tire une flèche qui atteint Jéhoram dans le dos; le roi s'écroule mort dans son char
71K29451|Jéhu ordonne de jeter le corps de Jéhoram dans le champ qui avait appartenu à Naboth
71K2946|mort d'Ochozias
71K29461|Ochozias, poursuivi par Jéhu et ses hommes, s'enfuit dans son char; il est mortellement blessé, mais parvient à atteindre la ville de Megiddo, où il meurt peu après
71K294611|Ochozias est découvert par Jéhu alors qu'il se cachait à Samarie; il est abattu (2 Chroniques 22:9)
71K29462|le corps d'Ochozias est amené à Jérusalem et enterré
71K3|histoire du royaume et des rois d'Israël (2e part.)
71K31|histoire de Jéhu, roi d'Israël (2 Rois 9:30 - 10:36)
71K311|la fin de la lignée d'Achab
71K3111|la toilette de Jézabel : elle arrange sa coiffure et farde ses yeux
71K3112|Jézabel se penche à la fenêtre et se moque de Jéhu, qui entrait à Yizréel
71K3113|Jézabel est jetée par la fenêtre par deux eunuques
71K31131|Jéhu fait passer ses chevaux sur le corps de Jézabel
71K31132|des chiens dévorent le cadavre de Jézabel
71K3114|les descendants d'Achab sont tués et leurs têtes sont entassées en deux tas à l'entrée de la ville
71K3115|les parents du roi Ochozias, en route vers Yizréel, sont massacrés
71K3116|Jéhu rencontre Yonadab, qui promet de le soutenir
71K312|les adorateurs de Baal sont tués
71K3121|Jéhu, prétendant vouloir offrir un grand sacrifice à Baal, convoque tous les prophètes de Baal, ses adorateurs et ses prêtres
71K3122|rassemblement dans le temple de Baal
71K31221|dès que Jéhu a achevé d'offrir les sacrifices, il ordonne à ses soldats de tuer tous les adhérents de Baal
71K31222|les statues de Baal sont détruites et brûlées
71K313|suite du règne de Jéhu
71K3131|Jéhu maintient le culte des veaux d'or
71K3132|Hazaël de Syrie s'empare du territoire israélien à l'est du Jourdain
71K3133|mort de Jéhu
71K32|histoire de Joachaz, fils de Jéhu, roi d'Israël (2 Rois 13:1-9)
71K321|Israël est opprimé par Hazaël et Ben-Hadad III de Syrie
71K33|histoire de Joas, fils de Joachaz, roi d'Israël (2 Rois 13:10-13, 14:8-16)
71K331|guerre entre Israël et la Syrie
71K3311|Joas vainc à trois reprises Ben-Hadad III de Syrie
71K332|guerre entre Israël et Juda
71K3321|le roi Amasias de Juda envoie des messagers au roi Joas, le défiant au combat
71K3322|la réponse du roi Joas : il exhorte Amasias à la modération (la parabole du cèdre et du chardon)
71K3323|les gens de Juda sont battus et Amasias est fait prisonnier
71K3324|la muraille de Jérusalem est partiellement démolie; les trésors du temple et du palais ainsi que des otages sont emmenés à Samarie
71K34|histoire de Jéroboam II, fils de Joas, roi d'Israël (2 Rois 14:23-29)
71K341|Jéroboam II récupère tout le territoire pris par les Syriens et s'empare de Damas
71K342|le relâchement des moeurs prédomine durant le règne de Jéroboam II
71K35|histoire de Zacharie, fils de Jéroboam II, roi d'Israël (2 Rois 15:8-12)
71K351|Zacharie est assassiné par Shallum
71K36|histoire de Shallum, roi d'Israël (2 Rois 15:13-14)
71K361|Shallum est tué par Menahem
71K37|histoire de Menahem (2 rois 15:16-22)
71K371|Menahem détruit la ville de Tifsah
71K372|les Assyriens envahissent Israël et Menahem s'empresse de payer tribut à leur roi, Téglath-Phalasar (Pul)
71K38|histoire de Péqahya, fils de Menahem, roi d'Israël (2 Rois 15:23-26)
71K381|Péqahya est tué par Péqah, son chef de l'armée
71K39|histoire de Péqah, roi d'Israël (2 Rois 15:27-31)
71K391|les Assyriens conquièrent une partie d'Israël et emmènent beaucoup de prisonniers en Assyrie
71K392|Osée complote contre Péqah et l'assassine
71K4|histoire du royaume et des rois d'Israël (3e part.
71K41|histoire de Osée (Hochéa), roi d'Israël (2 Rois 17:1-4)
71K411|Osée paie tribut au nouveau souverain assyrien : Salmanasar IV
71K412|Osée conspire avec l'Égypte contre l'Assyrie
71K4121|Osée est arrêté et mis en prison
71K42|la chute de Samarie (2 Rois 17:5-6)
71K421|le roi Salmanasar assiège Samarie
71K422|les dix tribus sont emmenées en exil en Assyrie
71K43|de nouveaux habitants s'installent en Samarie (2 Rois 17:24-41)
71K431|le roi Salmanasar établi de nouveaux habitants en Samarie
71K432|des lions envoyés par Dieu tuent certains des nouveaux habitants de Samarie
71K433|un prêtre israélite, déporté en Assyrie, est renvoyé à Béthel où il enseigne la façon d'honorer Dieu
71K434|les Samaritains honorent Dieu mais continuent également à adorer leurs propres dieux
71L|le royaume divisé : histoire du royaume du sud (Juda)
71L1|histoires des rois et du royaume de Juda (1re part.)
71L11|histoire de Roboam, roi de Juda (1 Rois 12:21-24, 14:21-31)
71L111|la prophétie de Shemaya
71L1111|Roboam, rentré de Jérusalem à Sichem, rassemble une armée afin de rétablir son contrôle sur les tribus du nord
71L1112|le prophète Shemaya exhorte le roi et les peuples des deux tribus du sud à ne pas combattre leurs frères israélites
71L112|l'Égypte envahit Juda
71L1121|le roi Shishaq (Sesac) d'Égypte s'empare des villes fortifiées de Juda et attaque Jérusalem (2 Chroniques 12:4)
71L1122|le prophète Shemaya blâme Roboam et les chefs de Juda; ils reconnaissent leur faute (2 Chroniques 12:5-7)
71L1123|Shishaq pille le trésor du temple
71L1124|Roboam fait faire des boucliers de cuivre pour remplacer ceux en or enlevés par les Égyptiens
71L113|autres actes et mort de Roboam
71L1131|le peuple de Juda vénère des idoles
71L1132|Roboam fortifie des villes (2 Chroniques 11:5-12)
71L1133|des prêtres et des Lévites d'Israël cherchent refuge en Juda (2 Chroniques 11:13-17)
71L1134|la famille de Roboam (2 Chroniques 11:18-23)
71L1135|mort et enterrement de Roboam (1 Rois 14:31; 2 Chroniques 12:15-16)
71L12|histoire d'Abiam (Abiyya), fils de Roboam, roi de Juda (1 Rois 15:1-8)
71L121|Abiam est proclamé roi
71L122|guerre d'Abiam contre Jéroboam d'Israël
71L1221|quand les deux armées se rencontrent, le roi Abiam gravit le mont Çemarayim, du haut duquel il exhorte Jéroboam et son armée à ne pas se battre (2 Chroniques 13:4-13)
71L12211|Jéroboam et son armée encerclent les hommes de Juda
71L1222|Abiam bat Jéroboam et conquiert quelques-unes de ses villes (2 Chroniques 13:14-19)
71L13|histoire d'Asa, fils d'Abiam, roi de Juda (1 Rois 15:9-24; 2 Chroniques 14-16
71L131|réformes religieuses d'Asa
71L1311|Asa détruit les idoles et interdit le culte dans les hauts lieux
71L13111|Asa prive sa grand-mère, Maaka, de sa fonction de reine-mère, parce qu'elle avait érigé une idole dans un bosquet
71L13112|Asa rétablit le trésor du temple
71L1312|l'alliance d'Asa avec Dieu
71L13121|Azarias prédit que l'oeuvre d'Asa sera récompensée par Dieu
71L13122|le peuple se rassemble à Jérusalem; il offre des sacrifices et fait le serment de n'adorer que Dieu
71L132|Asa bat les Nubiens
71L1321|le roi Zérah envahit Juda avec une grande armée et rencontre Asa et son armée dans la vallée de Çephata
71L13211|Asa prie Dieu pour de l'aide
71L1322|les hommes de Juda détruisent et saccagent les villes des Nubiens
71L133|le guerre d'Asa contre Baasa d'Israël
71L1331|Baasa envahit Juda et fortifie Rama
71L1332|Asa envoie de l'argent et de l'or au roi Ben-Hadad de Syrie et propose une alliance
71L1333|le roi syrien, ayant accepté l'alliance avec Asa, attaque Israël et s'empare de plusieurs villes
71L1334|Asa fait enlever les pierres et le bois utilisés par Baasa pour fortifier Rama et s'en sert pour consolider Miçpa et Guèva
71L134|le prophète Hanani
71L1341|le prophète Hanani reproche au roi d'avoir conclu une alliance avec la Syrie
71L1342|Asa fait mettre le prophète en prison
71L135|la fin du règne d'Asa
71L1351|dans sa vieillesse Asa est atteint d'une maladie au pied
71L13511|Asa a recours à des médecins et non à Dieu
71L1352|mort et enterrement d'Asa
71L14|histoire de Josaphat, fils d'Asa, roi de Juda (1 Rois 22:41-51; 2 Chroniques 17-20)
71L141|Josaphat établit son royaume
71L1411|Josaphat supprime le culte des idoles, comme son père Asa l'avait fait
71L1412|tout Juda apporte des présents à Josaphat
71L1413|Josaphat envoie des prêtres à travers le pays pour enseigner la loi
71L1414|Josaphat touche des tributs des rois voisins
71L1415|autres réformes militaires et religieuses de Josaphat
71L142|guerre contre les Moabites, Maonites et les fils d'Ammon
71L1421|Josaphat prie Dieu pour qu'il le guide
71L14211|Yahaziël, le Lévite, encourage Josaphat à combattre les envahisseurs
71L1422|les hommes de Juda, avec des chanteurs à la tête de l'armée, créent la panique parmi les armées envahissantes, qui finissent par se détruire entre elles
71L1423|rassemblement du butin ~ guerre contre les Moabites, les Maonites et les fils d'Ammon
71L1424|rentrée triomphale à Jérusalem ~ guerre contre les Moabites, les Maonites et les fils d'Ammon
71L143|Josaphat s'associe à Ochozias d'Israël pour la construction d'une flotte à Éciôn-Guèvèr
71L1431|Éliézer avertit le roi Josaphat que le projet déplaît à Dieu
71L1432|la flotte fait naufrage ~ Josaphat et Ochozias
71L15|histoire de Jéhoram (Yoram), fils de Josaphat, roi de Juda (2 Rois 8:16-24; 2 Chroniques 21)
71L151|Jéhoram devient roi de Juda
71L1511|Jéhoram fait tuer tous ses frères
71L1512|Jéhoram épouse Athalie, fille d'Achab et de Jézabel d'Israël, et permet à la population de Juda de revenir au culte des idoles
71L152|Édom se révolte contre Juda
71L1521|Jéhoram et ses officiers vont à la conquête d'Édom
71L1522|Jéhoram et ses officiers sont encerclés par l'armée édomite mais parviennent à s'évader la nuit
71L153|la fin du règne de Jéhoram
71L1531|Élie envoie une lettre à Jéhoram prédisant son châtiment
71L1532|des Philistins et des Arabes envahissent Juda, pillent le palais royal et emmènent les femmes et les fils de Jéhoram, sauf Ochozias
71L1533|Jéhoram atteint d'une maladie des intestins meurt dans de terribles souffrances
71L16|histoire d'Ochozias, fils de Jéhoram, roi de Juda (2 Rois 8:25-29; 2 Chroniques 22:1-9)
71L17|histoire d'Athalie, reine de Juda (2 Rois 11:1-3, 11:13-16; 2 Chroniques 22:10-12, 23:12-15)
71L171|Athalie s'empare du trône à la mort de son fils, Ochozias
71L1711|Athalie fait périr tous les membres de la famille royale
71L1712|Joas est sauvé par sa tante Josabeth
71L172|mort d'Athalie : des soldats s'emparent d'elle et l'emmènent au palais à l'entrée des chevaux, où ils la tuent
71L18|histoire de Joas, fils d'Ochozias, roi de Juda (2 Rois 11:4 - 12:21; 2 Chroniques 23-24)
71L181|Joas est proclamé roi à l'âge de sept ans
71L1811|Joas est élevé au temple par Josabeth et par le prêtre, Joad
71L1812|Joad rassemble un groupe de soldats, leur présente Joas et les persuade à lui prêter serment
71L1813|Joas, protégé par les soldats, est couronné et sacré roi; le peuple l'acclame
71L18131|Athalie, entendant le bruit des gens acclamant Joas, se dirige vers le temple et voit le nouveau roi qui se tient près de la colonne; de dépit elle déchire ses vêtements
71L1814|le peuple détruit le temple, les autels et les statues de Baal, et tue les prêtres de Baal
71L182|les exploits honorables de Joas
71L1821|le temple est réparé (~ exploits honorables de Joas)
71L18211|un tronc est placé dans le temple
71L18212|l'argent du tronc placé dans le temple est utilisé à payer les ouvriers
71L183|Joas fait volte-face et le peuple revient au culte des idoles
71L1831|mort de Joad
71L1832|Zacharie, fils de Joad, prévient le peuple
71L18321|sur ordre du roi le peuple lapide Zacharie dans la cour du temple
71L184|le roi Hazaël de Syrie attaque Juda et Jérusalem
71L1841|les trésors du temple et du palais sont offerts au roi Hazaël; celui-ci retire alors son armée
71L185|mort de Joas : deux officiels complotent sa mort et le tuent
71L1851|Joas est tué sur son lit
71L19|histoire d'Amasias, fils de Joas, roi de Juda (2 Rois 14:1-21; 2 Chroniques 25)
71L191|Amasias devient roi et fait exécuter les deux officiels qui avaient tué son père
71L192|la victoire d'Amasias sur Édom
71L1921|Amasias réorganise l'armée et recrute des troupes en Israël
71L19211|un prophète vient avertir le roi Amasias de ne pas prendre les soldats israélites avec lui; ils sont renvoyés
71L1922|les prisonniers édomites sont menés au sommet d'un rocher du haut duquel ils sont précipités
71L1923|Amasias adorant les idoles édomites
71L19231|un prophète condamne Amasias
71L193|Amasias est assassiné à Lakish; son corps est ramené à Jérusalem sur un cheval
71L2|histoire des rois et du royaume de Juda (2e part.)
71L21|histoire d'Ozias (Azarias), fils d'Amasias, roi de Juda (2 Rois 15:1-7; 2 Chroniques 26)
71L211|activités publiques d'Ozias
71L2111|Ozias fait la guerre contre les Philistins
71L2112|les fortifications de Jérusalem sont consolidées ~ histoire d'Ozias
71L2113|le roi Ozias tient une grande armée sur pied de guerre
71L212|l'impiété d'Ozias
71L2121|Ozias devient hautain et brave Dieu en brûlant de l'encens sur l'autel; Azarias, le prêtre, se dresse contre lui, sur quoi le roi se met en colère et est frappé de lèpre sur le front
71L2122|les prêtres forcent Ozias à quitter le temple
71L22|histoire de Yotam, fils d'Ozias, roi de Juda (2 Rois 15:32-38; 2 Chroniques 27)
71L221|Yotam construit la porte nord du temple et consolide l'enceinte de la ville
71L222|Yotam triomphe des Ammonites
71L23|histoire d'Achaz, fils de Yotam, roi de Juda (2 Rois 16; 2 Chroniques 28)
71L231|l'apostasie d'Achaz
71L2311|le roi Achaz brûle son fils par le feu
71L2312|de Damas Achaz envoie à Urie, le prêtre, le modèle d'un autel syrien; l'autel est reproduit et placé dans le temple à Jérusalem
71L2313|le temple est modifié et certaines parties sont fermées ~ l'apostasie d'Achaz
71L232|guerre avec la Syrie et avec Israël ~ histoire d'Achaz
71L2321|le roi Raçon de Syrie et le roi Péqah d'Israël battent Achaz et font beaucoup de prisonniers
71L2322|Oded, un prophète, vient au-devant de l'armée israélite, qui rentrait avec les prisonniers judéens, et exhorte les Israélites à renvoyer les captifs
71L2323|quatre hommes sont désignés pour donner des vêtements et de la nourriture aux prisonniers judéens, et tous sont ramenés en Juda ~ la guerre d'Achaz contre la Syrie et Israël
71L233|Achaz demande l'aide des Assyriens ~ guerre contre la Syrie et Israël
71L2331|les Édomites dévalisent de nouveau Juda
71L2332|Achaz prend l'argent et l'or du temple et du palais et en fait présent à Téglath-Phalasar
71L2333|Téglath-Phalasar, le roi assyrien, s'empare de Damas et tue Raçon
71L24|histoire d'Ezéchias, fils d'Achaz, roi de Juda (2 Rois 18-20; 2 Chroniques 29-32)
71L241|réformes religieuses d'Ezékias
71L2411|Ezékias détruit les hauts lieux
71L2412|Ezékias brise les idoles
71L24121|Ezékias met en pièces le serpent d'airain de Moïse
71L2413|la purification du temple ~ histoire d'Ezékias
71L24131|le temple est réparé ~ histoire d'Ezékias
71L24132|le roi Ezékias rassemble les Lévites et les prêtres et leur ordonne de rétablir le service du temple
71L2414|le temple est consacré à nouveau ~ histoire d'Ezékias
71L24141|sept boeufs, sept béliers, sept agneaux et sept chèvres sont offerts; le peuple chante accompagné par les prêtres jouant de la trompette, de la harpe et des cymbales ~ histoire d'Ezékias
71L2415|la Pâque est célébrée de nouveau à Jérusalem ~ Ezékias
71L24151|préparatifs de la Pâque : des messagers sont envoyés à travers le pays
71L241511|le peuple se moque des messagers, envoyés par Ezékias à travers le pays
71L24152|une deuxième célébration de la Pâque est accomplie ~ Ezékias
71L2416|Ezékias réforme la vie religieuse
71L24161|le peuple apporte des présents au temple ~ histoire d'Ezékias
71L242|Ezékias bat les Philistins
71L243|guerre contre les Assyriens ~ histoire d'Ezékias (2 Rois 18:9 - 19:37; Isaïe 36-37)
71L2431|Ezékias secoue le joug assyrien
71L2432|Sennachérib, roi d'Assyrie, envahit Juda et s'empare de plusieurs villes
71L24321|Ezékias paie un large tribut au roi : les trésors du palais et du temple
71L2433|Sennachérib envoie une armée avec Rab-sakeh pour attaquer Jérusalem
71L24331|Ezékias, pour la défense de Jérusalem, obture les eaux des sources en dehors de la ville
71L24332|le rempart de Jérusalem est réparé et des tours sont élevées dessus
71L24333|Ezékias rassemble une armée et harangue ses soldats
71L2434|les Assyriens arrivent à Jérusalem et envoient chercher le roi ~ histoire d'Ezékias
71L24341|trois émissaires quittent la ville de Jérusalem pour rencontrer les Assyriens; depuis le rempart de la ville le peuple suit la discussion
71L243411|un des officiels assyriens (Rab-sakeh) crie d'une voix forte au peuple et les presse à se rendre ~ Ezékias en guerre contre les Assyriens
71L243412|le peuple de Jérusalem garde le silence et refuse de répondre ~ Ezékias en guerre contre les Assyriens
71L24342|Ezékias en entendant le rapport des trois émissaires déchire de douleur ses vêtements ~ guerre contre les Assyriens
71L2435|le roi Ezékias demande l'avis d'Isaïe
71L24351|le roi Ezékias envoie trois hommes couverts de toiles de sac à Isaïe
71L2436|Ezékias reçoit une lettre de Sennachérib contenant une nouvelle menace
71L24361|Ezékias prie Dieu pour la libération
71L2437|Isaïe prédit le retrait des Assyriens
71L2438|la nuit, l'ange du Seigneur frappe dans le camp assyrien : 185.000 soldats sont tués
