5|Ideas abstractas y conceptos
71L32|historia de Sedecías, rey de Judá (2 Reye:18 - 25:21; 2 Crónicas 36:11-21; Jeremías 52:1-30)
71L321|Nabucodonosor hace rey a Matanías, tío de Joaquin, y cambia su nombre por Sedecías
71L322|segundo asedio de Jerusalén ~ historia de Sedecías
71L3221|Nabucodonosor y su ejército acampan fuera de la ciudad de Jerusalén (segundo asedio de Jerusalén)
71L3222|la hambruna asola la ciudad de Jerusalén ~ historia de Sedecías
71L3223|se abre una brecha en las murallas de Jerusalén; Sedecías y los soldados escapan durante la noche
71L3224|Sedecías es capturado por los Babilonios
71L32241|Sedecías es encadenado y llevado ante Nabucodonosor
71L32242|los hijos de Sedecías son ejecutados ante él
71L322421|los dignatarios de Judá son ejecutados ~ historia de Sedecías
71L32243|se sacan los ojos a Sedecías
71L323|la caída de Jerusalén ~ historia de Sedecías
71L3231|Nebuzaradan, jefe del ejército Babilonio, quema el templo y el palacio de Jerusalén ~ segundo asedio de Jerusalén
71L3232|el templo de Jerusalén es pillado ~ historia de Sedecías
71L3233|las murallas de Jerusalén son demolidas ~ historia de Sedecías
71L3234|el sumo sacerdote y todos los dignatarios que quedaban en la ciudad de Jerusalén son llevados ante Nabucodonosor, torturados y dados muerte
71L3235|el pueblo de Judá, salvo los más pobres, son llevados a Babilonia ~ historia de Sedecías
71L33|Godolías, gobernador de Judá (2 Reyes 25:22-26)
71L331|Godolías es nombrado gobernador del país por Nabucodonosor en Misfa
71L332|Godolías persuade a Jojanan y algunos oficiales y soldados que no se habían rendido de que se instalen en Judá y sirvan al rey de Babilonia
71L333|Ismael y sus hombres atacan Misfa y matan a Godolías
71L3331|Godolías es asesinado mientras come con Ismael y sus hombres (Jeremías 41:1-2)
71L334|ochenta hombres venidos a ofrecer sacrificios al templo son asesinados y sus cuerpos arrojados a una cisterna
71L335|Yojanán y el resto de los judeos se escapan y huyen a Egipto (Jeremías 41:16-18)
71L4|la cautividad en Babilonia de los judíos
71M|historia de Elías
71M1|Elías junto al torrente Querit ( 1 Reyes 17:1-6)
71M11|Elías anuncia al rey Acab que Dios mandará una larga sequía al país en castigo por la apostasía de Israel
71M12|Elías alimentado por los cuervos: mientras el profeta vive junto al arroyo, los cuervos le traen comida
71M2|Elías y la viuda de Sarepta (1 Reyes 17:7-24)
71M21|cuando el arroyo se seca, Elías se dirige a la ciudad de Sarepta; a la entrada se encuentra una mujer y su hijo pequeño recogiendo leña
71M211|Elías pide a la viuda Sarepta que le traiga algo de comida
71M22|Elías alimentado por la viuda de Sarepta
71M221|el milagro de la tinaja de harina y la vasija de aceite: para recompensar  la caridad de la  mujer, Elías hace que, mientras dure la carestía, no disminuya ni la harina ni el aceite
71M23|Elías devuelve la vida al hijo de la viuda de Sarepta
71M231|el hijo de la viuda de Sarepta cae enfermo de muerte
71M232|la viuda de Sarepta se queja a Elías
71M233|Elías toma al hijo de la viuda de Sarepta y le lleva al piso superior
71M234|Eliás acuesta al niño de la viuda de Sarepta en su cama y se tiende tres veces sobre el niño
71M2341|Elías ora a Dios ~ historia de la viuda de Sarepta
71M235|Elías entrega el niño revivido a su madre, la viuda de Sarepta
71M3|Elías se encuentra de nuevo con Acab (1 Reyes 18:1-19)
71M31|eventos preliminares
71M311|la piedad de Abdías, gobernador de la casa de Acab: cuando la reina Jezabel mata a los sacerdotes del Señor, Abdías esconde a cien de ellos en una caverna, y les suministra alimentos
71M312|Acab recorre el país en busca de Elías y obliga a sus hombres a jurar que no han podido encontrar al profeta
71M32|Dios ordena a Elías que se presente ante el rey Acab
71M33|en lo peor de la hambruna, Acab ordena a Abdías que vaya a buscar hierba para los caballos y las mulas
71M34|de camino, Abdías se encuentra a Elías, que le manda llamar al rey
71M35|Abdías informa a Acab, que va al encuentro de Elías
71M36|Acab es amonestado por Elías, que le pide que reuna en el monte Carmel a los sacerdotes de Baal para una prueba
71M4|Elías desafía a los sacerdotes de Baal; final de la sequía (1 Reyes 18:20-46)
71M41|Acab hace reunirse a los sacerdotes de Baal y al pueblo de Israel en el monte Carmel
71M42|Elías se dirige al pueblo
71M43|se levantan dos altares para sadrificios ~ historia de Elías
71M431|un altar es preparado por los fieles de Baal, y un buey colocado sobre él; todos los gritos, danzas salvajes y auto-mutilaciones de los sacerdotes son en vano
71M4311|Elías se burla de los fieles de Baal
71M432|Elías toma doce piedras y repara el altar en ruinas; él prepara su sacrificio
71M4321|cuando Elías ora, Dios manda un fuego que quema no sólo el sacrificio, sino también el altar; el pueblo se postra en tierra
71M44|por órden de Elías, los sacerdotes de Baal son llevados al arroyo de Cisón y degollados
71M45|fín de la sequía ~ historia de Elías (1 Reyes 18:42-46)
71M451|Elías sube a la cima del monte Carmel donde se postra en tierra; un siervo es enviado a mirar al mar buscando señales de lluvia
71M4511|el siervo responde que ha visto una pequeña nube ~ historia de Elías
71M452|bajo una lluvia torrencial, Acab vuelve en su carro a Jezrael, con Elías corriendo delante de él
71M5|Elías y el ángel; Elías en el monte Horeb (1 Reyes 19:1-18)
71M51|Jezabel envía un mensaje a Elías amenazando con matarle
71M52|Elías huye al desierto
71M521|Elías se sienta desalentado bajo una retama y se duerme
71M53|un ángel despierta a Elías; generalmente hay un pan y una jarra de agua a su cabecera
71M531|un ángel, con un pan y una jarra (o bien un cáliz), despierta a Elías
71M54|Elías llega al monte Horeb donde vive en una caverna
71M55|tras un viento enfurecido, un terremoto y un fuego, Elías oye la voz de Dios y se cubre la cara con su manto
71M551|Elías en pié a la entrada de la cueva del monte Horeb, escucha a Dios
71M6|la vocación de Eliseo (1 Reyes 19:19-21)
71M61|Elías encuentra a Eliseo arando con unas yuntas de bueyes, y echa su manto sobre él
71M62|Eliseo mata un par de bueyes y cuece con la madera del yugo la carne
71M63|comida de despedida de Eliseo con su padre, su madre y amigos
71M64|Eliseo vertiendo agua en las manos de Elías (2 Reyes 3:11)
71M7|Elías y los mensajeros del rey Ocozías (2 Reyes 1:3-16)
71M71|un ángel ordena a Elías que vaya al encuentro de los mensajeros del rey Ocozías
71M72|Elías devuelve los mensajeros al rey Ocozías con el mensaje de que morirá pronto
71M73|tras informar los mensajeros a Ocozías, el rey manda a un oficial con cincuenta hombres a prender a Elías
71M74|cuando alcanzan a Elías, desciende un fuego que mata a los oficiales y a sus hombres; lo mismo ocurre a su reemplazo
71M75|un tercer oficial es enviado por el rey Ocozías; que cae de rodillas y pide a Elías que perdone su vida y la de sus hombres
71M751|un ángel aconseja a Elías que vaya con el oficial a ver al rey
71M76|Elías va a Ocozías y profetiza su muerte
71M8|la ascensión de Elías (2 Reyes 2:1-18)
71M81|Elías y Eliseo conversando de camino hacia el Jordán
71M811|Elías y Eliseo pasan las ciudades de Betel y Jericó y en ambos lugares se encuentran con un grupo de jóvenes profetas
71M82|Elías y Eliseo se detienen a las orillas del Jordán; Elías enrrolla su manto y golpea el agua con él: las aguas se separan
71M821|Elías y Eliseo cruzan al otro lado del Jordán
71M83|despedida de Elías: Eliseo pide a Elías tener parte en su espíritu
71M84|un carro y caballos de fuego y un torbellino sobrevienen, llevando a Elías al cielo; el manto de Elías cae (o él se lo cede a Eliseo)
71M85|Eliseo es reconocido como sucesor de Elías
71M851|Eliseo recoje el manto de Elías y vuelve al Jordán
71M852|Eliseo golpea el agua con el manto de Eliseo, divide las aguas y cruza el río; así es reconocido por los hijos de los profetas
71M853|los jóvenes profetas apremian a Eliseo para que les deje ir en busca de Elías; buscan en vano
71M854|Eliseo es bienvenido en Jericó
71M9|otras escenas de la historia de Elías
71M91|nacimiento de Elías
71M911|dos angeles envuelven al niño Elías en llamas
71M92|Enoc recibe a Elías en el cielo
71N|historia de Eliseo
71N1|siete milagros de asistencia ~ historia de Eliseo
71N11|el agua de Jericó es purificada: cuando los ciudadanos de Jericó se quejan del agua, Eliseo echa sal en una jarra; arrojando entonces la sal al agua (2 Reyes 2:19-22)
71N12|el aceite de la viuda: el poco aceite que una mujer tiene guardado aumenta, de modo que ella y su hijo pueden llenar con el aceite muchas jarras que han pedido prestadas (2 Reyes 4:1-7)
71N121|una viuda, apremiada por un acreedor, va a ver a Eliseo, que la manda pedir prestadas tantas jarras como le sea posible
71N13|Eliseo y la Sunamita (2 Reyes 4:8-37, 8:1-6)
71N131|la hospitalidad de la Sunamita
71N1311|Eliseo comiendo con la Sunamita
71N1312|al profeta Eliseo se le da una habitación en la casa de la Sunamita
71N132|a cambio de su hospitalidad Eliseo promete a la Sunamita un hijo
71N1321|nacimiento del hijo de la Sunamita
71N1322|tras unirse a su padre y a los segadores en el campo, el hijo de la Sunamita se desploma
71N1323|el hijo de la Sunamita muere en el regazo de su madre
71N1324|la Sunamita monta en un asno y va al encuentro de Eliseo, se arrodilla ante él agarrando sus pies, y le suplica que vaya con ella
71N1325|Guejazi es enviado a la casa con el bordón de Eliseo; intenta en vano revivir al hijo de la Sunamita
71N133|el hijo de la Sunamita revive
71N1331|Eliseo encuentra al hijo de la Sunamita tendido en su cama y ora a Dios
71N1332|Eliseo se tiende sobre el hijo de la Sunamita
71N1333|Guejazi va en busca de la Sunamita; cuando ésta ve a su hijo vivo, cae a los pies de Eliseo
71N134|la Sunamita y la carestía
71N1341|Eliseo aconseja a la Sunamita que abandone el país
71N1342|a su vuelta, la Sunamita va con su hijo a ver al rey de Israel, al que encuentra conversando con el siervo de Eliseo; y le pide que se le devuelvan su casa y sus tierras; lo que le es concedido
71N14|el potage mortal: Eliseo purifica el potage envenenado echando harina dentro (2 Reyes 4:38-41)
71N141|uno de los hijos de los profetas recoge hierbas y vid silvestre y las echa en una cazuela de potaje; el potaje resulta incomestible
71N15|cien personas son alimentadas con veinte hogazas de pan: Eliseo recibe el pan de las primicias, veinte panes de cebada y espigas nuevas, que hace multiplicarse para dar de comer a cien personas
71N16|la lepra de Namán (2 Reyes 5)
71N161|Namán,  jefe del ejército Sirio, sufre lepra
71N1611|una pequeña sirvienta, cautiva Israelita, dice a su señora que un profeta de Samaria puede curar a su marido
71N16111|se informa a Namán sobre Eliseo
71N1612|Namán va a Samaria con una carta y muchos regalos valiosos del rey de Siria
71N1613|cuando se muestra la carta de Namán al rey de Israel (Joram), éste se rasga las vestiduras desalentado
71N1614|Namán llega a la puerta de casa de Elías; el profeta envía un sirviente a decirle que se lave siete veces en el Jordán
71N1615|Namán se resiste a lavarse siete veces en el Jordán pero sus sirvientes le convencen
71N162|Namán va al Jordán, se sumerge siete veces y se cura
71N1621|Namán presiona a Eliseo para que acepte algunos regalos, pero éste se niega; Namán pide dos mulos cargados  de tierra
71N163|el castigo de Guejazi
71N1631|Guejazi alcanza el carro de Namán; obtiene dos talentos y vestidos, que oculta en casa de Eliseo
71N1632|Eliseo amonesta a Guejazi, y como castigo se le pega la lepra de Namán
71N17|la recuperación de la cabeza del hacha: cuando uno de los hijos de los profetas está cortando un árbol para construir una casa para Eliseo, la cabeza del hacha se le cae al Jordán; Eliseo la hace salir a flote arrojando un palo al agua
71N2|la maldición de los muchachos: cuando Eliseo iba de camino unos muchachos se burlan de él por su calvicie; Eliseo les maldice (2 Reyes 2:23-25)
71N21|dos osos salen del bosque y destrozan a los muchachos que se burlaban de Eliseo
71N3|los Sirios derrotados ~ historia de Eliseo (2 Reyes 6:8-23)
71N31|Eliseo avisa al rey de Israel de las emboscadas planeadas por el rey Sirio, que subsecuentementea envía tropas a capturar al profeta
71N32|cuando el sirviente de Eliseo apercibe las tropas sirias se aterroriza, pero Eliseo le abre los ojos y ve la colina repleta de caballos y carros de fuego
71N33|los sirios llegan ante Eliseo; éste ora a Dios y los sirios son atacados de ceguera
71N34|Eliseo conduce a los sirios ciegos a la ciudad de Samaria
71N341|en Samaria Eliseo devuelve la vista a los sirios y hace que el rey de Israel los alimente y los deje volver en paz a Siria
71N4|Eliseo y Jazael ( 2 Rois 8:7-15)
71N41|Eliseo va a Damasco
71N42|estando enfermo, Ben Adad II, rey de Siria envía a Jazael a consultar a Eliseo
71N43|Jazael va a ver a Eliseo con cuarenta camellos y muchos regalos
71N44|Eliseo llorando anuncia a Jazael que será rey de Siria
71N45|Jazael mata a Ben Adad: moja un paño en agua y axfisia al rey con él
71N46|Jazael se transforma en rey de Siria
71N5|Eliseo hace consagrar a Jehú rey de Jerusalén (2 Reyes 9:1-13)
71N51|Eliseo envía a Ramot a uno de los hijos de los profetas con una redoma de óleo para ungir a Jahú
71N52|el jóven profeta encuentra a Jahú sentado con los otros jefes del ejército
71N53|el jóven profeta va con Jahú al interior; allí vierte el óleo sobre la cabeza de Jahú y le ordena exterminar a Acab y a su familia
71N54|cuando Jehú cuenta a los otros jefes la misión del jóven profeta, éstos extienden sus mantos debajo de él en las gradas, hacen sonar las trompetas y le aclaman
71N6|enfermedad y muerte de Eliseo (2 Reyes 13:14-20)
71N61|Joás, rey de Israel, visita al profeta Eliseo, enfermo
71N611|Eliseo dice a Joás que dispare una flecha por la ventana en dirección a Siria y predice que Joás saldrá victorioso
71N612|Eliseo dice a Joás que golpee en tierra con las flechas y predice que sólo tendrá tres victorias contra los Sirios
71N62|Eliseo muere
71N621|entierro de Eliseo
71N7|los huesos de Eliseo (2 Reyes 13:21)
71N71|durante un funeral se ve una banda de moabitas aproximarse al cortejo, y el muerto es arrojado rapidamente a la tumba de Eliseo; al tocar los huesos de Eliseo el muerto resucita
71O|profetas (antes y durante el cautiverio en Babilonia)
71O1|el libro de Amós
71O11|Amós, uno de los pastores de Tecoa, profetiza en Betel (Amós 1-22)
71O111|el Señor rugirá desde Sión ~ profecía de Amós
71O112|el Señor enviará un fuego a casa de Jazael ~ profecía de Amós
71O113|el Señor quebrantará las barras de Damasco ~ profecía de Amós
71O114|el Señor enviará un fuego a Judá que devorará el palacio de Jerusalén ~ profecía de Amós
71O115|otras profecías de destrucción ~ el libro de Amós
71O12|Amós se dirige a las mujeres ('vacas') de Basán ( Amos 4:1-3)
71O13|las visiones de Amós (Amos 7 - 9:8)
71O131|la visión de las langostas ~ el libro de Amós
71O132|la visión del fuego devorador ~ el libro de Amós
71O133|la visión del Señor de pié sobre un muro, con una plomada en la mano ~ el libro de Amós
71O134|Amós ve una cesta de fruta ~ visiones de Amós
71O135|Amós ve al Señor sobre un altar, ordenando su destrucción
71O14|Amós muere a manos de Amasías, un sacerdote de Betel
71O2|el libro de Oseas
71O21|el Señor habla a Oseas: 'Ve y toma por mujer a una prostituta...' (Oseas 1:2)
71O22|Oseas, Gomer y los tres niños (Oseas 1:3-11
71O221|boda de Oseas y de Gomer, la prostituta
71O222|nace el primer hijo de Oseas y Gomer; el Señor manda a Oseas que le llame Jezreel
71O23|Oseas y la adúltera (Oseas 3)
71O24|las profecías de Oseas; Israel censurado y amenazado por su impiedad y su idolatría (Oseas 4-14)
71O3|el libro de Isaías
71O31|Isaías dialogando con Dios
71O311|plegaria de Isaías y aparición de Dios (Isaías: 26:9, 45:6)
71O32|las visiones de Isaías
71O321|en el templo lleno de humo, el Señor está sentado en un trono; sobre él se encuentran angeles (serafines) de seis alas ~ visiones de Isaías (Isaías 6:1-4)
71O322|purificación de Isaías: un ángel toca los labios de Isaías con un carbón encendido, tomado del altar con unas tenazas ~ visiones de Isaías (Isaías 6:5-13)
71O323|otras visiones de Isaías
71O33|las profecías de Isaías
71O331|la profecía de Isaías de la llegada de Cristo ('Emmanuel') (posiblemente con María, el ángel Gabriel y el rey Acaz) (Isaías 7:14-16)
71O332|la profecía de Isaías de la Pasión de Cristo (Isaías 52:13 - 53:12)
71O3321|'todos nosotros andábamos errantes como ovejas' ~ profecías de Isaías (Isaías 53:6)
71O333|profecía de Isaías: el árbol de Jesé (Isaías 11:1)
71O334|profecía de Isaías del reino en paz: 'habitará el lobo con el cordero' (Isaías 11:6-9)
71O335|profecía de Isaías contra Babilonia, Moab, Damasco, etc.
71O336|profecía de Isaías de la caída de Babilonia (Isaías 14:12-20)
71O337|otras profecías de Isaías
71O337(...)|otras profecías de Isaías (con LIBRO CAPITULO:VERSICULO)
71O337(Is. 27:1)|profecía de Isaías: el Leviatán abatido
71O337(Is. 2:4)|profecía de Isaías de las espadas transformadas en rejas de arados
71O34|condenas y exhortaciones de Isaías
71O341|Isaías condenando la idolatría (Isaías 44:9-20)
71O342|Isaías condenando la confianza de Judá en Egipto (Isaías 30:1-7)
71O343|Isaías exhortando a los Israelitas (Isaías 51:1-2)
71O344|otras condenas y exhortaciones de Isaías
71O344(...)|otras condenas y exhortaciones de Isaías (con LIBRO CAPITULO:VERSICULO)
71O344(Is. 53:1)|Isaías condenando la incredulidad
71O35|cánticos, lamentaciones y consuelos de Isaías
71O351|Isaías:el cántico del viñedo con una torre en medio (Isaías 5:1-7)
71O352|canto de gracias de Isaías (Isaías 12)
71O353|lamentaciones de Isaías sobre Jerusalén (Isaías 22:1-14, 29)
71O354|otros cánticos, lamentaciones y consuelos de Isaías
71O354(...)|otros cánticos, lamentaciones y consuelos de Isaías (con LIBRO CAPITULO:VERSICULO)
71O354(Is. 26)|cántico de Isaías de la piedad
71O36|el martirio de Isaías: por órden del rey Manasés, Isaías es serrado en dos
71O37|otras escenas ~ Isaías
71O37(...)|otras escenas ~ Isaías (con LIBRO CAPITULO:VERSICULO)
71O37(Is. 21:11)|'Centinela, qué hora es de la noche?'
#71O37(Is. 53:7)|'like a lamb to the slaughter'
71O37(Is. 62:6)|la guardia en las murallas de Jerusalén
71O4|el libro de Miqueas
71O41|Miqueas es llamado por Dios a profetizar (Miqueas 1:1)
71O42|profecías de Miqueas
71O421|numerosas naciones ascenderán al monte del Señor ~ profecías de Miqueas (Miqueas 4:2)
71O422|profecía de Miqueas de las espadas transformadas en arados y las lanzas en hoces (Miqueas 4:3)
71O423|la profecía de paz de Miqueas: cada uno se sentará bajo su parra y bajo su higuera
71O424|profecía de Miqueas a propósito de Belén (Miqueas 5:2)
71O425|otras profecías de Miqueas
71O425(...)|otras profecías de Miqueas (con LIBRO CAPITULO:VERSICULO)
71O5|el libro de Sofonías
71O51|Sofonías es llamado por Dios a profetizar (Sofonías 1:1)
71O52|las profecías de Sofonías
71O521|el Señor eliminará a hombres y animales, aves y peces ~ profecías de Sofonías (Sofonías 1:3)
71O522|los habitantes idólatras de Jerusalén y sus ídolos serán destruídos ~ profecías de Sofonías (Sofonías 1:4)
71O523|profecía de Sofonías del día del juicio del Mundo (Sofonías 1:14-16)
71O524|profecía de Sofonías de la destrucción de Ninive (Sofonías 2:13-15)
71O525|otras profecías de Sofonías
71O525(...)|otras profecías de Sofonías (con LIBRO CAPITULO:VERSICULO)
71O6|el libro de Habacuc
71O61|Habacuc dialogando con Dios (Habacuc 1)
71O62|se incita a Habacuc a escribir su visión (Habacuc 2:2)
71O63|profecías de Habacuc
71O63(...)|profecías de Habacuc (con LIBRO CAPITULO:VERSICULO)
71O64|la oración de Habacuc (Habacuc 3)
71O7|el libro de Jeremías
71O71|la vocación de Jeremías (Jeremías 1:4-19)
71O711|el Señor toca los labios de Jeremías
71O712|visión de Jeremías: la vara de almendro
71O7121|visión de Jeremías: la Virgen (Vulgata Jeremías 1:11)
#71O713|Jeremiah's vision of the seething pot
#71O72|Jeremiah communicating with God
71O73|Jeremías en tiempos del rey Josías
71O731|Jeremías condenando la idolatría (Jeremías 2-6)
71O7311|Jeremías dirigiendose a Jerusalén
71O7312|Jeremías condenando la apostasía de Israel
71O7313|Jeremías profetizando la destrucción de Jerusalén
71O7314|Jeremías condenando la confianza de Israel en Egipto y Asiria
71O7315|Jeremías condenando la falta de sinceridad de Judá
71O7316|Jeremías condenando los sacrificios idólatras de Judá
71O732|Jeremías canta un canto de lamentación por la muerte de Josías (2 Crónicas 35:25)
71O74|Jeremías en el tiempo de Joaquim
71O741|Jeremías ora por los Israelitas en el tiempo de la hambruna (Jeremías 14)
71O742|Jeremías profetiza la caída y la destrucción de Judá; las parabolas de Jeremías
71O7421|la parabola de la faja podrida (Jeremías 13:1-11)
71O74211|Jeremías compra una faja de lino
71O74212|Jeremías esconde la faja de lino en una hendidura de una piedra cerca del Eufrates
71O74213|Jeremías saca la faja de lino; está podrida
71O7422|la parabola de las botellas de vino, y de los hijos de Judá llenos de embriaguez (Jeremías 13:12-14)
71O7423|la parabola del alfarero (Jeremías 18:1-10)
71O7424|la parabola de la orza de barro rota a las puertas de Jerusalén (Jeremías 19:1-13)
71O743|primer encarcelamiento de Jeremías (Jeremías 19:14 - 20:6)
71O7431|Jeremías predicando y profetizando en el patio del templo
71O7432|Jeremías arrestado por el sacerdote Pasjur
71O7433|Jeremías torturado y puesto en el cepo a la entrada del templo por Pasjur
71O7434|Jeremías es liberado del cepo
71O7435|Jeremías maldice a Pasjur y profetiza la cautividad en Babilonia
71O744|Jeremías exhorta a los Israelitas en el patio del templo (Jeremías 26)
71O7441|Jeremías arrestado por sacerdotes y soldados
71O7442|Jeremías se defiende en un discurso
71O7443|Jeremías es liberado
71O745|Jeremías y los Recabitas (Jeremías 35)
71O7451|los Recabitas huyen a Jerusalén
71O7452|Jeremías lleva a los Recabitas a una sala del templo
71O7453|los Recabitas declinan el vino que se les ofrece
71O7454|Jeremías condena la desobediencia de los hijos de Judá
71O7455|la promesa de los Recabitas
71O746|Jeremías y Baruc (Jeremías 36)
71O7461|Jeremías dicta sus profecías a Baruc
71O7462|Baruc lee en voz alta en el templo el libro de Jeremías
71O7463|Baruc lee el libro de Jeremías a los príncipes
71O7464|el libro de Jeremías es leído al rey Joaquim
71O7465|Joaquim quema el libro de Jeremías
71O7466|Jeremías y Baruc se ocultan
71O7467|Jeremías dicta un segundo volúmen a Baruc
71O7468|Jeremías profetiza la muerte de Joaquim (Jeremías 36:30-32, 22:13-19)
71O75|Jeremías durante el reinado de Joaquim
71O751|Jeremías profetiza al rey Joaquim el cautiverio en Babilonia (Jeremías 22:24-28)
71O76|Jeremías durante el reinado de Sedecías
71O761|Jeremías condenando a los falsos profetas (Jeremías 23:9-40)
71O762|la visión de Jeremías de los buenos y los malos higos (Jeremías 14:1-10)
71O763|Jeremías ante el rey Sedecías con un yugo de madera (Jeremías 27-28)
71O7631|Ananías hace una falsa profecía en el templo y rompe el yugo de Jeremías
71O7632|Jeremías maldice a Ananías
71O764|Jeremías aconseja a los cautivos de Babilonia que construyan casas y que se multipliquen (Jeremías 29:1-7)
71O765|Jeremías profetiza la futúra restauración de Israel y Judá  (Jeremías 30-31)
71O7651|Jeremías profetiza la restauración de Jerusalén
71O7652|por órden de Jeremías, Saraya ata una piedra al libro de Jeremías que profetiza la destrucción de Babilonia y lo arroja al Eufrates (Jeremías 51:63)
71O766|Jeremías ~ el asedio de Jerusalén (Jeremías 37-38)
71O7661|los mensajeros del rey Sedecías van a buscar a Jeremías al comienzo del asedio de Jerusalén
71O76611|el discurso de Jeremías al rey Sedecías
71O7662|Jeremías encarcelado
71O76621|Jeremías es arrestado a la entrada de la ciudad
71O76622|Jeremías es torturado
71O76623|Jeremías es metido en la cárcel
71O76624|Jeremías ante Sedecías
71O76625|Jeremías es llevado al vestíbulo de la prisión
71O76626|los príncipes arrojan a Jeremías a las mazmorras
71O76627|el eunuco Abdemelec informa a Sedecías de que Jeremías ha sido arrojado a un calabozo
71O76628|Jeremías es liberado del calabozo
71O76629|la promesa a Abdemelec (Jeremías 39:15-18)
71O7663|el campo de Anatot (Jeremías 32)
71O76631|Jeremías compra a su primo Janameel el campo de Anatot
71O76632|Jeremías da el contrato de venta a Baruc
71O76633|la plegaria de Jeremías
71O77|lamentaciones de Jeremías sobre la destrucción de Jerusalén
71O771|el libro de las lamentaciones de Jeremías
71O771(...)|el libro de las lamentaciones de Jeremías (con LIBRO CAPITULO:VERSICULO)
71O772|Jeremías es testigo de la destrucción de Jerusalén
71O78|últimos años de Jeremías
71O781|Jeremías liberado de prisión por los Babilonios (Jeremías 39:11-14)
71O7811|Nebuzaradan, capitán de la guardia de Nabucodonosor, da a Jeremías a elegir entre marcharse o quedarse
71O7812|Jeremías va a Godolías (Jeremías 40:6)
71O782|la huída de los judíos a Egipto (Jeremías 42 - 43:7)
71O7821|el pueblo consulta a Jeremías
71O7822|Jeremías aconseja al pueblo que no vaya a Egipto
71O7823|Jeremías es forzado a acompañar a los judíos a Egipto (Jeremías 43:5-6)
71O783|Jeremías en Egipto
71O7831|los judíos en Egipto persisten en la idolatría (Jeremías 44:15-19)
71O7832|Jeremías profetiza la derrota de Egipto (Jeremías 43:8-13, 46)
71O7833|Jeremías profetiza la destrucción de los Filisteos (Jeremías 47
71O7834|Jeremías profetiza la destrucción de Babilonia (Jeremías 50-51)
71O7835|Jeremías profetiza la destrucción de otras naciones (Jeremías 48-49)
71O784|Jeremías lapidado a muerte
71O79|otras escenas ~ el libro de Jeremías
71O79(...)|otras escenas ~ el libro de Jeremías (con LIBRO CAPITULO:VERSICULO)
71O8|el libro de Nahúm
71O81|las profecías de Nahúm
71O811|anuncio de la caída de Nínive ~ profecías de Nahúm
71O8111|Nínive llena de carcasas y de cadaveres (Nahúm 3:3)
71O812|profecía del mensajero que trae buenas noticias, y anuncia la paz (Nahúm 1:15)
71O813|otras profecías de Nahúm
71O813(...)|otras profecías de Nahúm (con LIBRO CAPITULO:VERSICULO)
71O9|el libro de Ezequiel
71O91|la vocación de Ezequiel (Ezequiel 1-3)
71O911|visión de Ezequiel de Dios sentado en su trono llevado por cuatro tetramorfos, cada uno de ellos con cuatro alas; y a su lado ruedas imbricadas unas dentro de otras
71O9111|Habacuc ~ Ezequiel ve a Dios
71O912|Dios da a Ezequiel un rollo
71O913|Ezequiel come el rollo que le ha dado Dios
71O914|Ezequiel entre los cautivos, meditando acerca de su vocación
71O915|Ezequiel dialogando con Dios
71O92|actos simbólicos de Ezequiel
71O921|una teja sobre la que es representado el asedio de Jerusalén (Ezequiel 4:1-3)
71O9211|Ezequiel yace sobre su lado izquierdo atado, mirando a la teja con la representación del asedio de Jerusalén
71O9212|Ezequiel yace sobre su lado derecho atado, mirando a la teja con la representación del asedio de Jerusalén
71O922|Ezequiel hace un pan de cebada, simbolizando la hambruna en Jerusalén (Ezequiel 4:9-17)
71O923|Ezequiel corta sus cabellos con un cuchillo y los pesa en una balanza (Ezequiel 5)
71O9231|Ezequiel quema y destruye dos tercios de los cabellos que ha cortado, y dispersa el resto al viento (símbolo de la caída de Jerusalén y de la cautividad de sus habitantes
71O924|Ezequiel deja Jerusalén por un agujero en la muralla de la ciudad (Ezequiel 12:7)
71O9241|Ezequiel hace un agujero en la muralla de la ciudad
71O925|Ezequiel recibe la orden de no llorar en público la muerte de su mujer (Ezequiel 24:12-27)
71O926|Ezequiel junta dos palos (Ezequiel 37:15-17)
71O927|otros actos simbólicos de Ezequiel
71O927(...)|otros actos simbólicos de Ezequiel (con LIBRO CAPITULO:VERSICULO)
71O93|visiones de Ezequiel
71O931|la visión de Dios de Ezequiel: un ángel que parece de fuego le lleva a Dios (por los cabellos, por el aire) (Ezequiel 8)
71O9311|Dios muestra a Ezequiel la imágen de la Envidia
71O9312|Dios muestra a Ezequiel la idolatría de los ancianos y las mujeres de Judá
71O932|el juicio divino de Jerusalén (Ezequiel 9-11)
71O9321|seis hombres armados van al templo de Jerusalén
71O9322|uno de los seis hombres armados marca las frentes de aquellosque lloran a causa de la idolatría de Judá ~ visión de Ezequiel
71O9323|son matadas todas las personas sin marca ~ el juicio divino de Jerusalén
71O9324|Ezequiel implora piedad
71O9325|uno de los seis hombres armados recibe de un querubín brasas ardiendo, y prende fuego a Jerusalén
71O9326|la gloria de Dios abandona Jerusalén; los querubines ascienden con sus ruedas
71O9327|Ezequiel es elevado por un espíritu y llevado con los cautivos de Caldea
71O933|visión de Ezequiel del valle de los huesos secos (Ezequiel 37:1-10)
71O9331|los huesos secos se convierten en cuerpos ~ visiones de Ezequiel
71O9332|resurrección: se sopla vida dentro de los cuerpos ~ visiones de Ezequiel
