9|ギリシャ・ローマ神話と古代史
96A2|ローマの女神
96A21|アッカ・ラレンティア
96A22|アンゲローナ
96A23|フローラ(の物語)
96A231|フローラ(の物語) - 若年期, 青春期
96A2311|フローラ(の物語) - 誕生
96A2312|フローラ(の物語) - 幼少期, 養育
96A232|フローラ(の物語) - 情事
96A233|フローラ(の物語) - 最重要な偉業
96A234|フローラ(の物語) - 攻撃的な, 敵意に満ちた活動・関係
96A235|フローラの攻撃的でない, 友好的な, あるいは中立的な活動・関係
96A2351|フローラの王国: ゼフュロスによって与えられた、花で満たされた庭園
96A23511|ユノに一輪の花を手渡すフローラ; それによってユノはマルスを身ごもる
96A236|フローラ(の物語) - 苦難, 災難
96A2368|フローラ(の物語) - 死
96A2369|フローラ(の物語) - 賛美, 神格化
96A237|フローラの特定の／寓意的風貌; 守護者としてのフローラ
96A2378|フローラの勝利
96A2379|フローラの特定の／寓意的風貌; 守護者としてのフローラ - 崇敬, によってあがめられる
96A238|フローラ(の物語) - アトリビュート
96A239|フローラ(の物語) - 後裔, 仲間, 随員, etc.
96A24|ローマの泉のニンフ
96A241|カメナイ (ローマの泉のニンフ)
96A242|エゲリア (ローマの泉のニンフ)
96A243|ユトゥルナ (ローマの泉のニンフ)
96A25|ララ, ラルンダ, デア・ムータ
96A26|オプス
96A27|ポモナ
96A28|テルス
96A29|その他のローマの女神
96A29(...)|その他のローマの女神 (名を伴う)
96A29(BONA DEA)|その他のローマの女神: ボナ・デア
96A29(LASA)|その他のローマの女神: ラサ
96A29(PALES)|その他のローマの女神: パレス
96A29(SALACIA)|その他のローマの女神: サラキア
96A3|古代の諸神に含まれる他国の神
96A31|イシス
96A32|セラピス
96A33|ハルポクラテス
96A34|ミトラス(の物語)
96A341|ミトラス(の物語) - 若年期, 青春期
96A3411|ミトラス(の物語) - 誕生
96A3412|ミトラス(の物語) - 幼少期, 養育
96A342|ミトラス(の物語) - 情事
96A343|ミトラスによる最重要な偉業
96A3431|通常、洞窟に立っているミトラスが、短剣で牡牛を刺す
96A344|ミトラス(の物語) - 攻撃的な, 敵意に満ちた活動・関係
96A345|ミトラス(の物語) - 攻撃的でない, 友好的な, あるいは中立的な活動・関係
96A346|ミトラス(の物語) - 苦難, 災難
96A3468|ミトラス(の物語) - 死
96A3469|ミトラス(の物語) - 賛美, 神格化
96A347|ミトラス(の物語) - 特定の／寓意的風貌, 守護者としての
96A3478|ミトラス(の物語) - 勝利
96A3479|ミトラス(の物語) - 崇敬, によってあがめられる
96A348|ミトラス(の物語) - アトリビュート
96A349|ミトラス(の物語) - 後裔, 仲間, 随員, etc.
96A35|デア・シリア, アスタルテ
96A36|古代の諸神に含まれる、その他の他国の神
96A36(...)|古代の諸神に含まれる、その他の他国の神 (名を伴う)
96A36(EPONA)|古代の諸神に含まれる、その他の他国の神: エポナ
96A36(SABAZIUS)|古代の諸神に含まれる、その他の他国の神: サバジオス
96A4|ローマの家庭の神, 守護霊, 死者の霊 (ラレス, ペナテス, ゲニウス, マネス, ラルヴァ, レムレス)
96A41|ラレス (ローマの家庭の神)
96A42|ペナテス (ローマの家庭の神)
96A43|ゲニウス (ローマの守護霊); 「Genio」 (リーパ)
96A44|マネス (ローマの死者の霊)
96A45|ラルヴァ, レムレス (ローマの死者の霊)
96A5|抽象概念のローマの擬人像
96A5(...)|抽象概念のローマの擬人像 (名を伴う)
96A5(ABUNDANTIA)|ローマの擬人像としてのアブンダンティア(豊穣)
96A5(AEQUITAS)|ローマの擬人像としてのアエキタス
96A5(AMICITIA)|ローマの擬人像としてのアミキティア
96A5(AVARITIA)|ローマの擬人像としてのアヴァリティア(貪欲)
96A5(BONUS EVENTUS)|ローマの擬人像としてのボヌス・エヴェントス
96A5(CONCORDIA)|ローマの擬人像としてのコンコルディア
96A5(CURA)|ローマの擬人像としてのクラ
96A5(DISCORDIA)|ローマの擬人像としてのディスコルディア(不和)
96A5(FAMA)|ローマの擬人像としてのファマ
96A5(FATA)|ローマの擬人像としてのファタ
96A5(FIDES)|ローマの擬人像としてのフィデス(信義)
96A5(FORTUNA)|ローマの擬人像としてのフォルトゥナ
96A5(HONOS)|ローマの擬人像としてのホノス
96A5(INVIDIA)|ローマの擬人像としてのインヴィディア(嫉妬)
96A5(JUSTITIA)|ローマの擬人像としてのユスティティア(正義)
96A5(LIBERTAS)|ローマの擬人像としてのリベルタス
96A5(LUXURIA)|ローマの擬人像としてのルクシリア(淫欲)
96A5(NECESSITAS)|ローマの擬人像としてのネケシタス(必然)
96A5(OCCASIO)|ローマの擬人像としてのオカシオ
96A5(OPULENTIA)|ローマの擬人像としてのオピュレンティア(富)
96A5(PAUPERTAS)|ローマの擬人像としてのパウペルタス
96A5(PAX)|ローマの擬人像としてのパクス
96A5(PIETAS)|ローマの擬人像としてのピエタス
96A5(PRUDENTIA)|ローマの擬人像としてのプルデンティア(賢明)
96A5(PUDICITIA)|ローマの擬人像としてのプディキティア
96A5(SALUS)|ローマの擬人像としてのサルス
96A5(SECURITAS)|ローマの擬人像としてのセクリタス
96A5(SPES)|ローマの擬人像としてのスペース
96A5(VICTORIA)|ローマの擬人像としてのウィクトリア
96A5(VIRTUS)|ローマの擬人像としてのヴィルトゥス
96A5(VOLUPTAS)|ローマの擬人像としてのウォルプタス
96B|アイネイアスのイタリアへの放浪の物語 (ウェルギリウス, アエネイス)
96B1|アイネイアスのイタリアへの放浪: トロイアからカルタゴへ (ウェルギリウス, アエネイス II-III)
96B11|トロイアの国を去るアイネイアス
96B111|まさにヘレネを殺そうとしていたアイネイアスのもとにウェヌスが現れ、逃げるように忠告する
96B112|アイネイアスの家で奇跡が起きる: アスカニウスの頭髪に火がつくが、彼はそれによって負傷しない
96B113|「Pius Aeneas (敬虔なアイネイアス)」: アスカニウスを導き、父アンキセスとペナテスを担ぐアイネイアスが、燃えるトロイアから逃亡する; 一緒に出発した妻クレウサは、途中で行方不明となる
96B114|クレウサを捜すアイネイアス; 彼女の亡霊が彼のもとに現れる
96B115|船舶を建てるアイネイアス
96B116|出発するアイネイアスの船舶
96B12|アイネイアスのトラキア滞在: ポリュドルスの墓で血を流す灌木の奇跡; ポリュドルスの亡霊は、アイネイアスに逃げるよう忠告する
96B13|アイネイアスのデロス島滞在: アニウスとの出会いと、デロス島の神のお告げの聴取; 神々に犠牲をささげるトロイア人たち
96B14|アイネイアスのクレタ島滞在: トロイアを荒廃させる悪疫
96B141|夢の中でアイネイアスのもとに現れるペナテス
96B15|アイネイアスのストロパデス諸島滞在: 一行の食料を汚すハルピュイアたちとの戦い
96B151|アエネイアスとその一行の未来を預言する、ハルピュイアのケライノ
96B16|アイネイアスとその一行は、ユピテルに犠牲をささげ、アクティウムの海岸で競技を執り行う
96B17|アイネイアスのエピルス滞在; トロイア人たちはその地で、ヘレノスが王位に就き、アンドロマケと結婚したことを知る
96B18|アイネイアスの、最初のシチリア島滞在
96B181|シチリアに到着すると、アンキセスは船尾に立ち、水で割っていない葡萄酒をささげて神々に呼びかける
96B182|カリュブディスを通過するトロイア人たち 〜 アエネイス
96B183|トロイア人たちは、オデュッセウスにポリュフェモスの洞窟に置いていかれたアカエメニデスに出会い、彼を連れていく
96B184|ポリュフェモスとキュクロプスたちのもとから逃れるトロイア人たち
96B185|アンキセスの死
96B2|アフリカに到着するアイネイアス (ウェルギリウス, アエネイス I)
96B21|リビアの海岸に漂着するアイネイアスの船舶
96B211|食料を求めて狩猟に出かけるアイネイアスとアカテス
96B22|狩猟の乙女の装いをしたウェヌスと出会う、アイネイアスとアカテス; 空を飛ぶ十二羽の白鳥を指し示すウェヌス
96B221|アイネイアスとアカテスを雲で覆うウェヌス
96B23|建設中の建物があるカルタゴに到達するアイネイアスとアカテス
96B231|ユノの神殿で、壁面に描写されたトロイア戦争の場面を見つめるアイネイアスとアカテス
96B232|ユノの神殿に現れるディド; トロイア人の代表がディドに、船の上陸と修理の許可を求める
96B24|アイネイアスとディドの出会い; アイネイアスが玉座に近づくと、彼とアカテスを包んでいた雲が消え去る
96B241|アイネイアスとその仲間たちを宮殿に導くディド
96B25|アイネイアスとディドの饗宴
96B251|アカニウスの体つき・顔つきをクピドに授けるウェヌス
96B252|贈物を持ってカルタゴへ向かう途中のアカテスと、アカニウスに扮したクピド
96B2521|贈物がディドに差し出される; アカニウスに扮したクピドを抱きしめるディド
96B253|自身の放浪についてディドに語るアイネイアス
96B3|ディドの悲劇 (ウェルギリウス, アエネイス IV)
96B31|アイネイアスへの恋にひどく悩むディド
96B311|アイネイアスがディドと結婚することに同意するユノとウェヌス
96B32|狩猟をするディドとアイネイアス
96B321|狩猟に出発するディドとアイネイアス
96B322|嵐から避難して洞窟の中に入るディドとアイネイアス
96B323|ディドの情事についての噂を広めるファマ
96B324|ユピテルに不平を言うイアルバス; ユピテルはアイネイアスのもとにメルクリウスを送る
96B325|建設活動に従事するアイネイアスに、カルタゴを去るように命じるメルクリウス
96B33|カルタゴから出発するトロイア人たち
96B331|船舶の出発準備をするアイネイアス; ディドの愁訴
96B3311|妹のアンナと話し合うディド
96B3312|アイネイアスの前に現れ、去らないでほしいと彼に懇願するアンナ
96B3313|眠っているアイネイアスのもとに再びメルクリウスが現れた後、トロイア人の船舶は出航する
96B332|ディドの死; 火葬用の積みまきに登り、アイネイアスの剣に身を投げるディド
96B3321|ディドの髪の房を切り取り、彼女の霊魂を解放するイリス
96B4|アイネイアスの、二度目のシチリア島滞在 (ウェルギリウス, アエネイス V)
96B41|トロイア人の血族アケステスと出会う、アイネイアスとその仲間たち
96B42|アンキセスの一周忌の祭祀を行う
96B421|アンキセスの墓で犠牲をささげるアイネイアス: 一匹の蛇が現れる
96B422|アンキセスを追悼して催される競技
96B4221|拳闘: ダレスとエンテルス
96B4222|アイネイアスのシチリア滞在中における、狙撃の競技: 船の帆柱に結びつけられた、羽ばたく鳩を標的とする
96B423|アスカニウスが率いる三十六人の若人による、馬術演技供覧
96B43|老女ベロエに扮したイリスがトロイアの女たちをそそのかして反乱を起こさせる; 彼女たちは船に火を投じる
96B431|トロイアの女たちによってつけられた火は、豪雨によって消え去る
96B44|シチリア島から出発するアイネイアス
96B441|就寝中にアイネイアスのもとに現れるアンキセスの亡霊
96B442|アケステスの保護下にとどまる数名のトロイア人たちと別れるアイネイアス
96B443|航海に出るアイネイアス; ヒュプノスに眠らされたパリヌルスは、船から海中に落ちて行方不明となる
96B444|サイレンたちの住む島を通過するアイネイアスの船舶
96B5|クマエ到着と冥界訪問 (ウェルギリウス, アエネイス VI)
96B51|クマエに到着したアイネイアスは、同地の巫女デイポベに助言を求める; 彼女はアイネイアスのラティウムでの戦いを予言する
96B52|海浜に戻ったトロイア人たちは、トランペット奏者ミセヌスの死体を発見する
96B521|トリトンに音楽の競争を挑むミセヌス; 彼はトリトンによって海に引きずり込まれ、溺死させられる
96B522|ミセヌスの葬儀
96B53|二羽の鳩の助力を得て「金色の大枝」を折り取るアイネイアス
96B54|アイネイアスによる冥府訪問
96B541|巫女に導かれたアイネイアスは、アヴェルヌスの洞窟を通って冥界へ入る
96B542|アイネイアスと巫女はステュクス川に到達し、そこでパリヌルスをはじめとした埋葬されていない亡者たちに出会う
96B543|アイネイアスと巫女を小舟に乗せて運ぶカロン; 彼らはプルトンの王国の門で降りる
96B544|薬が混入された焼菓子を与えられるケルベロス 〜 アイネイアスによる冥界訪問
96B545|アイネイアスと巫女は様々な死者の集団に出会う; その中いたディドは、背を向ける
96B546|タルタロスのそばを通りすぎるアイネイアスと巫女
96B547|プルトンの王宮の門口に「金の大枝」を据えるアイネイアス
96B548|至福の楽園でのアイネイアス
96B5481|アイネイアスに、アンキセスのもとへ向かう道案内を申し出るムサエウス
96B5482|冥界でアンキセスを見つけるアイネイアス; 彼に抱擁しようとするもむなしく、その願いは叶わない
96B5483|霊たちがレテ河で水を飲むのを見るアイネイアス
96B5484|アイネイアスにローマの歴史を予言するアンキセス
96B5485|象牙の門を通って冥界をあとにするアイネイアスと巫女
96B6|ティベル川の河口に到達し、ラティウムに上陸するトロイア人たち (ウェルギリウス, アエネイス VII-VIII)
96B61|皿として使用していた小麦のケーキを食べるトロイア人たち; こうしてハルピュイアの予言は実現する; 彼らは新たな祖国を歓迎する
96B62|トロイア人とラティヌス王
96B621|ラティヌスに警告する、天からのしるし: 聖なる月桂樹の上の蜂の大群
96B6211|供儀の最中に、ラウィニアの長い髪に火がつく
96B6212|ファウヌスの神託をうかがうラティヌス
96B622|アイネイアスにより派遣されたトロイアの使節はラティヌスによる歓待を受ける; ラティヌスは同盟の締結とラウィニアとの結婚を申し出る
96B63|騒動を誘発させるために、憤怒の女神アレクトのもとへ行くユノ
96B631|自身の髪から引き抜いた一匹の蛇を、ラティヌスの妻アマタの胸に投げ入れるアレクト
96B632|老女に身をやつしたアレクトは、眠るトゥルヌスに接近し、アイネイアスと対決するようにけしかける
96B633|アスカニウスの狩猟中、聖なる牡鹿の足跡へと猟犬の群れを導くアレクト
96B6331|アスカニウスが聖なる牡鹿を傷つけたことが、衝突を引き起こす
96B64|トロイア人たちを駆逐するために集合するイタリアの部族 〜 アエネイス
96B641|戦さの門を開けるユノ
96B65|トロイア人の援軍を探し求めるアイネイアス
96B651|援軍を探し求めてラティウムから出発するアイネイアス
96B6511|眠っているアイネイアスのもとに現れる、河神ティベリヌス
96B6512|純白の母豚と三十匹の仔豚を発見し、それらをユノに犠牲として捧げるアイネイアス
96B652|アイネイアスとエウアンドロス
96B6521|パランテウムに到着するアイネイアス: オリーヴの枝を振りかざすアイネイアスは、海岸でパラスと出会う
96B6522|アイネイアスを父エウアンドロスのもとへ連れていくパラス; エウアンドロスはアルカディアの町の外の小さな森の中で、ヘラクレスへの供儀を行っていた
96B66|ウルカヌスに、アイネイアスの武具を鍛造するように求めるウェヌス
96B661|アイネイアスに武具を手渡すウェヌス
96B662|アイネイアスの武具
96B7|ラティウムの戦い (I): トロイア陣営の攻囲・アイネイアスの帰還
96B71|トロイア陣営の攻囲 〜 ラティウムの戦い (ウェルギリウス, アエネイス IX)
96B711|トロイア陣営を包囲するトゥルヌス
96B7111|ユノはトゥルヌスのもとにイリスを送り、彼を扇動して戦争を起こさせる
96B7112|トゥルヌスがトロイアの船に火をつけると、キュベレの要望により、それらは海のニンフに変化する
96B712|夜に敵陣を通り抜ける、ニススとエウリュアルス
96B7121|酔い潰れて寝ている敵の数名を殺す、ニススとエウリュアルス
96B7122|敵の一隊に遭遇し、殺されるニススとエウリュアルス
96B7123|槍の穂先に掲げられたニススとエウリュアルスの首
96B7124|息子の死を悼むエウリュアルスの母
96B713|アイカニウスによる最初の功績: トゥルヌスの義理の弟ヌマヌス(レムルス)を殺すアイカヌウス
96B7131|ブテスに扮したアポロンは、アスカニウスに、更なる戦闘を自制するように忠告する
96B714|戦場を一掃し、ビティアスパンダルスをはじめとする人々を殺すトゥルヌス
96B7141|トロイア軍はトゥルヌスの退路を断つが、彼は川に飛び込んで逃亡する
96B72|アイネイアスの帰還・援軍 〜 ラティウムの戦い (ウェルギリウス, アエネイス X)
96B721|神々の会議 〜 ラティウムの戦いからの、アイネイアスの帰還
96B722|タルコン、エトルリア人たちと同盟を結ぶアイネイアス
96B723|船で帰路につくアイネイアスは、以前燃えた船が変身した海のニンフたちに出会う; 彼女たちは、トロイア陣営の包囲についてアイネイアスに知らせる
96B724|海辺でアイネイアスとその一団を攻撃するトゥルヌス
96B7241|パラスの英雄的行為
96B7242|トゥルヌスに殺されるパラス
96B72421|パラスの戦利品とともに描かれるトゥルヌス
96B72422|盾の上に横たえられて運ばれる、パラスの遺骸
96B7243|ユノが作り出したアイネイアスの幻影を追いかけ、戦線離脱させられるトゥルヌス
96B725|アイネイアスはメゼンティウスに傷を負わせる; 彼の息子ラウススが父を救おうとする
96B7251|アイネイアスに殺されるラウスス
96B7252|メゼンティウスのもとに運ばれるラウススの遺体; 川の近くで息子の傷の止血をするメゼンティウス
96B7253|再びアイネイアスに攻撃を仕掛けるが、馬もろとも殺されるメゼンティウス
96B8|ラティウムの戦い (II): 休戦、戦闘再開 (ウェルギリウス, アエネイス XI); トゥルヌスによる最後の功績 (ウェルギリウス, アエネイス XII)
96B81|ラティウムの戦いの中断
96B811|マルスにささげられる、メゼンティウスの戦利品
96B812|エウアンドロスのもとに送られるパラスの遺体
96B8121|エウアンドロスの悲嘆・パラスの葬儀
96B813|死者に最後の敬意を表すために、トロイア人とラテン民族の間で休戦協定が結ばれる
96B814|ラテン民族の長たちによる会議は、トロイア人が町に向かって移動しているという報告を受けて中断する
96B82|休戦協定が破られた後の、ラティウムでの戦闘
96B821|カミラが率いる騎兵隊の交戦 (〜 ラティウムの戦い)
96B822|ウェヌルスを馬から引き離すタルコン
96B823|カミラを殺すアルンス
96B8231|死にゆくカミラによる、彼女の友人アッカへの最後の指令
96B8232|ディアナの矢でアルンスを殺す、ニンフのオプス
96B83|トゥルヌスによる最後の功績
96B831|ラティヌスを前にしたトゥルヌス: 彼はアイネイアスとの一騎討ちを希望する; アマタは彼を止めようとするが、失敗に終わる
96B832|トロイア人との条約の締結; 両軍の面前で、ラティヌスとの協約を承認するアイネイアス
96B8321|ルトゥリ人たちを扇動して戦いを誘発する、トゥルヌスの妹ユトゥルナ
96B8322|トロイア人に向けて槍を投げつけるトルムニウス; 条約は無効となる
96B833|戦闘再開
96B8331|負傷するアイネイアス; イアピュクスが傷口を洗う水に薬草を忍ばせるウェヌス
96B8332|アイネイアスの戦場復帰; 戦車の騎手メティスクスに扮したユルトゥナがトゥルヌスを連れて駆け去り、アイネイアスから逃れる
96B8333|ラティヌス市を攻撃するトロイア人; 首を吊り自殺するアマタ
96B834|トゥルヌスとアイネイアスの一騎討ち
96B8341|天秤でトゥルヌスとアイネイアスの運命の重さを量るユピテル
96B8342|ユピテルは不吉な鳥の姿をしたディラエの一人を送る; 鳥はトゥルヌスの顔と盾に翼を打ちつける
96B8343|戦いから退き、川に飛び込むユルトゥナ
96B8344|アイネイアスに殺されるトゥルヌス
96B9|物語の年代的順序に位置付けることができない、『アエネアス』の諸場面
96B91|物語の年代的順序に位置付けることができない、トロイア人の特徴を描写した『アエネアス』の諸場面
96B92|物語の年代的順序に位置付けることができない、ラテン民族の特徴を描写した『アエネアス』の諸場面
96C|伝説として伝わるローマ起源の物語における英雄, 男の登場人物
96C(...)|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う)
96C(...)1|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 若年期, 青春期
96C(...)11|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 誕生
96C(...)12|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 幼少期, 養育
96C(...)2|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 情事
96C(...)3|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 最重要な偉業
96C(...)4|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 攻撃的な, 敵意に満ちた活動・関係
96C(...)5|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 攻撃的でない, 友好的な, あるいは中立的な活動・関係
96C(...)6|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 苦難, 災難
96C(...)68|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 死
96C(...)69|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 賛美, 神格化
96C(...)7|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 特定の／寓意的風貌, 守護者としての
96C(...)78|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 勝利
96C(...)79|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - 崇敬, によってあがめられる
96C(...)8|伝説として伝わるローマ起源の物語における英雄, 男の登場人物 (名を伴う) - アトリビュート
96C(AENEAS)|アイネイアス(の物語)
96C(AENEAS)1|アイネイアスの若年期, 青春期
96C(AENEAS)11|アイネイアスの若年期, 青春期 - 誕生
96C(AENEAS)12|アイネイアスの幼少期, 養育
96C(AENEAS)121|ウェヌスとアンキセスの息子アイネイアスは、イダ山のニンフたちに育てられる
96C(AENEAS)2|アイネイアスの情事
96C(AENEAS)21|アイネイアスとラウィニア
96C(AENEAS)211|アイネイアスとラウィニアの結婚
96C(AENEAS)3|アイネイアス(の物語) - 最重要な偉業
96C(AENEAS)4|アイネイアス(の物語) - 攻撃的な, 敵意に満ちた活動・関係
96C(AENEAS)5|アイネイアスの攻撃的でない, 友好的な, あるいは中立的な活動・関係
96C(AENEAS)51|ラウィニウムを創建するアイネイアス
96C(AENEAS)6|アイネイアスの苦難, 災難
96C(AENEAS)68|アイネイアスの死: ルトゥリ人との戦いで殺されるアイネイアス
96C(AENEAS)69|アイネイアスの賛美, 神格化
96C(AENEAS)691|アイネイアスの致死的な体の一部を洗い流す、河の神ヌミシウス
96C(AENEAS)692|アイネイアスの遺体に香水・アンブロシアを振りかけ、塗るウェヌス
96C(AENEAS)7|アイネイアス(の物語) - 特定の／寓意的風貌, 守護者としての
96C(AENEAS)78|アイネイアス(の物語) - 勝利
96C(AENEAS)79|アイネイアス(の物語) - 崇敬, によってあがめられる
96C(AENEAS)8|アイネイアス(の物語) - アトリビュート
96C(AMULIUS)|アルバ・ロンガの強奪者, アムリウス(の物語)
96C(AMULIUS)1|アルバ・ロンガの強奪者, アムリウス(の物語) - 若年期, 青春期
96C(AMULIUS)11|アルバ・ロンガの強奪者, アムリウス(の物語) - 誕生
96C(AMULIUS)12|アルバ・ロンガの強奪者, アムリウス(の物語) - 幼少期, 養育
96C(AMULIUS)2|アルバ・ロンガの強奪者, アムリウス(の物語) - 情事
96C(AMULIUS)3|アルバ・ロンガの強奪者, アムリウス(の物語) - 最重要な偉業
96C(AMULIUS)4|アムリウスの攻撃的な, 敵意に満ちた活動・関係
96C(AMULIUS)41|ヌミトル王の息子たちを殺して、アルバ・ロンガの王位を強奪するアムリウス
96C(AMULIUS)5|アルバ・ロンガの強奪者, アムリウス(の物語) - 攻撃的でない, 友好的な, あるいは中立的な活動・関係
96C(AMULIUS)6|アルバ・ロンガの強奪者, アムリウス(の物語) - 苦難, 災難
96C(AMULIUS)68|アルバ・ロンガの強奪者, アムリウス(の物語) - 死
96C(AMULIUS)69|アルバ・ロンガの強奪者, アムリウス(の物語) - 賛美, 神格化
96C(AMULIUS)7|アルバ・ロンガの強奪者, アムリウス(の物語) - 特定の／寓意的風貌, 守護者としての
96C(AMULIUS)78|アルバ・ロンガの強奪者, アムリウス(の物語) - 勝利
96C(AMULIUS)79|アルバ・ロンガの強奪者, アムリウス(の物語) - 崇敬, によってあがめられる
96C(AMULIUS)8|アルバ・ロンガの強奪者, アムリウス(の物語) - アトリビュート
96C(ASCANIUS)|アスカニウス(ユルス)(の物語)
96C(ASCANIUS)1|アスカニウス(ユルス)(の物語) - 若年期, 青春期
96C(ASCANIUS)11|アスカニウス(ユルス)(の物語) - 誕生
96C(ASCANIUS)12|アスカニウス(ユルス)(の物語) - 幼少期, 養育
96C(ASCANIUS)2|アスカニウス(ユルス)(の物語) - 情事
96C(ASCANIUS)3|アスカニウス(ユルス)(の物語) - 最重要な偉業
96C(ASCANIUS)4|アスカニウス(ユルス)(の物語) - 攻撃的な, 敵意に満ちた活動・関係
96C(ASCANIUS)5|アスカニウスの攻撃的でない, 友好的な, あるいは中立的な活動・関係
96C(ASCANIUS)51|アルバ・ロンガを建国するアスカニウス(ユルス)
96C(ASCANIUS)6|アスカニウス(ユルス)(の物語) - 苦難, 災難
96C(ASCANIUS)68|アスカニウス(ユルス)(の物語) - 死
96C(ASCANIUS)69|アスカニウス(ユルス)(の物語) - 賛美, 神格化
96C(ASCANIUS)7|アスカニウス(ユルス)(の物語) - 特定の／寓意的風貌, 守護者としての
96C(ASCANIUS)78|アスカニウス(ユルス)(の物語) - 勝利
96C(ASCANIUS)79|アスカニウス(ユルス)(の物語) - 崇敬, によってあがめられる
96C(ASCANIUS)8|アスカニウス(ユルス)(の物語) - アトリビュート
96C(EVANDER)|エウアンドロス(の物語)
96C(EVANDER)1|エウアンドロス(の物語) - 若年期, 青春期
96C(EVANDER)11|エウアンドロス(の物語) - 誕生
96C(EVANDER)12|エウアンドロス(の物語) - 幼少期, 養育
96C(EVANDER)2|エウアンドロス(の物語) - 情事
96C(EVANDER)3|エウアンドロス(の物語) - 最重要な偉業
96C(EVANDER)4|エウアンドロス(の物語) - 攻撃的な, 敵意に満ちた活動・関係
96C(EVANDER)5|エウアンドロスの攻撃的でない, 友好的な, あるいは中立的な活動・関係
96C(EVANDER)51|母カルメンタ(カルメンティス)とともにイタリアに到着するエウアンドロス; カルメンタは舵手の手を引き止め、神々を讃える
96C(EVANDER)52|イタリアにギリシア文字とギリシアの神々の崇拝を導入するエウアンドロス
96C(EVANDER)53|ゲリュオンを捕らえて帰還したヘラクレスを歓待するヘラクレス
96C(EVANDER)6|エウアンドロス(の物語) - 苦難, 災難
96C(EVANDER)68|エウアンドロス(の物語) - 死
96C(EVANDER)69|エウアンドロス(の物語) - 賛美, 神格化
96C(EVANDER)7|エウアンドロス(の物語) - 特定の／寓意的風貌, 守護者としての
96C(EVANDER)78|エウアンドロス(の物語) - 勝利
96C(EVANDER)79|エウアンドロス(の物語) - 崇敬, によってあがめられる
96C(EVANDER)8|エウアンドロス(の物語) - アトリビュート
96C(METIUS CURTIUS)|メッティウス・クルティウス(の物語)
96C(METIUS CURTIUS)1|メッティウス・クルティウス(の物語) - 若年期, 青春期
96C(METIUS CURTIUS)11|メッティウス・クルティウス(の物語) - 誕生
96C(METIUS CURTIUS)12|メッティウス・クルティウス(の物語) - 幼少期, 養育
96C(METIUS CURTIUS)2|メッティウス・クルティウス(の物語) - 情事
96C(METIUS CURTIUS)3|メッティウス・クルティウス(の物語) - 最重要な偉業
96C(METIUS CURTIUS)4|メッティウス・クルティウス(の物語) - 攻撃的な, 敵意に満ちた活動・関係
96C(METIUS CURTIUS)5|メッティウス・クルティウス(の物語) - 攻撃的でない, 友好的な, あるいは中立的な活動・関係
96C(METIUS CURTIUS)6|メッティウス・クルティウスの苦難, 災難
96C(METIUS CURTIUS)68|サビニ人の隊長, メッティウス・クルティウスの死: 彼はロムルスに追われ、馬に乗ったまま沼に飛び込む
96C(METIUS CURTIUS)69|メッティウス・クルティウスの苦難, 災難 - 賛美, 神格化
96C(METIUS CURTIUS)7|メッティウス・クルティウス(の物語) - 特定の／寓意的風貌, 守護者としての
96C(METIUS CURTIUS)78|メッティウス・クルティウス(の物語) - 勝利
96C(METIUS CURTIUS)79|メッティウス・クルティウス(の物語) - 崇敬, によってあがめられる
96C(METIUS CURTIUS)8|メッティウス・クルティウス(の物語) - アトリビュート
96C(ROMULUS)|ロムルスとレムス(の物語)
96C(ROMULUS)1|ロムルスとレムスの若年期, 青春期
96C(ROMULUS)11|ロムルスとレムスの若年期, 青春期 - 誕生
96C(ROMULUS)12|ロムルスとレムスの幼少期, 養育
96C(ROMULUS)121|レア・シルウィアとマルスの双子の男児ロムルスとレムスは、アムリウスの命によりティベル川に捨てられる
96C(ROMULUS)122|川岸に打ち上げられるロムルスとレムス; 彼らに乳を与える牝狼:「Lupa Romana」
96C(ROMULUS)123|ロムルスとレムスを発見する、牧夫ファウストゥルス
96C(ROMULUS)124|赤子が死んだばかりの妻(アッカ・)ラレンティアのもとにロムルスとレムスを連れていくファウストゥルス
96C(ROMULUS)125|ファウストゥルスとその妻に育てられるロムルスとレムス
96C(ROMULUS)1251|成長し、狩猟に出かけるロムルスとレムス
96C(ROMULUS)1252|強盗を襲い、盗んだ品物を仲間と分けるロムルスとレムス
