4|Sociedade, Civilização, Cultura
45K11|fortificações temporárias 
45K111|trincheiras
45K112|terra de ninguém
45K12|fortificações permanentes
45K121|paliçadas
45K122|bastião, baluarte
45K13|fortaleza
45K14|cidade fortificada
45K141|muralhas ~ cidade fortificada
45K1411|mata-cães ~ cidade fortificada
45K1412|ameia ~ cidade fortificada
45K1413|seteira ~ cidade fortificada
45K142|torres ~ cidade fortificada
45K143|fosso ~ cidade fortificada
45K1431|ponte levadiça ~ cidade fortificada
45K144|portão ~ cidade fortificada
45K1441|grade ~ cidade fortificada
45K2|ataque ~ cerco
45K21|cerco
45K22|bloqueio ~ cerco 
45K23|bombardeamento ~ cerco
45K231|armas de cerco, e.g.: aríete
45K24|"attaques brusquées"
45K25|"travaux d'approche"
45K26|assalto ~ cerco
45K27|invadir cidade ou fortaleza ~ cerco
45K3|defesa ~ cerco
45K31|defesa de uma fortificação ou cidade
45K32|contra-ataque a partir de uma fortificação ~ cerco
45K33|dentro de uma cidade sitiada
45K331|reforçar as fortificações dentro de uma cidade sitiada
45K4|tomada de uma cidade (depois de um cerco)
45K5|levantar o cerco
45K51|levantar o cerco com ajuda do exterior, auxílio
45K52|libertação de uma cidade sitiada
45L|ocupação ~ guerra
45L1|capitulação ~ guerra
45L11|entrega das chaves
45L12|marchar para o local conquistado
45L13|retirada dos derrotados
45L2|cobrança ou tributo
45L21|entregar bens cobrados
45L22|divisão dos despojos de guerra
45L23|transportar os despojos de guerra
45L29|salvo-conduto, livre-trânsito
45L3|saquear ~ soldados 
45L31|saque, roubo
45L311|troféu ~ batalha, guerra
45L3111|"tropaion", i.e. ornamento decorativo ~ armas
45L4|destruição de uma cidade conquistada
45L40|alegoria, personificação da destruição de uma cidade conquistada
45L41|demolição (de uma cidade conquistada)
45L42|ateando fogo (a uma cidade conquistada)
45L43|devastação, local em ruínas ou cidade (~ estado de guerra)
45M|não-combatentes ~ guerra
45M1|não-combatentes em situações militares
45M11|não-combatentes no campo de batalha
45M12|não-combatentes durante a passagem de soldados
45M13|civis lutando, e.g.: "franc tireur"
45M2|soldados e civis
45M3|ocupantes e civis
45M31|busca de casa em casa
45M39|movimentos clandestinos, partidários
45M391|sabotagem por partidários
45M4|civis durante um bombardeamento
45M5|fugitivos
45M51|fugitivos "en route"
45M52|fugitivos descansando, acampando
45M6|campo de internamento
45M7|campo de concentração
46|vida económica e social, transportes e comunicações
46A|vida da comunidade
46A1|estratificação social, grupos sociais
46A11|divisões de classes (~ sociedade)
46A111|os três Estados: nobreza, clero, povo (plebe)
46A112|outras divisões de classes (~ sociedade)
46A12|nobreza e aristocracia; cavalaria, título de cavaleiro
46A121|coroa de nobre
46A122|brasão, heráldica
46A122(...)|brasões, heráldica (com o NOME da família)
46A122(...)1|brasões, heráldica (com o NOME da família) - brasão de armas
46A122(...)2|brasões, heráldica (com o NOME da família) - timbre
46A122(...)3|brasões, heráldica (com o NOME da família) - divisa, lema
46A122(...)4|brasões, heráldica (com o NOME da família) - empresa 
46A122(...)5|brasões, heráldica (com o NOME da família) - estandarte
46A122(...)6|brasões, heráldica (com o NOME da família) - selo
46A123|arauto
46A124|cavaleiro
46A1241|ordem de cavalaria
46A1241(...)|ordem de cavalaria (com NOME)
46A1241(...)1|ordem de cavalaria (com NOME) - insígnia de uma ordem de cavalaria, e.g.: distintivo, colar (com o NOME da ordem)
46A1241(GOLDEN FLEECE)|ordem de cavalaria do Tosão de Ouro
46A1241(GOLDEN FLEECE)1|ordem de cavalaria do Tosão de Ouro -  insígnia de uma ordem de cavalaria, e.g.: distintivo, colar (com o NOME da ordem)
46A1241(HOLY SPIRIT)|ordem de cavalaria do Espírito Santo
46A1241(HOLY SPIRIT)1|ordem de cavalaria do Espírito Santo - insígnia de uma ordem de cavalaria, e.g.: distintivo, colar (com o NOME da ordem)
46A1241(ST. JOHN)|ordem de cavalaria de São João
46A1241(ST. JOHN)1|ordem de cavalaria de São João - insígnia de uma ordem de cavalaria, e.g.: distintivo, colar (com o NOME da ordem)
46A1241(TEUTONIC ORDER)|ordem de cavalaria: Ordem Teutónica
46A1241(TEUTONIC ORDER)1|ordem de cavalaria: Ordem Teutónica - insígnia de uma ordem de cavalaria, e.g.: distintivo, colar (com o NOME da ordem)
46A125|tornar-se cavaleiro, ascender ao título de cavaleiro
46A1251|pagem, serviçal
46A1252|escudeiro
46A1253|cerimónias de cavalaria
46A12531|nomeação de um cavaleiro numa pequena cerimónia
46A125311|cingir da espada (~ cavalaria)
46A125312|golpear ou bater com a espada, honra  (~ cavalaria)
46A12532|nomeação de um cavaleiro numa cerimónia solene
46A125321|vestuário (~ cerimónia de cavalaria)
46A125322|jejum e vigília nocturna (~ cerimónia de cavalaria)
46A125323|bênção da espada (~ cerimónia de cavalaria)
46A125324|investidura com armadura, esporas e espada  (~ cavalaria)
46A125325|golpear ou bater com a espada, honra (cerimónia solene de cavalaria)
46A125326|outras partes da cerimónia de cavalaria
46A126|os nove bravos, "les neuf preux"
46A1261|Josué (um dos nove bravos)
46A1262|David (um dos nove bravos)
46A1263|Judas Macabeu (um dos nove bravos)
46A1264|Heitor de Tróia (um dos nove bravos)
46A1265|Alexandre, o Grande (um dos nove bravos)
46A1266|Júlio César (um dos nove bravos)
46A1267|Artur da Bretanha (um dos nove bravos)
46A1268|Carlos Magno (um dos nove bravos)
46A1269|Godofredo de Bulhão (um dos nove bravos)
46A127|homens de nome ou fama, heróis, "homines illustres", "uomini famosi"
46A13|povo (plebeus)
46A131|burguesia, classe média, cidadãos, burgueses
46A132|aldeões, vassalos (holandês: "dorpers")
46A139|bobo (em geral) (em alemão: "Schalksnarr")
46A14|camponeses
46A141|batalha entre camponeses e soldados
46A15|os pobres
46A151|mendigo
46A1511|tigela de mendigo
46A1512|procissão de mendigos
46A152|"fahrende Leute", vagabundos
46A153|"bambochades", foliões
46A154|profissões geralmente desprezadas "unehrliche Leute"
46A155|proscrito, pária
46A16|os ricos
46A161|enriquecer
46A1611|caça ao tesouro, corrida ao ouro
46A1612|cavar ou encontrar um tesouro
46A162|exibição de riqueza
46A1621|mostrar jóias, etc.
46A1622|distribuindo riqueza
46A1623|contemplar a própria riqueza
46A163|protecção da riqueza
46A1631|depósito (de valores)
46A16311|esconder, enterrar um tesouro
46A1632|baú do dinheiro, arca do tesouro, mealheiro
46A16321|cofre, caixa-forte
46A1633|guardar um tesouro
46A16331|tesouro guardado por homens
46A16332|tesouro guardado por homens
46A16333|tesouro guardado por meios mecânicos
46A164|os dez mais 
46A165|jet-set 
46A166|parvenu "nouveau riche", novo rico
46A17|classe operária, operários (trabalhadores)
46A170|Trabalho
46A171|patrão, empregador ~ empregado
46A1711|empregado procurando trabalho
46A172|pagamento de salários
46A1721|trabalhador recusando pagamento
46A1722|patrão, empregador recusando o pagamento de salários
46A173|trabalhador indo trabalhar
46A174|trabalhador regressando a casa
46A175|trabalho infantil
46A179|desemprego
46A1791|trabalhadores desempregados
46A18|escravidão; servos e escravos
46A180|"Servitù", "Servitù per forz" (Ripa)
46A181|tráfico negreiro, comércio de escravos
46A1811|país ou região de origem dos escravos
46A1811(...)|país ou região de origem dos escravos (com NOME)
46A1812|país ou região de destino dos escravos
46A1812(...)|país ou região de destino dos escravos (com NOME)
46A182|mestre ~ escravo
46A183|liberdade ~ escravidão
46A1831|libertação (de um escravo)
46A1832|comprar a liberdade
46A1833|fuga, tentativas de fuga (de um escravo)
46A1834|abolição da escravidão, lutando contra a escravidão
46A2|contrastes sociais
46A21|contraste entre ricos e pobres
46A211|homem rico ruim, homem pobre bom
46A212|dar esmolas ou outro tipo de caridade, e.g.: distribuir alimentos
46A2120|"Elemosina" (Ripa)
46A213|filantropo
46A22|contraste entre a vida urbana e rural; habitante da cidade versus habitante do campo
46A221|vida urbana
46A2211|habitante da cidade
46A2219|despovoamento das cidades, despovoamento urbano
46A222|vida rural
46A2221|habitante do campo
46A22219|despovoamento do campo, despovoamento rural
46A23|contraste entre pessoas; os inferiores perante os superiores, os fracos perante os poderosos
46A231|o protegido perante o patrono
46A24|relações entre senhor e servo
46A241|servir a dois senhores
46A3|assistência pública
46A31|orfanato
46A311|orfanato, asilo
46A32|assistência aos idosos
46A321|lar de idosos
46A3211|lar para os pobres (holandês: "hofje")
46A33|obras de caridade
46A4|relações entre raças
46A41|discriminação racial, segregação
46A42|aversão entre raças, racismo
46A421|tumultos raciais
46A422|Ku Klux Klan e organizações similares
46A49|anti-racismo; integração racial
46A5|comunicação linguística
46A51|tentativa de se fazer entender ~ comunicação linguística
46A511|mal-entendido
46A52|intérprete ~ linguagem
46A53|tradutor
46A54|comunicação com surdos ou mudos
46A541|leitura labial
46A542|linguagem gestual
46A55|linguagem artificial
46A551|Esperanto
46A6|sociedades, associações e conselhos de administração
46A61|conselho de administração, esp. governadores, administradores, etc. (holandês: "regenten")
46A611|presidente do conselho de administração
46A612|secretário (de uma sociedade)
46A613|tesoureiro
46A614|membros de uma comissão, membros do conselho de administração
46A62|membro, membro de uma associação
46A621|tornar-se membro
46A6211|votação secreta
46A6212|iniciação (~ membro de uma sociedade)
46A629|suspensão, expulsão (de uma sociedade)
46A63|reunião, assembleia
46A631|início da reunião, abertura dos trabalhos
46A632|alucoção, discurso, conferência (~ reunião)
46A633|debate, discussão (~ reunião)
46A634|interrupção, perguntas, questões (~ reunião)
46A635|votar (~ reunião)
46A636|caos, procedimento desordeiro (~ reunião)
46A637|encerramento da reunião, encerramento dos trabalhos
46A638|sala de reuniões
46A7|multidão, populaça
46A71|indivíduo versus multidão
46A8|modo de vida invulgar
46A81|comunidades errantes
46A81(...)|comunidades errantes (com NOME)
46A81(GIPSIES)|comunidades errantes: ciganos
46A81(NOMADS)|comunidades errantes: nómadas
46A811|comunidades errantes: a viver em tendas
46A812|comunidades errantes: a viver em vagões
46A813|comunidades errantes: a viver em barcos
46A82|comunidade idealistica, "back to nature"
46A821|comunidades, grupos
46A821(...)|comunidades, grupos (com NOME)
46A8211|partilha comunitária
46A822|naturistas
46A823|nudistas
46A83|vida solitária
46A831|vida solitária numa ilha deserta, "Robinsonade"
46A84|pioneirismo, vida de fronteira
46A841|Oeste selvagem
46A85|aventureiro
46A9|estrutura social primitiva
46A91|matriarcado
46A92|patriarcado
46A93|clã, relações tribais
46AA122|brasão, heráldica - AA - feminino
46AA122(...)|brasões, heráldica (com o NOME da família) - AA - feminino
46AA122(...)1|brasões, heráldica (com o NOME da família) - AA - feminino - brasão de armas
46AA122(...)2|brasões, heráldica (com o NOME da família) - AA - feminino - timbre
46AA122(...)3|brasões, heráldica (com o NOME da família) - AA - feminino - divisa, lema
46AA122(...)4|brasões, heráldica (com o NOME da família) - AA - feminino - empresa
46AA122(...)5|brasões, heráldica (com o NOME da família) - AA - feminino - estandarte
46AA122(...)6|brasões, heráldica (com o NOME da família) - AA - feminino - selo
46AA126|as nove bravas
46AA1261|Ester (uma das nove bravas)
46AA1262|Judite (uma das nove bravas)
46AA1263|Jael (uma das nove bravas)
46AA1264|Lucrécia (uma das nove bravas)
46AA1265|Vetúria, mãe de Coriolano (uma das nove bravas)
46AA1266|Virgínia (uma das nove bravas)
46AA1267|Santa Helena (uma das nove bravas)
46AA1268|Santa Brígida da Suécia (uma das nove bravas)
46AA1269|Santa Isabel da Hungria (uma das nove bravas)
46AA127|homens de nome ou fama, heróis, "homines illustres", "uomini famosi" - AA - mulheres de nome ou fama, heroínas, "femmes célèbres", "les neuf preuses"
46AA14|camponeses - AA - camponesa, mulher do fazendeiro
46AA17|classe operária, operários (trabalhadores) - AA - mulheres
46AA170|Trabalho - AA - mulheres
46AA171|patrão, empregador ~ empregado - AA - mulheres
46AA1711|empregado procurando trabalho - AA - mulheres
46AA172|pagamento de salários - AA - mulheres
46AA1721|trabalhador recusando pagamento - AA - mulheres
46AA1722|patrão, empregador recusando o pagamento de salários - AA - mulheres
46AA173|trabalhador indo trabalhar - AA - mulheres
46AA174|trabalhador regressando a casa - AA - mulheres
46AA175|trabalho infantil - AA - mulheres
46AA179|desemprego - AA - mulheres
46AA1791|trabalhadores desempregados - AA - mulheres
46AA24|relações entre senhor e servo - AA - má relação
46AA241|servir a dois senhores - AA - má relação
46AA61|conselho de administração, esp. governadores, administradores, etc. (holandês: "regenten") - AA - mulheres (holandês: "regentessen")
46AA611|presidente do conselho de administração - AA - mulheres (holandês: "regentessen")
46AA612|secretário (de uma sociedade) - AA - mulheres (holandês: "regentessen")
46AA613|tesoureiro - AA - mulheres (holandês: "regentessen")
46AA614|membros de uma comissão, membros do conselho de administração - AA - mulheres (holandês: "regentessen")
46AA63|reunião, assembleia - AA - ao ar livre
46AA631|início da reunião, abertura dos trabalhos - AA - ao ar livre
46AA632|alucoção, discurso, conferência (~ reunião) - AA - ao ar livre
46AA633|debate, discussão (~ reunião) - AA - ao ar livre
46AA634|interrupção, perguntas, questões - AA - ao ar livre
46AA635|votar (~ reunião) - AA - ao ar livre
46AA636|caos, procedimento desordeiro (~ reunião) - AA - ao ar livre
46AA637|encerramento da reunião, encerramento dos trabalhos - AA - ao ar livre
46AA638|sala de reuniões - AA - ao ar livre
46B|negócios, comércio e finança
46B0|alegoria do comércio; "Commertio della vita humana" (Ripa)
46B1|locais de comércio
46B11|mercado
46B111|tenda, barraca (~ mercado) 
46B112|mercado municipal
46B12|feira (anual), feira comercial
46B13|loja, armazém
46B131|armazém de vendas, supermercado
46B132|vitrina
46B14|edifício público dentro do qual as mercadorias e afins são pesadas
46B15|armazém grossista
46B16|leilão, venda em hasta pública
46B17|câmbio, bolsa de valores
46B18|exposição comercial, feiras industriais
46B181|feira mundial, exposição mundial
46B19|bazar, feira de beneficência
46B2|pessoas que trabalham nos negócios e no comércio
46B21|mercador, comerciante, vendedor
46B21(...)|mercador, comerciante, vendedor (com NOME do negócio ou profissão)
46B22|vendedor ambulante, caixeiro-viajante
46B221|vendedor de rua
46B221(...)|vendedor de rua (com o NOME do negócio ou profissão)
46B2211|"cris de Paris", "cries of London", etc.
46B222|bufarinheiro
46B23|delegado comercial
46B24|lojista
46B241|balconista, empregado de balcão
46B25|ir ao mercado
46B26|voltar do mercado
46B27|cliente
46B271|cliente satisfeito
46B272|cliente que reclama
46B3|meios e métodos auxiliares utilizados nos negócios, comércio e finança
46B31|dinheiro
46B310|"Pecunia" (Ripa)
46B311|moeda
46B3111|moeda de troca, moeda privada
46B312|papel-moeda (notas)
46B313|dinheiro noutras formas, e.g.: barras de metal, conchas, etc.
46B314|cheque, letra de câmbio
46B3140|letra de câmbio (aleg.); "Cambio", "Wissel" (Ripa)
46B32|administração ~ comércio e finanças
46B321|guarda-livros, contabilista
46B3211|registo de contas
46B322|escritório (~ administração)
46B33|pesar, pesagem
46B331|instrumentos de pesagem
46B3311|balanças
46B3312|pesos usados nas balanças
46B332|pesar ouro ou dinheiro
46B34|medições da capacidade cúbica
46B341|medida de capacidade cúbica, medição da capacidade
46B35|publicidade
46B351|anúncio
46B352|folheto
46B353|cartaz
46B3531|painel publicitário
46B3532|suporte para cartazes
46B3533|homem-sanduíche
46B354|tabuleta
46B355|marca de fabrico, moeda de troca, símbolo comercial, cartão comercial
46B356|anúncio, aviso
46B4|transações comerciais
46B41|comprar e vender
46B411|comprar
46B412|vender
46B413|negociar por troca, permutar
46B414|contratar, alugar
46B42|verificação de mercadorias
46B43|negociar, regatear
46B44|pagamento (~ comércio) (inclui pagar empréstimos, etc.)
46B45|débito e crédito
46B451|débito, dívida
46B4510|"Debito" (Ripa)
46B4511|IOU (= "I owe you", declaração de dívida), vínculo
46B452|crédito
46B4520|"Crédito" (Ripa)
46B46|contrato de venda
46B47|lucros e perdas
46B471|lucro (~ comércio)
46B4711|interesse (~ comércio)
46B472|perda (~ comércio)
46B48|especulação no comércio e finanças, especulação na bolsa
46B481|boom especulativo
46B49|importação e exportação
46B491|importação
46B492|exportação
46B493|expedição comercial
46B494|empresa de comércio
46B4941|marinha mercante, comércio marítimo
46B5|organização comercial e financeira
46B51|comércio em dinheiro
46B511|cambista
46B512|agiota, usurário
46B5120|"Usura" (Ripa)
46B513|penhorista, agiota
46B52|bolsa de valores, mercado financeiro
46B521|relatórios do mercado financeiro
46B53|banco
46B531|banqueiro
46B54|transferência bancária
46B55|seguro
46B551|agente de seguros
46B56|organização de empresários
46B561|guilda de comerciantes
46B562|câmara de comércio
46B57|consórcio, cartel, monopólio
46B6|"dumping", lavagem de dinheiro
46B61|saldos, liquidação total
46B7|espionagem económica
46B8|boicotar
46B9|resultados negativos ou aspectos indesejáveis ​​do comércio e negócios
46B91|fraude, burla
46B910|"Acquisto cattivo" (Ripa)
46B911|corrupção
46B92|bancarota
46B921|oficial judiciário
46B93|depressão, crise económica
46B931|pânico financeiro
46B932|inflacção
46BB2|pessoas que trabalham nos negócios e no comércio - BB - mulheres que trabalham nos negócios e no comércio
46BB21|mercador, comerciante, vendedor - BB - mulheres que trabalham nos negócios e no comércio
46BB21(...)|mercador, comerciante, vendedor (com NOME do negócio ou profissão) - BB - mulheres que trabalham nos negócios e no comércio
46BB22|vendedor ambulante, caixeiro-viajante - BB - mulheres que trabalham nos negócios e no comércio
46BB221|vendedor de rua - BB - mulheres que trabalham nos negócios e no comércio
46BB221(...)|vendedor de rua (com o NOME do negócio ou profissão) - BB - mulheres que trabalham nos negócios e no comércio
46BB2211|"cris de Paris", "cries of London", etc. - BB - mulheres que trabalham nos negócios e no comércio
46BB222|bufarinheiro - BB - mulheres que trabalham nos negócios e no comércio
46BB23|delegado comercial - BB - mulheres que trabalham nos negócios e no comércio
46BB24|lojista - BB - mulheres que trabalham nos negócios e no comércio
46BB241|balconista, empregado de balcão - BB - mulheres que trabalham nos negócios e no comércio
46BB25|ir ao mercado - BB - mulheres que trabalham nos negócios e no comércio
46BB26|voltar do mercado - BB - mulheres que trabalham nos negócios e no comércio
46BB27|cliente - BB - mulheres que trabalham nos negócios e no comércio
46BB271|cliente satisfeito - BB - mulheres que trabalham nos negócios e no comércio
46BB272|cliente que reclama - BB - mulheres que trabalham nos negócios e no comércio
46C|tráfego e transporte
46C1|tráfego terrestre
46C11|estrada, caminho
46C111|vau
46C1111|atravessar um rio
46C1112|ferry (atravessar de barco)
46C1113|atravessar caminhando sobre as pedras
46C112|ponte
46C1121|pontes em construção
46C11211|ponte pênsil
46C11212|ponte sobre um eixo
46C11213|ponte levadiça
46C1122|formas de ponte
46C11221|ponte com estruturas, i.e. cobertas ou com construções
46C113|viaduto
46C114|estrada subterrânea, túnel
46C115|controle de tráfego (sinais, sinais luminosos, etc.)
46C1151|placa sinalizadora
46C1152|guarda ou policia de serviço
46C1153|semáforos
46C1159|obstáculo, engarrafamento
46C116|encruzilhada, bifurcação 
46C1161|poste de sinalização
46C1162|marco miliário
46C117|cruzamento, "mont-joie"
46C118|outras estruturas ~ estrada, caminho
46C1181|lanço de escadas
46C12|força humana ~ tráfego e transporte terrestre
46C121|transportar alguma coisa
46C1211|transportar alguma coisa numa cesto, num saco, numa mochila, etc.
46C1212|transportar alguma coisa com um jugo ou canga
46C1213|transportar alguma coisa com uma vara de transporte
46C1214|transportar alguma coisa com um carrinho de mão
46C1215|transportar alguma coisa na cabeça ou nos ombros
46C122|carrinho de mão
46C123|carrinho de mão
46C124|riquexó
46C125|bicicleta
46C1251| tipos antigos de bicicleta
46C1251(...)| tipos antigos de bicicleta (com NOME)
46C1252|triciclo
46C12521|triciclo de transporte
46C1253|monociclo
46C1254|tandem
46C1257|outros tipos de bicicletas
46C1257(...)|outros tipos de bicicleta (com NOME)
46C1258|peças, acessórios de uma bicicleta
46C1258(...)|peças, acessórios de uma bicicleta (com NOME)
46C126|meios de transporte pouco comuns
46C1261|andas
46C127|transportar uma pessoa
46C1271|transportar uma pessoa às costas
46C1272|(transportar uma pessoa numa) maca, padiola
46C1273|(transportar uma pessoa numa) liteira
46C128|ser(es) humano(s) puxando ou empurrando um veículo normalmente não impulsionado por energia humana
46C13|animais de carga
46C131|andar a cavalo, burro, ou mula; cavaleiro
46C1311|escola de equitação, picadeiro
46C13111|escola superior de equitação
46C13112|carrossel
46C1312|retrato oficial equestre
46C1313|estátua equestre
46C1314|cavalos e animais semelhantes
46C13141|cavalo
46C13141(...)|cavalo (com NOME da raça ou espécie)
46C131411|luta de cavalos
46C13142|jumento, asno, burro
46C13143|mula
46C13144|bardoto
46C1315|coudelaria
46C1316|selar e arrear
46C13161|sela e freio (arreios)
46C131611|cabeceira
46C131612|freio
46C131613|rédeas
46C131614|sela
46C1316141|howdah (palanque no dorso de um elefante)
46C131615|estribo
46C131616|antolhos
46C131617|manta, cobertor
46C1317|tratamento, alimentação, limpeza etc.
46C13171|estribeiro
46C13172|escovar
46C1318|cavalo em movimento
46C13181|passo (cavalo em movimento)
46C13182|trote (cavalo em movimento)
46C13183|cavalo a galope
46C13184|salto (cavalo em movimento)
46C13185|rampante (cavalo em movimento)
46C13186|coice (cavalo em movimento)
46C13187|levar um cavalo pelas rédeas, cavaleiro ao lado do seu cavalo
46C1319|acidente com um cavalo (ou um animal semelhante)
46C13191|fugir, escapar (~ cavalo)
46C13192|cavalo derrubando o cavaleiro
46C13193|cavalo atacado por animal selvagem
46C132|montar outros animais que não um cavalo, burro ou mula
46C133|besta de carga
46C14|tracção animal, veículo de tracção animal (carro, etc.)
46C141|atrelar, colocar arreios  ~ tracção animal
46C1411|arreios
46C14111|jugo
46C14112|outras partes dos arreios
46C1412|animais desatrelados ao lado de um vagão
46C1413|remover os arreios
46C142|veículo de duas rodas de tracção animal
46C1421|veículo de duas rodas puxado por um animal
46C1422|veículo de duas rodas puxado por dois animais 
46C1423|veículo de duas rodas puxado por três animais
46C1424|veículo de duas rodas puxado por mais do que três animais
46C14241|quadriga
46C143|veículo de três rodas de tracção animal
46C1431|veículo de três rodas puxada por um animal
46C1432|veículo de três rodas puxado por dois animais
46C1433|veículo de três rodas puxado por três animais
46C1434|veículo de três rodas puxado por mais do que três animais
46C144|veículo de quatro rodas de tracção animal, e.g.: carruagem, carroça
46C1441|veículo de quatro rodas puxado por um animal
46C1442|veículo de quatro rodas puxado por dois animais
46C1443|veículo de quatro rodas puxado por três animais
46C1444|veículo de quatro rodas puxado por mais do que três animais
46C1444(...)|veículo de quatro rodas puxado por mais do que três animais (com NÚMERO de animais)
46C145|carro agrícola, carro de transporte, charrete
46C1451|carro coberto, carro com capota
46C146|incitar um animal equestre
46C1461|picar
46C1462|esporear
46C1463|chicotear
46C147|diligência, autocarros, eléctrico puxado por cavalos
46C148|trenó de tracção animal (holandês: "toeslede")
46C149|acidente com um veículo de tracção animal
46C1491|fuga de animais de tração
46C1492|acidente com um veículo de duas rodas, de tracção animal
46C14921|acidente com um veículo de duas rodas, puxado por um animal
46C14922|acidente com um veículo de duas rodas, puxado por dois animais
46C14923|acidente com um veículo de duas rodas, puxado por três animais
46C14924|acidente com um veículo de duas rodas,puxado por mais do que três animais
46C149241|acidente com uma quadriga
46C1493|acidente com um veículo de três rodas, de tracção animal
46C14931|acidente com um veículo de três rodas, puxado por um animal
46C14932|acidente com um veículo de três rodas, puxado por dois animais
46C14933|acidente com um veículo de três rodas, puxado por três animais
46C14934|acidente com um veículo de três rodas, puxado por mais de três animais
46C1494|acidente com um veículo de quatro rodas, de tracção animal, e.g.: carruagem, carroça
46C14941|acidente com um veículo de quatro rodas, puxado por um animal
46C14942|acidente com um veículo de quatro rodas, puxado por dois animais
46C14943|acidente com um veículo de quatro rodas, puxado por três animais
46C14944|acidente com um veículo de quatro rodas, puxado por mais de três animais
46C14944(...)|acidente com um veículo de quatro rodas, puxado por mais de três animais (com NÚMERO de animais)
46C1495|acidente com carro agrícola, carro de transporte, charrete
46C1496|incitar um animal de corrida ou animal de carga ~ acidente
46C14961|picar ~ acidente
46C14962|esporear ~ acidente
46C14963|chicotear ~ acidente
46C1497|acidente com diligência, ómnibus, "americano" (veículo sobre carris puxado por animais)
46C1498|acidente com trenó de tracção animal (holandês: "toeslede")
46C15|tráfego ferroviário
46C151|ferrovia, carril; ferrovia de cremalheira
46C1511|ferrovia, comboio
46C15111|comboio de carga
46C15112|comboio de passageiros
46C1512|carril, eléctrico
46C15121|eléctrico
46C1513|ferrovia de cremalhareira
46C152|locomotiva
46C1521|locomotiva a vapor
46C1522|locomotiva a diesel
46C1523|locomotiva elétrica
46C1529|outros tipos de locomotiva
46C1529(...)|outros tipos de locomotiva (com NOME)
46C153|carruagem, vagão
46C1531|carruagem de passageiros
46C1532|vagão ferroviário
46C154|sistema de sinalização (ferrovia, carril)
46C1541|cabine de sinalização, estação de sinalização (ferrovia, carril)
46C1542|passagem de nível sem guarda (ferrovia, carril)
46C1543|passagem de nível com guarda (ferrovia, carril)
46C1544|sinal (ferrovia, carril)
46C155|estação; abrigo (ferrovia, carril)
46C1551|plataforma (ferrovia, carril)
46C1552|sala de espera (ferrovia, carril)
46C1559|(outros) edifícios, construções ~ ferrovia, carril
46C15591|depósito ~ ferrovia, carril
46C156|metro, "métro", metropolitano
46C1561|estação de metro subterrânea
46C157|monocarril
46C158|ferrovia suspensa
46C1581|funicular
46C159|acidente ferroviário
46C1591|acidente sobre uma ferrovia, carril; ferrovia de cremalheira
46C1592|acidente com locomotiva
46C1593|acidente com carruagem ferroviária
46C1594|sistema de sinalização (ferrovia) ~ acidente
46C15941|cabine de sinalização, estação de sinalização ~ acidente
46C15942|acidente numa passagem de nível sem guarda (ferrovia)
46C15943|acidente numa passagem de nível com guarda (ferrovia)
46C1595|acidente na estação; abrigo (ferrovia)
46C1596|acidente no metro
46C15961|acidente na estação de metro
46C1597|acidente com monocarril
46C1598|acidente com ferrovia suspensa
46C15981|acidente com funicular
46C16|tráfego com um veículo a motor na estrada ou numa via 
46C161|automóvel
46C1611|automóvel com três rodas, carro
46C162|autocarro, camioneta
46C163|camião, carrinha
46C164|veículo anfíbio
46C165|motociclos e outros veículos a motor com duas rodas
46C166|outros veículos a motor não mencionados
46C1661|tractor
46C167|partes, acessórios de um veículo a motor
46C1671|partes de um veículo a motor
46C1671(...)|partes de um veículo a motor (com NOME)
46C168|manutenção, reparação, armazenamento ~ veículos a motor
46C1681|estação de serviço
46C16811|posto de abastecimento de combustíveis
46C16812|loja de reparações, garagem de reparações, acessórios, etc.
46C16813|posto de auto-lavagem, máquina de lavagem de automóveis
46C1682|edifício de estacionamento
46C16821|lugar de estacionamento, parque de estacionamento
46C16822|garagem de estacionamento, parque coberto, silo de estacionamento
46C16823|parquímetro
46C168231|físcal de parqueamento
46C169|acidente com um veículo a motor
46C1691|acidente com automóvel
46C16911|acidente com veículo com três rodas, carro
46C1692|acidente com autocarro, camioneta
46C1693|acidente com camião, carrinha
46C1694|acidente com veículo anfíbio
46C1695|acidentes com motociclos ou outro veículo a motor com duas rodas
46C17|carro à vela
46C18|locomoção na neve e no gelo (não desportiva)
46C181|trenó (não desportivo)
46C1811|trenó de cavalos
46C1812|trenó de cães
46C1813|trenó de renas
46C1814|trenó movido por picadores
46C182|raquete de neve
46C183|trenó à vela
46C189|acidente na neve ou no gelo
46C19|roda (de veículo)
46C191|cubo (de roda)
46C1911|rolamento (de roda)
46C192|raios
46C193|pneu
46C1931|câmara de ar
46C1939|rasto de pneu
46C199|eixo das rodas
46C2|tráfego na água
46C20|"Navigatione" (Ripa)
46C21|embarcações (em geral)
46C211|arsenal, estaleiro, doca
46C212|reparar, calafetar, querenar (~ embarcação)
46C2121|doca seca, doca flutuante
46C213|modelo de embarcação
46C2131|modelo de embarcação numa garrafa
46C214|representação de uma embarcação
46C215|partes externas de uma embarcação
46C215(...)|partes externas de uma embarcação (com NOME)
46C215(ANCHOR)|partes externas de uma embarcação: âncora
46C215(BOW)|partes externas de uma embarcação: proa
46C215(FIGURE-HEAD)|partes externas de uma embarcação: figura de proa
