2|Natureza
25KK23|costa (nas regiões polares) - KK - paisagens ideais
25KK24|ilha (nas regiões polares) - KK - paisagens ideais
25KK241|icebergue - KK - paisagens ideais
25KK25|tundra, país com vegetação - KK - paisagens ideais
25KK26|campo de gelo - KK - paisagens ideais
25KK3|exotismo - KK - paisagens ideais
25L|representação alegórica ou simbólica de cidades
25L(...)|representação alegórica ou simbólica de cidades (com NOME)
25L(...)0|representação alegórica ou simbólica de cidades (com NOME) - personificação de uma cidade, padroeiro(ra) de uma cidade
25L(...)1|representação alegórica ou simbólica de cidades (com NOME) - representação simbólica de uma cidade
25L(...)11|representação alegórica ou simbólica de cidades (com NOME) - coroa (heráldica)
25L(ROME)|representação alegórica ou simbólica de cidades: Roma
25L(ROME)0|representação alegórica ou simbólica de cidades: Roma - personificação de uma cidade, padroeiro(ra) de uma cidade
25L(ROME)1|representação alegórica ou simbólica de cidades: Roma - representação simbólica de uma cidade
25L(ROME)11|representação alegórica ou simbólica de cidades: Roma - coroa (heráldica)
25L0|personificação de uma cidade, padroeiro(ra) de uma cidade
25L1|representação simbólica de uma cidade
25L11|coroa (hieráldica), coroa mural
25M|as sete maravilhas do mundo
25M|medidas defensivas (militares)
25M1|pirâmides do Egipto (uma das sete maravilhas do mundo)
25M2|jardins suspensos de Semíramis na Babilónia (uma das sete maravilhas do mundo)
25M3|templo de Ártemis em Éfeso (uma das sete maravilhas do mundo)
25M4|estátua de Zeus por Fídias (uma das sete maravilhas do mundo)
25M5|Mausoléu de Halicarnasso (uma das sete maravilhas do mundo)
25M6|Colosso de Rodes (uma das sete maravilhas do mundo)
25M7|Farol de Alexandria (uma das sete maravilhas do mundo)
25M8|outros monumentos que por vezes são incluídos entre as maravilhas do mundo
25M8(...)|outros monumentos que por vezes são incluídos entre as maravilhas do mundo (com NOME)
25N|países fictícios
25N(...)|países fictícios (com NOME)
25N(ATLANTIS)|países fictícios: Atlântida
25N1|País da Cocanha
26|fenómenos meteorológicos
26A|nuvens
26A1|nuvens altas
26A11|cirro (nuvens altas)
26A12|cirrostrato
26A2|nuvens de média altitude
26A21|cirrocúmulo, i.e. nuvens de efeito ondulado com a aparência de escamas de peixe
26A22|altocúmulo
26A23|altostrato
26A3|nuvens baixas
26A31|estratocúmulo
26A32|nimbostrato, i.e. nuvens de chuva
26A4|nuvens baixas e nuvens provenientes de correntes de ar ascendentes
26A41|cúmulo, i.e. nuvens de bom tempo
26A42|cumulonimbo, i.e. nuvens de trovoada
26A5|neblina alta distribuída uniformemente
26A51|estrato
26B|chuva
26B0|"Pioggia, ninfa dell'aria" (Ripa)
26B1|névoa, nevoeiro
26B2|arco-íris
26B20|"Iride, ninfa dell'aria" (Ripa)
26B3|orvalho
26B30|"Rugiada, ninfa dell'aria" (Ripa)
26B4|aguaceiro, chuva
26B9|seca
26C|ventos
26C0|"Venti" (Ripa)
26C1|várias direcções dos ventos
26C11|as quatro principais direcções dos ventos
26C111|vento de Norte (uma das quatro  principais direcções)
26C112|vento de Este (uma das quatro  principais direcções)
26C113|vento de Sul (uma das quatro  principais direcções)
26C114|vento de Oeste (uma das quatro  principais direcções)
26C12|divisão do vento em oito direcções
26C121|vento de Norte, "Aquilo", "Boreas", "Septentrionarius" (uma das oito direcções)
26C122|vento de Nordeste, "Kaikias" (Caecias) (uma das oito direcções)
26C123|vento de Este, "Subsolanus" (uma das oito direcções)
26C124|vento de Sudeste, "Eurus", "Volturnus", "Euro" (Ripa) (uma das oito direçcões)
26C125|vento de Sul, "Auster", "Notus" (uma das oito direcções)
26C126|vento de Sudoeste, "Africus" (uma das oito direcções)
26C127|vento de Oeste, "Favonius", "Zephirus" (uma das oito direcções)
26C128|vento de Noroeste, "Iapyx", "Caurus" (uma das oito direcções)
26C13|divisão do vento em dezasseis direcções
26C131|divisão do vento em dezasseis direcções, de Norte para Sul, no sentido dos ponteiros do relógio
26C1311|vento de Norte (N) (uma das dezasseis direcções)
26C1312|vento de Norte-Nordeste (NNE) (uma das dezasseis direcções)
26C1313|vento de Nordeste (NE) (uma das dezasseis direcções)
26C1314|vento de Este-Nordeste (ENE) (uma das dezasseis direcções)
26C1315|vento de Este (E) (uma das dezasseis direcções)
26C1316|vento de Este-Sudeste (ESE) (uma das dezasseis direcções)
26C1317|vento de Sudeste (SE) (uma das dezasseis direcções)
26C1318|vento de Sul-Sudeste (SSE) (uma das dezasseis direcções)
26C132|do Sul para Norte, no sentido dos ponteiros do relógio
26C1321|vento de Sul (S) (uma das dezasseis direcções)
26C1322|vento de Sul-Sudoeste (SSW) (uma das dezasseis direcções)
26C1323|vento de Sudoeste (SO) (uma das dezasseis direcções)
26C1324|vento de Oeste-Sudoeste (OSO) (uma das dezasseis direcções)
26C1325|vento de Oeste (O) (uma das dezasseis direcções)
26C1326|vento de Oeste-Noroeste (ONO) (uma das dezasseis direcções)
26C1327|Vento de Noroeste (NO) (uma das dezasseis direcções)
26C1328|vento de Norte-Noroeste (NNO) (uma das dezasseis direcções)
26C14|outras direcções dos ventos
26C2|direcção dos ventos de acordo com a intensidade
26C21|termos marítimos para a intensidade do vento
26C21(...)|termos marítimos para a intensidade do vento (com NOME)
26C22|escala de Beaufort
26C3|tempestade
26C31|tempestade em terra
26C32|tempestade no mar
26C33|tempestade de areia
26C34|tempestade de neve
26C35|remoinho de vento, ciclone, furacão, tufão, tornado
26C351|remoinho de vento, ciclone, furacão, tufão, tornado em terra
26C352|remoinho de vento, ciclone, furacão, tufão, tornado no mar
26C4|cata-vento
26C41|cata-vento (galo)
26C42|biruta ou manga de vento
26C5|barómetro
26C6|vento como um rosto humano, soprando com as bochechas arredondadas
26C9|ausência de vento, calma
26D|geada, tempo frio
26D1|neve
26D11|avalanche
26D111|protecção contra avalanches
26D2|granizo
26D3|gelo, geada
26D4|gelo ~ tempo frio
26D41|gelo à deriva
26D42|sincelo, pingente de gelo
26D5|Invernos rigorosos
26D9|degelo
26E|trovoada
26E1|trovão
26E2|relâmpago, clarão, raio
26E21|pára-raios
26E22|acidentes causados ​​por raios
26E3|outros fenómenos meteorológicos de descarga eléctrica
26E31|Fogo de Santelmo (fogo de São Telmo, fogo de Santo Elmo)
26E32|luzes do norte, "aurora borealis"
26F|bom e mau tempo
26F1|bom tempo
26F10|"Salubrità o purità dell'aria" (Ripa)
26F11|onda de calor
26F111|insolação
26F2|mau tempo
26F21|onda de frio
26F22|"Pruina", tempo de Inverno
26F3|consequências do tempo, e.g. depois de seca, antes da tempestade, depois do ciclone
26G|miragem, "fata morgana"
26H|ainda outros fenómenos meteorológicos
29|surreal, representações surrealistas
29A|animais agindo como seres humanos
29A1|"mundus inversus", o mundo invertido, o mundo às avessas, "le monde bestourné"
29B|plantas agindo como seres humanos ou animais
29C|objectos que ganham vida, e.g. fantoches
29D|formas naturais de pedras, madeira, nuvens, etc., como representações
3|Ser Humano, Humanidade
31|homem em sentido biológico geral
31A|a figura humana (nua), "Corpo humano" (Ripa)
31A1|cânone, proporções
31A11|figura de pé (cânone, proporções)
31A12|figura num círculo ou quadrado, pernas afastadas e braços levantados ou esticados para os lados
31A13|outros sistemas ou cânones
31A14|figura humana de proporções ideais, e.g. nu académico
31A140|representação alegórica da figura humana de proporções ideais
31A141|nu com genitais cobertos
31A19|"homo Platonis", "animal bipes implume"
31A2|anatomia (não-médica)
31A21|esqueleto (humano)
31A211|crânio (humano)
31A2111|mandíbula (humana)
31A2112|dentes
31A21121|dentes frontais
31A21122|dentes posteriores, molares
31A212|tórax
31A2121|costelas
31A2122|coluna vertebral
31A2123|clavícula
31A2124|escápula, omoplata
31A213|pélvis, bacia
31A214|ossos dos braços
31A2141|úmero, osso do braço
31A2142|rádio e ulna, ossos do antebraço
31A2143|carpo e metacarpo, partes da mão
31A2144|falanges dos dedos
31A215|ossos das pernas
31A2151|fêmur, osso da coxa
31A2152|tíbia e fíbula, ossos da perna
31A2153|tarso e metatarso, partes do pé
31A2154|falanges dos dedos dos pés
31A216|ossos em geral (corpo humano)
31A22|partes do corpo humano (esqueleto excluído)
31A221|cabeça (humana)
31A2211|rosto
31A22111|partes do rosto
31A22111(...)|partes do rosto (com NOME)
31A22111(LIPS)|partes do rosto: lábios
31A22111(NOSE)|partes do rosto: nariz
31A2212|olhos
31A22121|"imago omnia videntis"
31A2213|orelhas
31A2214|boca
31A22141|língua
31A2215|cabeça (interna)
31A22151|cérebro
31A22152|cavidade nasal
31A22153|cavidade orofaríngea
31A222|peito, busto
31A2221|coração
31A22210|simbolismo do coração
31A222101|simbolismo profano do coração ~ amor
31A22211|partes do coração
31A2222|pulmões, brônquios
31A22221|respirando, respiração
31A22222|dificuldade para respirar
31A22229|sufocando
31A2223|seios
31A22231|mamilos
31A22232|seios dando leite
31A2224|ombro
31A2225|costas
31A2226|torso
31A223|abdómen, barriga (ser humano)
31A2231|aspectos exteriores ~ abdómen
31A22311|umbigo
31A22312|anca
31A2232|glândulas
31A22321|fígado (anatomia humana)
31A22322|vesícula biliar
31A22323|baço
31A22324|rim
31A2233|estômago
31A22331|esófago
31A2234|intestinos
31A2235|bexiga
31A2236|órgãos sexuais (humanos)
31A22361|órgãos sexuais masculinos
31A223611|testículos
31A223612|pénis, falo
31A2236121|imagem do falo, "phallos"
31A223613|esperma
31A22362|órgãos sexuais femininos
31A223621|ventre, útero
31A2236211|útero com feto
31A223622|ovários
31A223623|menstruação
31A223624|vagina
31A2237|nádegas, "partes posteriores"
31A22371|ânus
31A224|braços
31A2241|parte superior do braço
31A2242|cotovelo
31A2243|antebraço
31A2244|pulso
31A2245|mão
31A22451|impressão da mão
31A2246|dedos
31A22461|polegar
31A22462|dedo indicador
31A22463|dedo médio
31A22464|dedo anular (ou anelar)
31A22465|dedo mindinho, dedo mínimo
31A2247|unhas (dedos)
31A225|pernas
31A2251|parte superior da perna, coxa
31A2252|joelho
31A2253|perna
31A2254|tornozelo
31A2255|pé
31A22551|calcanhar
31A22552|pegada, rasto
31A2256|dedos dos pés
31A2257|unhas (dedos dos pés)
31A226|outros detalhes anatómicos
31A2261|circulação sanguínea
31A22611|sangue
31A22612|artérias
31A22613|veias
31A2262|pele (humana)
31A22621|cabelo
31A22622|pêlos do corpo
31A22623|pêlos púbicos
31A22624|cor de pele
31A22624(...)|cor da pele (com número FITZPATRICK)
31A2263|músculos
31A2264|tendões, ligamentos
31A2265|nervos
31A23|posturas da figura humana
31A231|figura de pé
31A2311|contraposto, "Standbein und Spielbein"
31A2312|"figura serpentinata"
31A2313|de pé sobre uma perna
31A2319|de pé sobre a cabeça ou sobre as mãos
31A232|figura inclinada
31A2321|inclinado para a frente
31A2322|inclinado para trás
31A2323|inclinado para um lado
31A233|figura ajoelhada
31A2331|figura ajoelhada em ambos os joelhos
31A234|acocorado, figura agachada
31A2341|figura encolhida
31A235|figura sentada
31A2351|sentado no chão
31A2352|sentado numa elevação
31A2353|sentado com braços ou cotovelos sobre os joelhos
31A23531|sentado com a(s) mão(s) repousando na coxa ou joelho
31A2354|sentado no colo de alguém
31A236|figura deitada
31A2361|deitado de costas com a parte superior do corpo levantada
31A2362|deitado com o rosto para baixo
31A2363|deitado sobre um dos lados, esticado
31A2364|deitado sobre um dos lados, com a parte superior do corpo levantada e apoiando-se no braço
31A2365|deitado de costas com as mãos atrás da cabeça
31A2366|deitado com o rosto para baixo com as mãos atrás da cabeça
31A237|figura pendurada (pelos braços, pernas, etc.)
31A2371|pendurado pelos braços
31A23711|pendurado por um braço
31A2372|pendurado pelas pernas
31A23721|pendurado por uma perna
31A2373|pendurado por outras partes do corpo
31A23731|pendurado pelo cabelo
31A23732|pendurado pelos dentes
31A239|outras posturas da figura humana
31A2391|figura dobrada
31A24|posturas da cabeça
31A241|cabeça em posição vertical normal
31A242|cabeça virada para um lado
31A2421|cabeça virada para a esquerda
31A2422|cabeça virada para a direita
31A243|cabeça inclinada para trás
31A244|cabeça inclinada para a frente; vénia
31A245|cabeça inclinada para a esquerda
31A246|cabeça inclinada para a direita
31A247|olhar sobre o ombro
31A249|outras posturas da cabeça
31A25|posturas e gestos dos braços e mãos
31A251|posturas e gestos das mãos e braços em geral
31A2511|braço levantado para cima
31A25111|braço levantado, com dedos fechados
31A25112|braço levantado, com dedos abertos
31A25113|braço levantado, com punho
31A2512|braço esticado para a frente
31A2513|braço esticado para um lado
31A2514|braço seguro atrás
31A2515|braço pendendo 
31A2516|braço ou mão pendendo à frente do corpo
31A25161|braço ou mão pendende à frente do peito
31A251611|mão segurando o seio
31A25162|mão no coração
31A25163|mão que bate no peito
31A25164|mão descobrindo o peito
31A25165|braços cruzados sobre o abdómen
31A2517|braço ou mão dobrada atrás do corpo
31A25171|braço dobrado atrás das costas
31A25172|mão atrás da cabeça
31A2518|mão na anca
31A2519|mão não visível
31A25191|mão no bolso
31A25192|mão na manga
31A25193|mão no peito (ou estômago), que escorregou para uma abertura das vestes
31A252|posturas e gestos dos braços e mãos em relação uns com os outros
31A2521|braços cruzados
31A25211|braços cruzados, atrás das costas
31A25212|braços cruzados, sobre o seio
31A2522|mãos entrelaçadas
31A25221|mãos entrelaçadas com os dedos entrelaçados
31A25222|esfregando, torcendo as mãos
31A2523|mãos uma contra a outra
31A25231|mãos com as pontas dos dedos uns contra os outros
31A2524|contando argumentos, calculando com os dedos
31A2525|mãos uma sobre a outra
31A253|posturas e gestos dos braços e mãos em relação à cabeça
31A2531|mão(s) inclinada(s) para a cabeça
31A25311|"caput manui innixum", cabeça segura entre a(s) mão(s)
31A25312|cabeça segura entre a(s) mão(s), com os cotovelos encostados a uma elevação ou sobre os joelhos
31A25313|cobrindo a cabeça, puxando um tecido sobre o rosto
31A25314|mão(s) atrás da cabeça
31A2532|mão tocando a barba
31A2533|mão na direcção da testa
31A25331|apontado para a testa com o dedo indicador
31A25332|"cornuto", i. e. dedo indicador e o dedo mindinho levantados sobre a testa
31A2534|mão(s) na direcção do(s) olho(s)
31A25341|olhando com a mão sobre os olhos
31A25342|espreitando por entre os dedos
31A25343|esfregando os olhos
31A25344|enxugando as lágrimas
31A2535|mão(s) na direcção do nariz
31A25351|segurando o nariz
31A2536|mão(s) na direcção da boca
31A25361|assobiando com os dedos
31A25362|puxando os cantos da boca
31A2537|mão(s) na direcção do(s) ouvido(s)
31A25371|colocando a mão atrás da orelha
31A25372|coçando a orelha
31A254|posturas e gestos do(s) braço(s) e mão(s) em relação a outra pessoa
31A2541|agarrando alguém pelo braço
31A25411|andar de braço dado
31A2542|imposição das mãos
31A2543|agarrando alguém pela mão ou pelo pulso; mãos entrelaçadas
31A25431|três ou mais mãos entrelaçadas, significando a "União faz a Força" ("Unity is Strength")
31A25432|levando alguém pela mão ou pulso
31A25433|"immixtio manuum", colocando mãos entrelaçadas entre as mãos de outra pessoa
31A2544|agarrando alguém pela cabeça
31A25441|agarrando alguém pelo cabelo
31A25442|agarrando alguém pelo pescoço
31A25443|agarrando alguém pela garganta
31A2545|agarrando alguém pelo ombro
31A2546|agarrando alguém pelas pernas
31A25461|agarrando alguém pelos pés
31A2549|agarrando alguém por outras partes do corpo
31A255|posturas e gestos da mão e dos dedos
31A2551|posturas e gestos da mão
31A25511|dedos fechados
31A25512|dedos abertos
31A25513|punho
31A2552|posturas e gestos da palma da mão
31A25521|palma da mão virada para cima
31A25522|palma da mão virada para baixo
31A2553|posturas e gestos do polegar
31A25531|polegar virado para cima
31A25532|polegar virado para baixo
31A2554|posturas e gestos do polegar e outros dedos
31A25541|tocando com o polegar na ponta do dedo indicador
31A25542|polegar entre o dedo indicador e o dedo médio
31A25543|estalando os dedos
31A2555|posturas e gestos do dedo indicador
31A25551|dedo indicador para cima
31A25552|dedo indicador para a frente, apontando, indicando
31A25553|chamando uma pessoa com o dedo, acenando
31A2556|posturas e gestos do dedo indicador e do dedo médio
31A25561|dedo indicador e dedo médio levantados, fechados
31A25562|dedo indicador e dedo médio levantados, abertos; sinal em forma de V
31A2559|posturas e gestos dos outros dedos
31A256|linguagem gestual
31A259|ainda outras posturas e gestos do(s) braço(s) e mão(s)  não especificadas ou mencionadas nos códigos 31 A 25 1 até ao 31 A 25 6
31A26|posturas das pernas
31A261|pernas na mesma posição
31A2611|ambas as pernas estendidas
31A26111|de pé ou inclinando-se com ambas as pernas esticadas, lado a lado, pés no chão
31A26112|de pé ou inclinando-se com ambas as pernas esticadas, lado a lado, na ponta dos pés
31A26113|sentado ou deitado com ambas as pernas esticadas, lado a lado
31A26114|de pé, inclinado, sentado ou deitado com as pernas afastadas
31A26115|deitado com as pernas levantadas, esticadas
31A2612|ambas as pernas dobradas
31A26121|de pé com as pernas dobradas, lado a lado
31A26122|sentado com as pernas dobradas, lado a lado
31A26123|acocorado com as pernas lado a lado
31A26124|ambas as pernas dobradas, lado a lado, joelhos no chão; ajoelhado
31A26125|ambas as pernas dobradas, lado a lado, joelhos dobrados contra o peito
31A26126|de pé com as pernas dobradas e afastadas
31A26127|sentado com as pernas dobradas e afastadas
31A26128|sentado ou deitado com as pernas dobradas, puxadas para cima ou levantadas 
31A26129|sentado de pernas cruzadas
31A261291|posição de Buda, posição de "lotus"
31A262|pernas em diferentes posições
31A2621|uma perna à frente da outra
31A26211|uma perna à frente da outra, posição de andar
31A26212|uma perna à frente da outra, um joelho dobrado, em impulso
31A26213|pernas dobradas com os joelhos no chão, um à frente do outro
31A2622|pernas dobradas esticadas para a frente ou para trás, com um joelho ou pé colocado sobre uma elevação
31A2623|de pé sobre uma perna, a outra perna para a frente
31A26231|de pé sobre uma perna, a outra perna para a frente, direita
31A262311|de pé sobre uma perna, a outra perna para a frente, (quase) na horizontal, passo de ganso, "Hahnentritt"
31A26232|de pé sobre uma perna, a outra perna para a frente, dobrada
31A262321|de pé sobre uma perna, a outra perna para a frente, dobrada e levantada
31A262322|de pé sobre uma perna, a outra perna para a frente, segura com a(s) mão(s)
31A2624|de pé sobre uma perna, a outra perna de lado
31A26241|de pé sobre uma perna, a outra perna de lado, direita
31A26242|de pé sobre uma perna, a outra perna de lado, dobrada
31A2625|de pé sobre uma perna, a outra perna para trás
31A26251|de pé sobre uma perna, a outra perna para trás, direita
31A26252|de pé sobre uma perna, a outra perna para trás, dobrada
31A262521|de pé sobre uma perna, a outra perna para trás, dobrada e levantada
31A262522|de pé sobre uma perna, a outra perna para trás, segura com a(s) mão(s)
31A2626|sentado ou deitado com uma perna esticada para a frente e a outra perna levantada
31A2627|de pé, inclinado, sentado ou deitado com as pernas cruzadas
31A2628|sentado com o lado de um pé colocado sobre o joelho da outra perna
31A27|movimentos do corpo humano
31A271|movimentos do corpo humano para a frente
31A2711|andar
31A27111|caminhando em passo rápido, caminhando em passo largo
31A27112|correr
31A27113|passear
31A2712|gatinhar, andar de quatro
31A27121|andando de joelhos
31A2713|cambaleando, vacilando, balanceando
31A2714|pular
31A2715|rolar
31A2716|cambalhota (mãos tocando o chão)
31A2717|andando sobre as mãos
31A2719|movimento para trás
31A272|movimento para cima e para baixo
31A2721|saltar para cima
31A2722|levantando-se
31A2723|escalar
31A2724|saltar para baixo
31A2725|descer
31A2726|pisando, espezinhando, esmagando alguém ou alguma coisa
31A273|movimento passivo
31A2731|cair
31A2732|escorregar
31A27321|tropeçar
31A2733|sendo transportado
31A27331|sendo suportado
31A2734|sendo arrastado
31A2735|sendo lançado
31A274|movimento ~ objectos
31A2741|atirando alguma coisa
31A27411|soltando alguma coisa
31A27412|atirando alguma coisa para baixo
31A2742|alcançando alguma coisa
31A2743|batendo em alguma coisa
31A2744|pontapeando alguma coisa 
31A2745|agarrando em alguma coisa
31A2746|quebrando alguma coisa
31A2747|puxando, arrastando alguma coisa
31A2748|empurrando alguma coisa
31A27481|virando alguma coisa, (causando um) movimento circular
31A275|outros movimentos
31A2751|enrolando-se (movimento do corpo humano)
31A2752|esticando-se (movimento do corpo humano)
31A2753|rodando, torcendo-se (movimento do corpo humano)
31A2754|movendo os braços
31A2755|movendo as pernas
31A2756|fazer a ponte
31A2757|a roda (cambalhota lateral)
31A276|movimento no ar
31A2761|ascendendo (movimento no ar)
31A2762|voar
31A2763|flutuando no ar
31A27631|sentado ou de pé, nas nuvens 
31A2764|caindo através do ar
31A2765|salto mortal, "salto mortale" (movimento no ar)
31A277|movimento na água
31A2771|caminhando (na água), remando
31A2772|tomar banho (movimento na água)
31A2773|nadar (movimento na água)
31A2774|flutuar (movimento na água)
31A2775|mergulhar (movimento na água)
31A2776|afundar (movimento na água)
31A2777|boiar (movimento na água)
31A2778|emergindo da água
31A2779|andando sobre a água
31A28|homem e a sua sombra
31A281|sombra vendida ao diabo
31A2811|homem sem sombra
31A282|homem seguindo a sua sombra
31A3|os (cinco) sentidos
31A30|"Sensi", "Sensi, come si possono rappresentare in una figura sola", "Senso", "Sentimenti del corpo" (Ripa)
31A31|visão, ver (um dos cinco sentidos)
31A310|"Viso" (Ripa)
31A311|óculos
31A3111|monóculo, binóculo para ópera
31A3112|óculos de sol, óculos escurecidos
31A312|lupa
31A313|"figura cuncta videntis"
31A314|espiando alguém
31A319|interferência com a visão
31A3191|de olhos vendados
31A32|audição, ouvir (um dos cinco sentidos)
31A320|"Udito" (Ripa)
31A321|aparelho auditivo
31A329|ouvinte indesejado
31A33|olfacto, cheirar (um dos cinco sentidos)
31A330|"Odorato" (Ripa)
31A331|cheiro agradável
31A332|cheiro desagradável, repelente
31A34|paladar, saborear (um dos cinco sentidos)
31A340|"Gusto" (Ripa)
31A341|sabor agradável versus sabor desagradável
31A3411|sabor agradável
31A3412|sabor desagradável
31A342|doce (paladar)
31A343|sal (paladar)
31A344|azedo (paladar)
31A345|amargo (paladar)
31A35|tacto (um dos cinco sentidos)
31A350|"Tatto" (Ripa)
31A351|agradável ao toque
31A352|desagradável ao toque
31A4|deficiências, deformações e monstruosidades; doenças
31A41|deficiências, deformações
31A411|deficiências que afectam os olhos
31A4111|cego, cegueira
31A41111|um cego guiando outro cego (Mateus 15:14)
31A41112|um coxo guiando um cego
31A41113|um cego batendo num porco
31A4112|estrábico; estrabismo
31A4113|catarata
31A4114|hipermetropia, miopia
31A4115|presbiopia
31A412|surdo, surdez
31A4121|surdo-mudo, surdo e mudo
31A413|deformações da cabeça
31A4131|lábio leporino
31A414|paralítico
31A415|aleijado
31A4151|pé torto
31A4152|perna de pau
31A4153|muletas
31A4154|cadeira de rodas, cadeira de banho
31A4155|aparelho ortopédico
31A416|curvado
31A417|corcunda
31A418|albino
31A419|pessoa mutilada
31A42|seres humanos (lendários ou não) de proporções anormais, tamanho, força, etc.
31A421|gigantes, colossos
31A422|anões
31A4221|pigmeus, anões
31A4222|goblins, duendes
31A4223|"grylloi"
31A423|seres humanos com poderes ou propriedades sobre-humanos 
31A423(...)|seres humanos com poderes ou propriedades sobre-humanos (com NOME)
31A43|nascimento múltiplo (lendário)
31A431|elevado número de nascimentos
31A431(...)|elevado número de nascimentos (com NÚMERO)
31A44|seres antropomórficos (lendários ou não) com cabeças, membros ou órgãos em número, em partes ou de formas anormais)
31A441|seres antropomórficos com partes em falta
31A4411|"Acephalia", "Blemyae", i.e. seres sem cabeça
31A4412|"Scopodes", "Sciapodes", i.e. seres com uma perna
31A4413|criaturas com um olho
31A4414|Acheiroi, i.e. criaturas sem mãos
31A442|seres antropomórficos com algumas partes em maior número do que o natural
31A4421|ser tricéfalo, "vultus trifrons"
31A44211|"caput triciput", "signum triceps"
31A4422|ser antropomórfico com dois torsos
31A443|seres antropomórficos com membros, órgãos, etc. em partes anormais
31A4431|"oculi in humeris habentes"
31A444|seres antropomórficos com partes do corpo de formas anormais
31A4441|pilosidade excessiva
31A44411|homem selvagem, homem selvagem da floresta
31A44412|pessoa com barba grande
31A45|monstros de forma humana e animal; "Mostri" (Ripa)
31A451|monstros ~ animais em geral (de tipo indeterminado)
31A4511|monstros com cabeça de animal
31A45111|monstros com três cabeças de animais
31A4512|animais com cabeça humana
31A4512(...)|animais com cabeça humana (com NOME)
31A452|monstros ~ mamíferos
31A4521|monstros ~ animais domésticos
31A45211|cinocéfalo
31A4522|monstros ~ símios, macacos
31A4523|monstros ~ predadores (esfinge, "manticora")
31A45231|esfinge (leão/mulher); "Sfinge" (Ripa)
31A45232|"manticora"
31A4524|monstros ~ ungulados
31A4525|monstros ~ proboscídeos
31A4526|monstros ~ roedores
31A4527|monstros ~ mamíferos aquáticos
31A4528|monstros ~ mamíferos voadores
31A4529|monstros ~ outros mamíferos
31A453|monstros ~ aves
31A4531|sereia (ave fantástica com cabeça de mulher)
31A454|monstros ~ répteis
31A4541|monstros ~ lagartos
31A4542|monstros ~ serpentes
31A455|monstros ~ anfíbios
31A456|monstros ~ peixes
31A4561|tritão
31A457|monstros ~ invertebrados
31A458|seres fantásticos com asas
31A4581|fada
31A4582|elfo
31A46|doenças
31A461|dor
31A4611|febre
31A46110|"Febre" (Ripa)
31A462|doenças que afectam todo o corpo 
31A462(...)|doenças que afectam todo o corpo (com NOME)
31A4621|peste
31A46210|personificação da peste
31A4622|lepra
31A46221|chocalho do leproso
31A46222|leprosaria, lazareto, gafaria
31A46223|procissão de leprosos
31A4623|(outras) doenças contagiosas
31A4623(...)|(outras) doenças contagiosas (com NOME)
31A46230|personificação de doença contagiosa; "Contagione" (Ripa)
31A4624|doenças de pele e venéreas
31A4624(...)|doenças de pele e venéreas (com NOME)
31A4624(SYPHILIS)|doenças de pele e venéreas: sífilis 
31A46241|prurido
31A46242|úlcera
31A4625|hidropisia
31A4629|envenenamento
31A4629(...)|envenenamento (com NOME)
31A4629(ERGOTISM)|envenenamento: ergotismo
31A463|doenças que afectam partes do corpo
31A463(...)|doenças que afectam partes do corpo (com NOME)
31A4631|fracturas ósseas
31A4632|infecções e feridas
31A46321|cicatriz
31A4633|doenças da cabeça ou partes da cabeça
31A46331|dor de cabeça
31A46332|constipação, gripe (doença)
31A463321|espirrar
31A463322|tossir
31A46333|dor de dentes
31A4634|tumores
31A46341|tumores externos
31A46342|tumores internos
31A464|distúrbios, perturbação mental, loucura
31A4640|Loucura
31A4641|possessão (por demónios)
31A4642|mania, obsessão
31A46421|obsessão epidémica
31A464211|mania da dança, dança de São Vito
31A469|saúde
31A4690|Saúde, "Sanitas"; "Sanità" (Ripa)
31A5|cuidado com o corpo, higiene
31A51|fazer a toilette
31A511|espelho
31A5111|olhando-se ao espelho; contemplando a sua beleza
31A51111|reflexo (num espelho)
31A5112|embelezamento mágico
31A512|usar  jóias
31A513|maquilhagem
31A514|usando essências, perfumes, unguentos, etc.
31A5141|essências
31A5141(...)|essências (com NOME)
31A5142|perfumes
31A5142(...)|perfumes (com NOME)
31A5143|unguentos
31A5144|pó ~ fazer a toilette
31A5145|utensílios ~ fazer a toilette
31A5145(...)|utensílios ~ fazer a toilette (com NOME)
31A51451|bola de perfume, bola de almíscar
31A51452|frasco de perfume
31A51453|frasco de unguento
31A51454|caixa de pó
31A51455|batom
31A515|pintura corporal ou facial
31A5151|tatuagem
31A52|cuidado das mãos e pés
31A521|manicure
31A522|pedicure
31A523|"Spinario", criança retirando um espinho do pé
31A53|penteado
31A531|cuidado com o cabelo
31A5311|pente, escova e outros utensílios (cuidado com o cabelo)
31A532|corte de cabelo
31A5321|cabeleireiro
31A533|estilos de penteados
31A533(...)|estilos de penteados (com NOME)
31A5331|peruca ou cabeleira postiça
31A5332|cabeça rapada
31A5333|tonsura
31A5334|mecha de cabelo
31A5339|calvície
31A534|barba
31A5341|bigode
31A5342|patilhas
31A53421|suíças
31A5349|barba ou bigode falsos
31A535|barbeiro, barbearia
31A5351|navalha
31A5352|bacia de barbeiro
31A5353|barbear, fazer a barba
31A53531|barbear-se
31A539|cabelos despenteados
31A54|lavar-se e banhar-se
31A541|lavar as mãos
31A542|lavar o rosto e cabeça
31A5421|escovar os dentes
31A54211|escova de dentes
31A54212|palito
31A543|lavar os pés
