5|Ideias e conceitos abstractos
71T6|a história de Tobias: Tobias e Sara (Tobias 7-9)
71T61|Tobias e o anjo Rafael em casa de Raguel
71T611|Raguel reconhece Tobias como seu sobrinho
71T62|Tobias pede Sara em casamento
71T63|o casamento de Tobias e Sara
71T631|Raguel dá Sara a Tobias como sua mulher
71T6311|o anjo une as mãos de Tobias e Sara
71T632|a escrita do contrato matrimonial ~ Tobias e Sara
71T633|o banquete de casamento de Tobias e Sara
71T64|a primeira noite de Tobias e Sara
71T641|Sara é conduzida ao aposento nupcial
71T6411|Tobias é levado a Sara
71T642|Tobias coloca o coração e o fígado do peixe na grelha; o espírito maligno Asmodeu desaparece
71T6421|o anjo prende Asmodeu
71T643|Tobias e Sara em oração
71T65|Raguel abre uma sepultura para Tobias
71T651|Tobias é encontrado vivo; a sepultura é fechada
71T66|o feliz banquete de casamento ~ história de Tobias
71T661|Tobias pede ao anjo que vá ter com Gabael
71T662|Gabael vai à festa
71T7|história de Tobias: o regresso de Tobias (Tobias 10-13)
71T71|Raguel dá metade das suas posses a Tobias 
71T72|a partida ~ o regresso de Tobias 
71T73|no caminho de volta ~ o regresso de Tobias 
71T731|Tobias e o anjo seguem à frente dos outros
71T74|o velho Tobite (e Ana) esperam e preocupam-se com a longa ausência do filho; por vezes Ana é representada a fiar
71T741|Ana observa o caminho ~ o regresso de Tobias 
71T75|Anna vê Tobias e o anjo a chegar, e avisa Tobite
71T751|o cão de Tobias chega, e Tobite corre para a porta
71T76|o encontro dos pais e do filho ~ o regresso de Tobias 
71T77|a cura de Tobite: Tobias coloca o fel do peixe nos olhos de seu pai
71T78|a chegada de Sara ~ o regresso de Tobias 
71T79|Tobias e seu pai oferecem presentes ao anjo 
71T791|o anjo identifica-se; Tobias e a sua família prostram-se por terra
71T792|o anjo Rafael desaparece no céu
71T8|a morte de Tobite: no seu leito de morte fala com Tobias e com os seus sete filhos (Tobias 14)
71T9|outras cenas ~ o livro de Tobias
71T9(...)|outras cenas ~ o livro de Tobite (com LIVRO CAPÍTULO, VERSÍCULO)
71U|o livro de Judite
71U1|Nabucodonosor luta contra Arfaxad (Judite 1)
71U11|Arfaxad, rei dos medos, fortifica a cidade de Ecbátana
71U12|Nabucodonosor, rei da Assíria, envia embaixadores (mensageiros) aos estados vizinhos pedindo ajuda militar contra Arfaxade
71U121|os estados vizinhos recusam aliar-se com Nabucodonosor; no regresso dos embaixadores (mensageiros) Nabucodonosor fica furioso
71U13|Nabucodonosor derrota Arfaxade; a destruição de Ecbátana
71U14|Nabucodonosor regressa a Nínive
71U2|as campanhas de Holofernes (Judite 2-3)
71U21|Nabucodonosor dá a Holofernes o comando de um exército para lutar contra os estados vizinhos
71U22|o exército de Holofernes saqueia e destrói o território
71U3|o cerco de Betúlia (Judite 4-7)
71U31|os israelitas preparam-se para a batalha ~ o cerco de Betúlia
71U311|os israelitas jejuam e oram vestidos de luto ~ livro de Judite
71U32|Holofernes, irritado com as preparações dos israelitas, reúne um conselho de guerra
71U33|Aquior, líder dos amonitas, e Holofernes
71U331|Aquior faz um discurso
71U332|a raiva de Holofernes perante o discurso de Aquior
71U333|Aquior é preso e levado para fora do acampamento de Holofernes
71U3331|Aquior é preso a uma árvore perto da cidade de Betúlia
71U3332|Aquior é libertado pelos israelitas
71U3333|Aquior é levado para Betúlia, onde conta a sua história
71U33331|Aquior é festejado por Uzias
71U34|Holofernes destrói a fonte de água da cidade
71U341|falta de água em Betúlia; o povo queixa-se aos anciãos
71U4|Judite e Holofernes (Judite 8-16)
71U41|o plano de Judite ~ Judite e Holofernes
71U411|Judite, viúva de Manassés, fala com os anciãos Uzias, Cabri e Carmi
71U412|a oração de Judite ~ Judite e Holofernes
71U413|a toilette de Judite; Judite veste as suas melhores roupas
71U414|outras preparações para o plano de Judite e.g.: Judite e a sua serva levam comida consigo
71U42|Judite e sua serva no acampamento de Holofernes
71U421|Judite e sua serva despedem-se dos anciãos na porta da cidade
71U422|Judite e sua serva caminham pelo campo (vale), orando
71U423|Judite e a sua serva são paradas pelos guardas do campo (sentinelas)
71U424|Judite e a sua serva são conduzidas à tenda de Holofernes
71U4241|Judite e sua serva ajoelham-se perante Holofernes
71U4242|diálogo entre Judite e Holofernes
71U425|Judite, à noite, toma banho numa fonte
71U426|Judite faz a toilette para o banquete de Holofernes
71U427|Judite e Holofernes são deixados sozinhos
71U4271|Holofernes bebe excessivamente, e adormece na cama
71U4272|Judite em oração antes de matar Holofernes 
71U4273|Holofernes é decapitado com a sua própria espada por Judite; a serva pode estar de guarda
71U42731|Judite com a cabeça de Holofernes e a espada
71U4274|Judite e a sua serva colocam a cabeça de Holofernes dentro de um saco
71U42741|a cabeça Holofernes é colocada sobre um prato e coberta por um pano
71U43|Judite e sua serva no regresso a Betúlia
71U431|Judite e a sua serva chegam a Betúlia à noite; as tochas são acesas
71U432|Judite mostra a cabeça de Holofernes ao povo
71U433|Aquior ajoelha-se perante Judite
71U434|a cabeça de Holofernes é pendurada nas muralhas da cidade
71U44|vitória dos israelitas ~ Judite e Holofernes
71U441|o ataque dos israelitas ~ Judite e Holofernes
71U442|o assassinato de Holofernes é descoberto (por Bagoas) 
71U443|a fuga dos assírios ~ Judite e Holofernes
71U444|o campo assírios é saqueado; Judite recebe a tenda de Holofernes com tudo o que contém
71U5|outras cenas ~ o livro de Judite
71U5(...)|outras cenas ~ o livro de Judite (com LIVRO CAPÍTULO, VERSÍCULO)
71U5(Judith 16:23)|morte de Judite
71V|o livro de Jonas
71V1|chamada e desobediência de Jonas (Jonas 1)
71V11|Deus envia Jonas a Nínive para pregar ao povo pecador
71V12|para escapar da missão que lhe tinha sido atribuída por Deus, Jonas embarca num navio que ia para Társis
71V13|o navio é apanhado por uma tempestade violenta ~ Jonas e os marinheiros 
71V131|os marinheiros assustados, depois rezarem aos seus deuses, deitam a carga ao mar ~ história de Jonas
71V132|Jonas, encontrado a dormir no porão, é acordado
71V133|os marinheiros tiram à sorte para descobrir de quem é a culpa; quando a sorte cai sobre Jonas, este admite ser a causa da tempestade
71V134|os marinheiros, relutantes, lançam ao mar o profeta Jonas
71V1341|Jonas é engolido por um grande peixe, monstro (marinho), baleia, golfinho ou similar
71V135|o mar acalma-se imediatamente; os marinheiros oferecem sacrifícios a Deus ~ história de Jonas
71V2|Jonas no ventre do peixe (Jonas 2, 1 - 3, 2)
71V21|a oração de Jonas
71V22|depois de passar três dias no ventre do monstro (peixe), Jonas é lançado em terra firme; Jonas pode ser mostrado nú e calvo
71V221|Jonas recebe novamente a ordem de Deus para pregar em Nínive
71V3|Jonas em Nínive (Jonas 3, 3-10)
71V31|quando Jonas chega a Nínive prevê a destruição da cidade dentro de quarenta dias
71V32|quando o rei de Nínive ouve a notícia sobre a destruição da cidade em quarenta dias, levanta-se do seu trono e decreta um arrependimento geral para homens e animais: todos os homens e gado devem jejuar, o povo deve vestir roupas grosseiras e rezar a Deus
71V321|Deus, vendo o arrependimento do povo de Nínive, cede e poupa a cidade
71V4|a decepção de Jonas (Jonas 4)
71V41|Jonas, irritado, argumenta com Deus e pede-lhe a sua própria morte
71V42|o profeta Jonas sai de Nínive; Jonas constrói uma cabana e enquanto goza da sombra de uma planta (rícino ou videira) que Deus tinha feito crescer para ele, aguarda o destino da cidade
71V43|o rícino (ou videira) é comido por um verme e Jonas fica exposto aos raios escaldantes do sol 
71V44|quando Jonas volta a lamentar-se e a desejar a morte, Deus repreende-o
71W|o livro de Job
71W1|a riqueza e a piedade de Job (Job 1, 1-5)
71W11|a riqueza de Job
71W111|os filhos de Job, sete filhos e três filhas
71W112|os filhos de Job organizam uma festa para a qual convidam as suas irmãs
71W12|a piedade de Job
71W121|Job oferece um sacrifício para purificar os seus filhos
71W122|Job dá esmolas, aliviando os pobres
71W2|os "filhos de Deus" (anjos) com Satan (Satanás) reúnidos perante Deus (Job 1, 6-12)
71W21|Deus dá a Satan (Satanás) permissão para testar a virtude de Job
71W22|Satan (Satanás) parte para testar a virtude de Job
71W3|primeira série de provações (Job 1, 13-22)
71W31|vários mensageiros apresentam-se a Job, cada um reportando uma nova desgraça
71W311|o primeiro mensageiro reporta o roubo dos bois e burros (jumentos) pelos sabeus
71W3111|o roubo dos bois e burros (jumentos) pelos sabeus
71W312|o segundo mensageiro reporta o raio (fogo) que reduziu a cinzas ovelhas e pastores
71W3121|as ovelhas e os pastores de Job atingidos por um raio (fogo)
71W313|o terceiro mensageiro reporta que três bandos de caldeus capturaram os camelos de Job
71W3131|a captura dos camelos de Job por três bandos de caldeus
71W314|o último mensageiro anuncia a morte dos filhos de Job, atingidos por uma tempestade que fez desabar a casa onde estavam a festejar
71W3141|a morte dos filhos de Job
71W32|Job rasga as vestes em sinal de tristeza e rapa a cabeça
71W33|Job cai no chão e expressa a sua resignação à vontade de Deus
71W4|os "filhos de Deus" com Satan (Satanás) novamente reunidos perante Deus (Job 2, 1-6)
71W41|Deus dá a Satan (Satanás) permissão para testar mais profundamente a virtude de Job
71W42|Satan (Satanás) parte para testar mais profundamente a virtude de Job
71W5|Job sobre a pilha de estrume (Job 2, 7-13)
71W51|Job coberto de feridas (ou tumores) senta-se sobre a pilha de estrume e raspa-se com um caco de telha
71W52|Job na pilha de estrume com Satan (Satanás) (ou demónios) que o insultam e o atormentam; a mulher de Job pode estar presente
71W521|Job é atingido por lepra da cabeça aos pés por Satan (Satanás) ou por monstros semelhantes a dragões que sopram fumo venenoso sobre Job
71W522|Satan (Satanás) flagela Job
71W53|a mulher de Job visita-o na pilha de estrume
71W531|os insultos da mulher de Job; Satan (Satanás) pode estar presente
71W5311|Job repreendido pela sua mulher
71W5312|a mulher de Job despeja um balde de água sobre ele
71W532|a mulher de Job leva-lhe comida; normalmente é retratada a entregar-lhe um pão colocado num poste, enquanto tapa o nariz; os amigos de Job podem estar presentes
71W54|Job é visitado na pilha de estrume pelos seus amigos (e mulher)
71W541|Elifaz, Bildad e Sofar vão ter com Job para o consolar na sua desgraça (os três amigos podem ser representados como reis)
71W542|quando Elifaz, Bildad e Sofar reconhecem Job, choram e rasgam as suas roupas em sinal de tristeza
71W543|Elifaz, Bildad e Sofar sentam-se com Job no chão, em silêncio, durante sete dias
71W544|Job é ridicularizado pelos seus amigos (e sua mulher) por se recusar a abandonar a sua fé
71W55|Job, na pilha de estrume, é visitado por um anjo, que o tenta confortar
71W56|Job, na pilha de estrume, é visitado por músicos
71W561|músicos, em particular trombeteiros, tentam confortar Job; Job paga-lhes com as crostas das suas feridas que mais tarde se transformam em moedas de ouro
71W5611|a mulher de Job leva os músicos
71W562|Job, repreendido por músicos
71W6|Job discute com os seu amigos
71W61|o lamento de Job (Job 3)
71W61(...)|o lamento de Job (Job 3) (com LIVRO CAPÍTULO, VERSÍCULO)
71W62|o diálogo ~ Job discute com os seus amigos (Job 4-31)
71W62(...)|o diálogo ~ Job discute com os seus amigos (com LIVRO CAPÍTULO, VERSÍCULO)
71W62(Job 4:11)|"o leão morreu porque não tinha presa" ~ diálogo de Job com os seus amigos
71W63|Eliú junta-se aos três amigos de Job e toma a palavra (Job 32-37)
71W63(...)|Eliú junta-se aos três amigos de Job e toma a palavra (com LIVRO CAPÍTULO, VERSÍCULO)
71W63(Job 34:26)|os ímpios são condenados ~ Eliú responde a Job 
71W64|Deus fala com Job no meio da tempestade (Job 38 - 42, 6)
71W64(...)|Deus fala com Job no meio da tempestade (com LIVRO CAPÍTULO, VERSÍCULO)
71W64(Job 38:7)|quando as estrelas da manhã cantam em uníssono ~ Deus fala com Job
71W64(Job 40:15-24)|"vê o hipopótamo que criei como a ti" ~ Deus fala com Job
71W64(Job 41)|"És capaz de pescar o Leviatan (crocodilo)" ~ Deus fala com Job
71W641|Job humilha-se e admite ter falado de forma ignorante ~ Deus fala com Job
71W65|conclusão, epílogo do livro de Job (Job 42, 7-9)
71W651|os amigos de Job são repreendidos por Deus, que lhes ordena que façam um sacrifício
71W652|Job reza pelos seus amigos
71W7|a prosperidade de Job é-lhe restituída; a última parte da sua vida (Job 42, 10-17)
71W71|a riqueza que Job possuía é duplicada
71W72|os irmãos e amigos de Job visitam-no
71W721|cada um dos irmãos e amigos de Job oferece-lhe um presente
71W73|Deus abençoa Job
71W74|Job gera mais dez crianças
71W741|Job com as suas três belas filhas
71W75|Job dá graças ao Senhor
71W76|morte de Job
71W761|ascensão de Job
71X|os livros líricos: Salmos e Cântico dos Cânticos
71X1|o livro dos Salmos
71X1(...)|o livro dos Salmos (com LIVRO CAPÍTULO, VERSÍCULO)
71X1(...)1|o livro dos Salmos (com LIVRO CAPÍTULO, VERSÍCULO) - o livro dos Salmos ~ cenas do Antigo Testamento
71X1(...)2|o livro dos Salmos (com LIVRO CAPÍTULO, VERSÍCULO) - o livro dos Salmos ~ cenas do Novo Testamento
71X1(...)3|o livro dos Salmos (com LIVRO CAPÍTULO, VERSÍCULO) - o livro dos Salmos ~ motivos cristãos de origem não bíblica
71X1(...)4|o livro dos Salmos (com LIVRO CAPÍTULO, VERSÍCULO) - o livro dos Salmos ~ outras cenas 
71X1(Ps. 118:22)|"a pedra ... veio a tornar-se pedra angular"
71X1(Ps. 118:22)1|"a pedra ... veio a tornar-se pedra angular" - o livro dos Salmos ~ cenas do Antigo Testamento
71X1(Ps. 118:22)2|"a pedra ... veio a tornar-se pedra angular" - o livro dos Salmos ~ cenas do Novo Testamento
71X1(Ps. 118:22)3|"a pedra ... veio a tornar-se pedra angular" - o livro dos Salmos ~ motivos cristãos de origem não bíblica
71X1(Ps. 118:22)4|"a pedra ... veio a tornar-se pedra angular" ~ pedra
71X1(Ps. 137:1)|"junto aos rios da Babilónia..."
71X1(Ps. 137:1)1|"junto aos rios da Babilónia..." ~ os judeus, durante o cativeiro, lamentam-se na margem do rio
71X1(Ps. 137:1)2|"junto aos rios da Babilónia..." - o livro dos Salmos ~ cenas do Novo Testamento
71X1(Ps. 137:1)3|"junto aos rios da Babilónia..." - o livro dos Salmos ~ motivos cristãos de origem não bíblica
71X1(Ps. 137:1)4|"junto aos rios da Babilónia..."- o livro dos Salmos ~ outras cenas
71X1(Ps. 22:18)|"repartem entre si as minhas vestes"
71X1(Ps. 22:18)1|"repartem entre si as minhas vestes" - o livro de Salmos ~ cenas do Antigo Testamento
71X1(Ps. 22:18)2|"repartem entre si as minhas vestes" ~ os soldados lançam a sorte pelas vestes de Cristo
71X1(Ps. 22:18)3|"repartem entre si as minhas vestes" - o livro de Salmos ~ motivos cristãos de origem não bíblica
71X1(Ps. 22:18)4|"repartem entre si as minhas vestes" - o livro de Salmos ~ outras cenas
71X1(Ps. 3)|"salmo de David. Quando fugiu de seu filho Absalão"
71X1(Ps. 3)1|"salmo de David. Quando fugiu de seu filho Absalão" ~ David foge de Absalão
71X1(Ps. 3)2|"salmo de David. Quando fugiu de seu filho Absalão" - o livro dos Salmos ~ cenas do Novo Testamento
71X1(Ps. 3)3|"salmo de David. Quando fugiu de seu filho Absalão" - o livro dos Salmos ~ motivos cristãos de origem não bíblica
71X1(Ps. 3)4|"salmo de David. Quando fugiu de seu filho Absalão" - o livro dos Salmos ~ outras cenas
71X1(Ps. 49:3)|"a minha boca falará com sabedoria"
71X1(Ps. 49:3)1|"a minha boca falará com sabedoria" - o livro dos Salmos ~ cenas do Antigo Testamento
71X1(Ps. 49:3)2|"a minha boca falará com sabedoria" - o livro dos Salmos ~ cenas do Novo Testamento
71X1(Ps. 49:3)3|"a minha boca falará com sabedoria" ~ João Crisóstomo
71X1(Ps. 49:3)4|"a minha boca falará com sabedoria"- o livro dos Salmos ~ outras cenas
71X1(Ps. 74:13)|"esmagaste as cabeças aos monstros marinhos"
71X1(Ps. 74:13)1|"esmagaste as cabeças aos monstros marinhos" - o livro dos Salmos ~ cenas do Antigo Testamento
71X1(Ps. 74:13)2|"esmagaste as cabeças aos monstros marinhos" ~ baptismo de Cristo
71X1(Ps. 74:13)3|"esmagaste as cabeças aos monstros marinhos" - o livro dos Salmos ~ motivos cristãos de origem não bíblica
71X1(Ps. 74:13)4|"esmagaste as cabeças aos monstros marinhos" - o livro dos Salmos ~ outras cenas
71X1(Ps. 85:10)|"vão beijar-se a justiça e a paz"
71X1(Ps. 85:10)1|"vão beijar-se a justiça e a paz" - o livro dos Salmos ~ cenas do Antigo Testamento
71X1(Ps. 85:10)2|"vão beijar-se a justiça e a paz" - o livro dos Salmos ~ cenas do Novo Testamento
71X1(Ps. 85:10)3|"vão beijar-se a justiça e a paz" - o livro dos Salmos ~ motivos cristãos de origem não bíblica
71X1(Ps. 85:10)4|"vão beijar-se a justiça e a paz" ~ o livro dos Salmos
71X2|Cântico de Salomão, Cântico dos Cânticos
71X2(...)|Cântico de Salomão, Cântico dos Cânticos (com LIVRO CAPÍTULO, VERSÍCULO)
71X2(Song of Sol. 3:1-3)|a noiva procura o noivo
71X2(Song of Sol. 3:4)|a noiva encontra o noivo
71X2(Song of Sol. 6:12)|"nem conheço o desejo que me arrasta no carro com o meu príncipe" ~ o carro de Aminadab 
71X21|Sulamita, a mulher amada ~ Cântico de Salomão
71X22|"... as raposas pequenas que devastam as vinhas" (Cântico de Salomão 2, 15)
71X23|a liteira de Salomão escoltada por sessenta soldados (Cântico de Salomão 3, 7-10)
71X24|torre de David (Cântico de Salomão 4, 4)
71X25|a fonte selada no jardim fechado (Cântico de Salomão 4, 12)
71Y|os livros de Sapiência
71Y1|o livro dos Provérbios
71Y1(...)|o livro dos Provérbios (com LIVRO CAPÍTULO, VERSÍCULO)
71Y1(Prov. 20:1)|"escanecedor é o vinho..." ~ briga de bêbados
71Y1(Prov. 31:18-19)|"ela sente que o seu negócio prospera, a sua lâmpada não se apaga durante a noite" ~ mulher fiando à noite
71Y1(Prov. 6:6)|"vai, ó preguiçoso, ter com a formiga" ~ uma formiga e um preguiçoso
71Y1(Prov. 9:1)|a sabedoria edificou a sua casa, e levantou as suas sete colunas" '~ edificação dos sete pilares da casa da Sabedoria
71Y2|livro do Eclesiastes, o Pregador
71Y2(...)|Livro do Eclesiastes, o Pregador (com LIVRO CAPÍTULO, VERSÍCULO)
71Y2(Eccles. 12:11)|"as palavras dos sábios são como aguilhões..." ~ Deus castiga o Pregador
71Y2(Eccles. 1:4)|"um passa geração passa, outra vem..." ~ as três idades do homem
71Y2(Eccles. 6:3)|"se  sua alma não se saciou de felicidade... mais feliz do que ele é um aborto" ~ um mísero e prematuro parto
71Y3|a Sabedoria de Salomão
71Y3(...)|a Sabedoria de Salomão (com LIVRO CAPÍTULO, VERSÍCULO)
71Y4|o livro do Eclesiástico, a sabedoria de Ben Sira
71Y4(...)|o livro do Eclesiástico, a sabedoria de Ben Sira (com LIVRO CAPÍTULO, VERSÍCULO)
71Y4(Eccles. 30:1)|"aquele que ama o seu filho, castiga-o com frequência" ~ pai que bate no filho
71Y4(Eccles. 44:16)|"Henoc... foi arrebatado" ~ assunção de Henoc
71Z|(livros dos) Macabeus
71Z1|primeiro livro dos Macabeus (parte 1)
71Z11|Antíoco IV Epifânio rouba os tesouros do templo (1 Macabeus 1, 21-23)
71Z12|Matatias mata um judeu, que queria oferecer sacrifícios aos deuses pagãos, e destrói o altar de Modin (1 Macabeus 2, 23-26)
71Z13|os judeus, sem resistência, são mortos no Sábado (1 Macabeus 2, 31-38)
71Z14|Matatias, no seu leito de morte, dá instruções aos filhos (1 Macabeus 2, 49-70)
71Z141|Judas Macabeu é nomeado chefe dos Macabeus
71Z15|Judas Macabeu mata Apolónio, comandante dos Musi, e apodera-se da sua espada (1 Macabeus 3, 10-12)
71Z16|Judas Macabeu purifica e rededica o templo (1 Macabeus 4, 36-58)
71Z17|batalha dos macabeus contra Antíoco V Eupátor (1 Macabeus 6, 28-47)
71Z171|Eleázar, irmão de Judas Macabeu, mata um dos elefantes de guerra e ele próprio morre quando o elefante cai sobre ele
71Z18|Alcimo faz acusações contra Judas Macabeu ao rei Demétrio (1 Macabeus 7, 5-7)
71Z19|morte de Nicanor, comandante do exército sírio (1 Macabeus 7, 39-47)
71Z191|a cabeça e a mão de Nicanor são penduradas perto de Jerusalém
71Z2|primeiro livro dos macabeus (parte 2)
71Z21|batalha dos macabeus contra Báquides (1 Macabeus 9, 5-21)
71Z211|morte de Judas Macabeu
71Z212|o lamento por Judas Macabeu
71Z22|Jónatas é nomeado chefe dos Macabeus (1 Macabeus 9, 28-31)
71Z23|batalha dos Macabeus contra os filhos de Jambri (1 Macabeus 9, 28-31)
71Z24|paz entre Jónatas e Báquides (1 Macabeus 9, 70-73)
71Z25|batalha dos macabeus contra Apolónio, governador de Celessíria (1 Macabeus 10, 74-85)
71Z251|Alexandre Balas, rei da Síria, concede honras a Jónatas (1 Macabeus 10, 88-89)
71Z252|Jónatas queixa-se ao Ptolomeu VI (1 Macabeus 11, 5)
71Z26|batalha dos macabeus contra Demétrio II, Nicator da Síria, na planície de Haçor (1 Macabeus 11, 67-74)
71Z261|o exército de Jónatas é posto em fuga
71Z262|Jónatas rasga as suas vestes e reza a Deus
71Z263|o exército de Jónatas regressa à batalha e derrota o exército de Demétrio II, Nicator
71Z27|Trifon prende Jónatas através de um engano (1 Macabeus 12, 41-49)
71Z271|morte de Jónatas (1 Macabeus 13, 23)
71Z272|monumento sepulcral dos macabeus, sete pirâmides (1 Macabeus 13, 25-30)
71Z28|Simão é nomeado chefe dos macabeus (1 Macabeus 13, 8-9)
71Z281|Simão Macabeu proclama a independência de Judá (1 Macabeus 13, 41-42)
71Z282|Simão Maccabeu e dois dos seus filhos são mortos durante um banquete (1 Macabeus 16, 15-17)
71Z283|João Hircano é nomeado chefe dos macabeus (1 Macabeus 16, 10-22)
71Z29|outras cenas ~ primeiro livro dos Macabeus
71Z29(...)|outras cenas ~ primeiro livro dos Macabeus (com LIVRO CAPÍTULO, VERSÍCULO)
71Z3|segundolivro dos Macabeus (parte 1)
71Z31|Heliodoro no templo, é atacado por um homem (ou um anjo) a cavalo e por dois outros homens (ou anjos) (2 Macabeus 3, 7-35)
71Z311|Heliodoro é salvo pela oração de Onias
71Z312|Heliodoro oferece sacrifícios
71Z32|Onias, o sumo sacerdote, é caluniado (2 Macabeus 4, 1-4; 4, 34-38)
71Z321|Onias é morto por Andrónico
71Z322|Andrónico é condenado à morte por Antíoco IV Epifânio
71Z33|após a sua acusação contra Menelau, os embaixadores do Conselho de Anciãos são condenados à morte por Antíoco IV Epifânio (2 Macabeus 4, 43-50)
71Z34|sobre a cidade de Jerusalém avistam-se cavaleiros (2 Macabeus 5, 2)
71Z35|martírio de Eleázar: o velho homem é forçado a comer carne de porco e submete-se voluntariamente ao suplício (2 Macabeus 6, 18-31)
71Z36|o martírio dos sete irmãos macabeus e sua mãe sob Antíoco IV Epifânio (2 Macabeus 7)
71Z37|doença e morte de Antíoco IV Epifânio (2 Macabeus 9)
71Z371|Antíoco IV Epifânio cai do carro
71Z38|segunda purificação do templo (2 Macabeus 10, 1-8)
71Z39|um cavaleiro celeste, vestido com armadura branca e com armas de ouro, ajuda os macabeus na batalha contra Lísias (2 Macabeus 11, 6-12)
71Z4|segundo livro dos Macabeus (parte 2)
71Z41|Judas Macabeu reza pelos mortos (2 Macabeus 12, 43-45)
71Z42|morte de Razis: quando as tropas de Nicanor atacam os portões de Jerusalém, o velho Razis corre para cima do muro e cai sobre a multidão; gravemente ferido, toma as suas entranhas com as mãos e deita-as para o meio da multidão (2 Macabeus 14, 37-46)
71Z43|visão de Judas Macabeu: o sumo sacerdote Onias e o profeta Jeremias em oração; Jeremias dá a espada de ouro a Judas (2 Macabeus 15, 12-16)
71Z44|outras cenas ~ segundo livro dos Macabeus
71Z44(...)|outras cenas ~ segundo livro dos Macabeus (com LIVRO CAPÍTULO, VERSÍCULO)
71Z5|terceiro livro dos Macabeus
71Z5(...)|terceiro livro (não canónico) dos Macabeus (com LIVRO CAPÍTULO, VERSÍCULO)
71Z51|o rei Ptolomeu IV Filopator atingido por paralisia por se aproximar do santuário no templo de Jerusalém (3 Macabeus 1-2)
71Z52|o rei Ptolomeu IV Filopator tenta matar os judeus com elefantes bêbados; os judeus rezam, e são salvos por dois anjos (3 Macabeus 5)
71Z6|quarto livro dos Macabeus (4 Macabeus)
71Z6(...)|quarto livro (não canónico) dos Macabeus (com LIVRO CAPÍTULO, VERSÍCULO)
72|justaposições e composições tipológicas
72A|justaposições tipológicas
72B|composições tipológicas gerais
73|Novo Testamento
73A|(cenas da vida de) João Baptista e Maria
73A(...)|série de cenas da vida de João Baptista e Maria (com NOME)
73A(JOHN THE BAPTIST)|série de cenas da vida de João Baptista
73A(MARY)|série de cenas da vida de Maria
73A1|história do nascimento e da infância de João Baptista (Lucas 1, 5-25; 1, 57-80)
73A11|anúncio do nascimento de João Baptista a Zacarias: enquanto oferece incenso no templo aparece-lhe um anjo (Gabriel)
73A111|Zacarias fica mudo diante do povo
73A12|anúncio do nascimento de João Baptista a Isabel
73A13|encontro de Zacarias e Isabel
73A14|nascimento de João Baptista, por vezes Maria está presente
73A141|nome de João Baptista; Zacarias escreve o nome de João
73A142|Zacarias dá glória a Deus
73A15|circuncisão de João Baptista
73A16|Isabel e João procuram refúgio numa caverna durante a sua fuga do massacre dos inocentes
73A17|João Baptista deixa os seus pais para ir para o deserto
73A171|o(s) anjo(s) orienta(m) João Baptista no seu caminho para o deserto
73A172|o(s) anjo(s) guia(m) João Baptista no seu caminho para o deserto
73A18|João Baptista no deserto, normalmente acompanhado por um cordeiro
73A181|João Baptista reza e medita
73A182|os anjos levam a roupa de pêlo de camelo (túnica de pêlo) ~ João Baptista no deserto
73A183|João Baptista despe-se para se cobrir com as vestes de asceta
73A184|João Baptista come gafanhotos e mel
73A185|João Baptista é chamado pelo anjo
73A19|o assassínio de Zacarias
73A191|descoberta dos restos mortais de Zacarias
73A2|antepassados ​​e parentes de Cristo
73A21|árvore de Jessé: árvore genealógica mostrando os antepassados de Cristo, descendentes de Jessé
73A22|Parentesco Sagrado
73A221|"Anna selbdritt", i.e. Ana, Maria e o Menino Jesus juntos
73A2211|Maria (e o Menino Jesus) no colo de Ana ou nos seus braços
73A2212|"Anna Selbdritt" ~ Menino Jesus a tocar ou a pisar uma serpente
73A222|representações alargadas de "Anna Selbdritt" (José e Joaquim, três maridos, três filhas com sete filhos)
73A2221|"Anna Selbdritt" com José
73A2222|"Anna Selbdritt" com José e Joachim
73A2223|"Anna Selbdritt" com os três maridos de Ana, por vezes com a presença de José
73A22231|"Anna Selbdritt" com as três filhas de Ana e os seus sete filhos
73A2224|"Anna selbviert" (Emerentia, Ana, Maria, Menino Jesus)
73A22241|"Wurzel Emerentiana"
73A223|outras composições de "Anna selbviert", e.g.: com a presença de João Baptista jovem
73A23|história de Joaquim e Ana
73A231|história dos pais de Ana, Emerentia e Stol(l)anus
73A2311|Emerentia visita o Monte Carmelo
73A2312|Emerentia recusa casar com Stollanus
73A2313|Emerentia consulta os frades carmelitas
73A2314|casamento Emerentia e Stollanus
73A2315|concepção de Ana
73A2316|nascimento de Ana
73A2317|Ana e os seus pais
73A2318|juventude de Ana
73A232|casamento de Joaquim e Ana
73A2321|generosidade de Joaquim: Joaquim distribui esmolas
73A2322|orações de Joaquim e Ana para ter um filho
73A2323|o sacrifício de Joaquim é recusado pelo sacerdote
73A23231|o sacrifício de Joaquim e Ana é recusado
73A2324|Joaquim e Ana deixam o templo
73A2325|Ana lamenta a sua infertilidade e é ridicularizada
73A2326|a partida de Joaquim
73A233|Joaquim no deserto com os seus pastores
73A2331|Joaquim sacrifica um cordeiro
73A2332|um anjo anuncia a Joaquim o nascimento de Maria
73A23321|um jovem aparece a Joaquim
73A2333|Joaquim deixa o deserto
73A234|a oração de Ana
73A2341|um anjo anuncia a Ana o nascimento de Maria; normalmente a cena decorre num jardim debaixo de um loureiro com um ninho de pardais
