4|Société, Civilisation, Culture
45B611|cantine ~ soldat, qui n'est pas de service
45B612|mess ~ soldat, qui n'est pas de service
45B62|permission ~ soldat, qui n'est pas de service
45B621|soldats en compagnie joyeuse
45B7|achèvement du service militaire
45B71|démobilisation
45B72|disperser les troupes
45B73|retour du soldat à la vie civile, retour à la maison
45B8|après l'achèvement du service militaire
45B81|vétéran, ancien combattant
45B82|soldat infirme
45B83|hôtel des invalides, maison de retraite pour anciens combattants
45B84|réunion, assemblée commémorative (~ anciens combattants)
45B9|désertion
45B91|désertion à l'ennemi
45C|équipement et approvisionnement (de l'armée)
45C1|armes
45C10|'Arme' (Ripa)
45C11|armes de jet
45C11(...)|armes de jet (avec NOM)
45C11(BALLISTA)|armes de jet : arbalète
45C11(SLING)|armes de jet : fronde
45C11(SPEAR)|armes de jet : lance
45C12|armes de choc
45C12(...)|armes de choc (avec NOM)
45C12(CLUB)|armes de choc : matraque
45C13|armes tranchantes
45C13(...)|armes tranchantes (avec NOM)
45C13(DAGGER)|armes tranchantes : poignard
45C13(RAPIER)|armes tranchantes : rapière
45C13(SWORD)|armes tranchantes : épée
45C131|parties des armes tranchantes
45C131(...)|parties des armes tranchantes (avec NOM)
45C131(BLADE)|parties des armes tranchantes : lame
45C131(GRIP)|parties des armes tranchantes: fusée
45C131(GUARD)|parties des armes tranchantes: garde
45C131(POMMEL)|parties des armes tranchantes: pommeau
45C14|armes à manche et d'hast (emmanchées au bout d'une hampe)
45C14(...)|armes à manche et d'hast (avec NOM)
45C14(HALBERD)|armes à manche et d'hast : hallebarde
45C14(JAVELIN)|armes à manche et d'hast : javelot
45C14(LANCE)|armes à manche et d'hast : lance
45C14(PIKE)|armes à manche et d'hast : pique
45C15|armes d'archer
45C15(...)|armes d'archer (avec NOM)
45C15(ARROW)|armes d'archer : flèche
45C15(BOW AND ARROW)|armes d'archer : arc et flèche
45C15(BOW)|armes d'archer : arc
45C15(CROSSBOW)|armes d'archer: arbalète
45C16|armes à feu
45C16(...)|armes à feu (avec NOM)
45C16(CANNON)|armes à feu : canon
45C16(RIFLE)|armes à feu : fusil
45C161|munitions
45C1611|dépôt de munitions, arsenal
45C1612|catastrophe due à de la poudre à canon
45C17|projectiles, explosifs, etc.
45C17(...)|projectiles, explosifs, etc. (avec NOM)
45C17(GUNPOWDER)|projectiles, explosifs, etc. : poudre à canon
45C17(MINE)|projectiles, explosifs, etc. : mine
45C18|armes nucléaires, biologiques et chimiques
45C19|armes de protection
45C19(...)|armes de protection (avec NOM)
45C19(SHIELD)|armes de protection : bouclier
45C2|habit militaire et autre équipement (uniforme, képi, calot, casque, etc.)
45C21|uniformes (militaires)
45C211|calot, képi
45C212|bâton de général
45C22|armure
45C221|casque
45C222|brassard
45C2221|gantelet, gant blindé protégeant la main ~ armure
45C223|cuirasse
45C23|carquois
45C231|fourreau, étui
45C24|camouflage
45C3|nourriture, vivres (à l'armée)
45C31|ravitaillement des vivres
45C32|réserves de vivres
45C33|préparation des mets ~ service militaire
45C34|transport des vivres ~ service militaire
45C35|inspection des vivres ~ service militaire
45C36|servir à manger ~ service militaire
45C37|mets ~ service militaire
45C4|abri ~ service militaire
45C41|camp de tentes (militaire)
45C42|baraques
45C421|garnison
45C43|cantonné chez l'habitant
45C431|fournir un cantonnement, réquisitionner un emplacement
45C432|soldat avec mandat
45C433|bonne réception
45C4331|serviabilité du soldat
45C434|mauvaise réception
45C4341|soldat se vengeant
45C439|sauvegarde, garantie, contre le cantonnement
45C5|la solde ~ service militaire
45C51|recevoir sa solde ~ service militaire
45C511|le payeur ~ service militaire
45C52|soldat réclamant sa solde
45C6|civils accompagnant une armée
45C61|vivandier
45C62|femmes accompagnant une armée
45C621|vivandière, cantinière
45C63|prostituées, 'Hurenwebel'
45C7|réserves pour soins d'hygiène et de médicaments (armée)
45C71|transport des malades, des blessés et des morts (armée)
45C711|transporter un malade, un blessé ou un mort du champ de bataille
45C712|transport motorisé d'un malade, d'un blessé ou d'un mort
45C72|soins et services médicaux donnés aux malades et aux blessés
45C721|soins médicaux dispensés aux malades et aux blessés sur le champ de bataille
45C722|soins médicaux dispensés aux malades et aux blessés pendant la bataille
45C723|soins et services médicaux donnés aux malades et aux blessés dans un hôpital de campagne
45C724|soins et services médicaux donnés aux malades et aux blessés dans un lazaret
45C8|soins relatifs à la religion et au bien-être physique ~ service militaire
45C81|service social ~ service militaire
45C82|soins relatifs à la religion ~ service militaire
45C9|musique militaire
45C91|fanfare militaire
45C92|signaux (militaires)
45D|insignes; division des forces armées; rangs
45D1|drapeaux et étendards (militaires)
45D11|insignes de compagnie, etc.
45D12|porte-étendard (militaire)
45D2|division des forces armées
45D21|forces terrestres
45D22|marine
45D23|force de l'air
45D3|rangs (dans l'armée, la marine, l'armée de l'air)
45D31|rangs de l'armée
45D311|commandant en chef, généralissime, général, maréchal
45D312|officier
45D312(...)|officier (avec NOM du rang)
45D313|(simple) soldat
45D32|rangs de la marine
45D321|amiral
45D322|officier
45D323|marin
45D33|rangs de l'armée de l'air
45E|communication et transport (militaire)
45E1|communication (militaire)
45E2|transport, train (militaire)
45E3|véhicules militaires
45E31|anciens types de véhicules militaires : chariot etc.
45E32|types modernes de véhicules militaires
45E32(...)|types modernes de véhicules militaires (avec NOM)
45E4|animaux utilisés à l'armée
45E5|génie militaire, services techniques ~ communication et transport
45E51|pont improvisé, pont temporaire ~ génie militaire
45E511|ponton
45E512|pont de Bailey
45E52|enlèvement d'obstructions, de barricades, etc. ~ armée
45F|préparatifs pour le combat
45F1|conseil de guerre
45F11|plan de bataille
45F12|négociations entre belligérants
45F2|service de renseignements (militaires)
45F21|mission de reconnaissance, envoyer en éclaireur (armée)
45F211|prisonnier utilisé comme guide
45F212|envoyé en éclaireur avec un équipement mécanique
45F22|espionnage (militaire)
45F220|'Spia' (Ripa)
45F221|être à l'écoute de la radio, du téléphone, etc.
45F222|arrestation d'un espion (présumé)
45F23|contre-espionnage (militaire)
45F3|rassemblement des forces militaires; mobilisation, concentration de troupes, etc.
45F31|mobilisation des troupes; appel aux armes
45F32|réquisition (appel au service)
45F33|concentration des troupes
45F34|ordres de bataille
45F4|mouvements des troupes, transport
45F41|adieux (du soldat)
45F42|partir en guerre (troupes)
45F43|mouvements nocturnes des troupes
45F5|l'armée en route
45F6|discours du général avant la bataille
45F7|prière ou service religieux avant la bataille
45F8|défier l'ennemi
45F9|trahison
45F90|'Tradimento' (Ripa)
45G|mesures défensives (militaires)
45G1|couper les lignes de communication et faire des obstructions
45G11|enlever des fanaux, signaux routiers, etc. (mesures défensives)
45G12|obstructions, barricades (mesures défensives)
45G121|obstructions ~ armée
45G1211|obstructions des routes
45G12111|obstructions des rues; barricades
45G1212|piège à hommes, chausse-trappe, gros clous ~ obstruction de route
45G12121|embûches
45G12122|mines terrestres, champ de mines
45G12123|fil de fer barbelé
45G122|obstruction ~ marine
45G1221|chaînes à travers les voies navigables
45G1222|champ de mines ~ marine
45G123|obstructions ~ armée de l'air
45G1231|rendre les terrains d'aviation, les aérodromes, impraticables
45G1232|projecteurs (mesures défensives ~ armée de l'air)
45G1233|ballons défensifs
45G2|autoprotection (militaire)
45G21|abris souterrains
45H|bataille, combat en général
45H1|attaque (militaire)
45H11|signal d'attaque
45H111|cri de guerre
45H12|attaque surprise (depuis une embuscade)
45H13|attaque surprise (stratagème)
45H130|'Stratagemma militare' (Ripa)
45H2|être attaqué; défense
45H21|signal de défense
45H22|contre-attaque
45H3|bataille
45H31|bombardement
45H32|charge ~ bataille
45H33|combat au corps à corps (~ bataille)
45H331|combattre des forces supérieures
45H34|combat singulier au lieu de bataille
45H341|duel au lieu de bataille
45H342|petits groupes se battant en combat singulier au lieu de bataille
45H4|mettre l'ennemi en déroute
45H5|mettre l'ennemi hors d'action
45H51|mettre hors d'action grâce à des forces supérieures
45H52|mettre hors d'action en blessant
45H53|mettre hors d'action en tuant
45H54|mettre hors d'action en coupant les lignes d'approvisionnement
45H6|guérilla
45HH4|mettre l'ennemi en déroute - HH - être en déroute, fuir
45HH5|mettre l'ennemi hors d'action - HH - être mis hors d'action
45HH51|mettre hors d'action grâce à des forces supérieures - HH - être mis hors d'action
45HH52|mettre hors d'action en blessant - HH - être mis hors d'action
45HH53|mettre hors d'action en tuant - HH - être mis hors d'action
45HH54|mettre hors d'action en coupant les lignes d'approvisionnement - HH - être mis hors d'action
45I|après la bataille
45I1|prisonnier de guerre (après la bataille)
45I11|se constituer prisonnier ~ prisonnier de guerre
45I12|désarmement ~ prisonnier de guerre
45I13|transport, déportation ~ prisonnier de guerre
45I14|interrogation ~ prisonnier de guerre
45I141|lavage de cerveau ~ prisonnier de guerre
45I15|traitement ~ prisonnier de guerre
45I151|camp de prisonniers de guerre
45I16|échange ~ prisonnier de guerre
45I161|rançon ~ prisonnier de guerre
45I17|libération de prisonniers de guerre
45I2|otage (après la bataille)
45I3|communiqué (après la bataille)
45I31|critique de communiqué (après la bataille)
45I4|négociations de paix
45I41|négociations de paix sur un pont démoli
45I5|suspension des hostilités, cessez-le-feu (trêve)
45I51|Trêve de Dieu
45I52|suspension des hostilités pour enterrer les morts
45I53|armistice, trêve
45I530|'Tregua' (Ripa)
45I6|le vainqueur (après la bataille)
45I61|triomphe du vainqueur, entrée triomphale du vainqueur
45I611|couronner le vainqueur de laurier
45I612|prisonniers enchaînés au char du vainqueur
45I62|le conquérant (à cheval) piétinant les vaincus
45I63|(le conquérant) empoignant la victime par les cheveux
45I7|les vaincus (après la bataille)
45I71|les vaincus devant le vainqueur
45K|siège, guerre de siège
45K1|fortifications, génie militaire
45K11|fortifications temporaires
45K111|tranchées
45K112|no man's land
45K12|fortifications permanentes
45K121|palissades
45K122|bastion, rempart
45K13|forteresse
45K14|ville fortifiée
45K141|murs ~ ville fortifiée
45K1411|mâchicoulis ~ ville fortifiée
45K1412|remparts, créneaux ~ ville fortifiée
45K1413|meurtrière, barbacane ~ ville fortifiée
45K142|tours ~ ville fortifiée
45K143|douves, fossé ~ ville fortifiée
45K1431|pont-levis ~ ville fortifiée
45K144|porte ~ ville fortifiée
45K1441|herse
45K2|attaque ~ siège
45K21|siège
45K22|blocus ~ siège
45K23|bombardement ~ siège
45K231|armes de siège, p.ex. : bélier
45K24|attaques brusquées
45K25|travaux d'approche
45K26|assaut ~ siège
45K27|entrer dans une ville ou forteresse ~ siège
45K3|défense ~ siège
45K31|défense d'une fortification ou d'une ville
45K32|contre-attaque d'une fortification ou d'une ville
45K33|à l'intérieur d'une ville assiégée
45K331|renforcer les fortifications à l'intérieur d'une ville assiégée
45K4|capture d'une ville (après le siège)
45K5|lever le siège
45K51|lever le siège avec assistance de l'extérieur, apport d'aide
45K52|libération d'une ville assiégée
45L|occupation ~ guerre
45L1|capitulation
45L11|céder les clefs d'une ville
45L12|marche dans l'endroit conquis
45L13|les vaincus battant en retraite
45L2|(imposition d'un) tribut
45L21|payer tribut
45L22|partage du butin de guerre
45L23|emporter le butin de guerre
45L29|sauf-conduit
45L3|pillage ~ soldats
45L31|butin
45L311|trophée ~ bataille, guerre
45L3111|'tropaion', c.à.d. trophée d'armes comme motif décoratif
45L4|destruction de ville conquise
45L40|allégorie, personnification de la destruction d'une ville conquise
45L41|démolition (de ville conquise)
45L42|mettre le feu (à une ville conquise)
45L43|endroit ou ville dévasté(e), en ruine (~ guerre)
45M|non-combattants ~ guerre
45M1|non-combattants engagés dans des situations militaires
45M11|non-combattants sur le champ de bataille
45M12|non-combattants au cours du passage de soldats
45M13|civils combattant, p.ex. : franc-tireur
45M2|soldats et civils
45M3|l'occupant et les civils
45M31|fouille de porte en porte
45M39|mouvement clandestin, partisans
45M391|sabotage perpétrer par des partisans
45M4|civils pendant un bombardement
45M5|fugitifs
45M51|fugitifs en route
45M52|fugitifs au repos, campant
45M6|camp d'internement
45M7|camp de concentration
46|la vie sociale et économique, le transport et les communications
46A|la vie communautaire
46A1|les couches, les classes sociales
46A11|division en classes (~ société)
46A111|les trois états : noblesse, clergé, bourgeoisie
46A112|autres divisions en classes (~ société)
46A12|noblesse et patriciat; chevalerie
46A121|couronne (de duc etc.), diadème (de dame)
46A122|armoiries, héraldique
46A122(...)|armoiries, héraldique (avec NOM de la famille)
46A122(...)1|armoiries, héraldique (avec NOM de la famille) - blason, écu
46A122(...)2|armoiries, héraldique (avec NOM de la famille) - timbre (armoiries)
46A122(...)3|armoiries, héraldique (avec NOM de la famille) - devise, emblème
46A122(...)4|armoiries, héraldique (avec NOM de la famille) - 'impresa'
46A122(...)5|armoiries, héraldique (avec NOM de la famille) - étendard, bannière
46A122(...)6|armoiries, héraldique (avec NOM de la famille) - sceau, cachet
46A123|héraut
46A124|chevalier
46A1241|ordre de chevalerie
46A1241(...)|ordre de chevalerie (avec NOM)
46A1241(...)1|ordre de chevalerie (avec NOM) - insigne d'un ordre de chevalerie, p.ex. : signe distinctif, chaîne (avec NOM de l'ordre)
46A1241(GOLDEN FLEECE)|ordre de chevalerie : Toison d'or
46A1241(GOLDEN FLEECE)1|ordre de chevalerie : Toison d'or - insigne d'un ordre de chevalerie, p.ex. : signe distinctif, chaîne (avec NOM de l'ordre)
46A1241(HOLY SPIRIT)|ordre de chevalerie : Saint-Esprit
46A1241(HOLY SPIRIT)1|ordre de chevalerie : Saint-Esprit - insigne d'un ordre de chevalerie, p.ex. : signe distinctif, chaîne (avec NOM de l'ordre)
46A1241(ST. JOHN)|ordre de chevalerie : Saint-Jean
46A1241(ST. JOHN)1|ordre de chevalerie : Saint-Jean - insigne d'un ordre de chevalerie, p.ex. : signe distinctif, chaîne (avec NOM de l'ordre)
46A1241(TEUTONIC ORDER)|ordre de chevalerie : Ordre Teutonique
46A1241(TEUTONIC ORDER)1|ordre de chevalerie : Ordre Teutonique - insigne d'un ordre de chevalerie, p.ex. : signe distinctif, chaîne (avec NOM de l'ordre)
46A125|être fait chevalier, être anobli
46A1251|page
46A1252|écuyer
46A1253|cérémonies d'anoblissement
46A12531|armer un chevalier par la cérémonie de l'adoubement (cérémonie rudimentaire)
46A125311|ceindre l'épée (~ armer un chevalier)
46A125312|l'accolade, coup donné avec l'épée sur l'épaule (armer un chevalier ~ cérémonie rudimentaire)
46A12532|armer un chevalier par la cérémonie de l'adoubement sous sa forme complète
46A125321|habiller (~ armer un chevalier)
46A125322|jeûne et veillée d'armes (~ armer un chevalier)
46A125323|bénédiction de l'épée (~ armer un chevalier)
46A125324|remise solennelle de l'armure, des éperons et de l'épée (~ armer un chevalier
46A125325|l'accolade, coup donné avec l'épée sur l'épaule (armer un chevalier ~ cérémonie complète)
46A125326|autres parties du cérémonial ~ être fait chevalier
46A126|'les neuf preux'
46A1261|Josué (un des neuf preux)
46A1262|David (un des neuf preux)
46A1263|Judas Maccabée (un des neuf preux)
46A1264|Hector (un des neuf preux)
46A1265|Alexandre (un des neuf preux)
46A1266|Jules César (un des neuf preux)
46A1267|Arthur (un des neuf preux)
46A1268|Charlemagne (un des neuf preux)
46A1269|Godefroi de Bouillon (un des neuf preux)
46A127|hommes illustres, héros, 'homines illustres', 'uomini famosi'
46A13|roturiers
46A131|bourgeoisie, classe moyenne, citoyens
46A132|villageois; vilains (Néerlandais : 'dorpers')
46A139|bouffon (en général) (All. : 'Schalksnarr')
46A14|fermiers, agriculteurs
46A141|combat de fermiers et de soldats
46A15|les pauvres
46A151|mendiant
46A1511|sébile
46A1512|procession de mendiants
46A152|'fahrende Leute', clochards, vagabonds
46A153|faire bamboche, les fêtards
46A154|professions et métiers infâmes, 'unehrliche Leute'
46A155|parias
46A16|les riches
46A161|acquérir des richesses
46A1611|chasse au trésor, ruée vers l'or
46A1612|creuser pour, ou trouver, un trésor
46A162|exposition de ses richesses
46A1621|exhiber ses bijoux, etc.
46A1622|répandre des objets de valeur
46A1623|contempler ses propres richesses
46A163|protection de sa fortune
46A1631|dépôt (pour objets de valeur)
46A16311|cacher, enfouir un trésor
46A1632|coffre, caisse où l'on range l'argent, les choses précieuses, tirelire
46A16321|coffre-fort
46A1633|garder un trésor
46A16331|trésor gardé par des hommes
46A16332|trésor gardé par des animaux
46A16333|trésor gardé par des moyens mécaniques
46A164|élite
46A165|jet-set
46A166|parvenu, nouveau riche
46A17|classe ouvrière, prolétariat, ouvriers
46A170|Travail
46A171|employeur, patron ~ employé
46A1711|chercheur d'emploi demandant du travail
46A172|payer le salaire, les gages, la paye
46A1721|ouvrier refusant sa paye
46A1722|patron, employeur refusant de payer le salaire
46A173|ouvriers allant au travail
46A174|ouvriers rentrant à la maison
46A175|main-d'oeuvre d'enfant
46A179|chômage
46A1791|ouvriers en chômage, des chômeurs
46A18|esclavage; serfs et esclaves, personne réduite en esclavage
46A180|'Servitù', 'Servitù per forza' (Ripa)
46A181|commerce des esclaves
46A1811|pays ou région d'origine de l'esclave
46A1811(...)|pays ou région d'origine de l'esclave (avec NOM)
46A1812|pays ou région de destination de l'esclave
46A1812(...)|pays ou région de destination de l'esclave (avec NOM)
46A182|maître ~ esclave
46A183|liberté ~ esclavage
46A1831|libération (d'un esclave)
46A1832|acheter la libération (d'un esclave)
46A1833|évasion, tentative d'évasion (d'un esclave)
46A1834|abolition de l'esclavage, combattre l'esclavage
46A2|contraste social
46A21|contraste entre riche et pauvre
46A211|homme riche et mauvais, homme pauvre et bon
46A212|faire l'aumône ou d'autres actions bienfaisantes, p.ex. : distribuer de la nourriture
46A2120|'Elemosina' (Ripa)
46A213|philanthrope
46A22|contraste entre la vie urbaine et la vie rurale; habitant de la ville vs. habitant de la campagne
46A221|vie urbaine
46A2211|citadins, urbains, habitants de la ville
46A2219|dépeuplement des villes, dépopulation urbaine, désurbanisation
46A222|vie rurale
46A2221|campagnards, habitants de la campagne
46A22219|dépeuplement des milieux ruraux, déruralisation
46A23|contraste entre personnes importantes et personnes insignifiantes; le subalterne devant le supérieur, le faible devant le puissant
46A231|protégé devant son patron, maître
46A24|relation entre le maître et le domestique
46A241|servir deux maîtres
46A3|assistance publique
46A31|orphelinat
46A311|hospice pour enfants trouvés
46A32|soins aux aînés
46A321|maison de retraite, home de vieillesse
46A3211|hospice de vieillards (Néerlandais : 'hofje')
46A33|oeuvres de charité
46A4|relations entre les races
46A41|discrimination raciale, ségrégation
46A42|racisme, antipathie raciale
46A421|émeutes raciales
46A422|le Ku Klux Klan et organisations similaires
46A49|antiracisme; intégration raciale
46A5|communication verbale
46A51|tentatives pour se faire comprendre ~ communication verbale
46A511|malentendu
46A52|interprète ~ langue
46A53|traducteur
46A54|communication avec les sourds ou les muets
46A541|lecture sur les lèvres
46A542|langage des signes, langage des sourds
46A55|langage artificiel
46A551|Espéranto
46A6|conseils d'administration et comité de direction
46A61|conseil, en particulier de directeurs, régisseurs, administrateurs, etc. (Néerlandais :'regenten' (les Régents))
46A611|président
46A612|secrétaire (d'une société)
46A613|trésorier
46A614|membres du conseil, du comité
46A62|membres, adhésion à une association, un club
46A621|devenir membre
46A6211|scrutin
46A6212|initiation (~ adhésion à une association)
46A629|suspension, expulsion (d'une association)
46A63|réunion, assemblée
46A631|ouvrir la réunion
46A632|discours, allocution, exposé, conférence (~ réunion)
46A633|débat, discussion (~ réunion)
46A634|interruption, questions (~ réunion)
46A635|vote (~ réunion)
46A636|chaos, procédure confuse (~ réunion)
46A637|clôturer la réunion, lever la séance
46A638|salle de réunion
46A7|foule, cohue
46A71|l'individu vs. la masse
46A8|modes inhabituels de vie
46A81|communautés itinérantes
46A81(...)|communautés itinérantes (avec NOM)
46A81(GIPSIES)|communautés itinérantes : gitans (bohémiens)
46A81(NOMADS)|communautés itinérantes : nomades
46A811|communautés itinérantes vivant sous tentes
46A812|communautés itinérantes vivant dans des caravanes
46A813|communautés itinérantes vivant sur des bateaux
46A82|communautés idéalistes, retour à la nature
46A821|communautés, groupes
46A821(...)|communautés, groupes (avec NOM)
46A8211|partager tout en communauté
46A822|naturistes
46A823|nudistes
46A83|vivre en solitaire
46A831|vivre seul sur une île inhabitée, Robinsonade
46A84|vie de pionnier
46A841|le Far West
46A85|aventurier
46A9|structure sociale primitive
46A91|matriarcat
46A92|patriarcat
46A93|clans, relations tribales
46AA122|armoiries, héraldique - AA - femme
46AA122(...)|armoiries, héraldique (avec NOM de la famille) - AA - femme
46AA122(...)1|armoiries, héraldique (avec NOM de la famille) - AA - femme - blason, écu
46AA122(...)2|armoiries, héraldique (avec NOM de la famille) - AA - femme - timbre (armoiries)
46AA122(...)3|armoiries, héraldique (avec NOM de la famille) - AA - femme - devise, emblème
46AA122(...)4|armoiries, héraldique (avec NOM de la famille) - AA - femme - 'impresa'
46AA122(...)5|armoiries, héraldique (avec NOM de la famille) - AA - femme - étendard, bannière
46AA122(...)6|armoiries, héraldique (avec NOM de la famille) - AA - femme - sceau, cachet
46AA126|les neuf preuses
46AA1261|Esther (une des neuf preuses)
46AA1262|Judith (une des neuf preuses)
46AA1263|Yaël (une des neuf preuses)
46AA1264|Lucrèce (une des neuf preuses)
46AA1265|Veturia, mère de Coriolan (une des neuf preuses)
46AA1266|Virginie (une des neuf preuses)
46AA1267|Ste Hélène (une des neuf preuses)
46AA1268|Ste Brigitte (une des neuf preuses)
46AA1269|Ste Élisabeth (une des neuf preuses)
46AA127|hommes illustres, héros, 'homines illustres', 'uomini famosi' - AA - femmes illustres, héroïnes, femmes célèbres, 'les neuf preuses'
46AA14|fermiers, agriculteurs - AA - fermière, femme de fermier
46AA17|classe ouvrière, prolétariat, ouvriers - AA - femmes
46AA170|Travail - AA - femmes
46AA171|employeur, patron ~ employé - AA - femmes
46AA1711|chercheur d'emploi demandant du travail - AA - femmes
46AA172|payer le salaire, les gages, la paye - AA - femmes
46AA1721|ouvrier refusant sa paye - AA - femmes
46AA1722|patron, employeur refusant de payer le salaire - AA - femmes
46AA173|ouvriers allant au travail - AA - femmes
46AA174|ouvriers rentrant à la maison - AA - femmes
46AA175|main-d'oeuvre d'enfant - AA - femmes
46AA179|chômage - AA - femmes
46AA1791|ouvriers en chômage, des chômeurs - AA - femmes
46AA24|relation entre le maître et le domestique - AA - mauvaise relation
46AA241|servir deux maîtres - AA - mauvaise relation
46AA61|conseil, en particulier de directeurs, régisseurs, administrateurs, etc. (Néerlandais :'regenten' (les Régents)) - AA - femmes (Néerlandais : 'regentessen' (les Régentes))
46AA611|président - AA - femmes (Néerlandais : 'regentessen' (les Régentes))
46AA612|secrétaire (d'une société) - AA - femmes (Néerlandais : 'regentessen' (les Régentes))
46AA613|trésorier - AA - femmes (Néerlandais : 'regentessen' (les Régentes))
46AA614|membres du conseil, du comité - AA - femmes (Néerlandais : 'regentessen' (les Régentes))
46AA63|réunion, assemblée - AA - en plein air
46AA631|ouvrir la réunion - AA - en plein air
46AA632|discours, allocution, exposé, conférence (~ réunion) - AA - en plein air
46AA633|débat, discussion (~ réunion) - AA - en plein air
46AA634|interruption, questions (~ réunion) - AA - en plein air
46AA635|vote (~ réunion) - AA - en plein air
46AA636|chaos, procédure confuse (~ réunion) - AA - en plein air
46AA637|clôturer la réunion, lever la séance - AA - en plein air
46AA638|salle de réunion - AA - en plein air
46B|commerce, affaires et finance
46B0|allégorie du commerce; 'Commertio della vita humana' (Ripa)
46B1|lieux de commerce
46B11|le marché
46B111|étal, éventaire, stand (~ marché)
46B112|halles
46B12|foire (annuelle), foire commerciale
46B13|magasin, boutique
46B131|grand magasin, supermarché
46B132|vitrine, devanture (de magasin)
46B133|comptoir ~ magasin, boutique
46B14|pesage : local où l'on effectue le pesage
46B15|maison de grossiste, de marchand en gros
46B16|vente aux enchères, vente publique
46B17|Bourse de commerce
46B18|exposition industrielle, foire commerciale
46B181|foire universelle, exposition internationale
46B19|foire de charité, kermesse
46B2|commerçants et hommes/femmes d'affaires
46B21|marchand, vendeur
46B21(...)|marchand, vendeur (avec NOM du métier)
46B22|marchand ambulant
46B221|vendeur de rue
46B221(...)|marchand ambulant (avec NOM du métier)
46B2211|cris de Paris, cris de Londres, etc.
46B222|colporteur, camelot
46B23|représentant de commerce
46B24|commerçant, boutiquier
46B241|vendeur
46B25|aller au marché
46B26|revenir du marché
46B27|client
46B271|client satisfait
46B272|client mécontent
46B3|moyens et méthodes auxiliaires du commerce et de la finance
46B31|argent, monnaie
46B310|'Pecunia' (Ripa)
46B311|pièce (de monnaie)
46B3111|jeton, monnaie privée
46B312|billet de banque
46B313|argent sous une autre forme. p.ex. lingots, barres de métal, etc.
46B314|chèque, effet, traite
46B3140|lettre de change (allég.); 'Cambio', 'Wissel' (Ripa)
46B32|administration ~ commerce et finance
46B321|comptabilité, comptable
46B3211|compte
46B322|bureau (~ administration)
46B33|peser
46B331|instruments pour peser
46B3311|balance, bascule
46B3312|poids servant à peser
46B332|peser de l'or ou des monnaies
46B34|cubage
46B341|mesure du volume en unités cubiques
46B35|publicité
46B351|publicité verbale
46B352|prospectus
46B3521|brochure
46B353|affiche
46B3531|panneau d'affichage
46B3532|Colonne Morris, édicule cylindrique pour affiches
46B3533|homme-sandwich
46B354|panneau publicitaire, enseigne
46B355|marque de fabrique, insigne (d'une société), carte d'une société
46B356|annonce publicitaire
46B4|transactions commerciales
46B41|acheter et vendre
46B411|acheter
46B412|vendre
46B413|échange, troc
46B414|louer, leasing (crédit-bail)
46B42|examiner la marchandise
46B43|marchandage, négociations
46B44|payer (~ commerce) (également remboursement de dette, etc.)
46B45|débit et crédit
46B451|débit, dette
46B4510|'Debito' (Ripa)
46B4511|reconnaissance de dette, bon, titre
46B452|crédit
46B4520|'Credito' (Ripa)
46B46|contrat de vente
46B47|profits et pertes
46B471|profits (~ commerce)
46B4711|intérêt (~ commerce)
46B472|pertes (~ commerce)
46B48|spéculation commerciale et financière, agiotage
46B481|boom, hausse spéculative
46B49|importation et exportation
46B491|importation
46B492|exportation
46B493|expédition commerciale
46B494|compagnie commerciale
46B4941|marine marchande, de commerce
46B5|organisation du commerce et des finances
46B51|transaction, opération monétaire
46B511|agent de change
46B512|prêteur, usurier
46B5120|'Usura' (Ripa)
46B513|prêteur sur gages, mont-de-piété
46B52|Bourse (des valeurs), marché financier
46B521|informations boursières, cours de la Bourse
46B53|banque
46B531|banquier
46B54|Comptes Chèques Postaux
46B55|assurance
46B551|agent d'assurances
46B56|organisation d'hommes d'affaires
46B561|guilde, corporation de marchands
46B562|chambre de commerce
46B57|trust, cartel, monopole
46B6|dumping (casser les prix)
46B61|soldes, soldes exceptionnelles
46B7|espionnage économique
46B8|boycottage
46B9|résultats négatifs et aspects indésirables du commerce
46B91|fraude, escroquerie
46B910|'Acquisto cattivo' (Ripa)
46B911|corruption
46B92|banqueroute
46B921|huissier (mandataire habilité à mettre en exécution les décisions de la justice)
46B93|récession, crise économique
46B931|panique financière
46B932|inflation
46BB2|commerçants et hommes/femmes d'affaires - BB - commerçantes et femmes d'affaires
46BB21|marchand, vendeur - BB - commerçantes et femmes d'affaires
46BB21(...)|marchand, vendeur (avec NOM du métier) - BB - commerçantes et femmes d'affaires
46BB22|marchand ambulant - BB - commerçantes et femmes d'affaires
46BB221|vendeur de rue - BB - commerçantes et femmes d'affaires
46BB221(...)|marchand ambulant (avec NOM du métier) - BB - commerçantes et femmes d'affaires
46BB2211|cris de Paris, cris de Londres, etc. - BB - commerçantes et femmes d'affaires
46BB222|colporteur, camelot - BB - commerçantes et femmes d'affaires
46BB23|représentant de commerce - BB - commerçantes et femmes d'affaires
46BB24|commerçant, boutiquier - BB - commerçantes et femmes d'affaires
46BB241|vendeur - BB - commerçantes et femmes d'affaires
46BB25|aller au marché - BB - commerçantes et femmes d'affaires
46BB26|revenir du marché - BB - commerçantes et femmes d'affaires
46BB27|client - BB - commerçantes et femmes d'affaires
46BB271|client satisfait - BB - commerçantes et femmes d'affaires
46BB272|client mécontent - BB - commerçantes et femmes d'affaires
46C|trafic et transport
46C1|trafic, circulation sur terre
