0|Art abstrait, non-figuratif
11H(LAMBERT)4|Lambert, martyr évêque de Maastricht et patron de Liège; attributs possibles : flèche, ours, bout d'étoffe avec des flammes, lance, écrase un noble sous sa crosse, rational, épée, foulant aux pieds deux hommes armés - activités et événements non-miraculeux ~ saint
11H(LAMBERT)5|activités et événements miraculeux ~ St Lambert
11H(LAMBERT)51|St Lambert porte des charbons ardents dans un plis de son surplis pour allumer l'encens devant l'autel
11H(LAMBERT)59|activités et événements miraculeux ~ St Lambert - stigmatisation du saint
11H(LAMBERT)6|martyre, souffrance, malheurs, mort ~ St Lambert
11H(LAMBERT)68|St Lambert , alors qu'il est généralement à genoux en prière, est tué à coups de flèches, ou bien avec une lance ou une épée
11H(LAMBERT)69|martyre, souffrance, malheurs, mort ~ St Lambert - corps du saint malmené
11H(LAMBERT)7|glorification de St Lambert : il est couronné par des anges ou par la Vierge
11H(LAMBERT)8|Lambert, martyr évêque de Maastricht et patron de Liège; attributs possibles : flèche, ours, bout d'étoffe avec des flammes, lance, écrase un noble sous sa crosse, rational, épée, foulant aux pieds deux hommes armés - événements ayant lieu après la mort ~ saint
11H(LAMBERT)81|Lambert, martyr évêque de Maastricht et patron de Liège; attributs possibles : flèche, ours, bout d'étoffe avec des flammes, lance, écrase un noble sous sa crosse, rational, épée, foulant aux pieds deux hommes armés - découverte, translation des reliques du saint
11H(LAMBERT)82|Lambert, martyr évêque de Maastricht et patron de Liège; attributs possibles : flèche, ours, bout d'étoffe avec des flammes, lance, écrase un noble sous sa crosse, rational, épée, foulant aux pieds deux hommes armés - miracles ayant lieu pendant le maniement des reliques du saint
11H(LAMBERT)83|Lambert, martyr évêque de Maastricht et patron de Liège; attributs possibles : flèche, ours, bout d'étoffe avec des flammes, lance, écrase un noble sous sa crosse, rational, épée, foulant aux pieds deux hommes armés - actions posthumes, apparitions du saint
11H(LAMBERT)84|Lambert, martyr évêque de Maastricht et patron de Liège; attributs possibles : flèche, ours, bout d'étoffe avec des flammes, lance, écrase un noble sous sa crosse, rational, épée, foulant aux pieds deux hommes armés - béatification, canonisation du saint
11H(LAMBERT)9|Lambert, martyr évêque de Maastricht et patron de Liège; attributs possibles : flèche, ours, bout d'étoffe avec des flammes, lance, écrase un noble sous sa crosse, rational, épée, foulant aux pieds deux hommes armés - portrait du saint
11H(LAURENCE)|Laurent de Rome, martyr et diacre; attributs possibles : livre, encensoir, croix, dalmatique, gril, palme de martyr, bourse (ou coupe pleine de pièces d'or)
11H(LAURENCE)0|Laurent de Rome, martyr et diacre; attributs possibles : livre, encensoir, croix, dalmatique, gril, palme de martyr, bourse (ou coupe pleine de pièces d'or) - groupe de saints
11H(LAURENCE)1|Laurent de Rome, martyr et diacre; attributs possibles : livre, encensoir, croix, dalmatique, gril, palme de martyr, bourse (ou coupe pleine de pièces d'or) - aspects spécifiques ~ saint
11H(LAURENCE)11|Laurent de Rome, martyr et diacre; attributs possibles : livre, encensoir, croix, dalmatique, gril, palme de martyr, bourse (ou coupe pleine de pièces d'or) - saint en tant que patron, protecteur, intercesseur
11H(LAURENCE)119|Laurent de Rome, martyr et diacre; attributs possibles : livre, encensoir, croix, dalmatique, gril, palme de martyr, bourse (ou coupe pleine de pièces d'or) - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(LAURENCE)12|Laurent de Rome, martyr et diacre; attributs possibles : livre, encensoir, croix, dalmatique, gril, palme de martyr, bourse (ou coupe pleine de pièces d'or) - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(LAURENCE)13|Laurent de Rome, martyr et diacre; attributs possibles : livre, encensoir, croix, dalmatique, gril, palme de martyr, bourse (ou coupe pleine de pièces d'or) - saint comme fondateur d'un Ordre
11H(LAURENCE)131|Laurent de Rome, martyr et diacre; attributs possibles : livre, encensoir, croix, dalmatique, gril, palme de martyr, bourse (ou coupe pleine de pièces d'or) - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(LAURENCE)2|Laurent de Rome, martyr et diacre; attributs possibles : livre, encensoir, croix, dalmatique, gril, palme de martyr, bourse (ou coupe pleine de pièces d'or) - jeunesse du saint
11H(LAURENCE)3|dévotion personnelle ~ St Laurent
11H(LAURENCE)31|dévotion personnelle ~ St Laurent - vocation, conversion du saint
11H(LAURENCE)32|St Laurent est ordonné diacre par le pape Sixte II
11H(LAURENCE)33|dévotion personnelle ~ St Laurent - renonçant aux biens terrestres, vie ascétique du saint
11H(LAURENCE)34|dévotion personnelle ~ St Laurent - vision(s), mariage mystique du saint
11H(LAURENCE)35|dévotion personnelle ~ St Laurent - tentations du saint
11H(LAURENCE)36|dévotion personnelle ~ St Laurent - pénitence du saint
11H(LAURENCE)37|dévotion personnelle ~ St Laurent - saint en méditation, en extase
11H(LAURENCE)4|activités et événements non-miraculeux ~ St Laurent
11H(LAURENCE)41|St Laurent reçoit du pape Sixte II les trésors de l'église
11H(LAURENCE)42|la charité de St Laurent : il distribue les trésors de l'église (des plats et des coupes en or ou en argent et d'autres récipients) aux pauvres; il tient une bourse à la main
11H(LAURENCE)5|Laurent de Rome, martyr et diacre; attributs possibles : livre, encensoir, croix, dalmatique, gril, palme de martyr, bourse (ou coupe pleine de pièces d'or) - activités et événement miraculeux ~ saint
11H(LAURENCE)59|Laurent de Rome, martyr et diacre; attributs possibles : livre, encensoir, croix, dalmatique, gril, palme de martyr, bourse (ou coupe pleine de pièces d'or) - stigmatisation du saint
11H(LAURENCE)6|martyre, souffrance, malheurs, mort de St Laurent
11H(LAURENCE)61|St Laurent devant le préfet est fouetté par des soldats romains et sa chair est lacérée avec des peignes de fer
11H(LAURENCE)62|St Laurent est rôti sur un gril
11H(LAURENCE)68|martyre, souffrance, malheurs, mort de St Laurent - mort, lit de mort du saint
11H(LAURENCE)69|martyre, souffrance, malheurs, mort de St Laurent - corps du saint malmené
11H(LAURENCE)7|l'âme de St Laurent est portée au ciel par des anges
11H(LAURENCE)8|événements ayant lieu après la mort ~ St Laurent
11H(LAURENCE)81|événements ayant lieu après la mort ~ St Laurent - découverte, translation des reliques du saint
11H(LAURENCE)82|événements ayant lieu après la mort ~ St Laurent - miracles ayant lieu pendant le maniement des reliques du saint
11H(LAURENCE)83|événements ayant lieu après la mort ~ St Laurent - actions posthumes, apparitions du saint
11H(LAURENCE)84|événements ayant lieu après la mort ~ St Laurent - béatification, canonisation du saint
11H(LAURENCE)9|Laurent de Rome, martyr et diacre; attributs possibles : livre, encensoir, croix, dalmatique, gril, palme de martyr, bourse (ou coupe pleine de pièces d'or) - portrait du saint
11H(LAZARUS)|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre
11H(LAZARUS)0|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - groupe de saints
11H(LAZARUS)1|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - aspects spécifiques ~ saint
11H(LAZARUS)11|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - saint en tant que patron, protecteur, intercesseur
11H(LAZARUS)119|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(LAZARUS)12|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(LAZARUS)13|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - saint comme fondateur d'un Ordre
11H(LAZARUS)131|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(LAZARUS)2|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - jeunesse du saint
11H(LAZARUS)3|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - dévotion personnelle du saint
11H(LAZARUS)31|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - vocation, conversion du saint
11H(LAZARUS)32|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - baptême, consécration, prononciation des voeux du saint
11H(LAZARUS)33|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - renonçant aux biens terrestres, vie ascétique du saint
11H(LAZARUS)34|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - vision(s), mariage mystique du saint
11H(LAZARUS)35|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - tentations du saint
11H(LAZARUS)36|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - pénitence du saint
11H(LAZARUS)37|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - saint en méditation, en extase
11H(LAZARUS)4|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - activités et événements non-miraculeux ~ saint
11H(LAZARUS)5|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - activités et événement miraculeux ~ saint
11H(LAZARUS)59|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - stigmatisation du saint
11H(LAZARUS)6|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - martyre, souffrance, malheurs, mort du saint
11H(LAZARUS)68|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - mort, lit de mort du saint
11H(LAZARUS)69|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - corps du saint malmené
11H(LAZARUS)7|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - apothéose, glorification, triomphe du saint
11H(LAZARUS)8|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - événements ayant lieu après la mort ~ saint
11H(LAZARUS)81|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - découverte, translation des reliques du saint
11H(LAZARUS)82|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - miracles ayant lieu pendant le maniement des reliques du saint
11H(LAZARUS)83|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - actions posthumes, apparitions du saint
11H(LAZARUS)84|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - béatification, canonisation du saint
11H(LAZARUS)9|Lazare de Béthanie, évêque de Marseille, frère de Ste Marthe et de Ste Marie Madeleine; attributs possibles: habits d'évêque, livre - portrait du saint
11H(LEO THE GREAT)|Léon Ier le Grand, pape
11H(LEO THE GREAT)0|Léon Ier le Grand, pape - groupe de saints
11H(LEO THE GREAT)1|Léon Ier le Grand, pape - aspects spécifiques ~ saint
11H(LEO THE GREAT)11|Léon Ier le Grand, pape - saint en tant que patron, protecteur, intercesseur
11H(LEO THE GREAT)119|Léon Ier le Grand, pape - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(LEO THE GREAT)12|Léon Ier le Grand, pape - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(LEO THE GREAT)13|Léon Ier le Grand, pape - saint comme fondateur d'un Ordre
11H(LEO THE GREAT)131|Léon Ier le Grand, pape - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(LEO THE GREAT)2|Léon Ier le Grand, pape - jeunesse du saint
11H(LEO THE GREAT)3|Léon Ier le Grand, pape - dévotion personnelle du saint
11H(LEO THE GREAT)31|Léon Ier le Grand, pape - vocation, conversion du saint
11H(LEO THE GREAT)32|Léon Ier le Grand, pape - baptême, consécration, prononciation des voeux du saint
11H(LEO THE GREAT)33|Léon Ier le Grand, pape - renonçant aux biens terrestres, vie ascétique du saint
11H(LEO THE GREAT)34|Léon Ier le Grand, pape - vision(s), mariage mystique du saint
11H(LEO THE GREAT)35|Léon Ier le Grand, pape - tentations du saint
11H(LEO THE GREAT)36|Léon Ier le Grand, pape - pénitence du saint
11H(LEO THE GREAT)37|Léon Ier le Grand, pape - saint en méditation, en extase
11H(LEO THE GREAT)4|Léon Ier le Grand, pape - activités et événements non-miraculeux ~ saint
11H(LEO THE GREAT)5|activités et événements miraculeux ~ St Léon le Grand
11H(LEO THE GREAT)51|le pape, St Léon le Grand, rencontre Attila hors des murs de Rome et lui indique les deux apôtres, St Pierre et St Paul, les saints patrons de la ville, qui apparaissent dans le ciel
11H(LEO THE GREAT)52|la Vierge remet en place la main de St Léon le Grand, qu'il s'était coupée pour mieux résister à la tentation
11H(LEO THE GREAT)59|activités et événements miraculeux ~ St Léon le Grand - stigmatisation du saint
11H(LEO THE GREAT)6|Léon Ier le Grand, pape - martyre, souffrance, malheurs, mort du saint
11H(LEO THE GREAT)68|Léon Ier le Grand, pape - mort, lit de mort du saint
11H(LEO THE GREAT)69|Léon Ier le Grand, pape - corps du saint malmené
11H(LEO THE GREAT)7|Léon Ier le Grand, pape - apothéose, glorification, triomphe du saint
11H(LEO THE GREAT)8|Léon Ier le Grand, pape - événements ayant lieu après la mort ~ saint
11H(LEO THE GREAT)81|Léon Ier le Grand, pape - découverte, translation des reliques du saint
11H(LEO THE GREAT)82|Léon Ier le Grand, pape - miracles ayant lieu pendant le maniement des reliques du saint
11H(LEO THE GREAT)83|Léon Ier le Grand, pape - actions posthumes, apparitions du saint
11H(LEO THE GREAT)84|Léon Ier le Grand, pape - béatification, canonisation du saint
11H(LEO THE GREAT)9|Léon Ier le Grand, pape - portrait du saint
11H(LEONARD)|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées)
11H(LEONARD)0|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - groupe de saints
11H(LEONARD)1|aspects spécifiques ~ St Léonard
11H(LEONARD)11|St Léonard, patron des prisonniers : il a des chaînes brisées en main et des captifs libérés se tiennent agenouillés à ses pieds
11H(LEONARD)119|St Léonard, patron des prisonniers : il a des chaînes brisées en main et des captifs libérés se tiennent agenouillés à ses pieds - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(LEONARD)12|aspects spécifiques ~ St Léonard - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(LEONARD)13|aspects spécifiques ~ St Léonard - saint comme fondateur d'un Ordre
11H(LEONARD)131|aspects spécifiques ~ St Léonard - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(LEONARD)2|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - jeunesse du saint
11H(LEONARD)3|dévotion personnelle ~ St Léonard
11H(LEONARD)31|dévotion personnelle ~ St Léonard - vocation, conversion du saint
11H(LEONARD)32|St Léonard reçoit le baptême de l'évêque St Rémi de Reims
11H(LEONARD)33|dévotion personnelle ~ St Léonard - renonçant aux biens terrestres, vie ascétique du saint
11H(LEONARD)34|dévotion personnelle ~ St Léonard - vision(s), mariage mystique du saint
11H(LEONARD)35|dévotion personnelle ~ St Léonard - tentations du saint
11H(LEONARD)36|dévotion personnelle ~ St Léonard - pénitence du saint
11H(LEONARD)37|dévotion personnelle ~ St Léonard - saint en méditation, en extase
11H(LEONARD)4|activités et événements non-miraculeux ~ St Léonard
11H(LEONARD)41|St Léonard libérant des captifs
11H(LEONARD)42|St Léonard fondant un monastère à Noblac
11H(LEONARD)43|St Léonard par ses prières aide la reine Clothilde à accoucher lors d'une chasse de celle-ci
11H(LEONARD)5|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - activités et événement miraculeux ~ saint
11H(LEONARD)59|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - stigmatisation du saint
11H(LEONARD)6|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - martyre, souffrance, malheurs, mort du saint
11H(LEONARD)68|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - mort, lit de mort du saint
11H(LEONARD)69|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - corps du saint malmené
11H(LEONARD)7|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - apothéose, glorification, triomphe du saint
11H(LEONARD)8|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - événements ayant lieu après la mort ~ saint
11H(LEONARD)81|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - découverte, translation des reliques du saint
11H(LEONARD)82|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - miracles ayant lieu pendant le maniement des reliques du saint
11H(LEONARD)83|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - actions posthumes, apparitions du saint
11H(LEONARD)84|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - béatification, canonisation du saint
11H(LEONARD)9|Léonard de Noblac, abbé (bénédictin) et ermite; attributs possibles : dalmatique, chaînes (brisées) - portrait du saint
11H(LIVINUS)|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée
11H(LIVINUS)0|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - groupe de saints
11H(LIVINUS)1|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - aspects spécifiques ~ saint
11H(LIVINUS)11|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - saint en tant que patron, protecteur, intercesseur
11H(LIVINUS)119|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(LIVINUS)12|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(LIVINUS)13|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - saint comme fondateur d'un Ordre
11H(LIVINUS)131|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(LIVINUS)2|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - jeunesse du saint
11H(LIVINUS)3|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - dévotion personnelle du saint
11H(LIVINUS)31|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - vocation, conversion du saint
11H(LIVINUS)32|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - baptême, consécration, prononciation des voeux du saint
11H(LIVINUS)33|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - renonçant aux biens terrestres, vie ascétique du saint
11H(LIVINUS)34|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - vision(s), mariage mystique du saint
11H(LIVINUS)35|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - tentations du saint
11H(LIVINUS)36|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - pénitence du saint
11H(LIVINUS)37|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - saint en méditation, en extase
11H(LIVINUS)4|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - activités et événements non-miraculeux ~ saint
11H(LIVINUS)5|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - activités et événement miraculeux ~ saint
11H(LIVINUS)59|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - stigmatisation du saint
11H(LIVINUS)6|martyre, souffrance, malheurs, mort de St Liévin
11H(LIVINUS)61|la langue de St Liévin est arrachée et jetée aux chiens
11H(LIVINUS)68|St Liévin est décapité
11H(LIVINUS)69|martyre, souffrance, malheurs, mort de St Liévin - corps du saint malmené
11H(LIVINUS)7|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - apothéose, glorification, triomphe du saint
11H(LIVINUS)8|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - événements ayant lieu après la mort ~ saint
11H(LIVINUS)81|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - découverte, translation des reliques du saint
11H(LIVINUS)82|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - miracles ayant lieu pendant le maniement des reliques du saint
11H(LIVINUS)83|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - actions posthumes, apparitions du saint
11H(LIVINUS)84|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - béatification, canonisation du saint
11H(LIVINUS)9|Liévin de Gand, martyr et évêque; attributs possibles : tenailles portant une langue arrachée - portrait du saint
11H(LONGINUS)|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide
11H(LONGINUS)0|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - groupe de saints
11H(LONGINUS)1|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - aspects spécifiques ~ saint
11H(LONGINUS)11|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - saint en tant que patron, protecteur, intercesseur
11H(LONGINUS)119|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(LONGINUS)12|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(LONGINUS)13|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - saint comme fondateur d'un Ordre
11H(LONGINUS)131|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(LONGINUS)2|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - jeunesse du saint
11H(LONGINUS)3|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - dévotion personnelle du saint
11H(LONGINUS)31|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - vocation, conversion du saint
11H(LONGINUS)32|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - baptême, consécration, prononciation des voeux du saint
11H(LONGINUS)33|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - renonçant aux biens terrestres, vie ascétique du saint
11H(LONGINUS)34|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - vision(s), mariage mystique du saint
11H(LONGINUS)35|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - tentations du saint
11H(LONGINUS)36|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - pénitence du saint
11H(LONGINUS)37|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - saint en méditation, en extase
11H(LONGINUS)4|activités et événements non-miraculeux ~ St Longin
11H(LONGINUS)41|St Longin recueille dans une coupe le sang du Christ crucifié
11H(LONGINUS)42|St Longin ayant perdu la vue, se frotte les yeux avec une goutte du sang du Christ crucifié et est guéri
11H(LONGINUS)5|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - activités et événement miraculeux ~ saint
11H(LONGINUS)59|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - stigmatisation du saint
11H(LONGINUS)6|martyre, souffrance, malheurs, mort de St Longin
11H(LONGINUS)68|St Longin est décapité à Césarée
11H(LONGINUS)69|martyre, souffrance, malheurs, mort de St Longin - corps du saint malmené
11H(LONGINUS)7|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - apothéose, glorification, triomphe du saint
11H(LONGINUS)8|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - événements ayant lieu après la mort ~ saint
11H(LONGINUS)81|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - découverte, translation des reliques du saint
11H(LONGINUS)82|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - miracles ayant lieu pendant le maniement des reliques du saint
11H(LONGINUS)83|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - actions posthumes, apparitions du saint
11H(LONGINUS)84|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - béatification, canonisation du saint
11H(LONGINUS)9|Longin, soldat (centurion) de Césarée; attributs possibles : lance, pyxide - portrait du saint
11H(LOUIS IX)|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice
11H(LOUIS IX)0|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - groupe de saints
11H(LOUIS IX)1|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - aspects spécifiques ~ saint
11H(LOUIS IX)11|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - saint en tant que patron, protecteur, intercesseur
11H(LOUIS IX)119|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(LOUIS IX)12|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(LOUIS IX)13|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - saint comme fondateur d'un Ordre
11H(LOUIS IX)131|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(LOUIS IX)2|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - jeunesse du saint
