4|yhteiskunta, sivilisaatio, kulttuuri
#45H22|counter-attack
45H3|taistelu
#45H31|bombardment
#45H32|charge ~ battle
#45H33|hand-to-hand fighting (~ battle)
#45H331|fighting against superior forces
#45H34|single combat in place of battle
#45H341|duel in place of battle
#45H342|small groups in single combat in place of battle
#45H4|putting the enemy to flight
#45H5|putting the enemy out of action
#45H51|putting out of action by superior forces
#45H52|putting out of action by wounding
#45H53|putting out of action by killing
#45H54|putting out of action by breaking the supply lines
#45H6|guerilla warfare
#45HH4|putting the enemy to flight - HH - being put to flight, fleeing
#45HH5|putting the enemy out of action - HH - being put out of action
#45HH51|putting out of action by superior forces - HH - being put out of action
#45HH52|putting out of action by wounding - HH - being put out of action
#45HH53|putting out of action by killing - HH - being put out of action
#45HH54|putting out of action by breaking the supply lines - HH - being put out of action
45I|taistelun jälkeen
45I1|sotavangit (taistelun jälkeen)
#45I11|surrender ~ prisoner of war
#45I12|disarmament ~ prisoner of war
#45I13|transfer, deportation ~ prisoner of war
#45I14|interrogation ~ prisoner of war
#45I141|brain washing ~ prisoner of war
#45I15|care ~ prisoner of war
45I151|sotavanki vankileirillä
#45I16|exchange ~ prisoner of war
#45I161|ransom ~ prisoner of war
#45I17|liberating prisoners of war
#45I2|hostage (after the battle)
#45I3|communiqué (after the battle)
#45I31|criticism of communiqué (after the battle)
#45I4|negotiations for truce
#45I41|negotiations for truce on a demolished bridge
#45I5|suspension of hostilities (truce)
#45I51|truce of God, 'Trève-Dieu'
#45I52|suspension of hostilities in order to bury the dead
#45I53|armistice, truce
#45I530|'Tregua' (Ripa)
45I6|voittaja (taistelun jälkeen)
#45I61|conqueror triumphing, triumphal entry of victor
#45I611|crowning the victor with laurel
#45I612|prisoners chained to the victor's chariot
#45I62|conqueror (on horseback) tramples conquered
#45I63|(conqueror) gripping the victim's hair
#45I7|the defeated (after the battle)
#45I71|the defeated before the victor
45K|piiritys, asemasota
45K1|linnoitukset, varustukset, bastionit jne.
#45K11|temporary fortifications
#45K111|trenches
#45K112|no man's land
#45K12|permanent fortifications
#45K121|palisades
#45K122|bastion, bulwark
#45K13|fortress
#45K14|fortified city
#45K141|walls ~ fortified city
#45K1411|machicolation ~ fortified city
#45K1412|battlement, crenellation ~ fortified city
#45K1413|loop-hole ~ fortified city
#45K142|towers ~ fortified city
#45K143|moat ~ fortified city
#45K1431|drawbridge ~ fortified city
#45K144|gate ~ fortified city
#45K1441|portcullis
#45K2|attack ~ siege
#45K21|siege
#45K22|blockade ~ siege
#45K23|bombardment ~ siege
#45K231|siege arms, e.g.: battering ram
#45K24|'attaques brusquées'
#45K25|'travaux d'approche'
#45K26|assault ~ siege
#45K27|breaking into city or fortress ~ siege
#45K3|defence ~ siege
#45K31|defence of fortification or city
#45K32|counter-attack from a fortification ~ siege
#45K33|inside the besieged city
#45K331|strengthening the fortifications inside the besieged city
#45K4|capture of city (after the siege)
#45K5|raising the siege
#45K51|raising the siege with outside assistance, relief
#45K52|liberation of besieged city
#45L|occupation ~ war
#45L1|surrender ~ war
#45L11|surrender of keys
#45L12|march into the conquered place
#45L13|retreat of the defeated
#45L2|levy
#45L21|delivering levied goods
#45L22|division of the spoils of war
#45L23|carrying off the spoils of war
#45L29|safe conduct
#45L3|plundering ~ soldiers
#45L31|booty, spoil
#45L311|trophy ~ battle, war
#45L3111|'tropaion', i.e. decorative ornament ~ weapons
#45L4|destruction of conquered city
#45L40|allegory, personification of destruction of conquered city
#45L41|demolishing (of conquered city)
#45L42|setting on fire (of conquered city)
#45L43|devastated, ruined place or city (~ warfare)
45M|siviilit ~ sota
#45M1|non-combatants in military situations
#45M11|non-combatants on the battle-scene
#45M12|non-combatants during passage of soldiers
#45M13|fighting civilians, e.g.: 'franc tireur'
#45M2|soldiers and civilians
#45M3|occupier and civilians
#45M31|house-to-house search
#45M39|underground movement, partisans
#45M391|sabotage by partisans
#45M4|civilians during bombardment
45M5|pakolaiset, evakot
#45M51|fugitives 'en route'
#45M52|fugitives resting, camping
#45M6|internment camp
45M7|keskitysleiri
46|yhteiskunta- ja talouselämä, liikenne ja tietoliikenne
46A|yhteiskuntaelämä
#46A1|social stratification, social groups
46A11|jako yhteiskuntaluokkiin (~ yhteiskunta)
46A111|kolme säätyä: aatelisto, papisto, porvaristo
#46A112|other divisions into classes (~ society)
46A12|aatelisto, ritaristo
#46A121|coronet
46A122|vaakunat, heraldiikka
#46A122(...)|armorial bearing, heraldry (with NAME of family)
#46A122(...)1|armorial bearing, heraldry (with NAME of family) - coat of arms
#46A122(...)2|armorial bearing, heraldry (with NAME of family) - crest
#46A122(...)3|armorial bearing, heraldry (with NAME of family) - device, motto
#46A122(...)4|armorial bearing, heraldry (with NAME of family) - impresa
#46A122(...)5|armorial bearing, heraldry (with NAME of family) - banner
#46A122(...)6|armorial bearing, heraldry (with NAME of family) - seal
#46A123|herald
46A124|ritari
46A1241|ritarikunta
46A1241(...)|ritarikunta (NIMI sulkuihin)
46A1241(...)1|ritarikunta (NIMI sulkuihin) - ritarikunnan arvomerkit, esim. kunniamerkki, vitjat ym. (ritarikunnan NIMI sulkuihin)
#46A1241(GOLDEN FLEECE)|knighthood order of the Golden Fleece
46A1241(GOLDEN FLEECE)1|knighthood order of the Golden Fleece - ritarikunnan arvomerkit, esim. kunniamerkki, vitjat ym. (ritarikunnan NIMI sulkuihin)
#46A1241(HOLY SPIRIT)|knighthood order of the Holy Spirit
46A1241(HOLY SPIRIT)1|knighthood order of the Holy Spirit - ritarikunnan arvomerkit, esim. kunniamerkki, vitjat ym. (ritarikunnan NIMI sulkuihin)
#46A1241(ST. JOHN)|knighthood order of St. John
46A1241(ST. JOHN)1|knighthood order of St. John - ritarikunnan arvomerkit, esim. kunniamerkki, vitjat ym. (ritarikunnan NIMI sulkuihin)
#46A1241(TEUTONIC ORDER)|knighthood order: Teutonic Order
46A1241(TEUTONIC ORDER)1|knighthood order: Teutonic Order - ritarikunnan arvomerkit, esim. kunniamerkki, vitjat ym. (ritarikunnan NIMI sulkuihin)
46A125|ritariksi lyöminen
#46A1251|page, footboy
#46A1252|shield-bearer, squire
#46A1253|knighting ceremonies
#46A12531|dubbing a knight with little ceremony
#46A125311|girding of the sword (~ knighting)
#46A125312|blow or slap with sword, accolade (~ knighting)
#46A12532|dubbing a knight with full ceremony
#46A125321|clothing (~ knighting ceremony)
#46A125322|fast and all-night vigil (~ knighting ceremony)
#46A125323|blessing of the sword (~ knighting ceremony)
#46A125324|investiture with armour, spurs and sword (~ knighting)
#46A125325|blow or slap with sword, accolade (full knighting ceremony)
#46A125326|other parts of knighting ceremony
#46A126|the nine worthies, 'les neuf preux'
#46A1261|Joshua (one of the nine worthies)
#46A1262|David (one of the nine worthies)
#46A1263|Judas Maccabaeus (one of the nine worthies)
#46A1264|Hector (one of the nine worthies)
#46A1265|Alexander (one of the nine worthies)
#46A1266|Julius Caesar (one of the nine worthies)
#46A1267|Arthur (one of the nine worthies)
#46A1268|Charlemagne (one of the nine worthies)
#46A1269|Godefroy of Bouillon (one of the nine worthies)
46A127|nimekkäät, kuuluisat tai kunnioitetut miehet, sankarit, 'homines illustres', 'uomini famosi'
46A13|porvaristo
46A131|porvaristo, keskiluokka, (kaupunkien) porvarit
#46A132|villagers; villeins (Dutch: 'dorpers')
#46A139|buffoon (in general) (German: 'Schalksnarr')
46A14|talonpojat, maanviljelijät
#46A141|fight between farmers and soldiers
46A15|köyhät
46A151|kerjäläinen
#46A1511|begging bowl
#46A1512|beggars' procession
#46A152|'fahrende Leute', vagrants
#46A153|'bambochades', revellers
#46A154|generally despised professions, 'unehrliche Leute'
#46A155|outcasts, pariahs
46A16|rikkaat
#46A161|acquiring riches
#46A1611|treasure hunting, goldrush
#46A1612|digging for or finding of treasure
#46A162|exhibition of wealth
#46A1621|display of jewels, etc.
#46A1622|strewing valuables
#46A1623|contemplating one's own riches
#46A163|protection of wealth
#46A1631|depository (of valuables)
#46A16311|hiding, concealing, burying a treasure
#46A1632|money-chest, treasure-chest, money-box
#46A16321|safe, strongbox
#46A1633|guarding of treasure
#46A16331|guarding of treasure by men
#46A16332|guarding of treasure by animals
#46A16333|guarding of treasure by mechanical means
#46A164|upper ten
#46A165|jet set
#46A166|parvenu, 'nouveau riche', upstart
46A17|työväenluokka, työläiset
#46A170|Labour
#46A171|employer ~ employee
#46A1711|employee asking for work
#46A172|paying of wages
#46A1721|labourer refusing payment
#46A1722|employer refusing to pay wages
#46A173|labourers going to work
#46A174|labourers returning home
#46A175|child labour
#46A179|unemployment
#46A1791|unemployed labourers
46A18|orjuus; maaorjat ja orjat
#46A180|'Servitù', 'Servitù per forza' (Ripa)
#46A181|slave-trade
#46A182|master ~ slave
#46A183|freedom ~ slavery
#46A1831|liberation (of a slave)
#46A1832|purchase of freedom
#46A1833|escape, escape attempts (of a slave)
#46A1834|abolition of slavery, fighting slavery
46A2|sosiaaliset vastakohdat
#46A21|contrast between rich and poor
#46A211|bad rich man, good poor man
#46A212|giving alms or other charity, e.g.: handing out food
#46A2120|'Elemosina' (Ripa)
#46A213|philanthropist
#46A22|contrast between urban and rural life; city dweller versus country dweller
46A221|urbaani elämä, kaupunkilaiselämä
46A2211|kaupungin asukkaat, kaupunkilaiset
46A2219|kaupunkien autioituminen
46A222|maalaiselämä
46A2221|maalaiset, maaseudun asukkaat
46A22219|maaseudun autioituminen, maaltapako
#46A23|contrast between important and unimportant people; the inferior before the superior, the weak before the mighty
#46A231|the protégé before the patron
#46A24|relation between master and servant
#46A241|serving two masters
#46A3|public welfare
#46A31|orphanage
#46A311|foundling-hospital
#46A32|care of the aged
#46A321|old-people's home
#46A3211|alms-house (Dutch: 'hofje')
#46A33|charitable works
46A4|rotujen väliset suhteet
#46A41|racial discrimination, segregation
#46A42|inter-racial antipathy, racialism
#46A421|race-riots
#46A422|Ku Klux Klan and similar organizations
#46A49|anti-racialism; racial integration
#46A5|linguistic communication
#46A51|attempt to make oneself understood ~ linguistic communication
#46A511|misunderstanding
#46A52|interpreter ~ language
#46A53|translator
#46A54|communication with the deaf or dumb
#46A541|lip-reading
#46A542|sign-language
#46A55|artificial language
#46A551|Esperanto
46A6|klubit, yhdistykset, seurat ja johtokunnat
#46A61|board, esp. governors, trustees, etc. (Dutch: 'regenten')
#46A611|chairman
#46A612|secretary (of a society)
#46A613|treasurer
#46A614|committee members, board members
46A62|(yhdistyksen tms.) jäsen, jäsenyys
#46A621|becoming a member
#46A6211|balloting
#46A6212|initiation (~ membership of a society)
#46A629|suspension, expulsion (from a society)
46A63|kokous, kokoontuminen
#46A631|opening the meeting
#46A632|address, talk, lecture (~ meeting)
#46A633|debate, discussion (~ meeting)
#46A634|interruption, questions (~ meeting)
#46A635|voting (~ meeting)
#46A636|chaos, disorderly procedure (~ meeting)
#46A637|closing the meeting
#46A638|assembly-room
46A7|väkijoukko, kansanjoukko, rahvas, roskaväki
#46A71|individual versus mass
46A8|epätavalliset elämäntavat
46A81|vaeltavat yhteisöt
46A81(...)|vaeltavat yhteisöt (NIMEN kanssa)
46A81(GIPSIES)|vaeltavat yhteisöt: mustalaiset, romaanit
46A81(NOMADS)|vaeltavat yhteisöt: paimentolaiset
#46A811|wandering communities living in tents
#46A812|wandering communities living in house-wagons
#46A813|wandering communities living in boats
#46A82|idealistic communities, 'back to nature'
46A821|yhteisöt, yhdyskunnat, ryhmät
#46A821(...)|communities, groups (with NAME)
#46A8211|communal sharing of everything
#46A822|naturists
#46A823|nudists
#46A83|solitary living
#46A831|living alone on an uninhabited island, Robinsonade
#46A84|pioneering, frontier life
46A841|Villi Länsi
46A85|seikkailija
#46A9|primitive social structure
#46A91|matriarchy
#46A92|patriarchy
#46A93|clans, tribal relationships
46AA122|vaakunat, heraldiikka - AA - female
#46AA122(...)|armorial bearing, heraldry (with NAME of family) - AA - female
#46AA122(...)1|armorial bearing, heraldry (with NAME of family) - AA - female - coat of arms
#46AA122(...)2|armorial bearing, heraldry (with NAME of family) - AA - female - crest
#46AA122(...)3|armorial bearing, heraldry (with NAME of family) - AA - female - device, motto
#46AA122(...)4|armorial bearing, heraldry (with NAME of family) - AA - female - impresa
#46AA122(...)5|armorial bearing, heraldry (with NAME of family) - AA - female - banner
#46AA122(...)6|armorial bearing, heraldry (with NAME of family) - AA - female - seal
#46AA126|the nine worthiest women
#46AA1261|Esther (one of the nine worthiest women)
#46AA1262|Judith (one of the nine worthiest women)
#46AA1263|Jael (one of the nine worthiest women)
#46AA1264|Lucretia (one of the nine worthiest women)
#46AA1265|Veturia, mother of Coriolanus (one of the nine worthiest women)
#46AA1266|Virginia (one of the nine worthiest women)
#46AA1267|St. Helena (one of the nine worthiest women)
#46AA1268|St. Brigit (one of the nine worthiest women)
#46AA1269|St. Elizabeth (one of the nine worthiest women)
46AA127|nimekkäät, kuuluisat tai kunnioitetut miehet, sankarit, 'homines illustres', 'uomini famosi' - AA - nimekkäät, kuuluisat tai kunnioitetut naiset, sankarittaret, 'femmes c'lSbres', 'les neuf preuses'
46AA14|talonpojat, maanviljelijät - AA - naispuolinen talonpoika, maanviljelijä, talonpojan vaimo
46AA17|työväenluokka, työläiset - AA - naiset
46AA170|Labour - AA - naiset
46AA171|employer ~ employee - AA - naiset
46AA1711|employee asking for work - AA - naiset
46AA172|paying of wages - AA - naiset
46AA1721|labourer refusing payment - AA - naiset
46AA1722|employer refusing to pay wages - AA - naiset
46AA173|labourers going to work - AA - naiset
46AA174|labourers returning home - AA - naiset
46AA175|child labour - AA - naiset
46AA179|unemployment - AA - naiset
46AA1791|unemployed labourers - AA - naiset
#46AA24|relation between master and servant - AA - bad relation
#46AA241|serving two masters - AA - bad relation
#46AA61|board, esp. governors, trustees, etc. (Dutch: 'regenten') - AA - women (Dutch: 'regentessen')
#46AA611|chairman - AA - women (Dutch: 'regentessen')
#46AA612|secretary (of a society) - AA - women (Dutch: 'regentessen')
#46AA613|treasurer - AA - women (Dutch: 'regentessen')
#46AA614|committee members, board members - AA - women (Dutch: 'regentessen')
46AA63|kokous, kokoontuminen - AA - in the open air
#46AA631|opening the meeting - AA - in the open air
#46AA632|address, talk, lecture (~ meeting) - AA - in the open air
#46AA633|debate, discussion (~ meeting) - AA - in the open air
#46AA634|interruption, questions (~ meeting) - AA - in the open air
#46AA635|voting (~ meeting) - AA - in the open air
#46AA636|chaos, disorderly procedure (~ meeting) - AA - in the open air
#46AA637|closing the meeting - AA - in the open air
#46AA638|assembly-room - AA - in the open air
46B|kauppa, kaupankäynti, talouselämä ja rahaliikenne
#46B0|allegory of trade; 'Commertio della vita humana' (Ripa)
#46B1|locations for trading
46B11|kauppatori, torikauppa
#46B111|stall, booth (~ market)
46B112|kauppahalli
46B12|markkinat, myyjäiset, messut
46B13|kauppa, kauppapuoti, myymälä
46B131|tavaratalo, supermarket
#46B132|shop-window, show-window
46B133|tiskillä
#46B14|weigh-house
#46B15|wholesale house
46B16|huutokauppa
#46B17|Exchange, Bourse
46B18|kaupalliset näyttelyt, teollisuusmessut
46B181|maailmannäyttelyt
#46B19|fancy fair
46B2|kaupallisella alalla toimivat henkilöt
46B21|liikemies, myyntimies
46B21(...)|liikemies, myyntimies (ammatin NIMEN kanssa)
#46B22|wandering or travelling merchant
46B221|katukauppias
46B221(...)|katukauppias (ammatin NIMEN kanssa)
#46B2211|'cris de Paris', cries of London, etc.
#46B222|pedlar
#46B23|commercial traveller
46B24|kauppias
#46B241|sales clerk
46B25|markkinoille meno
46B26|markkinoilta paluu
46B27|asiakas
#46B271|satisfied customer
#46B272|complaining customer
#46B3|auxiliary means and methods in trade and finance
46B31|raha
#46B310|'Pecunia' (Ripa)
46B311|kolikko
#46B3111|trade token, private coin
#46B312|bank-note
#46B313|money in other forms, e.g.: metal bars, shells, etc.
#46B314|cheque, draft, bill of exchange
#46B3140|draft (alleg.); 'Cambio', 'Wissel' (Ripa)
#46B32|administration ~ trade and finance
46B321|kirjanpito, kirjanpitäjä
#46B3211|tally
#46B322|office (~ administration)
#46B33|weighing
#46B331|weighing-instruments
#46B3311|scales
#46B3312|weight used on scales
46B332|kullan tai rahan punnitseminen
#46B34|cubic measuring
#46B341|cubic measure, measure of capacity
46B35|mainostaminen
#46B351|oral advertising
#46B352|handbill
#46B3521|brochure
46B353|(mainos)juliste
#46B3531|bill-board
#46B3532|poster-pillar
#46B3533|sandwich-man
#46B354|signboard
#46B355|trade mark, trade token, trade sign, trade card
46B356|mainos
#46B4|commercial transactions
#46B41|buying and selling
46B411|ostaminen
46B412|myyminen
#46B413|barter
#46B414|hiring, leasing
#46B42|examining merchandise
#46B43|bargaining
#46B44|paying (~ commerce) (here also repayment of debt, etc.)
#46B45|debit and credit
#46B451|debit, debt
#46B4510|'Debito' (Ripa)
#46B4511|IOU (= I owe you), bond
#46B452|credit
#46B4520|'Credito' (Ripa)
#46B46|contract of sale
#46B47|profit and loss
#46B471|profit (~ commerce)
#46B4711|interest (~ commerce)
#46B472|loss (~ commerce)
#46B48|speculation in trade and finance, stock-jobbery
#46B481|speculative boom
#46B49|import and export
#46B491|import
#46B492|export
#46B493|trading expedition
#46B494|trade-company
#46B4941|merchant shipping, shipping trade
#46B5|organization of trade and finance
46B51|rahanvaihto- ja rahanlainaustoiminta
#46B511|money-changer
46B512|rahanlainaaja, koronkiskoja
#46B5120|'Usura' (Ripa)
46B513|panttilainaaja
#46B52|stock exchange, stock-market
#46B521|stock-market reports
46B53|pankki
46B531|pankkiiri
#46B54|giro
#46B55|insurance
#46B551|insurance agent
#46B56|business men's organization
#46B561|merchant guild
#46B562|chamber of commerce
#46B57|trust, cartel, monopoly
#46B6|dumping
#46B61|sales, bargain-sale
#46B7|economic espionage
#46B8|boycott
#46B9|negative results and undesired aspects of trading
#46B91|fraudulence, swindling
#46B910|'Acquisto cattivo' (Ripa)
#46B911|bribery
#46B92|bankruptcy
#46B921|process-server
#46B93|depression, slump
#46B931|financial panic
#46B932|inflation
46BB2|kaupallisella alalla toimivat henkilöt - BB - kaupallisella alalla toimivat naishenkilöt
46BB21|liikemies, myyntimies - BB - kaupallisella alalla toimivat naishenkilöt
46BB21(...)|liikemies, myyntimies (ammatin NIMEN kanssa) - BB - kaupallisella alalla toimivat naishenkilöt
46BB22|wandering or travelling merchant - BB - kaupallisella alalla toimivat naishenkilöt
46BB221|katukauppias - BB - kaupallisella alalla toimivat naishenkilöt
46BB221(...)|katukauppias (ammatin NIMEN kanssa) - BB - kaupallisella alalla toimivat naishenkilöt
46BB2211|'cris de Paris', cries of London, etc. - BB - kaupallisella alalla toimivat naishenkilöt
46BB222|pedlar - BB - kaupallisella alalla toimivat naishenkilöt
46BB23|commercial traveller - BB - kaupallisella alalla toimivat naishenkilöt
46BB24|kauppias - BB - kaupallisella alalla toimivat naishenkilöt
46BB241|sales clerk - BB - kaupallisella alalla toimivat naishenkilöt
46BB25|markkinoille meno - BB - kaupallisella alalla toimivat naishenkilöt
46BB26|markkinoilta paluu - BB - kaupallisella alalla toimivat naishenkilöt
46BB27|asiakas - BB - kaupallisella alalla toimivat naishenkilöt
46BB271|satisfied customer - BB - kaupallisella alalla toimivat naishenkilöt
46BB272|complaining customer - BB - kaupallisella alalla toimivat naishenkilöt
46C|liikkuminen, liikenne, liikennevälineet ja kuljetus
46C1|maaliikenne, liikenne maalla
46C11|tie, polku
46C111|kahluupaikka, kahlaamo
46C1111|joen ylitys
46C1112|lautta, lossi
#46C1113|stepping stones
46C112|silta
#46C1121|bridges by construction
#46C11211|suspension bridge
#46C11212|cantilever bridge
46C11213|
#46C1122|bridge forms
#46C11221|bridge with structure, i.e. cover or buildings
#46C113|viaduct
46C114|tunneli
#46C115|traffic regulation (signs, lights, etc.)
#46C1151|traffic sign
#46C1152|constable on point-duty
46C1153|liikennevalot
#46C1159|traffic-block, traffic-jam
46C116|tienhaara, risteys
46C1160|tienhaara, risteys (-allegoriat ja -symbolit)
#46C1161|signpost
46C1162|kilometripylväs
#46C117|road-cross, 'mont-joie'
#46C118|other structures ~ road, path
#46C1181|flight of steps
#46C12|human strength ~ traffic and transport on land
46C121|kulkeminen taakkaa kantaen
#46C1211|carrying something in basket, bag, rucksack, etc.
#46C1212|carrying something with yoke
#46C1213|carrying something with carrying-pole
#46C1214|carrying something with barrow
#46C1215|carrying something on the head or on the shoulders
#46C122|wheelbarrow
#46C123|hand-cart
#46C124|rickshaw
46C125|polkupyörä
#46C1251|antique types of bicycles
#46C1251(...)|antique types of bicycles (with NAME)
#46C1252|tricycle
#46C12521|carrier-tricycle
#46C1253|monocycle
#46C1254|tandem
#46C1257|other types of bicycle
#46C1257(...)|other types of bicycle (with NAME)
#46C1258|parts, attachments of a bicycle
#46C1258(...)|parts, attachments of a bicycle (with NAME)
#46C126|unusual means of transport
#46C1261|stilts
46C127|kulkeminen toista ihmistä kantaen
#46C1271|carrying a person on one's back
#46C1272|(carrying a person on a) litter, stretcher
#46C1273|(carrying a person in a) sedan-chair
#46C128|human being(s) drawing or pushing a vehicle not usually propelled by manpower
46C13|ratsueläimet, taakkajuhta
46C131|ratsastaminen hevosella, aasilla, muulilla; ratsastaja, hevosmies
#46C1311|riding-school, manège
#46C13111|high-school riding
#46C13112|carrousel
46C1312|ratsastaja-muotokuva
46C1313|ratsastajapatsas
46C1314|hevoset ja hevosensukuiset eläimet
46C13141|hevonen
#46C13141(...)|horse (with NAME of race or kind)
#46C131411|fighting horses
46C13142|aasi
46C13143|muuli
#46C13144|hinny
#46C1315|stud farm
#46C1316|saddling and bridling
#46C13161|saddle and bridle (saddlery)
#46C131611|head-stall
#46C131612|bit
#46C131613|reins
#46C131614|saddle
#46C1316141|howdah
#46C131615|stirrup
#46C131616|blinkers
#46C131617|horse-blanket
#46C1317|grooming
#46C13171|groom
#46C13172|curry-comb
46C1318|liikkuva hevonen
#46C13181|walking (horse in motion)
#46C13182|trotting (horse in motion)
#46C13183|galloping horse
#46C13184|jumping (horse in motion)
#46C13185|rearing (horse in motion)
#46C13186|kicking (horse in motion)
#46C13187|leading a horse by the reins; rider beside his horse
#46C1319|accident with horse (or kindred animal)
#46C13191|bolting, running away (~ horse)
#46C13192|horse throwing rider
#46C13193|horse attacked by wild animal
46C132|ratsastaminen muulla kuin hevosella, aasilla tai muulilla
#46C133|pack-animal
46C14|eläimen vetämä kulkuväline (vaunut, rattaat jne.)
#46C141|hitching up, harnessing ~ animal traction
#46C1411|harness
#46C14111|yoke
#46C14112|other parts of harness
#46C1412|unhitched animal(s) beside wagon
#46C1413|unharnessing
46C142|kaksipyöräinen, eläimen vetämä kulkuväline
#46C1421|two-wheeled vehicle drawn by one animal
#46C1422|two-wheeled vehicle drawn by two animals
#46C1423|two-wheeled vehicle drawn by three animals
#46C1424|two-wheeled vehicle drawn by more than three animals
#46C14241|quadriga
#46C143|three-wheeled, animal drawn vehicle
#46C1431|three-wheeled vehicle drawn by one animal
#46C1432|three-wheeled vehicle drawn by two animals
#46C1433|three-wheeled vehicle drawn by three animals
#46C1434|three-wheeled vehicle drawn by more than three animals
#46C144|four-wheeled, animal-drawn vehicle, e.g.: cab, carriage, coach
#46C1441|four-wheeled vehicle drawn by one animal
#46C1442|four-wheeled vehicle drawn by two animals
#46C1443|four-wheeled vehicle drawn by three animals
#46C1444|four-wheeled vehicle drawn by more than three animals
#46C1444(...)|four-wheeled vehicle drawn by more than three animals (with NUMBER of animals)
#46C145|(farm) wagon, freight wagon, cart
#46C1451|covered wagon, hooded wagon
#46C146|inciting riding-animal or draught-animal
#46C1461|prick, goad
#46C1462|spur
#46C1463|whip
#46C147|diligence, omnibus, horse-tram
46C148|eläimen vetämä reki
#46C149|accident with animal-drawn vehicle
#46C1491|bolting draught-animals
#46C1492|accident with two-wheeled, animal-drawn vehicle
#46C14921|accident with two-wheeled vehicle, drawn by one animal
#46C14922|accident with two-wheeled vehicle, drawn by two animals
#46C14923|accident with two-wheeled vehicle, drawn by three animals
#46C14924|accident with two-wheeled vehicle, drawn by more than three animals
#46C149241|accident with quadriga
#46C1493|accident with three-wheeled, animal drawn vehicle
#46C14931|accident with three-wheeled vehicle, drawn by one animal
#46C14932|accident with three-wheeled vehicle, drawn by two animals
#46C14933|accident with three-wheeled vehicle, drawn by three animals
#46C14934|accident with three-wheeled vehicle, drawn by more than three animals
#46C1494|accident with four-wheeled, animal-drawn vehicle, e.g.: cab, carriage, coach
#46C14941|accident with four-wheeled vehicle, drawn by one animal
#46C14942|accident with four-wheeled vehicle, drawn by two animals
#46C14943|accident with four-wheeled vehicle, drawn by three animals
#46C14944|accident with four-wheeled vehicle, drawn by more than three animals
#46C14944(...)|accident with four-wheeled vehicle, drawn by more than three animals (with NUMBER of animals)
#46C1495|accident with (farm) wagon, freight wagon, cart
#46C1496|inciting riding-animal or draught-animal ~ accident
#46C14961|prick, goad ~ accident
#46C14962|spur ~ accident
#46C14963|whip ~ accident
#46C1497|accident with diligence, omnibus, horse-tram
#46C1498|accident with animal-drawn sledge (Dutch: 'toeslede')
46C15|rautatieliikenne
#46C151|railway, tramway; rack railway
46C1511|rautatie, juna
#46C15111|freight train
#46C15112|passenger train
#46C1512|tramway, tram
46C15121|raitiovaunu
#46C1513|rack railway
#46C152|locomotive
#46C1521|steam locomotive
#46C1522|diesel locomotive
#46C1523|electric locomotive
#46C1529|other types of locomotive
#46C1529(...)|other types of locomotive (with NAME of type)
#46C153|railway-coach, railway-carriage, wagon
#46C1531|passenger carriage
#46C1532|railway wagon
#46C154|signal system (railway, tramway)
#46C1541|signal-box, signal-station (railway, tramway)
#46C1542|unguarded level-crossing (railway, tramway)
#46C1543|guarded level-crossing (railway, tramway)
#46C1544|signal (railway, tramway)
46C155|rautatieasema
#46C1551|platform (railway, tramway)
#46C1552|waiting room (railway, tramway)
#46C1559|(other) buildings, constructions ~ railway, tramway
#46C15591|depot ~ railway, tramway
46C156|maanalainen, metro
#46C1561|underground station
#46C157|monorail
#46C158|suspension railway
#46C1581|funicular railway
#46C159|railway-accident
#46C1591|accident with railway, tramway; rack railway
#46C1592|accident with locomotive
#46C1593|accident with railway-coach, railway-carriage
#46C1594|signal system (railways) ~ accident
#46C15941|signal-box, signal-station ~ accident
#46C15942|accident on unguarded level-crossing (railways)
#46C15943|accident on guarded level-crossing (railways)
#46C1595|accident in station; shelter (railways)
#46C1596|accident in underground railway
#46C15961|accident in underground station
#46C1597|accident with monorail
#46C1598|accident with suspension railway
#46C15981|accident with funicular railway
46C16|moottoriajoneuvoliikenne
46C161|henkilöauto
#46C1611|three-wheeled automobile, car
46C162|linja-auto, bussi
46C163|kuorma- auto, rekka-auto
#46C164|amphibian vehicle
46C165|moottoripyörä, mopo, mopedi
46C166|muut kuin em. moottoriajoneuvot
46C1661|traktori
#46C167|parts, attachments of a motor vehicle
#46C1671|parts of a motor vehicle
#46C1671(...)|parts of a motor vehicle (with NAME)
#46C168|maintenance, repair, storage ~ motor vehicles
46C1681|huoltoasema
#46C16811|petrol pump
#46C16812|repair shop, garage for repairs, supplies etc.
#46C16813|car wash, car wash machine
#46C1682|parking facilities
#46C16821|parking place, car park
#46C16822|parking garage, parking building, multistorey car park
#46C16823|parking meter
#46C168231|parking attendant, metermaid
46C169|liikenneonnettomuus moottoriajoneuvolla
#46C1691|accident with automobile
#46C16911|accident with three-wheeled automobile, car
#46C1692|accident with bus, coach
#46C1693|accident with truck, van
#46C1694|accident with amphibian vehicle
#46C1695|accident with motor-cycles or other two-wheeled motor-vehicles
#46C17|sailing-car
#46C18|locomotion on snow and ice (non-sport)
#46C181|sleigh, sledge (non-sport)
#46C1811|horse-sleigh
#46C1812|dog-sleigh
46C1813|poro-reki
#46C1814|sledge moved by prickers
#46C182|snow-shoes
#46C183|ice-boat
#46C189|accident on snow or ice
46C19|(ajoneuvon) rengas, pyörä
