0|Abstract, Non-representational Art
11H(MARTYRS OF JAPAN)36|Martyrs of Japan - penitence of male saint
11H(MARTYRS OF JAPAN)37|Martyrs of Japan - male saint meditating, in ecstasy
11H(MARTYRS OF JAPAN)4|Martyrs of Japan - non-miraculous activities and events ~ male saint
11H(MARTYRS OF JAPAN)5|Martyrs of Japan - miraculous activities and events ~ male saint
11H(MARTYRS OF JAPAN)59|Martyrs of Japan - stigmatization of male saint
11H(MARTYRS OF JAPAN)6|martyrdom, suffering, misfortune, death of St. Martyrs of Japan
11H(MARTYRS OF JAPAN)61|near Nagasaki in Japan, twenty-six Franciscan and/or Jesuit friars are crucified and pierced with lances
11H(MARTYRS OF JAPAN)68|martyrdom, suffering, misfortune, death of St. Martyrs of Japan - death, deathbed of male saint
11H(MARTYRS OF JAPAN)69|martyrdom, suffering, misfortune, death of St. Martyrs of Japan - maltreatment of corpse of male saint
11H(MARTYRS OF JAPAN)7|Martyrs of Japan - apotheosis, glory, triumph of male saint
11H(MARTYRS OF JAPAN)8|Martyrs of Japan - post-mortem occurrences ~ male saint
11H(MARTYRS OF JAPAN)81|Martyrs of Japan - finding, transportation of relics of male saint
11H(MARTYRS OF JAPAN)82|Martyrs of Japan - miracles occurring during handling of relics of male saint
11H(MARTYRS OF JAPAN)83|Martyrs of Japan - posthumous deeds, appearances of male saints
11H(MARTYRS OF JAPAN)84|Martyrs of Japan - beatification, canonization of male saint
11H(MARTYRS OF JAPAN)9|Martyrs of Japan - portrait of male saint
11H(MARTYRS OF MAROC)|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand
11H(MARTYRS OF MAROC)0|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - male saint represented in a group
11H(MARTYRS OF MAROC)1|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - specific aspects ~ male saint
11H(MARTYRS OF MAROC)11|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - male saint as patron, protector, intercessor
11H(MARTYRS OF MAROC)119|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - male saint protecting devotees with cloak, 'Schutzmantel'
11H(MARTYRS OF MAROC)12|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(MARTYRS OF MAROC)13|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - male saint as founder of Order
11H(MARTYRS OF MAROC)131|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - male saint ~ confirmation of Order, approval of Rule(s)
11H(MARTYRS OF MAROC)2|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - early life of male saint
11H(MARTYRS OF MAROC)3|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - personal devotion of male saint
11H(MARTYRS OF MAROC)31|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - vocation, conversion of male saint
11H(MARTYRS OF MAROC)32|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - baptism, consecration, taking vows of male saint
11H(MARTYRS OF MAROC)33|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - renouncing worldly goods, ascetic life of male saint
11H(MARTYRS OF MAROC)34|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - vision(s), mystic marriage of male saint
11H(MARTYRS OF MAROC)35|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - temptation of male saint
11H(MARTYRS OF MAROC)36|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - penitence of male saint
11H(MARTYRS OF MAROC)37|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - male saint meditating, in ecstasy
11H(MARTYRS OF MAROC)4|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - non-miraculous activities and events ~ male saint
11H(MARTYRS OF MAROC)5|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - miraculous activities and events ~ male saint
11H(MARTYRS OF MAROC)59|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - stigmatization of male saint
11H(MARTYRS OF MAROC)6|martyrdom, suffering, misfortune, death of St. Martyrs of Maroc
11H(MARTYRS OF MAROC)61|five Franciscan friars (Accursius, Adiutus, Benardus, Otto, and Petrus) are martyred by a sultan, who splits their skulls with a scimitar and beheads them
11H(MARTYRS OF MAROC)68|martyrdom, suffering, misfortune, death of St. Martyrs of Maroc - death, deathbed of male saint
11H(MARTYRS OF MAROC)69|martyrdom, suffering, misfortune, death of St. Martyrs of Maroc - maltreatment of corpse of male saint
11H(MARTYRS OF MAROC)7|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - apotheosis, glory, triumph of male saint
11H(MARTYRS OF MAROC)8|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - post-mortem occurrences ~ male saint
11H(MARTYRS OF MAROC)81|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - finding, transportation of relics of male saint
11H(MARTYRS OF MAROC)82|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - miracles occurring during handling of relics of male saint
11H(MARTYRS OF MAROC)83|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - posthumous deeds, appearances of male saints
11H(MARTYRS OF MAROC)84|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - beatification, canonization of male saint
11H(MARTYRS OF MAROC)9|Martyrs of Maroc; possible attributes: scimitar (sword or sabre) in skull, split skull, sword in hand - portrait of male saint
11H(MARTYRS OF SEBASTE, FORTY)|Forty Martyrs of Sebaste
11H(MARTYRS OF SEBASTE, FORTY)0|Forty Martyrs of Sebaste - male saint represented in a group
11H(MARTYRS OF SEBASTE, FORTY)1|Forty Martyrs of Sebaste - specific aspects ~ male saint
11H(MARTYRS OF SEBASTE, FORTY)11|Forty Martyrs of Sebaste - male saint as patron, protector, intercessor
11H(MARTYRS OF SEBASTE, FORTY)119|Forty Martyrs of Sebaste - male saint protecting devotees with cloak, 'Schutzmantel'
11H(MARTYRS OF SEBASTE, FORTY)12|Forty Martyrs of Sebaste - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(MARTYRS OF SEBASTE, FORTY)13|Forty Martyrs of Sebaste - male saint as founder of Order
11H(MARTYRS OF SEBASTE, FORTY)131|Forty Martyrs of Sebaste - male saint ~ confirmation of Order, approval of Rule(s)
11H(MARTYRS OF SEBASTE, FORTY)2|Forty Martyrs of Sebaste - early life of male saint
11H(MARTYRS OF SEBASTE, FORTY)3|Forty Martyrs of Sebaste - personal devotion of male saint
11H(MARTYRS OF SEBASTE, FORTY)31|Forty Martyrs of Sebaste - vocation, conversion of male saint
11H(MARTYRS OF SEBASTE, FORTY)32|Forty Martyrs of Sebaste - baptism, consecration, taking vows of male saint
11H(MARTYRS OF SEBASTE, FORTY)33|Forty Martyrs of Sebaste - renouncing worldly goods, ascetic life of male saint
11H(MARTYRS OF SEBASTE, FORTY)34|Forty Martyrs of Sebaste - vision(s), mystic marriage of male saint
11H(MARTYRS OF SEBASTE, FORTY)35|Forty Martyrs of Sebaste - temptation of male saint
11H(MARTYRS OF SEBASTE, FORTY)36|Forty Martyrs of Sebaste - penitence of male saint
11H(MARTYRS OF SEBASTE, FORTY)37|Forty Martyrs of Sebaste - male saint meditating, in ecstasy
11H(MARTYRS OF SEBASTE, FORTY)4|Forty Martyrs of Sebaste - non-miraculous activities and events ~ male saint
11H(MARTYRS OF SEBASTE, FORTY)5|Forty Martyrs of Sebaste - miraculous activities and events ~ male saint
11H(MARTYRS OF SEBASTE, FORTY)59|Forty Martyrs of Sebaste - stigmatization of male saint
11H(MARTYRS OF SEBASTE, FORTY)6|martyrdom, suffering, misfortune, death of the Forty Martyrs of Sebaste
11H(MARTYRS OF SEBASTE, FORTY)61|forty Christian Roman soldiers are driven naked on the frozen lake of Sebaste in Armenia
11H(MARTYRS OF SEBASTE, FORTY)68|martyrdom, suffering, misfortune, death of the Forty Martyrs of Sebaste - death, deathbed of male saint
11H(MARTYRS OF SEBASTE, FORTY)69|martyrdom, suffering, misfortune, death of the Forty Martyrs of Sebaste - maltreatment of corpse of male saint
11H(MARTYRS OF SEBASTE, FORTY)7|Forty Martyrs of Sebaste - apotheosis, glory, triumph of male saint
11H(MARTYRS OF SEBASTE, FORTY)8|Forty Martyrs of Sebaste - post-mortem occurrences ~ male saint
11H(MARTYRS OF SEBASTE, FORTY)81|Forty Martyrs of Sebaste - finding, transportation of relics of male saint
11H(MARTYRS OF SEBASTE, FORTY)82|Forty Martyrs of Sebaste - miracles occurring during handling of relics of male saint
11H(MARTYRS OF SEBASTE, FORTY)83|Forty Martyrs of Sebaste - posthumous deeds, appearances of male saints
11H(MARTYRS OF SEBASTE, FORTY)84|Forty Martyrs of Sebaste - beatification, canonization of male saint
11H(MARTYRS OF SEBASTE, FORTY)9|Forty Martyrs of Sebaste - portrait of male saint
11H(MATTHEW)|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword
11H(MATTHEW)0|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - male saint represented in a group
11H(MATTHEW)1|specific aspects ~ St. Matthew
11H(MATTHEW)11|specific aspects ~ St. Matthew - male saint as patron, protector, intercessor
11H(MATTHEW)119|specific aspects ~ St. Matthew - male saint protecting devotees with cloak, 'Schutzmantel'
11H(MATTHEW)12|St. Matthew writing the Gospel, usually the angel present, dictating or assisting him
11H(MATTHEW)121|St. Matthew handing over the Gospel to Christ
11H(MATTHEW)13|specific aspects ~ St. Matthew - male saint as founder of Order
11H(MATTHEW)131|specific aspects ~ St. Matthew - male saint ~ confirmation of Order, approval of Rule(s)
11H(MATTHEW)2|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - early life of male saint
11H(MATTHEW)3|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - personal devotion of male saint
11H(MATTHEW)31|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - vocation, conversion of male saint
11H(MATTHEW)32|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - baptism, consecration, taking vows of male saint
11H(MATTHEW)33|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - renouncing worldly goods, ascetic life of male saint
11H(MATTHEW)34|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - vision(s), mystic marriage of male saint
11H(MATTHEW)35|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - temptation of male saint
11H(MATTHEW)36|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - penitence of male saint
11H(MATTHEW)37|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - male saint meditating, in ecstasy
11H(MATTHEW)4|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - non-miraculous activities and events ~ male saint
11H(MATTHEW)5|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - miraculous activities and events ~ male saint
11H(MATTHEW)59|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - stigmatization of male saint
11H(MATTHEW)6|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - martyrdom, suffering, misfortune, death of male saint
11H(MATTHEW)68|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - death, deathbed of male saint
11H(MATTHEW)69|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - maltreatment of corpse of male saint
11H(MATTHEW)7|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - apotheosis, glory, triumph of male saint
11H(MATTHEW)8|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - post-mortem occurrences ~ male saint
11H(MATTHEW)81|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - finding, transportation of relics of male saint
11H(MATTHEW)82|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - miracles occurring during handling of relics of male saint
11H(MATTHEW)83|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - posthumous deeds, appearances of male saints
11H(MATTHEW)84|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - beatification, canonization of male saint
11H(MATTHEW)9|the apostle and evangelist Matthew (Mattheus); possible attributes: angel, axe, book, halberd, pen and inkhorn, purse, scroll, square, sword - portrait of male saint
11H(MATTHIAS)|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword
11H(MATTHIAS)0|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - male saint represented in a group
11H(MATTHIAS)1|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - specific aspects ~ male saint
11H(MATTHIAS)11|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - male saint as patron, protector, intercessor
11H(MATTHIAS)119|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - male saint protecting devotees with cloak, 'Schutzmantel'
11H(MATTHIAS)12|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(MATTHIAS)13|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - male saint as founder of Order
11H(MATTHIAS)131|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - male saint ~ confirmation of Order, approval of Rule(s)
11H(MATTHIAS)2|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - early life of male saint
11H(MATTHIAS)3|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - personal devotion of male saint
11H(MATTHIAS)31|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - vocation, conversion of male saint
11H(MATTHIAS)32|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - baptism, consecration, taking vows of male saint
11H(MATTHIAS)33|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - renouncing worldly goods, ascetic life of male saint
11H(MATTHIAS)34|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - vision(s), mystic marriage of male saint
11H(MATTHIAS)35|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - temptation of male saint
11H(MATTHIAS)36|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - penitence of male saint
11H(MATTHIAS)37|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - male saint meditating, in ecstasy
11H(MATTHIAS)4|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - non-miraculous activities and events ~ male saint
11H(MATTHIAS)5|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - miraculous activities and events ~ male saint
11H(MATTHIAS)59|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - stigmatization of male saint
11H(MATTHIAS)6|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - martyrdom, suffering, misfortune, death of male saint
11H(MATTHIAS)68|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - death, deathbed of male saint
11H(MATTHIAS)69|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - maltreatment of corpse of male saint
11H(MATTHIAS)7|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - apotheosis, glory, triumph of male saint
11H(MATTHIAS)8|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - post-mortem occurrences ~ male saint
11H(MATTHIAS)81|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - finding, transportation of relics of male saint
11H(MATTHIAS)82|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - miracles occurring during handling of relics of male saint
11H(MATTHIAS)83|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - posthumous deeds, appearances of male saints
11H(MATTHIAS)84|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - beatification, canonization of male saint
11H(MATTHIAS)9|the apostle and martyr Matthias; possible attributes: axe, book, cross, halberd, scroll, sword - portrait of male saint
11H(MAURICE)|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross)
11H(MAURICE)0|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - male saint represented in a group
11H(MAURICE)1|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - specific aspects ~ male saint
11H(MAURICE)11|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - male saint as patron, protector, intercessor
11H(MAURICE)119|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - male saint protecting devotees with cloak, 'Schutzmantel'
11H(MAURICE)12|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(MAURICE)13|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - male saint as founder of Order
11H(MAURICE)131|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - male saint ~ confirmation of Order, approval of Rule(s)
11H(MAURICE)2|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - early life of male saint
11H(MAURICE)3|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - personal devotion of male saint
11H(MAURICE)31|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - vocation, conversion of male saint
11H(MAURICE)32|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - baptism, consecration, taking vows of male saint
11H(MAURICE)33|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - renouncing worldly goods, ascetic life of male saint
11H(MAURICE)34|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - vision(s), mystic marriage of male saint
11H(MAURICE)35|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - temptation of male saint
11H(MAURICE)36|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - penitence of male saint
11H(MAURICE)37|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - male saint meditating, in ecstasy
11H(MAURICE)4|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - non-miraculous activities and events ~ male saint
11H(MAURICE)5|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - miraculous activities and events ~ male saint
11H(MAURICE)59|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - stigmatization of male saint
11H(MAURICE)6|martyrdom, suffering, misfortune, death of St. Maurice
11H(MAURICE)61|St. Maurice and his companions of the Theban Legion refuse to worship pagan statues
11H(MAURICE)62|St. Maurice and his companions are beheaded (sometimes St. Maurice in discussion with his companions before the martyrdom)
11H(MAURICE)63|the massacre of the Theban Legion
11H(MAURICE)68|martyrdom, suffering, misfortune, death of St. Maurice - death, deathbed of male saint
11H(MAURICE)69|martyrdom, suffering, misfortune, death of St. Maurice - maltreatment of corpse of male saint
11H(MAURICE)7|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - apotheosis, glory, triumph of male saint
11H(MAURICE)8|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - post-mortem occurrences ~ male saint
11H(MAURICE)81|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - finding, transportation of relics of male saint
11H(MAURICE)82|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - miracles occurring during handling of relics of male saint
11H(MAURICE)83|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - posthumous deeds, appearances of male saints
11H(MAURICE)84|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - beatification, canonization of male saint
11H(MAURICE)9|the warrior martyr Maurice (Mauritius) of Agaunum, commander of the Theban Legion; possible attributes: banner, lance, shield (with trefoil cross) - portrait of male saint
11H(NICHOLAS OF TOLENTINO)|the Augustine hermit, Nicholas of Tolentino; possible attributes: book, crucifix, (entwined with lilies), lily, (basket with) loaves, two doves (on a dish or flying away), star (on his breast)
11H(NICHOLAS OF TOLENTINO)0|the Augustine hermit, Nicholas of Tolentino; possible attributes: book, crucifix, (entwined with lilies), lily, (basket with) loaves, two doves (on a dish or flying away), star (on his breast) - male saint represented in a group
11H(NICHOLAS OF TOLENTINO)1|specific aspects ~ St. Nicholas of Tolentino
11H(NICHOLAS OF TOLENTINO)11|St. Nicholas of Tolentino as patron, intercessor
11H(NICHOLAS OF TOLENTINO)111|St. Nicholas of Tolentino as plague patron: with his hand he stops the arrows sent down by God or an angel
11H(NICHOLAS OF TOLENTINO)112|St. Nicholas of Tolentino interceding for the souls in purgatory
11H(NICHOLAS OF TOLENTINO)119|St. Nicholas of Tolentino as patron, intercessor - male saint protecting devotees with cloak, 'Schutzmantel'
11H(NICHOLAS OF TOLENTINO)12|specific aspects ~ St. Nicholas of Tolentino - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(NICHOLAS OF TOLENTINO)13|specific aspects ~ St. Nicholas of Tolentino - male saint as founder of Order
11H(NICHOLAS OF TOLENTINO)131|specific aspects ~ St. Nicholas of Tolentino - male saint ~ confirmation of Order, approval of Rule(s)
11H(NICHOLAS OF TOLENTINO)2|the Augustine hermit, Nicholas of Tolentino; possible attributes: book, crucifix, (entwined with lilies), lily, (basket with) loaves, two doves (on a dish or flying away), star (on his breast) - early life of male saint
11H(NICHOLAS OF TOLENTINO)3|personal devotion of St. Nicholas of Tolentino
11H(NICHOLAS OF TOLENTINO)31|personal devotion of St. Nicholas of Tolentino - vocation, conversion of male saint
11H(NICHOLAS OF TOLENTINO)32|personal devotion of St. Nicholas of Tolentino - baptism, consecration, taking vows of male saint
11H(NICHOLAS OF TOLENTINO)33|personal devotion of St. Nicholas of Tolentino - renouncing worldly goods, ascetic life of male saint
11H(NICHOLAS OF TOLENTINO)34|Mary appears to St. Nicholas of Tolentino on his sick-bed, offering him a loaf (he changes the loaf into roses)
11H(NICHOLAS OF TOLENTINO)35|personal devotion of St. Nicholas of Tolentino - temptation of male saint
11H(NICHOLAS OF TOLENTINO)36|personal devotion of St. Nicholas of Tolentino - penitence of male saint
11H(NICHOLAS OF TOLENTINO)37|personal devotion of St. Nicholas of Tolentino - male saint meditating, in ecstasy
11H(NICHOLAS OF TOLENTINO)4|non-miraculous activities and events ~ St. Nicholas of Tolentino
11H(NICHOLAS OF TOLENTINO)41|St. Nicholas distributes bread among the sick
11H(NICHOLAS OF TOLENTINO)5|miraculous activities and events ~ St. Nicholas of Tolentino
11H(NICHOLAS OF TOLENTINO)51|miraculous healings of St. Nicholas of Tolentino
11H(NICHOLAS OF TOLENTINO)52|St. Nicholas of Tolentino, on his sick-bed, refuses a dish of roast birds; he restores them to life and they fly away
11H(NICHOLAS OF TOLENTINO)53|St. Nicholas of Tolentino holding up a hanged man
11H(NICHOLAS OF TOLENTINO)54|St. Nicholas of Tolentino saving a ship from shipwreck
11H(NICHOLAS OF TOLENTINO)59|miraculous activities and events ~ St. Nicholas of Tolentino - stigmatization of male saint
11H(NICHOLAS OF TOLENTINO)6|the Augustine hermit, Nicholas of Tolentino; possible attributes: book, crucifix, (entwined with lilies), lily, (basket with) loaves, two doves (on a dish or flying away), star (on his breast) - martyrdom, suffering, misfortune, death of male saint
11H(NICHOLAS OF TOLENTINO)68|the Augustine hermit, Nicholas of Tolentino; possible attributes: book, crucifix, (entwined with lilies), lily, (basket with) loaves, two doves (on a dish or flying away), star (on his breast) - death, deathbed of male saint
11H(NICHOLAS OF TOLENTINO)69|the Augustine hermit, Nicholas of Tolentino; possible attributes: book, crucifix, (entwined with lilies), lily, (basket with) loaves, two doves (on a dish or flying away), star (on his breast) - maltreatment of corpse of male saint
11H(NICHOLAS OF TOLENTINO)7|the Augustine hermit, Nicholas of Tolentino; possible attributes: book, crucifix, (entwined with lilies), lily, (basket with) loaves, two doves (on a dish or flying away), star (on his breast) - apotheosis, glory, triumph of male saint
11H(NICHOLAS OF TOLENTINO)8|the Augustine hermit, Nicholas of Tolentino; possible attributes: book, crucifix, (entwined with lilies), lily, (basket with) loaves, two doves (on a dish or flying away), star (on his breast) - post-mortem occurrences ~ male saint
11H(NICHOLAS OF TOLENTINO)81|the Augustine hermit, Nicholas of Tolentino; possible attributes: book, crucifix, (entwined with lilies), lily, (basket with) loaves, two doves (on a dish or flying away), star (on his breast) - finding, transportation of relics of male saint
11H(NICHOLAS OF TOLENTINO)82|the Augustine hermit, Nicholas of Tolentino; possible attributes: book, crucifix, (entwined with lilies), lily, (basket with) loaves, two doves (on a dish or flying away), star (on his breast) - miracles occurring during handling of relics of male saint
