5|Abstraktní myšlenky a pojmy
71P4|doplňky k příběhu o Danielovi
71P41|příběh o Zuzaně a starcích (v němž mladík Daniel zasahuje ve prospěch Zuzany) (Daniel 13)
71P411|Zuzana, Joakimova žena, se prochází po zahradě; oba starší ji špehují
71P412|Zuzana se koupe, obvykle v kašně nebo v její blízkosti, někdy v doprovodu dvou služebných
71P4121|starší špehují Susannu
71P4122|starší dělají Susanně návrhy
71P413|starší obviňují Zuzanu před lidem, vkládají jí ruce na hlavu nebo ji odhalují
71P4131|Zuzana o samotě se modlí k Pánu
71P4132|Susanna je odvedena na popravu
71P414|mladík Daniel nesouhlasí s rozsudkem nad Susannou
71P4141|Daniel vyslýchá starší zvlášť
71P4142|Daniel odhaluje starší jako podvodníky
71P415|starší jsou ukamenováni ~ příběh Zuzany
71P416|Susanna, Joakim, její rodiče a příbuzní chválí Pána
71P42|příběh o Belově obrazu (Daniel 14:1-22)
71P421|Daniel, který odmítá uctívat Béla, diskutuje s králem Kýrem o moci tohoto boha
71P4211|Daniel diskutuje s králem Kýrem za přítomnosti Bélových kněží
71P422|Král Kýros položí jídlo před Bělův obraz; Daniel a jeho služebníci posypou podlahu chrámu popelem
71P423|dveře chrámu jsou zapečetěny ~ příběh obrazu Belova
71P424|belovi kněží se svými ženami a dětmi vstupují do chrámu skrytou chodbou a v noci hodují na jídle
71P425|Král Kýros chválí Béla, protože jídlo v chrámu zmizelo
71P4251|Daniel ukazuje králi Kýrovi stopy Bélových kněží a jejich příbuzných
71P426|bélovi kněží a jejich příbuzní jsou zatčeni; poté jsou usmrceni
71P427|Daniel zničí Belův chrám a jeho obraz
71P43|příběh o drakovi (Daniel 14,23-41)
71P431|Daniel a král Kýros diskutují o božské moci draka
71P4311|Daniel dává drakovi potravu; král Kýros se dívá
71P432|drak praskne poté, co ho Daniel nakrmí
71P433|Danielův trest a osvobození: Daniel v jámě lvové ~ král Kýros
71P4331|Král Kýros je nucen vydat Daniela rozzuřenému lidu
71P4332|Daniel je uvržen do jámy lvové ~ Král Kýros
71P4333|prorok Habakuk, kterého anděl nese za vlasy, přináší jídlo Danielovi, který sedí bez úhony mezi lvy
71P4334|Král Kýros navštíví jámu lvovou a najde Daniela živého
71P4335|Daniel je vysvobozen z jámy lvové ~ král Kýros
71P4336|Danielovi žalobci jsou vhozeni do jámy a sežráni lvy ~ král Kýros
71P5|Danielova vidění (Daniel může být zobrazen, jak mu jeho vidění vysvětluje např. archanděl Gabriel)
71P51|Daniel's first vision (Daniel 7)
71P511|čtyři velké šelmy vystupující z moře ~ Danielova vidění
71P5111|lev s orlími křídly (gryf), stojící na zadních nohách ~ Danielova vidění
71P5112|medvěd se třemi řadami zubů, který se zvedá na zadní nohy ~ Danielovy vize
71P5113|leopard se čtyřmi ptačími křídly a čtyřmi hlavami ~ Danielova vidění
71P5114|velký požírající netvor s mnoha rohy (jeden z nich s očima) ~ Danielova vidění
71P512|starý dnů, v bílém rouchu, na ohnivém trůnu ~ Danielova vidění
71P5121|oheň vychází z trůnu a přemáhá šelmy ~ Danielova vidění
71P513|syn člověka (Kristus) před trůnem Starého dnů
71P52|druhé Danielovo vidění (Daniel 8): archanděl Gabriel vysvětluje vidění
71P521|beran se dvěma nestejnými rohy u řeky ~ Danielovy vize
71P522|kozel s rohem mezi očima ~ Danielova vidění
71P523|kozel bojuje s beranem a zabíjí ho ~ Danielovy vize
71P5231|kozel "se velmi rozrostl" ~ Danielova vidění
71P53|třetí Danielovo vidění (Daniel 9): archanděl Gabriel vysvětluje Danielovi význam "sedmdesáti týdnů"
71P531|Daniel praying
71P54|čtvrté Danielovo vidění u řeky Hiddekel (Daniel 10-12)
71P541|Daniel truchlí a postí se
71P542|Daniel vidí, jak se na řece objevuje muž oděný v plátně; jeho společníci vidění nevidí, ale cítí, jak se země třese, a v hrůze prchají
71P543|Daniel omdlí; utěší ho muž (anděl), který se dotkne Danielových rtů
71P544|dva muži na obou stranách řeky se připojí k muži oblečenému v plátně, který stojí na vodě ~ Danielovo vidění
71P6|prorocké pasáže v knize Daniel
71P6(...)|prorocké pasáže v knize Daniel (s KAPITOLOU KNIHY:VERŠ)
71P6(Dan. 12:1)|archanděl Michael, který vysvobodí Izraelity ~ prorocké pasáže v knize Daniel
71Q|příběh Ester
71Q1|mordokajův sen: objevují se dva bojující draci, spravedlivý národ má být napaden zlými národy a malý pramen se mění ve velkou řeku (Ester 11,2-12)
71Q2|Esther becomes queen (Esther 1 - 2:20)
71Q21|achašverošova hostina (Xerxes, alternativně Artaxerxes); pád královny Vašti (Astin)
71Q211|Královna Vašti (Astin) pořádá hostinu pro ženy ~ příběh Ester
71Q212|Achašveroš nařizuje svým sedmi eunuchům, aby přivedli královnu Vašti
71Q2121|Královna Vašti odmítá přijít ke králi Achašveróšovi
71Q213|Král Achašveróš se rozzlobí na svou ženu Vašti a požádá své dvořany o radu: Memukan (Muchaeus) navrhuje královnu sesadit
71Q2131|Queen Vashti is deposed
71Q22|Achašveróš nechává do svého harému umístit nejpřitažlivější dívky svého království, aby si z nich vybral novou královnu ~ příběh Ester
71Q221|mnoho dívek je přivedeno do paláce v Súsách a svěřeno do péče Hegaje (Gaje); mezi nimi je i Ester, Mordokajova pěstounka
71Q222|Ester se dostává zvláštního zacházení v ženských pokojích Achašveróšova paláce
71Q23|dívky (z nichž jedna má být zvolena královnou) jsou odvedeny ke králi Achašveróšovi
71Q231|Esther makes her toilet
71Q232|Ester na cestě ke králi Achašveróšovi
71Q233|Ester je představena králi Achašveróšovi
71Q2331|Král Achašveroš miluje Ester víc než ostatní dívky
71Q24|korunovace Ester
71Q241|svatební hostina, Esterina hostina
71Q3|Mordecai prevents King Ahasuerus' assassination (Esther 2:21-23)
71Q31|Mordokaj na nádvoří
71Q32|dva z eunuchů krále Achašveróše, kteří hlídají vchod na nádvoří, zosnují plán na Achašveróšovo zabití; dozví se o tom Mordokaj
71Q321|mordokaj při odpočinku na nádvoří zaslechne, jak oba muži spřádají plány na smrt krále Achašveróše (Ester 12,1-3)
71Q33|Mordokaj odhalí Ester zradu
71Q331|Mordokaj udává králi Achašveróšovi oba eunuchy (Ester 12:2)
71Q34|Esther informs King Ahasuerus
71Q35|Achašveróš odsuzuje zrádce
71Q351|Ahasuerus' traitors are hanged
71Q36|o spiknutí proti králi Achašveróšovi se píše v kronice království
71Q37|Mordokaj dostává za své služby místo u dvora; Haman se rozhodne pomstít oba dvořany (Ester 12,6)
71Q4|Hamanovo spiknutí proti Židům (Ester 3)
71Q41|Haman's promotion
71Q42|všichni se Hamanovi klaní, kromě Mordechaje
71Q43|Hamanův hněv: rozhodne se zabít všechny Židy v království
71Q44|losuje se, aby se zjistil správný den pro uskutečnění Hamanova spiknutí proti Židům
71Q45|Haman prosí Achašveróše, aby vydal dekret, že všichni Židé mají být usmrceni; Achašveróš souhlasí a odevzdá Hamanovi svůj pečetní prsten
71Q46|je vydán královský dekret a rozeslán po celé zemi ~ Hamanovo spiknutí proti Židům
71Q5|Mordecai asks Esther's help
71Q51|Mordokaj roztrhá svůj oděv, přikryje se žíněmi a popelem, prochází městem a hořce naříká a zastaví se před vchodem do paláce
71Q511|židé truchlí po celém království
71Q52|Esther sends Mordecai some clothes; he refuses them
71Q53|Ester posílá Hatacha k Mordokajovi, aby zjistil, co se děje; Hatach je několikrát poslán od jednoho k druhému
71Q531|Mordokaj dává Hatachovi opis dekretu a prosí Ester, aby šla ke králi
71Q532|Hatach podává zprávu Ester
71Q5321|Ester čte dekret
71Q54|Mordokaj shromáždí Židy k půstu a modlitbám
71Q541|Mordecai praying (Esther 13:8-17)
71Q55|esteřin smutek, modlitba a trápení (Ester 14)
71Q56|Ester si obléká královské roucho (Ester 5:1, 15:1-2)
71Q561|Ester odchází se dvěma služkami (Ester 15:2-5)
71Q6|Esther before Ahasuerus (Esther 5:1-4)
71Q61|Ester prochází palácem na cestě ke králi Achašveróšovi (Ester 15,6)
71Q62|Ester se blíží k trůnu
71Q63|Ester omdlí na rameni jedné ze svých služebných (Ester 15:7)
71Q631|Achašveróš seskočí z trůnu a vezme Ester do náruče (Ester 15,8)
71Q64|Achašveróš podává Ester žezlo (Ester obvykle klečí)
71Q641|Ester se dotkne špičky žezla
71Q642|Achašveróš se dotkne Ester žezlem (Ester 15:12)
71Q643|Ester líbá Achašveróšovo žezlo
71Q7|Esteriny hostiny a Mordokajův triumf (Ester 5:5 - 7:10)
71Q71|Esterina první hostina: Achašveróš a Haman jsou Esteřinými hosty; pozve je na druhou hostinu
71Q711|Haman se po odchodu z hostiny setkává s Mordokajem u vchodu do paláce; ten mu odmítá projevit jakýkoli náznak úcty
71Q712|doma se Haman chlubí své ženě a přátelům svými úspěchy, ale stěžuje si na Mordechaje
71Q713|na radu své ženy a přátel nechá Haman pro Mordechaje postavit šibenici
71Q72|Achašveróš je nevyspalý a dává si přečíst soudní protokoly
71Q721|Král Achašveróš se ptá Hamana, jak uctít muže, kterého chce odměnit
71Q7211|Hamanovo rozčarování: Achašveróš nařizuje, aby byly Mordokajovi propůjčeny královské šaty a jeho kůň
71Q73|Mordokajův triumf: Mordokaj na královském koni je veden Hamanem přes město (Ester a Achašveróš se mohou dívat z paláce)
71Q731|haman si doma stěžuje na svou nepohodu; eunuchové krále Achašveróše pro něj přicházejí na Esterinu hostinu
71Q74|Esther's banquet
71Q741|Esther accuses Haman
71Q7411|Král Achašveróš se rozzuřeně zvedá a odchází do palácové zahrady
71Q742|Haman prosí Ester o život
71Q7421|když Haman klečí u Esteriných nohou nebo je rozkročen na její pohovce, král Achašveróš se vrací; Haman je odsouzen k oběšení
71Q75|Haman na šibenici
71Q8|vítězství Židů (Ester 8,1 - 10,3)
71Q81|Mordecai before Ahasuerus, who gives him his signet-ring
71Q82|Ester prosí Achašveróše: padá králi k nohám a žádá ho, aby zrušil dekret proti Židům; král jí podává žezlo (Ester může držet dekret)
71Q83|Mordokaj a Ester píší dopisy jménem krále Achašveróše
71Q831|příkazy sepsané Mordokajem a Ester jsou odeslány a zveřejněny
71Q84|židé se radují a hodují
71Q841|mnoho pohanů se obrátilo ~ příběh Ester
71Q85|židé pobíjejí své nepřátele; také deset Hamanových synů, jejichž těla jsou pověšena na šibenici
71Q86|je ustanoven svátek Purim ~ příběh Ester
71Q87|Mordecai's advancement
71Q9|Mordokaj si vzpomíná na svůj sen a vysvětluje jeho obsah ve světle událostí, které se staly (Ester 10,4-13)
71QQ74|Esther's banquet - QQ - Mordecai present
71QQ741|Esther accuses Haman - QQ - Mordecai present
71QQ7411|Král Achašveroš se rozzuřeně zvedne a jde do palácové zahrady - QQ - Mordokaj přítomen
71QQ742|Haman prosí Ester o život - QQ - Mordokaj přítomen
71QQ7421|když Haman klečí u Esteriných nohou nebo je rozkročen na její pohovce, král Achašveróš se vrací; Haman je odsouzen k oběšení - QQ - Mordokaj přítomen
71R|knihy Ezdráš, Nehemiáš a Esdras
71R1|návrat z babylonského zajetí
71R11|Perský král Kýros ukončil babylonské zajetí (Ezdráš 1)
71R111|Bůh promlouvá ke Kýrovi
71R112|Kýros vyhlašuje konec babylonského zajetí a nařizuje postavit v Jeruzalémě chrám
71R113|židé dostali mnoho cenných předmětů ~ návrat z babylonského zajetí
71R114|Kýros vrací jeruzalémskému chrámu nádoby, které odnesl Nabukadnezar
71R115|židé se pod vedením Šešbazara (Zerubábela) vracejí do své země
71R12|přestavba chrámu (Ezdráš 3)
71R121|Zerubábel a velekněz Ješua (Jozue) postavili oltář a pálili oběti pod širým nebem
71R122|položení základů chrámu ~ kniha Ezdrášova
71R123|obřady na počest dokončení stavby chrámu ~ kniha Ezdrášova
71R124|starší truchlí za dřívější chrám ~ kniha Ezdrášova
71R13|samaritáni mají námitky proti obnově chrámu (Ezdráš 4-5)
71R131|Zerubábel a Jéšua (Jozue) odmítají nechat Samaritány pomáhat při obnově chrámu
71R132|samaritáni píší dopis perskému králi Artaxerxovi
71R133|Artaxerxes zastavuje přestavbu chrámu
71R134|zerubábel a Ješua se na popud proroků Aggea a Zachariáše znovu pustili do obnovy chrámu
71R135|perský místodržící Tatnai nesouhlasí s obnovením přestavby chrámu
71R14|Perský král Dareios povoluje obnovu chrámu (Ezdráš 6,1-12; 1. Esdras 3-4)
71R141|dareiova hostina
71R142|souboj tří gardistů v ložnici krále Dareia
71R1421|první gardista říká (píše), že víno je nejsilnější ze všech věcí ~ soutěž tří gardistů
71R1422|druhý gardista říká (píše), že král je nejsilnější ~ soutěž ze tří gardistů
71R1423|Zerubábel, třetí gardista, říká (píše), že ženy jsou nejsilnější ~ soutěž tří gardistů
71R14231|Apamene, konkubína krále Dareia, sundá z královy hlavy korunu, nasadí si ji na hlavu a levou rukou udeří Dareia do tváře
71R1424|Zerubábel říká (píše), že pravda je nejsilnější ze všech věcí ~ soutěž tří gardistů
71R143|Zerubábel v soutěži vítězí a žádá Dareia o povolení obnovit jeruzalémský chrám
71R144|Dareios dává Zerubábelovi povolení k obnově chrámu
71R1441|Dareiův dekret o povolení
71R15|obnovení přestavby chrámu (Ezdráš 6,13-22)
71R151|dostavba chrámu ~ kniha Ezdrášova
71R152|zasvěcení chrámu ~ kniha Ezdrášova
71R153|první pesach se slaví v novém chrámu ~ kniha Ezdrášova
71R2|ezdrášův návrat a reformy
71R21|ezdrášův návrat (Ezdráš 7-8)
71R211|osvobození zajatci se shromáždili u řeky ~ Ezdrášův návrat
71R212|levité se připojují ke skupině osvobozených zajatců ~ Ezdrášův návrat
71R213|levité a propuštění zajatci se postí, aby hledali Boží pomoc
71R214|Ezdráš rozdělil poklady mezi přední kněze
71R215|cesta navrátivších se zajatců pod Ezdrášovým vedením
71R216|příchod Ezdráše a jeho mužů do Jeruzaléma
71R2161|poklady jsou předány kněžím v Jeruzalémě; kněží poklady zváží ~ Ezdrášův návrat
71R2162|navrátivší se zajatci přinášejí oběti Hospodinu ~ kniha Ezdrášova
71R217|Ezdráš a Dareios sledují obnovu chrámu
71R218|Ezra appoints judges
71R22|Ezra's reforms (Ezra 9-10)
71R221|židé s cizími manželkami ~ Ezdrášovy reformy
71R2211|židovští vůdci si přišli stěžovat Ezdrášovi
71R222|Ezra tears his clothes
71R223|Ezdráš se o samotě modlí
71R2231|Ezdráš se modlí obklopen velkým zástupem Židů
71R224|šechanjášova řeč
71R225|židé skládají přísahu, že odloží své cizí ženy
71R226|Ezdráš truchlí a postí se
71R227|všichni Židé jsou shromážděni v Jeruzalémě za deště; Ezdráš káže a varuje před smíšenými manželstvími
71R2271|smíšená manželství jsou vyšetřována ~ Ezdrášovy reformy
71R228|židé posílají pryč své cizí ženy i s dětmi
71R229|Ezdráš předčítá lidu Zákon (Nehemiáš 8,1-8; 1. Mojžíšova 9,38-49)
71R3|kniha Nehemiáš (2 Ezdráš)
71R31|Nehemiášův návrat do Jeruzaléma (Nehemiáš 1 - 2,11)
71R311|Nehemiáše navštíví jeho bratr Chanani
71R312|Nehemjáš truchlí a postí se
71R313|Nehemiáš v modlitbě
71R314|Nehemiáš dává králi víno; král se ptá na příčinu Nehemiášova smutku
71R3141|Nehemiáš pokleká před králem a královnou
71R3142|Nehemiáš v královské ložnici
71R315|Nehemiáš dostává povolení jít do Jeruzaléma
71R316|Nehemiáš se vrací do Jeruzaléma v doprovodu jezdců a velitelů vojska
71R32|obnovu jeruzalémských hradeb (Nehemiáš 2:12 - 4; 6)
71R321|Nehemiášova noční návštěva jeruzalémských hradeb
71R322|Nehemiáš nabádá Židy, aby obnovili jeruzalémské hradby
71R323|židé obnoví jeruzalémské hradby
71R3231|židé se zbraněmi v rukou obnovili jeruzalémské hradby
71R324|protivníci obnovy jeruzalémských hradeb
71R3241|Sanbalat a Amónovec Tóbijáš se vysmívají dělníkům
71R3242|Sanbalat a Tobiáš se spikli proti Jeruzalému
71R3243|sanbalatovi a Tobiášovi poslové zvou Nehemiáše na schůzku; Nehemiáš odmítá
71R3244|Šemajáš radí Nehemjášovi, aby se ukryl v chrámu; Nehemjáš odhalí spiknutí
71R3245|false prophets speak against Nehemiah
71R325|dokončení obnovy jeruzalémských hradeb
71R326|slavnostní posvěcení jeruzalémských hradeb (Nehemiáš 12,27-43)
71R33|Nehemiáš chrání chudé (Nehemiáš 5)
71R331|chudí Židé si stěžují Nehemjášovi na lichvu a otroctví ze strany šlechty
71R332|Nehemiáš šlechtice pokárá
71R333|šlechtici a kněží přísahají, že vrátí neprávem nárokované zboží
71R334|Nehemiah shakes out his garment
71R335|daily meals organized by Nehemiah
71R34|Nehemiah's reforms (Nehemiah 8-10, 13)
71R341|Nehemiáš promlouvá k lidu
71R342|lid se raduje a hoduje ~ Nehemjášovy reformy
71R343|svátek stánků ~ Nehemiáš
71R344|den smutku ~ Nehemiášovy reformy
71R3441|Ezdrášova modlitba pokání
71R345|smlouva o dodržování Zákona ~ Nehemiášovy reformy
71R346|komnata v chrámu, která byla zřízena pro Tobiáše, je vyprázdněna a vyčištěna
71R347|zásoby levitů se zvětšily
71R348|Nehemiáš nabádá Židy, aby neporušovali sobotu
71R3481|o sobotě jsou kupci drženi mimo hradby; Nehemiáš je pokárá
71R349|Nehemiah warns against mixed marriages
71R4|druhá kniha Esdrasova (4 Ezdrášova)
71R41|Ezdráš a archanděl Uriel (2. Esdras 4:1)
71R42|Ezra plucks out his hair (2 Esdras 1:8)
71R43|Ezdrášovo vidění orla a lva (2 Esd 11-12)
71R44|Ezdráš dostal příkaz psát proroctví (2. Esdráš 15,1-2)
71R5|další scény z Ezdráše a Esdráše
71R5(...)|další scény z Ezdráše a Esdráše (s KNIHOU KAPITOLA:VERŠ)
71S|proroci (po babylonském zajetí)
71S1|kniha Ageus
71S11|Aggeus na Boží popud nabádá Zerubábela a Jozua, aby pokračovali ve stavbě chrámu (Aggeus 1:1-11)
71S111|starý jeruzalémský chrám leží ladem ~ kniha Ageus
71S112|(Aggeus) řezání dřeva pro chrám
71S113|protože Hospodinův dům není obnoven, země je sužována suchem
71S12|kněží Zorobábel a Jozue a jeruzalémský lid postavili nový chrám (Aggeus 1:14)
71S13|Haggai's prophecies
71S13(...)|Aggeovo proroctví (s KAPITOLA KNIHY:VERŠ)
71S2|kniha Zachariášova
71S21|Zachariáš je povolán Hospodinem, aby prorokoval (Zachariáš 1,1)
71S22|zachariášova vidění, která mu vysvětlil Hospodinův anděl
71S221|muž jedoucí na rudém koni mezi myrtovými stromy; za ním koně rudí, strakatí a bílí (Zachariáš 1,8-17)
71S222|four horns (Zechariah 1:18-19)
71S223|čtyři tesaři (nebo kováři) (Zachariáš 1:20-21)
71S224|muž s měřicí šňůrou (Zachariáš 2,1-5)
71S225|Jozue, velekněz, s andělem Hospodinovým a Satanem (Zachariáš 3)
71S2251|Jozue znovu oblečený ~ Zachariášovy vize
71S2252|větev ~ Zachariášovy vize
71S2253|kámen se sedmi očima ~ Zachariášova vidění
71S226|zlatý svícen s miskou na vrcholu a sedmi lampami, po obou stranách olivovník (Zachariáš 4)
71S227|létající svitek (Zachariáš 5,1-4)
71S228|koš (efa) s olověným poklopem (Zachariáš 5:5-11)
71S2281|žena v koši ~ Zachariášovy vize
71S2282|dvě ženy s křídly zvedající koš ~ Zachariášovy vize
71S229|čtyři vozy (s červenými, černými, bílými, žíhanými a hřivnatými koňmi) vyjíždějící ze dvou měděných hor (Zachariáš 6:1-8)
71S23|Zechariah's prophecies
71S231|proroctví o králi, který přijede do Jeruzaléma na oslu (Zachariáš 9:9)
71S232|stádo porážky (Zachariáš 11,4-11)
71S2321|Zachariáš odlévá stříbrňáky hrnčíři v Hospodinově domě (Zachariáš 11:13)
71S233|pokání Jeruzaléma (Zachariáš 12,10-14)
71S234|meč zabije pastýře a ovce se rozprchnou (Zachariáš 13:7)
71S235|dvě části lidu zemřou, třetí část bude zachráněna (Zachariáš 13,8-9)
71S236|každý hrnec v Jeruzalémě bude svatý (Zachariáš 14:21)
71S237|další Zachariášova proroctví
71S237(...)|další Zachariášova proroctví (s KAPITOLOU KNIHY:VERŠ)
71S24|Zachariáš ukamenován k smrti
71S3|kniha Obadjáš
71S31|Obadjáš prorokuje v Edómu
71S32|Obadiah's prophecies
71S32(...)|Obadjášova proroctví (s kapitolou KNIHA:VERŠ)
71S4|kniha Malachiášova
71S41|Malachi preaching
71S411|Malachiáš odsuzuje praxi přinášení znečištěného jídla jako oběti (Malachiáš 1:6-14)
71S412|Malachiáš odsuzuje zkaženost kněží (Malachiáš 2:1-9)
71S42|Malachi's prophecies
71S421|Malachiášovo proroctví o příchodu Hospodinova posla do chrámu (Malachiáš 3,1-3)
71S422|další Malachiášova proroctví
71S422(...)|další Malachiášova proroctví (s KNIHOU KAPITOLA:VERŠ)
71S5|kniha Joelova
71S51|Joel preaching
71S511|"Co zanechala palmerworm, to sežrala kobylka" (Joel 1:4)
71S512|"zpustošil můj vinný kmen a zničil mé fíkovníky" (Joel 1:7)
71S513|v chrámu nejsou žádné oběti (Joel 1:9)
71S514|Joel říká kněžím, aby se přepásali a naříkali (Joel 1:13)
71S52|Joel's prophecies
71S521|"zatrubte na Sijónu" (Joel 2:1-2)
71S522|"Z hor bude kapat sladké víno a z pahorků mléko" (Joel 3,18)
71S523|další Joelova proroctví
71S523(...)|další Joelova proroctví (s KNIŽNÍ KAPITOLA:VERŠ)
71S6|kniha Báruchova
71S61|baruchova proroctví
71S61(...)|baruchova proroctví (s KNIHOU KAPITOLA:VERŠ)
71S62|Baruchova kniha se čte nahlas v Babylonu (Baruch 1,1-4)
71S621|sbírka peněz pro Jeruzalém (Baruch 1:6)
71S63|Báruk přináší do Jeruzaléma sbírku peněz (Báruk 1,7-14)
71S64|jeremiášův list (Baruch 6)
71S641|Jeremiah exposing idols
71T|kniha Tóbit
71T1|svatba Tobiáše a Anny (Tobiáš 1,1-9)
71T11|Tóbit a Anna se synem Tobiášem
71T12|Tobiáš čte Anně z bible
71T2|zbožnost starého Tobiáše (Tobiáš 1,10-22)
71T21|Tobiáš dává jídlo hladovým
71T22|Tobiáš dává oděv nahým
71T23|Tobiáš utěšuje vězně a zarmoucené
71T24|Tobiáš tajně pohřbívá mrtvé
71T241|King Sennacherib slaying Israelites
71T242|Král Senacherib se dozvěděl, že Tóbit pohřbívá mrtvé
71T25|Tóbit půjčuje Gabaelovi peněžní částku
71T3|Tobit's blindness (Tobit 2 - 3:6)
71T31|Tobiáš je poslán, aby pozval přátele na hostinu
71T311|Tobiáš vypráví Tobiášovi o mrtvém muži na ulici
71T32|starý Tóbit opouští hostinu a odnáší mrtvého do domu
71T33|Tobiáš v noci pohřbívá mrtvého muže
71T34|Tobiáš leží a spí u zdi
71T35|tobiášovi padá do očí pták
71T351|Tóbit poznává svou slepotu, ale neobrací se proti Hospodinu
71T36|Tobit mocked by his friends
71T361|Tobit rebuking his friends
71T37|Anna přivede domů kozu: Tobiáš si myslí, že ji ukradla
71T371|Anna's anger ~ Tobit's blindness
71T38|modlitba Tobiášova
71T4|Sarah's sorrowful marriages (Tobit 3:7-17)
71T41|zlý duch Asmodeus zabije sedm Sářiných manželů
71T42|Sarah's prayer
71T43|anděl Rafael je poslán na zem jako odpověď na modlitby Tobiáše a Sáry
71T5|cesta do Ekbatany (Tobiáš 4-6)
71T51|setkání Tobiáše a anděla Rafaela
71T52|Tobiáš a anděl Rafael s Tobiášem (a Annou)
71T53|Tobiáš se loučí s rodiči; Anna oplakává synův odchod
71T531|Tobiáš mluví s Tobiášem
71T54|Tobiáš a anděl Rafael cestují v doprovodu Tobiášova psa
71T55|Tobiáš si myje nohy v řece Tigris
71T551|když si Tobiáš myje nohy, objeví se velká ryba; je vyděšený
71T56|Tobiáš chytí rybu a vytáhne ji na souš
71T57|anděl Rafael řekne Tobiášovi, aby rozřezal rybu na kusy
71T571|Tobiáš rybu rozporcuje a vyndá srdce, játra a žlučník
71T572|ryba je uvařena a snědena ~ Tobiášova cesta do Ecbatany
71T58|Tobiáš a anděl Rafael pokračují v cestě; Tobiáš obvykle nese rybu
71T59|příjezd do Ecbatany
71T6|tobiášův příběh: Tobiáš a Sára (Tobiáš 7-9)
71T61|Tobiáš a anděl v Raguelově domě
71T611|Raguel recognizes Tobias as his nephew
71T62|Tobiáš požádá Sáru o ruku
71T63|svatba Tobiáše a Sáry
71T631|Raguel dává Sáru Tobiášovi za manželku
71T6311|anděl spojí ruce Tobiáše a Sáry
71T632|psaní svatebního dopisu ~ Tobiáš a Sára
71T633|svatební hostina Tobiáše a Sáry
71T64|svatební noc Tobiáše a Sáry
71T641|Sára je přivedena do svatební komnaty
71T6411|Tobiáš je přiveden k Sáře
71T642|Tobiáš položí rybí srdce a játra na žhavé uhlí; zlý duch Asmodeus zmizí
71T6421|anděl svazující Asmodea
71T643|Tobias a Sarah se modlí
71T65|Raguel kope hrob pro Tobiáše
71T651|Tobiáš je nalezen živý, hrob je znovu zasypán
71T66|radostná hostina ~ příběh Tobiáše
71T661|Tobiáš požádá anděla, aby šel za Gabaelem
71T662|Gabael přichází na hostinu
71T7|tobiášův příběh: Tobiášův návrat (Tobiáš 10-13)
71T71|Raguel dává Tobiášovi polovinu svého majetku
71T72|rozloučení ~ Tobiášův návrat
71T73|na cestě zpět ~ Tobiášův návrat
71T731|Tobiáš a anděl jdou před ostatními
71T74|starý Tobiáš (a Anna) čekají a obávají se dlouhé nepřítomnosti svého syna; někdy je Anna zobrazena u kolovrátku
71T741|Anna se podívá dolů na cestu ~ Tobiášův návrat
71T75|Anna vidí přicházet Tobiáše a anděla a informuje Tobiáše
71T751|Přijde Tobiášův pes a Tobiáš spěchá ke dveřím
71T76|setkání rodičů a syna ~ Tobiášův návrat
71T77|tóbitovo uzdravení: Tobiáš přikládá žluč z ryb na oči svého otce
71T78|Sarah's arrival ~ Tobias' return
71T79|Tobiáš a jeho otec nabízejí andělovi dary
71T791|anděl se ohlásí; Tobiáš a jeho rodina ulehnou
71T792|anděl Rafael mizí na obloze
71T8|tobiášova smrt: na smrtelné posteli mluví k Tobiášovi a jeho sedmi synům (Tobiáš 14)
71T9|další scény ~ kniha Tobiáš
71T9(...)|další scény ~ kniha Tobiáš (s BOOK CHAPTER:VERSE)
71U|kniha Judita
71U1|Nebuchadnezzar fights Arphaxad (Judith 1)
71U11|médský král Arphaxad nechává opevnit město Ecbatana
71U12|Asyrský král Nabukadnezar posílá velvyslance do sousedních států, aby ho požádali o vojenskou pomoc proti Arfaxadu
71U121|sousední asyrské státy se odmítají spojit s Nabukadnezarem; po návratu velvyslanců se Nabukadnezar rozzuří
71U13|Arfaxad poražen Nabukadnezarem; zničení Ekbatany
71U14|Nebúkadnesar se vrací do Ninive
71U2|Holofernes' campaign (Judith 2-3)
71U21|Nebúkadnesar svěřuje Holofernovi velení nad vojskem, které má bojovat proti sousedním státům
71U22|Holofernova armáda drancuje a ničí zemi
71U3|obléhání Betulie (Judita 4-7)
71U31|izraelci se připravují na bitvu ~ obléhání Betulie
71U311|izraelité se postí a modlí ve smutečním oděvu ~ Kniha Juditina
71U32|Holofernes, rozzuřený přípravami Izraelitů, svolává válečnou radu
71U33|Achior, vůdce Amónovců, a Holofernes
71U331|Achior učiní projev
71U332|Holofernův hněv při Achiorově řeči
71U333|Achior je svázán a odveden z Holofernova tábora
71U3331|Achior je přivázán ke stromu poblíž města Betuliah
71U3332|Achior je osvobozen Izraelci
71U3333|Achior je přiveden do Betulie, kde vypráví svůj příběh
71U33331|Achior is feasted by Ozias
71U34|Holofernes zničí pramen města
71U341|nedostatek vody v Betulji; lid si stěžuje starším
71U4|Judita a Holofernes (Judita 8-16)
71U41|Juditin plán ~ Judita a Holofernes
71U411|Judita, vdova po Manasesovi, mluví se staršími Oziášem, Chabrisem a Charmisem
71U412|Juditina modlitba ~ Judita a Holofernes
71U413|Juditina toaleta; obléká si své nejlepší šaty
