4|Society, Civilization, Culture
45M2|vojáci a civilisté
45M3|okupant a civilisté
45M31|vyhledávání od domu k domu
45M39|underground movement, partisans
45M391|sabotage by partisans
45M4|civilians during bombardment
45M5|fugitives
45M51|fugitives 'en route'
45M52|fugitives resting, camping
45M6|internment camp
45M7|concentration camp
46|společenský a hospodářský život, doprava a komunikace
46A|communal life
46A1|social stratification, social groups
46A11|division into classes (~ society)
46A111|tři stavy: šlechta, duchovenstvo, prostý lid
46A112|other divisions into classes (~ society)
46A12|šlechta a patriciát; rytířství, rytířský stav
46A121|coronet
46A122|armorial bearing, heraldry
46A122(...)|erbovní znamení, heraldika (s JMÉNEM rodu)
46A122(...)1|erbovní znamení, heraldika (s JMÉNEM rodu) - erb
46A122(...)2|erbovní znamení, heraldika (s JMÉNEM rodu) - erb
46A122(...)3|erbovní znamení, heraldika (se jménem rodu) - znak, motto
46A122(...)4|erbovní znamení, heraldika (se jménem rodu) - impresa
46A122(...)5|erbovní znamení, heraldika (se jménem rodu) - prapor
46A122(...)6|erbovní znamení, heraldika (se jménem rodu) - pečeť
46A123|herald
46A124|knight
46A1241|knighthood order
46A1241(...)|rytířský řád (se jménem)
46A1241(...)1|rytířský řád (s NÁZVEM) - insignie rytířského řádu, např.: odznak, řetěz (s NÁZVEM řádu)
46A1241(GOLDEN FLEECE)|rytířský řád Zlatého rouna
46A1241(GOLDEN FLEECE)1|rytířský řád Zlatého rouna - insignie rytířského řádu, např.: odznak, řetěz (s názvem řádu)
46A1241(HOLY SPIRIT)|rytířský řád Ducha svatého
46A1241(HOLY SPIRIT)1|rytířský řád Ducha Svatého - insignie rytířského řádu, např.: odznak, řetěz (s NÁZVEM řádu)
46A1241(ST. JOHN)|rytířský řád svatého Jana
46A1241(ST. JOHN)1|rytířský řád svatého Jana - insignie rytířského řádu, např.: odznak, řetěz (s NÁZVEM řádu)
46A1241(TEUTONIC ORDER)|knighthood order: Teutonic Order
46A1241(TEUTONIC ORDER)1|rytířský řád: (s NÁZVEM ŘÁDU)
46A125|stát se rytířem, pasování na rytíře
46A1251|page, footboy
46A1252|shield-bearer, squire
46A1253|knighting ceremonies
46A12531|dabing rytíře s malým obřadem
46A125311|opásání mečem (~ pasování na rytíře)
46A125312|rána mečem, vyznamenání (~ pasování na rytíře)
46A12532|dabing rytíře s plným obřadem
46A125321|clothing (~ knighting ceremony)
46A125322|půst a celonoční bdění (~ obřad pasování na rytíře)
46A125323|požehnání meče (~ obřad pasování na rytíře)
46A125324|investitura se zbrojí, ostruhami a mečem (~ pasování na rytíře)
46A125325|úder mečem, vyznamenání (plný rytířský obřad)
46A125326|další části rytířského ceremoniálu
46A126|devět hodnostářů, "les neuf preux
46A1261|Jozue (jeden z devíti hodnostářů)
46A1262|David (jeden z devíti hodnostářů)
46A1263|Jidáš Makabejský (jeden z devíti hodnostářů)
46A1264|Hektor (jeden z devíti hodnostářů)
46A1265|Alexandr (jeden z devíti hodnostářů)
46A1266|Julius Caesar (jeden z devíti hodnostářů)
46A1267|Artuš (jeden z devíti hodnostářů)
46A1268|Karel Veliký (jeden z devíti hodnostářů)
46A1269|Godefroy z Bouillonu (jeden z devíti hodnostářů)
46A127|muži zvučného jména nebo slávy, hrdinové, "homines illustres", "uomini famosi"
46A13|commoners
46A131|bourgeoisie, middle class, citizens, burghers
46A132|villagers; villeins (Dutch: 'dorpers')
46A139|šašek (obecně) (německy: "Schalksnarr")
46A14|farmers
46A141|boj mezi zemědělci a vojáky
46A15|chudí
46A151|beggar
46A1511|begging bowl
46A1512|beggars' procession
46A152|'fahrende Leute', vagrants
46A153|'bambochades', revellers
46A154|generally despised professions, 'unehrliche Leute'
46A155|outcasts, pariahs
46A16|bohatí
46A161|acquiring riches
46A1611|treasure hunting, goldrush
46A1612|hledání nebo nalezení pokladu
46A162|výstava bohatství
46A1621|vystavování šperků atd.
46A1622|strewing valuables
46A1623|contemplating one's own riches
46A163|ochrana majetku
46A1631|úschovna (cenností)
46A16311|skrývání, ukrývání, zakopávání pokladu
46A1632|money-chest, treasure-chest, money-box
46A16321|safe, strongbox
46A1633|střežení pokladu
46A16331|hlídání pokladu lidmi
46A16332|hlídání pokladu zvířaty
46A16333|střežení pokladu mechanickými prostředky
46A164|upper ten
46A165|jet set
46A166|parvenu, 'nouveau riche', upstart
46A17|working class, labourers
46A170|Labour
46A171|employer ~ employee
46A1711|zaměstnanec žádající o práci
46A172|vyplácení mezd
46A1721|labourer refusing payment
46A1722|zaměstnavatel odmítající vyplácet mzdu
46A173|dělníci jdoucí do práce
46A174|labourers returning home
46A175|child labour
46A179|unemployment
46A1791|unemployed labourers
46A18|otroctví; nevolníci a zotročené osoby
46A180|'Servitù', 'Servitù per forza' (Ripa)
46A181|slave-trade
46A1811|země nebo oblast původu zotročených osob
46A1811(...)|země nebo oblast původu zotročených osob (s JMÉNEM)
46A1812|země nebo oblast určení zotročených osob
46A1812(...)|země nebo oblast určení zotročených osob (s NÁZVEM)
46A182|master ~ enslaved person
46A183|freedom ~ slavery
46A1831|osvobození (zotročené osoby)
46A1832|koupě svobody
46A1833|útěk, pokus o útěk (zotročené osoby)
46A1834|zrušení otroctví, boj proti otroctví
46A2|social contrast
46A21|kontrast mezi bohatými a chudými
46A211|bad rich man, good poor man
46A212|rozdávání almužny nebo jiné dobročinnosti, např.: rozdávání jídla
46A2120|'Elemosina' (Ripa)
46A213|philanthropist
46A22|kontrast mezi životem ve městě a na venkově; obyvatel města versus obyvatel venkova
46A221|urban life
46A2211|city dwellers
46A2219|vylidňování měst, vylidňování měst
46A222|rural life
46A2221|country dwellers
46A22219|vylidňování venkova, vylidňování venkova
46A23|kontrast mezi důležitými a nedůležitými lidmi; podřízený před nadřízeným, slabý před mocným
46A231|chráněnec před patronem
46A24|vztah mezi pánem a sluhou
46A241|serving two masters
46A3|public welfare
46A31|orphanage
46A311|foundling-hospital
46A32|péče o staré lidi
46A321|old-people's home
46A3211|alms-house (Dutch: 'hofje')
46A33|charitable works
46A4|relations between races
46A41|racial discrimination, segregation
46A42|inter-racial antipathy, racialism
46A421|race-riots
46A422|Ku Klux Klan a podobné organizace
46A49|anti-racialism; racial integration
46A5|linguistic communication
46A51|snaha dorozumět se ~ jazyková komunikace
46A511|misunderstanding
46A52|interpreter ~ language
46A53|translator
46A54|komunikace s neslyšícími nebo němými
46A541|lip-reading
46A542|sign-language
46A55|artificial language
46A551|Esperanto
46A6|spolky a adresářové tabule
46A61|board, esp. governors, trustees, etc. (Dutch: 'regenten')
46A611|chairman
46A612|tajemník (společnosti)
46A613|treasurer
46A614|committee members, board members
46A62|member, membership
46A621|stát se členem
46A6211|balloting
46A6212|iniciace (~ členství ve společnosti)
46A629|pozastavení, vyloučení (ze společnosti)
46A63|meeting, assembly
46A631|zahájení schůze
46A632|address, talk, lecture (~ meeting)
46A633|debate, discussion (~ meeting)
46A634|interruption, questions (~ meeting)
46A635|voting (~ meeting)
46A636|chaos, disorderly procedure (~ meeting)
46A637|ukončení schůze
46A638|assembly-room
46A7|crowd, mob
46A71|individual versus mass
46A8|neobvyklé způsoby života
46A81|wandering communities
46A81(...)|potulné komunity (s NAME)
46A81(GIPSIES)|wandering communities: gipsies
46A81(NOMADS)|wandering communities: nomads
46A811|putující komunity žijící ve stanech
46A812|potulné komunity žijící v obytných vozech
46A813|putující komunity žijící na lodích
46A82|idealistické komunity, "návrat k přírodě
46A821|communities, groups
46A821(...)|komunity, skupiny (s NAME)
46A8211|společné sdílení všeho
46A822|naturists
46A823|nudists
46A83|solitary living
46A831|žije sám na neobydleném ostrově, Robinsonade
46A84|pioneering, frontier life
46A841|Wild West
46A85|adventurer
46A9|primitive social structure
46A91|matriarchy
46A92|patriarchy
46A93|clans, tribal relationships
46AA122|armorial bearing, heraldry - AA - female
46AA122(...)|erbovní znamení, heraldika (se jménem rodu) - AA - fena
46AA122(...)1|erbovní znamení, heraldika (se jménem rodu) - AA - žena - erb
46AA122(...)2|erbovní znamení, heraldika (se jménem rodu) - AA - fena - erb
46AA122(...)3|erbovní znamení, heraldika (se jménem rodu) - AA - fena - znak, motto
46AA122(...)4|erbovní znamení, heraldika (se jménem rodu) - AA - fena - impresa
46AA122(...)5|erbovní znamení, heraldika (se jménem rodu) - AA - fena - prapor
46AA122(...)6|erbovní znamení, heraldika (se jménem rodu) - AA - fena - pečeť
46AA126|devět nejcennějších žen
46AA1261|Ester (jedna z devíti nejhodnějších žen)
46AA1262|Judith (jedna z devíti nejhodnějších žen)
46AA1263|Jael (jedna z devíti nejdůstojnějších žen)
46AA1264|Lukrécie (jedna z devíti nejhodnějších žen)
46AA1265|Veturia, matka Coriolana (jedna z devíti nejhodnějších žen)
46AA1266|Virginia (jedna z devíti nejhodnějších žen)
46AA1267|Svatá Helena (jedna z devíti nejhodnějších žen)
46AA1268|Svatá Brigita (jedna z devíti nejhodnějších žen)
46AA1269|Svatá Alžběta (jedna z devíti nejhodnějších žen)
46AA127|muži zvučného jména nebo slávy, hrdinové, "homines illustres", "uomini famosi" - AA - ženy zvučného jména nebo slávy, hrdinky, "femmes célèbres", "les neuf preuses"
46AA14|farmers - AA - female farmer, farmer's wife
46AA17|working class, labourers - AA - women
46AA170|Labour - AA - women
46AA171|employer ~ employee - AA - women
46AA1711|zaměstnanec žádající o práci - AA - ženy
46AA172|vyplácení mezd - AA - ženy
46AA1721|labourer refusing payment - AA - women
46AA1722|zaměstnavatel odmítající vyplácet mzdu - AA - ženy
46AA173|dělníci jdoucí do práce - AA - ženy
46AA174|labourers returning home - AA - women
46AA175|child labour - AA - women
46AA179|unemployment - AA - women
46AA1791|unemployed labourers - AA - women
46AA24|vztah mezi pánem a sluhou - AA - špatný vztah
46AA241|serving two masters - AA - bad relation
46AA61|board, esp. governors, trustees, etc. (Dutch: 'regenten') - AA - women (Dutch: 'regentessen')
46AA611|chairman - AA - women (Dutch: 'regentessen')
46AA612|tajemník (společnosti) - AA - ženy (holandsky: "regentessen")
46AA613|treasurer - AA - women (Dutch: 'regentessen')
46AA614|committee members, board members - AA - women (Dutch: 'regentessen')
46AA63|setkání, shromáždění - AA - pod širým nebem
46AA631|zahájení setkání - AA - pod širým nebem
46AA632|projev, přednáška (~ setkání) - AA - pod širým nebem
46AA633|debata, diskuse (~ setkání) - AA - pod širým nebem
46AA634|přerušení, otázky (~ schůze) - AA - pod širým nebem
46AA635|hlasování (~ schůze) - AA - pod širým nebem
46AA636|chaos, neuspořádaný postup (~ setkání) - AA - pod širým nebem
46AA637|ukončení setkání - AA - pod širým nebem
46AA638|shromažďovací místnost - AA - pod širým nebem
46B|obchod, obchod a finance
46B0|alegorie obchodu; "Commertio della vita humana" (Ripa)
46B1|místa pro obchodování
46B11|market
46B111|stall, booth (~ market)
46B112|market-hall
46B12|(annual) fair, trade fair
46B13|shop, store
46B131|department store, supermarket
46B132|shop-window, show-window
46B133|counter ~ shop
46B14|weigh-house
46B15|wholesale house
46B16|auction sale, public sale
46B17|Exchange, Bourse
46B18|trade exhibition, industries fair
46B181|world fair, world exhibition
46B19|fancy fair
46B2|osoby podnikající v oblasti obchodu a živností
46B21|merchant, salesman
46B21(...)|obchodník, prodavač (s názvem obchodu nebo profese)
46B22|potulný nebo podomní obchodník
46B221|street-trader
46B221(...)|pouliční obchodník (s NÁZVEM obchodu nebo profese)
46B2211|"cris de Paris", výkřiky Londýna atd.
46B222|pedlar
46B23|commercial traveller
46B24|shopkeeper
46B241|sales clerk
46B25|jít na trh
46B26|návrat z trhu
46B27|customer
46B271|satisfied customer
46B272|complaining customer
46B3|pomocné prostředky a metody v obchodě a financích
46B31|money
46B310|'Pecunia' (Ripa)
46B311|coin
46B3111|trade token, private coin
46B312|bank-note
46B313|peníze v jiných formách, např.: kovové tyče, skořápky atd.
46B314|šek, směnka, dlužní úpis
46B3140|draft (alleg.); 'Cambio', 'Wissel' (Ripa)
46B32|správa ~ obchod a finance
46B321|book-keeping, accountant
46B3211|tally
46B322|office (~ administration)
46B33|weighing
46B331|weighing-instruments
46B3311|scales
46B3312|hmotnost použitá na váze
46B332|vážení zlata nebo peněz
46B34|cubic measuring
46B341|kubická míra, míra kapacity
46B35|advertising
46B351|oral advertising
46B352|handbill
46B3521|brochure
46B353|poster
46B3531|bill-board
46B3532|poster-pillar
46B3533|sandwich-man
46B354|signboard
46B355|trade mark, trade token, trade sign, trade card
46B356|advertisement, notice
46B4|commercial transactions
46B41|nákup a prodej
46B411|buying
46B412|selling
46B413|barter
46B414|hiring, leasing
46B415|price
46B4151|price tag
46B4152|ručně psaná cena, např. v knize
46B416|invoice
46B4161|receipt
46B42|examining merchandise
46B43|bargaining
46B44|placení (~ obchod) (zde také splácení dluhu apod.)
46B45|debetní a kreditní
46B451|debit, debt
46B4510|'Debito' (Ripa)
46B4511|IOU (= I owe you), bond
46B452|credit
46B4520|'Credito' (Ripa)
46B46|kupní smlouva
46B47|zisk a ztráta
46B471|profit (~ commerce)
46B4711|interest (~ commerce)
46B472|loss (~ commerce)
46B48|spekulace v obchodě a financích, burzovní loupež
46B481|speculative boom
46B49|import a export
46B491|import
46B492|export
46B493|trading expedition
46B494|trade-company
46B4941|merchant shipping, shipping trade
46B5|organizace obchodu a financí
46B51|obchodování s penězi
46B511|money-changer
46B512|money-lender, usurer
46B5120|'Usura' (Ripa)
46B513|pawnbroker, lombard
46B52|stock exchange, stock-market
46B521|stock-market reports
46B53|bank
46B531|banker
46B54|giro
46B55|insurance
46B551|insurance agent
46B56|business men's organization
46B561|merchant guild
46B562|obchodní komora
46B57|trust, cartel, monopoly
46B6|dumping
46B61|sales, bargain-sale
46B7|economic espionage
46B8|boycott
46B9|negativní výsledky a nežádoucí aspekty obchodování
46B91|fraudulence, swindling
46B910|'Acquisto cattivo' (Ripa)
46B911|bribery
46B92|bankruptcy
46B921|process-server
46B93|depression, slump
46B931|financial panic
46B932|inflation
46BB2|osoby podnikající v oblasti obchodu a živností - BB - ženy podnikající v oblasti obchodu a živností
46BB21|merchant, salesman - BB - ženy zabývající se obchodem a živností
46BB21(...)|merchant, salesman (with NAME of trade or profession) - BB - ženy zabývající se obchodem a živností
46BB22|potulný obchodník - BB - ženy zabývající se obchodem a živností
46BB221|street-trader - BB - ženy zabývající se obchodem a živností
46BB221(...)|street-trader (s NÁZVEM řemesla nebo profese) - BB - ženy zabývající se obchodem a živností
46BB2211|"cris de Paris", výkřiky Londýna atd. - BB - ženy zabývající se obchodem
46BB222|pedlar - BB - ženy zabývající se obchodem a živností
46BB23|commercial traveller - BB - ženy zabývající se obchodem a živností
46BB24|shopkeeper - BB - ženy zabývající se obchodem a živností
46BB241|prodavačka - BB - ženy v obchodě a podnikání
46BB25|jít na trh - BB - ženy zabývající se obchodem a živností
46BB26|návrat z trhu - BB - ženy zabývající se obchodem a živností
46BB27|zákazník - BB - ženy zabývající se obchodem a živností
46BB271|spokojený zákazník - BB - ženy zabývající se obchodem a živností
46BB272|stěžující si zákazník - BB - ženy zabývající se obchodem a živností
46C|doprava a přeprava
46C1|provoz na pozemcích
46C11|road, path
46C111|ford
46C1111|přechod přes řeku
46C1112|ferry
46C1113|stepping stones
46C112|bridge
46C1121|bridges by construction
46C11211|suspension bridge
46C11212|cantilever bridge
46C11213|bascule bridge 
46C1122|bridge forms
46C11221|most s konstrukcí, tj. krytem nebo budovami
46C113|viaduct
46C114|underground road, tunnel
46C115|traffic regulation (signs, lights, etc.)
46C1151|traffic sign
46C1152|strážník ve službě
46C1153|traffic lights
46C1159|traffic-block, traffic-jam
46C116|cross-roads, bifurcation
46C1160|křižovatka, rozdvojení (alegoricky nebo symbolicky)
46C1161|signpost
46C1162|milestone
46C117|road-cross, 'mont-joie'
46C118|other structures ~ road, path
46C1181|schodiště
46C12|lidská síla ~ doprava a přeprava na zemi
46C121|carrying something
46C1211|přenášení něčeho v košíku, tašce, batohu apod.
46C1212|nesení něčeho pomocí jha
46C1213|přenášení něčeho pomocí nosné tyče
46C1214|nesení něčeho na trakaři
46C1215|nosit něco na hlavě nebo na ramenou
46C122|wheelbarrow
46C123|hand-cart
46C124|rickshaw
46C125|bicycle
46C1251|starožitné typy jízdních kol
46C1251(...)|starožitné typy jízdních kol (s NÁZVEM)
46C1252|tricycle
46C12521|carrier-tricycle
46C1253|monocycle
46C1254|tandem
46C1257|ostatní typy jízdních kol
46C1257(...)|ostatní typy jízdních kol (s NÁZVEM)
46C1258|díly, příslušenství jízdního kola
46C1258(...)|součásti, příslušenství jízdního kola (s NÁZVEM)
46C126|neobvyklé dopravní prostředky
46C1261|stilts
46C127|přenášení osoby
46C1271|nošení osoby na zádech
46C1272|(přenášení osoby na) nosítkách, nosítkách
46C1273|(přeprava osoby v) sedacím křesle
46C128|člověk (lidé) táhnoucí nebo tlačící vozidlo, které není obvykle poháněno lidskou silou
46C13|animal mounts; pack-animals
46C131|jízda na koni, oslu nebo mezkovi; jezdec, jezdec na koni
46C1311|riding-school, manège
46C13111|high-school riding
46C13112|carrousel
46C1312|equestrian state-portrait
46C1313|equestrian statue
46C1314|koně a příbuzná zvířata
46C13141|horse
46C13141(...)|kůň (s NÁZVEM plemene nebo druhu)
46C131411|fighting horses
46C13142|ass, donkey
46C13143|mule
46C13144|hinny
46C1315|stud farm
46C1316|sedlání a uzdění
46C13161|sedlo a uzda (sedlářství)
46C131611|head-stall
46C131612|bit
46C131613|reins
46C131614|saddle
46C1316141|howdah
46C131615|stirrup
46C131616|blinkers
46C131617|horse-blanket
46C1317|grooming
46C13171|groom
46C13172|curry-comb
46C1318|kůň v pohybu
46C13181|chůze (kůň v pohybu)
46C13182|klusání (kůň v pohybu)
46C13183|galloping horse
46C13184|skákání (kůň v pohybu)
46C13185|vzpírání (kůň v pohybu)
46C13186|kopání (kůň v pohybu)
46C13187|vedení koně za otěže; jezdec vedle koně
46C1319|nehoda s koněm (nebo příbuzným zvířetem)
46C13191|bolting, running away (~ horse)
46C13192|horse throwing rider
46C13193|horse attacked by wild animal
46C132|jízda na jiném zvířeti než na koni, oslu nebo mule
46C133|pack-animal
46C14|animal traction, animal-drawn vehicle (carriage etc.)
46C141|hitching up, harnessing ~ animal traction
46C1411|harness
46C14111|yoke
46C14112|ostatní části postroje
46C1412|unhitched animal(s) beside wagon
46C1413|unharnessing
46C142|two-wheeled, animal-drawn vehicle
46C1421|two-wheeled vehicle drawn by one animal
46C1422|two-wheeled vehicle drawn by two animals
46C1423|two-wheeled vehicle drawn by three animals
46C1424|two-wheeled vehicle drawn by more than three animals
46C14241|quadriga
46C143|three-wheeled, animal drawn vehicle
46C1431|three-wheeled vehicle drawn by one animal
46C1432|three-wheeled vehicle drawn by two animals
46C1433|three-wheeled vehicle drawn by three animals
46C1434|three-wheeled vehicle drawn by more than three animals
46C144|four-wheeled, animal-drawn vehicle, e.g.: cab, carriage, coach
46C1441|four-wheeled vehicle drawn by one animal
46C1442|four-wheeled vehicle drawn by two animals
46C1443|four-wheeled vehicle drawn by three animals
46C1444|four-wheeled vehicle drawn by more than three animals
46C1444(...)|čtyřkolové vozidlo tažené více než třemi zvířaty (s ČÍSLEM zvířat)
46C145|(farm) wagon, freight wagon, cart
46C1451|covered wagon, hooded wagon
46C146|podněcování jezdeckého nebo tažného zvířete
46C1461|prick, goad
46C1462|spur
46C1463|whip
46C147|diligence, omnibus, horse-tram
46C148|animal-drawn sledge (Dutch: 'toeslede')
46C149|nehoda vozidla taženého zvířetem
46C1491|bolting draught-animals
46C1492|nehoda dvoukolového vozidla taženého zvířetem
46C14921|nehoda dvoukolového vozidla taženého jedním zvířetem
46C14922|nehoda dvoukolového vozidla taženého dvěma zvířaty
46C14923|nehoda dvoukolového vozidla taženého třemi zvířaty
46C14924|nehoda dvoukolového vozidla taženého více než třemi zvířaty
46C149241|nehoda se čtyřkolkou
46C1493|nehoda tříkolového vozidla taženého zvířaty
46C14931|nehoda tříkolového vozidla taženého jedním zvířetem
46C14932|nehoda tříkolového vozidla taženého dvěma zvířaty
46C14933|nehoda tříkolového vozidla taženého třemi zvířaty
46C14934|nehoda tříkolového vozidla taženého více než třemi zvířaty
46C1494|nehoda čtyřkolového vozidla taženého zvířaty, např.: drožka, kočár, povoz
46C14941|nehoda čtyřkolového vozidla taženého jedním zvířetem
46C14942|nehoda čtyřkolového vozidla taženého dvěma zvířaty
46C14943|nehoda čtyřkolového vozidla taženého třemi zvířaty
46C14944|nehoda čtyřkolového vozidla taženého více než třemi zvířaty
46C14944(...)|nehoda čtyřkolového vozidla taženého více než třemi zvířaty (s ČÍSLEM zvířat)
46C1495|nehoda s (hospodářským) vozem, nákladním vozem, vozíkem
46C1496|podněcování jezdeckého nebo tažného zvířete ~ nehoda
46C14961|prick, goad ~ accident
46C14962|spur ~ accident
46C14963|whip ~ accident
46C1497|nehoda s pečlivostí, omnibus, koňská tramvaj
46C1498|nehoda se saněmi taženými zvířaty (nizozemsky "toeslede")
46C15|railway-traffic
46C151|railway, tramway; rack railway
46C1511|railway, train
46C15111|freight train
46C15112|passenger train
46C1512|tramway, tram
46C15121|tram
46C1513|rack railway
46C152|locomotive
46C1521|steam locomotive
46C1522|diesel locomotive
46C1523|electric locomotive
46C1529|ostatní typy lokomotiv
46C1529(...)|ostatní typy lokomotiv (s NÁZVEM typu)
46C153|railway-coach, railway-carriage, wagon
46C1531|passenger carriage
46C1532|railway wagon
46C154|signal system (railway, tramway)
46C1541|signal-box, signal-station (railway, tramway)
46C1542|unguarded level-crossing (railway, tramway)
46C1543|guarded level-crossing (railway, tramway)
46C1544|signal (railway, tramway)
46C155|station; shelter (railway, tramway)
46C1551|platform (railway, tramway)
46C1552|waiting room (railway, tramway)
46C1559|(other) buildings, constructions ~ railway, tramway
46C15591|depot ~ railway, tramway
46C156|underground railway, 'métro'
46C1561|underground station
46C157|monorail
46C158|suspension railway
46C1581|funicular railway
46C159|railway-accident
46C1591|nehoda s železnicí, tramvají; ozubnicová dráha
46C1592|nehoda lokomotivy
46C1593|nehoda železničního vagónu, železničního vozu
46C1594|signal system (railways) ~ accident
46C15941|signal-box, signal-station ~ accident
46C15942|nehoda na nechráněném železničním přejezdu (železnice)
46C15943|nehoda na střeženém železničním přejezdu (železnice)
46C1595|nehoda ve stanici; úkryt (železnice)
46C1596|nehoda v podzemní dráze
46C15961|nehoda ve stanici metra
46C1597|nehoda jednokolejné dráhy
46C1598|nehoda se závěsnou železnicí
46C15981|nehoda lanové dráhy
46C16|provoz na silnici nebo cestě s motorovým vozidlem
46C161|automobile
46C1611|three-wheeled automobile, car
46C162|bus, coach
46C163|truck, van
46C164|amphibian vehicle
46C165|motocykly a jiná dvoukolová motorová vozidla
46C166|jiná motorová vozidla, která nejsou určena nebo uvedena výše
46C1661|tractor
46C167|části, součásti a příslušenství motorového vozidla
46C1671|části motorového vozidla
46C1671(...)|části motorového vozidla (s NÁZVEM)
46C168|maintenance, repair, storage ~ motor vehicles
46C1681|service station
46C16811|petrol pump
46C16812|opravna, garáž pro opravy, zásobování atd.
46C16813|car wash, car wash machine
46C1682|parking facilities
46C16821|parking place, car park
46C16822|parking garage, parking building, multistorey car park
46C16823|parking meter
46C168231|parking attendant, metermaid
46C169|nehoda s motorovým vozidlem
46C1691|nehoda s automobilem
46C16911|nehoda s tříkolovým automobilem, autem
46C1692|nehoda autobusu, autokaru
46C1693|nehoda s nákladním autem, dodávkou
46C1694|nehoda vozidla obojživelníka
46C1695|nehoda motocyklu nebo jiného dvoukolového motorového vozidla
46C17|sailing-car
46C18|pohyb na sněhu a ledu (nesportovní)
46C181|sleigh, sledge (non-sport)
46C1811|horse-sleigh
46C1812|dog-sleigh
46C1813|reindeer-sleigh
46C1814|sledge moved by prickers
46C182|snow-shoes
46C183|ice-boat
46C189|nehoda na sněhu nebo ledu
46C19|kolo (vozidla)
46C191|náboj, náboj (kola)
46C1911|kuličkové ložisko (kola)
46C192|spokes
46C193|tyre
46C1931|inner tube
46C1939|tyre track
46C199|wheel track
46C2|provoz na vodě
46C20|'Navigatione' (Ripa)
46C21|lodě (obecně)
46C211|shipyard, shipdock
46C212|repairing, caulking, careening (~ ship)
46C2121|dry-dock, floating-dock
46C213|ship-model
46C2131|model lodi v láhvi
46C214|ship's portrait
46C215|části exteriéru lodi
46C215(...)|části exteriéru lodi (s NAME)
46C215(ANCHOR)|části exteriéru lodi: kotva
46C215(BOW)|části exteriéru lodi: příď
46C215(FIGURE-HEAD)|části exteriéru lodi: hlavice lodi
46C215(MAST)|části vnějšího povrchu lodi: stěžeň
46C215(RUDDER)|části vnějšího povrchu lodi: kormidlo
46C215(WINDLASS)|části exteriéru lodi: naviják
46C216|části interiéru lodi
46C216(...)|části interiéru lodi (s NÁZVEM)
46C219|improvizovaný a neobvyklý provoz na vodě
46C22|harbouring
46C221|loď směřující do přístavu
46C222|loď na silnicích, přístaviště
46C223|harbour
46C2231|pier, quay, wharf
46C2232|mooring-buoy, bollard
46C2233|gangboard, gangplank
46C2234|harbour equipment
46C22341|dock crane
46C2235|warehouse (~ harbour)
46C2236|boat-house, shed
46C2237|lodě, čluny na pevnině, na pláži
46C23|člun poháněný člověkem nebo zvířetem
46C231|tow-boat, towing-barge
46C232|rowing-boat, canoe, etc.
46C2321|rowing facing forward, pushing
46C2322|rowing facing backward, pulling
46C23221|trireme, galley
46C2323|oaring, sculling
46C23231|gondola
46C2324|canoeing
46C2325|poling, punting
46C233|člun nebo vozidlo tažené (bájným) mořským zvířetem (zvířaty)
46C24|sailing-ship, sailing-boat
46C24(...)|plachetnice, plachetní loď (s NAME)
46C241|sailing-ship's rigging
46C2411|části lanoví plachetnice
46C2411(...)|části lanoví plachetnice (s NÁZVEM)
46C24111|sail
46C24112|rope-ladder
46C25|steamship, motorship
46C251|paddle-wheel boat
46C252|submarine
46C253|diving-bell, bathysphere
46C254|ice-breaker
46C255|tug, pusher tug
46C256|freight vessel
46C2561|motorized barge
46C257|passenger liner
46C26|steamsailer
46C261|motorsailer
46C27|posádka a cestující ~ loď
46C271|crew ~ ship
46C2711|seaman
46C2711(...)|námořník (se jménem hodnosti)
46C2711(SAILOR)|seaman: sailor
46C2712|disciplína a tresty (na palubě)
46C2713|je na dovolené na pobřeží, muž na svobodě
46C2719|vzpoura na lodi
46C272|passengers ~ ship
46C273|oslava na palubě
46C2731|oslava na palubě při přejezdu rovníku (Neptun)
46C279|stowaway ~ ship
46C28|navigace a manévrování ~ loď
46C280|'Navigatione' (Ripa)
46C281|signalling ~ navigation
46C2811|storm-signal ~ navigation
46C282|určování polohy na moři; námořní přístroje
46C2821|určování polohy pomocí hvězd nebo Slunce
46C2822|quadrant, sextant, octant (nautical instruments)
46C2823|astrolabe
46C283|beacon
46C2831|lighthouse, lightship
46C2832|bell-buoy, whistling-buoy
46C2833|light-buoy
46C284|fathoming, sounding
46C285|manévrování s lodí
46C2851|na můstku (manévrování)
46C2852|u kormidla (manévrování)
46C2853|pilot-boat
46C2854|hlídka ve vraním hnízdě
46C286|zvedání lodi nad břeh
46C2861|rolling bridge (Dutch: 'overtoom')
46C2862|lodní velbloud (zařízení sloužící k vyzdvižení lodi nad bariéru)
46C289|ghost-ship, spectral ship
46C2891|Flying Dutchman (ghost-ship)
46C29|lodní nehoda; nemoc a úmrtí na moři
46C291|shipwreck
46C292|drowning, shipwrecked person
46C2921|lifeboat
46C2922|raft
46C2923|falling overboard
46C29231|being thrown overboard
46C293|life-saving service
46C2931|záchrana osoby před utonutím
46C2932|lifebelt, life-buoy
46C294|wreck ashore
46C2941|záchrana vraku
46C295|lákání lodí ke ztroskotání
46C2951|beach-comber, wrecker
46C296|sea-sickness
46C297|sea-burial
46C298|poškození (lodi)
46C3|airborne traffic, aviation
46C31|létání na zvířeti (zvířatech) nebo s jeho (jejich) pomocí
46C32|létání na předmětech nebo s jejich pomocí
