4|Społeczeństwo, Cywilizacja, Kultura
#46A231|the protégé before the patron
#46A24|relation between master and servant
#46A241|serving two masters
#46A3|public welfare
#46A31|orphanage
#46A311|foundling-hospital
#46A32|care of the aged
#46A321|old-people's home
#46A3211|alms-house (Dutch: 'hofje')
#46A33|charitable works
#46A4|relations between races
#46A41|racial discrimination, segregation
#46A42|inter-racial antipathy, racialism
#46A421|race-riots
#46A422|Ku Klux Klan and similar organizations
#46A49|anti-racialism; racial integration
#46A5|linguistic communication
#46A51|attempt to make oneself understood ~ linguistic communication
#46A511|misunderstanding
#46A52|interpreter ~ language
#46A53|translator
#46A54|communication with the deaf or dumb
#46A541|lip-reading
#46A542|sign-language
#46A55|artificial language
#46A551|Esperanto
#46A6|societies and directory boards
#46A61|board, esp. governors, trustees, etc. (Dutch: 'regenten')
#46A611|chairman
#46A612|secretary (of a society)
#46A613|treasurer
#46A614|committee members, board members
#46A62|member, membership
#46A621|becoming a member
#46A6211|balloting
#46A6212|initiation (~ membership of a society)
#46A629|suspension, expulsion (from a society)
#46A63|meeting, assembly
#46A631|opening the meeting
#46A632|address, talk, lecture (~ meeting)
#46A633|debate, discussion (~ meeting)
#46A634|interruption, questions (~ meeting)
#46A635|voting (~ meeting)
#46A636|chaos, disorderly procedure (~ meeting)
#46A637|closing the meeting
#46A638|assembly-room
#46A7|crowd, mob
#46A71|individual versus mass
#46A8|unusual manners of living
#46A81|wandering communities
#46A81(...)|wandering communities (with NAME)
#46A81(GIPSIES)|wandering communities: gipsies
#46A81(NOMADS)|wandering communities: nomads
#46A811|wandering communities living in tents
#46A812|wandering communities living in house-wagons
#46A813|wandering communities living in boats
#46A82|idealistic communities, 'back to nature'
#46A821|communities, groups
#46A821(...)|communities, groups (with NAME)
#46A8211|communal sharing of everything
#46A822|naturists
#46A823|nudists
#46A83|solitary living
#46A831|living alone on an uninhabited island, Robinsonade
#46A84|pioneering, frontier life
#46A841|Wild West
#46A85|adventurer
#46A9|primitive social structure
#46A91|matriarchy
#46A92|patriarchy
#46A93|clans, tribal relationships
#46AA122|armorial bearing, heraldry - AA - female
#46AA122(...)|armorial bearing, heraldry (with NAME of family) - AA - female
#46AA122(...)1|armorial bearing, heraldry (with NAME of family) - AA - female - coat of arms
#46AA122(...)2|armorial bearing, heraldry (with NAME of family) - AA - female - crest
#46AA122(...)3|armorial bearing, heraldry (with NAME of family) - AA - female - device, motto
#46AA122(...)4|armorial bearing, heraldry (with NAME of family) - AA - female - impresa
#46AA122(...)5|armorial bearing, heraldry (with NAME of family) - AA - female - banner
#46AA122(...)6|armorial bearing, heraldry (with NAME of family) - AA - female - seal
#46AA126|the nine worthiest women
#46AA1261|Esther (one of the nine worthiest women)
#46AA1262|Judith (one of the nine worthiest women)
#46AA1263|Jael (one of the nine worthiest women)
#46AA1264|Lucretia (one of the nine worthiest women)
#46AA1265|Veturia, mother of Coriolanus (one of the nine worthiest women)
#46AA1266|Virginia (one of the nine worthiest women)
#46AA1267|St. Helena (one of the nine worthiest women)
#46AA1268|St. Brigit (one of the nine worthiest women)
#46AA1269|St. Elizabeth (one of the nine worthiest women)
#46AA127|men of name or fame, heroes, 'homines illustres', 'uomini famosi' - AA - women of name or fame, heroines, 'femmes célèbres', 'les neuf preuses'
#46AA14|farmers - AA - female farmer, farmer's wife
#46AA17|working class, labourers - AA - women
#46AA170|Labour - AA - women
#46AA171|employer ~ employee - AA - women
#46AA1711|employee asking for work - AA - women
#46AA172|paying of wages - AA - women
#46AA1721|labourer refusing payment - AA - women
#46AA1722|employer refusing to pay wages - AA - women
#46AA173|labourers going to work - AA - women
#46AA174|labourers returning home - AA - women
#46AA175|child labour - AA - women
#46AA179|unemployment - AA - women
#46AA1791|unemployed labourers - AA - women
#46AA24|relation between master and servant - AA - bad relation
#46AA241|serving two masters - AA - bad relation
#46AA61|board, esp. governors, trustees, etc. (Dutch: 'regenten') - AA - women (Dutch: 'regentessen')
#46AA611|chairman - AA - women (Dutch: 'regentessen')
#46AA612|secretary (of a society) - AA - women (Dutch: 'regentessen')
#46AA613|treasurer - AA - women (Dutch: 'regentessen')
#46AA614|committee members, board members - AA - women (Dutch: 'regentessen')
#46AA63|meeting, assembly - AA - in the open air
#46AA631|opening the meeting - AA - in the open air
#46AA632|address, talk, lecture (~ meeting) - AA - in the open air
#46AA633|debate, discussion (~ meeting) - AA - in the open air
#46AA634|interruption, questions (~ meeting) - AA - in the open air
#46AA635|voting (~ meeting) - AA - in the open air
#46AA636|chaos, disorderly procedure (~ meeting) - AA - in the open air
#46AA637|closing the meeting - AA - in the open air
#46AA638|assembly-room - AA - in the open air
46B|gospodarka, handel i finanse
#46B0|allegory of trade; 'Commertio della vita humana' (Ripa)
#46B1|locations for trading
#46B11|market
#46B111|stall, booth (~ market)
#46B112|market-hall
#46B12|(annual) fair, trade fair
#46B13|shop, store
#46B131|department store, supermarket
#46B132|shop-window, show-window
#46B133|counter ~ shop
#46B14|weigh-house
#46B15|wholesale house
#46B16|auction sale, public sale
#46B17|Exchange, Bourse
#46B18|trade exhibition, industries fair
#46B181|world fair, world exhibition
#46B19|fancy fair
#46B2|persons engaged in trade and commerce
#46B21|merchant, salesman
#46B21(...)|merchant, salesman (with NAME of trade or profession)
#46B22|wandering or travelling merchant
#46B221|street-trader
#46B221(...)|street-trader (with NAME of trade or profession)
#46B2211|'cris de Paris', cries of London, etc.
#46B222|pedlar
#46B23|commercial traveller
#46B24|shopkeeper
#46B241|sales clerk
#46B25|going to the market
#46B26|returning from the market
#46B27|customer
#46B271|satisfied customer
#46B272|complaining customer
#46B3|auxiliary means and methods in trade and finance
#46B31|money
#46B310|'Pecunia' (Ripa)
#46B311|coin
#46B3111|trade token, private coin
#46B312|bank-note
#46B313|money in other forms, e.g.: metal bars, shells, etc.
#46B314|cheque, draft, bill of exchange
#46B3140|draft (alleg.); 'Cambio', 'Wissel' (Ripa)
#46B32|administration ~ trade and finance
#46B321|book-keeping, accountant
#46B3211|tally
#46B322|office (~ administration)
#46B33|weighing
#46B331|weighing-instruments
#46B3311|scales
#46B3312|weight used on scales
#46B332|weighing gold or money
#46B34|cubic measuring
#46B341|cubic measure, measure of capacity
#46B35|advertising
#46B351|oral advertising
#46B352|handbill
#46B3521|brochure
#46B353|poster
#46B3531|bill-board
#46B3532|poster-pillar
#46B3533|sandwich-man
#46B354|signboard
#46B355|trade mark, trade token, trade sign, trade card
#46B356|advertisement, notice
#46B4|commercial transactions
#46B41|buying and selling
#46B411|buying
#46B412|selling
#46B413|barter
#46B414|hiring, leasing
#46B42|examining merchandise
#46B43|bargaining
#46B44|paying (~ commerce) (here also repayment of debt, etc.)
#46B45|debit and credit
#46B451|debit, debt
#46B4510|'Debito' (Ripa)
#46B4511|IOU (= I owe you), bond
#46B452|credit
#46B4520|'Credito' (Ripa)
#46B46|contract of sale
#46B47|profit and loss
#46B471|profit (~ commerce)
#46B4711|interest (~ commerce)
#46B472|loss (~ commerce)
#46B48|speculation in trade and finance, stock-jobbery
#46B481|speculative boom
#46B49|import and export
#46B491|import
#46B492|export
#46B493|trading expedition
#46B494|trade-company
#46B4941|merchant shipping, shipping trade
#46B5|organization of trade and finance
#46B51|dealing in money
#46B511|money-changer
#46B512|money-lender, usurer
#46B5120|'Usura' (Ripa)
#46B513|pawnbroker, lombard
#46B52|stock exchange, stock-market
#46B521|stock-market reports
#46B53|bank
#46B531|banker
#46B54|giro
#46B55|insurance
#46B551|insurance agent
#46B56|business men's organization
#46B561|merchant guild
#46B562|chamber of commerce
#46B57|trust, cartel, monopoly
#46B6|dumping
#46B61|sales, bargain-sale
#46B7|economic espionage
#46B8|boycott
#46B9|negative results and undesired aspects of trading
#46B91|fraudulence, swindling
#46B910|'Acquisto cattivo' (Ripa)
#46B911|bribery
#46B92|bankruptcy
#46B921|process-server
#46B93|depression, slump
#46B931|financial panic
#46B932|inflation
#46BB2|persons engaged in trade and commerce - BB - women engaged in trade and commerce
#46BB21|merchant, salesman - BB - women engaged in trade and commerce
#46BB21(...)|merchant, salesman (with NAME of trade or profession) - BB - women engaged in trade and commerce
#46BB22|wandering or travelling merchant - BB - women engaged in trade and commerce
#46BB221|street-trader - BB - women engaged in trade and commerce
#46BB221(...)|street-trader (with NAME of trade or profession) - BB - women engaged in trade and commerce
#46BB2211|'cris de Paris', cries of London, etc. - BB - women engaged in trade and commerce
#46BB222|pedlar - BB - women engaged in trade and commerce
#46BB23|commercial traveller - BB - women engaged in trade and commerce
#46BB24|shopkeeper - BB - women engaged in trade and commerce
#46BB241|sales clerk - BB - women engaged in trade and commerce
#46BB25|going to the market - BB - women engaged in trade and commerce
#46BB26|returning from the market - BB - women engaged in trade and commerce
#46BB27|customer - BB - women engaged in trade and commerce
#46BB271|satisfied customer - BB - women engaged in trade and commerce
#46BB272|complaining customer - BB - women engaged in trade and commerce
46C|transport i komunikacja
46C1|komunikacja lądowa
46C11|droga, ścieżka
#46C111|ford
#46C1111|crossing a river
#46C1112|ferry
#46C1113|stepping stones
#46C112|bridge
#46C1121|bridges by construction
#46C11211|suspension bridge
#46C11212|cantilever bridge
#46C11213|bascule bridge
#46C1122|bridge forms
#46C11221|bridge with structure, i.e. cover or buildings
#46C113|viaduct
#46C114|underground road, tunnel
#46C115|traffic regulation (signs, lights, etc.)
#46C1151|traffic sign
#46C1152|constable on point-duty
#46C1153|traffic lights
#46C1159|traffic-block, traffic-jam
#46C116|cross-roads, bifurcation
#46C1160|cross-roads, bifurcation (represented allegorically or symbolically)
#46C1161|signpost
#46C1162|milestone
#46C117|road-cross, 'mont-joie'
#46C118|other structures ~ road, path
#46C1181|flight of steps
46C12|siły ludzkie ~ transport i komunikacja lądowa)
#46C121|carrying something
#46C1211|carrying something in basket, bag, rucksack, etc.
#46C1212|carrying something with yoke
#46C1213|carrying something with carrying-pole
#46C1214|carrying something with barrow
#46C1215|carrying something on the head or on the shoulders
#46C122|wheelbarrow
#46C123|hand-cart
#46C124|rickshaw
#46C125|bicycle
#46C1251|antique types of bicycles
#46C1251(...)|antique types of bicycles (with NAME)
#46C1252|tricycle
#46C12521|carrier-tricycle
#46C1253|monocycle
#46C1254|tandem
#46C1257|other types of bicycle
#46C1257(...)|other types of bicycle (with NAME)
#46C1258|parts, attachments of a bicycle
#46C1258(...)|parts, attachments of a bicycle (with NAME)
#46C126|unusual means of transport
#46C1261|stilts
#46C127|carrying a person
#46C1271|carrying a person on one's back
#46C1272|(carrying a person on a) litter, stretcher
#46C1273|(carrying a person in a) sedan-chair
#46C128|human being(s) drawing or pushing a vehicle not usually propelled by manpower
46C13|zwierzęta wierzchowe; zwierzęta juczne
46C131|jazda na koniu, ośle lub mule; jeździec
46C1311|szkoła jeździecka, maneż
#46C13111|high-school riding
#46C13112|carrousel
46C1312|portret konny
46C1313|rzeźba jeźdźca
46C1314|konie i pokrewne zwierzęta
46C13141|koń
46C13141(...)|koń (z NAZWĄ rasy lub rodzaju)
46C131411|walczące konie
46C13142|osioł
46C13143|muł
46C13144|osłomuł
46C1315|stadnina
46C1316|siodłanie i zakładanie uzdy
#46C13161|saddle and bridle (saddlery)
#46C131611|head-stall
#46C131612|bit
#46C131613|reins
#46C131614|saddle
#46C1316141|howdah
#46C131615|stirrup
#46C131616|blinkers
#46C131617|horse-blanket
46C1317|czyszczenie
#46C13171|groom
#46C13172|curry-comb
46C1318|koń w ruchu
#46C13181|walking (horse in motion)
#46C13182|trotting (horse in motion)
#46C13183|galloping horse
#46C13184|jumping (horse in motion)
#46C13185|rearing (horse in motion)
#46C13186|kicking (horse in motion)
#46C13187|leading a horse by the reins; rider beside his horse
46C1319|wypadek z koniem (lub zwierzęciem pokrewnym)
#46C13191|bolting, running away (~ horse)
#46C13192|horse throwing rider
#46C13193|horse attacked by wild animal
46C132|jazda na zwierzęciu innym niż koń, osioł lub muł
46C133|zwierzę juczne
46C14|zwierzę pociągowe; pojazdy ciągnione przez zwierzę (wóz i in.)
#46C141|hitching up, harnessing ~ animal traction
#46C1411|harness
#46C14111|yoke
#46C14112|other parts of harness
#46C1412|unhitched animal(s) beside wagon
#46C1413|unharnessing
#46C142|two-wheeled, animal-drawn vehicle
#46C1421|two-wheeled vehicle drawn by one animal
#46C1422|two-wheeled vehicle drawn by two animals
#46C1423|two-wheeled vehicle drawn by three animals
#46C1424|two-wheeled vehicle drawn by more than three animals
#46C14241|quadriga
#46C143|three-wheeled, animal drawn vehicle
#46C1431|three-wheeled vehicle drawn by one animal
#46C1432|three-wheeled vehicle drawn by two animals
#46C1433|three-wheeled vehicle drawn by three animals
#46C1434|three-wheeled vehicle drawn by more than three animals
#46C144|four-wheeled, animal-drawn vehicle, e.g.: cab, carriage, coach
#46C1441|four-wheeled vehicle drawn by one animal
#46C1442|four-wheeled vehicle drawn by two animals
#46C1443|four-wheeled vehicle drawn by three animals
#46C1444|four-wheeled vehicle drawn by more than three animals
#46C1444(...)|four-wheeled vehicle drawn by more than three animals (with NUMBER of animals)
#46C145|(farm) wagon, freight wagon, cart
#46C1451|covered wagon, hooded wagon
#46C146|inciting riding-animal or draught-animal
#46C1461|prick, goad
#46C1462|spur
#46C1463|whip
#46C147|diligence, omnibus, horse-tram
#46C148|animal-drawn sledge (Dutch: 'toeslede')
#46C149|accident with animal-drawn vehicle
#46C1491|bolting draught-animals
#46C1492|accident with two-wheeled, animal-drawn vehicle
#46C14921|accident with two-wheeled vehicle, drawn by one animal
#46C14922|accident with two-wheeled vehicle, drawn by two animals
#46C14923|accident with two-wheeled vehicle, drawn by three animals
#46C14924|accident with two-wheeled vehicle, drawn by more than three animals
#46C149241|accident with quadriga
#46C1493|accident with three-wheeled, animal drawn vehicle
#46C14931|accident with three-wheeled vehicle, drawn by one animal
#46C14932|accident with three-wheeled vehicle, drawn by two animals
#46C14933|accident with three-wheeled vehicle, drawn by three animals
#46C14934|accident with three-wheeled vehicle, drawn by more than three animals
#46C1494|accident with four-wheeled, animal-drawn vehicle, e.g.: cab, carriage, coach
#46C14941|accident with four-wheeled vehicle, drawn by one animal
#46C14942|accident with four-wheeled vehicle, drawn by two animals
#46C14943|accident with four-wheeled vehicle, drawn by three animals
#46C14944|accident with four-wheeled vehicle, drawn by more than three animals
#46C14944(...)|accident with four-wheeled vehicle, drawn by more than three animals (with NUMBER of animals)
#46C1495|accident with (farm) wagon, freight wagon, cart
#46C1496|inciting riding-animal or draught-animal ~ accident
#46C14961|prick, goad ~ accident
#46C14962|spur ~ accident
#46C14963|whip ~ accident
#46C1497|accident with diligence, omnibus, horse-tram
#46C1498|accident with animal-drawn sledge (Dutch: 'toeslede')
46C15|komunikacja kolejowa
#46C151|railway, tramway; rack railway
#46C1511|railway, train
#46C15111|freight train
#46C15112|passenger train
#46C1512|tramway, tram
#46C15121|tram
#46C1513|rack railway
#46C152|locomotive
#46C1521|steam locomotive
#46C1522|diesel locomotive
#46C1523|electric locomotive
#46C1529|other types of locomotive
#46C1529(...)|other types of locomotive (with NAME of type)
#46C153|railway-coach, railway-carriage, wagon
#46C1531|passenger carriage
#46C1532|railway wagon
#46C154|signal system (railway, tramway)
#46C1541|signal-box, signal-station (railway, tramway)
#46C1542|unguarded level-crossing (railway, tramway)
#46C1543|guarded level-crossing (railway, tramway)
#46C1544|signal (railway, tramway)
#46C155|station; shelter (railway, tramway)
#46C1551|platform (railway, tramway)
#46C1552|waiting room (railway, tramway)
#46C1559|(other) buildings, constructions ~ railway, tramway
#46C15591|depot ~ railway, tramway
#46C156|underground railway, 'métro'
#46C1561|underground station
#46C157|monorail
#46C158|suspension railway
#46C1581|funicular railway
#46C159|railway-accident
#46C1591|accident with railway, tramway; rack railway
#46C1592|accident with locomotive
#46C1593|accident with railway-coach, railway-carriage
#46C1594|signal system (railways) ~ accident
#46C15941|signal-box, signal-station ~ accident
#46C15942|accident on unguarded level-crossing (railways)
#46C15943|accident on guarded level-crossing (railways)
#46C1595|accident in station; shelter (railways)
#46C1596|accident in underground railway
#46C15961|accident in underground station
#46C1597|accident with monorail
#46C1598|accident with suspension railway
#46C15981|accident with funicular railway
46C16|komunikacja po drodze lub ścieżce przy użyciu pojazdu motorowego
#46C161|automobile
#46C1611|three-wheeled automobile, car
#46C162|bus, coach
#46C163|truck, van
#46C164|amphibian vehicle
#46C165|motor-cycles and other two-wheeled motor-vehicles
#46C166|other motor-vehicles not meant or mentioned above
#46C1661|tractor
#46C167|parts, attachments of a motor vehicle
#46C1671|parts of a motor vehicle
#46C1671(...)|parts of a motor vehicle (with NAME)
#46C168|maintenance, repair, storage ~ motor vehicles
#46C1681|service station
#46C16811|petrol pump
#46C16812|repair shop, garage for repairs, supplies etc.
#46C16813|car wash, car wash machine
#46C1682|parking facilities
#46C16821|parking place, car park
#46C16822|parking garage, parking building, multistorey car park
#46C16823|parking meter
#46C168231|parking attendant, metermaid
#46C169|accident with motor-vehicle
#46C1691|accident with automobile
#46C16911|accident with three-wheeled automobile, car
#46C1692|accident with bus, coach
#46C1693|accident with truck, van
#46C1694|accident with amphibian vehicle
#46C1695|accident with motor-cycles or other two-wheeled motor-vehicles
46C17|pojazd żaglowy
46C18|poruszanie się po śniegu i lodzie (nie dla sportu)
#46C181|sleigh, sledge (non-sport)
#46C1811|horse-sleigh
#46C1812|dog-sleigh
#46C1813|reindeer-sleigh
#46C1814|sledge moved by prickers
#46C182|snow-shoes
#46C183|ice-boat
#46C189|accident on snow or ice
46C19|koło (pojazdu)
#46C191|nave, hub (of wheel)
#46C1911|ball-bearing (of wheel)
#46C192|spokes
#46C193|tyre
#46C1931|inner tube
#46C1939|tyre track
#46C199|wheel track
46C2|komunikacja wodna
#46C20|'Navigatione' (Ripa)
#46C21|ships (in general)
#46C211|shipyard, shipdock
#46C212|repairing, caulking, careening (~ ship)
#46C2121|dry-dock, floating-dock
#46C213|ship-model
#46C2131|ship-model in bottle
#46C214|ship's portrait
#46C215|parts of ship's exterior
#46C215(...)|parts of ship's exterior (with NAME)
#46C215(ANCHOR)|parts of ship's exterior: anchor
#46C215(BOW)|parts of ship's exterior: bow
#46C215(FIGURE-HEAD)|parts of ship's exterior: figure-head
#46C215(MAST)|parts of ship's exterior: mast
#46C215(RUDDER)|parts of ship's exterior: rudder
#46C215(WINDLASS)|parts of ship's exterior: windlass
#46C216|parts of ship's interior
#46C216(...)|parts of ship's interior (with NAME)
#46C219|improvised and unusual traffic on the water
#46C22|harbouring
#46C221|ship bound for the harbour
#46C222|ship in the roads, roadstead
#46C223|harbour
#46C2231|pier, quay, wharf
#46C2232|mooring-buoy, bollard
#46C2233|gangboard, gangplank
#46C2234|harbour equipment
#46C22341|dock crane
#46C2235|warehouse (~ harbour)
#46C2236|boat-house, shed
#46C2237|ships, boats on land, beached
#46C23|boat propelled by man or animal
#46C231|tow-boat, towing-barge
#46C232|rowing-boat, canoe, etc.
#46C2321|rowing facing forward, pushing
#46C2322|rowing facing backward, pulling
#46C23221|trireme, galley
#46C2323|oaring, sculling
#46C23231|gondola
#46C2324|canoeing
#46C2325|poling, punting
#46C233|boat or vehicle drawn by (fabulous) animal(s) of the sea
#46C24|sailing-ship, sailing-boat
#46C24(...)|sailing-ship, sailing-boat (with NAME)
#46C241|sailing-ship's rigging
#46C2411|parts of sailing-ship's rigging
#46C2411(...)|parts of sailing-ship's rigging (with NAME)
#46C24111|sail
#46C24112|rope-ladder
#46C25|steamship, motorship
#46C251|paddle-wheel boat
#46C252|submarine
#46C253|diving-bell, bathysphere
#46C254|ice-breaker
#46C255|tug, pusher tug
#46C256|freight vessel
#46C2561|motorized barge
#46C257|passenger liner
#46C26|steamsailer
#46C261|motorsailer
#46C27|crew and passengers ~ ship
#46C271|crew ~ ship
#46C2711|seaman
#46C2711(...)|seaman (with NAME of rank)
#46C2711(SAILOR)|seaman: sailor
#46C2712|discipline and punishment (on board)
#46C2713|being out on shore-leave, liberty-man
#46C2719|mutiny on ship
#46C272|passengers ~ ship
#46C273|celebration on board
#46C2731|celebration on board while crossing the equator (Neptune)
#46C279|stowaway ~ ship
#46C28|navigation and manoeuvering ~ ship
#46C280|'Navigatione' (Ripa)
#46C281|signalling ~ navigation
#46C2811|storm-signal ~ navigation
#46C282|position-finding at sea; nautical instruments
#46C2821|position-finding with the help of the stars or the sun
#46C2822|quadrant, sextant, octant (nautical instruments)
#46C2823|astrolabe
#46C283|beacon
#46C2831|lighthouse, lightship
#46C2832|bell-buoy, whistling-buoy
#46C2833|light-buoy
#46C284|fathoming, sounding
#46C285|manoeuvering a ship
#46C2851|on the bridge (manoeuvering)
#46C2852|at the helm (manoeuvering)
#46C2853|pilot-boat
#46C2854|look-out in the crow's nest
#46C286|raising a ship over a bar
#46C2861|rolling bridge (Dutch: 'overtoom')
#46C2862|ship's camel (device used to raise a ship over a bar)
#46C289|ghost-ship, spectral ship
#46C2891|Flying Dutchman (ghost-ship)
#46C29|shipping accident; sickness and death at sea
#46C291|shipwreck
#46C292|drowning, shipwrecked person
#46C2921|lifeboat
#46C2922|raft
#46C2923|falling overboard
#46C29231|being thrown overboard
#46C293|life-saving service
#46C2931|saving a person from drowning
#46C2932|lifebelt, life-buoy
#46C294|wreck ashore
#46C2941|salvaging a wreck
#46C295|luring ships to shipwreck
#46C2951|beach-comber, wrecker
#46C296|sea-sickness
#46C297|sea-burial
#46C298|damage (to a ship)
46C3|komunikacja powietrzna; awiacja
#46C31|flying on or with the aid of animal(s)
#46C32|flying on or with the aid of object(s)
#46C33|self-propelled flying
#46C34|balloon (aviation)
#46C35|airship, zeppelin
#46C36|aircraft, aeroplane
#46C361|parts, attachments of aircraft
#46C3611|parts of aircraft
#46C3611(...)|parts of aircraft (with NAME)
#46C362|crew and passengers ~ aviation
#46C3621|crew ~ aviation
#46C36211|flight crew
#46C362111|pilot
#46C36212|flight attendants, cabin crew
#46C362121|air hostess, stewardess, steward, purser
#46C36213|ground crew ~ aviation
#46C3622|air passengers
#46C37|other aircrafts
#46C371|helicopter
#46C372|autogiro (aviation)
#46C373|hover-craft
#46C38|airfield, airport
#46C381|structures, buildings ~ airfield, airport
#46C3811|airport control tower
#46C3812|hangar
#46C39|air-crash, air disaster, flying-accident
46C4|astronautyka, podróże kosmiczne, podróże międzyplanetarne
#46C41|rocket (astronautics)
#46C42|space craft; capsule, station
#46C43|astronaut, cosmonaut
#46C49|UFO, flying saucer
#46C491|beings from outer space
46C5|podróże; turystyka
#46C51|stadia of travel
#46C511|preparations ~ travelling
#46C512|departure ~ travelling
#46C5121|waving farewell ~ departure on a journey
#46C513|'en route', traveller under way
#46C5131|asking the way
#46C5132|studying a map
#46C5133|hitch-hiking
#46C5134|traveller(s) attacked by robber(s)
#46C5135|(traveller) resting in the open air
#46C5136|porter, bearer
#46C514|arrival and return ~ travelling
#46C5141|being welcomed ~ travelling
#46C519|getting lost; having lost one's way; losing one's way
#46C52|hotel, hostelry, inn
#46C521|reception desk (~ hotel)
#46C522|hotel room
#46C53|migrants
#46C54|tourism
#46C541|outing, pleasure trip
#46C542|cultural tour
#46C5421|sightseeing
#46C54211|grand tour
#46C5422|conducted tour
#46C54221|guide (~ conducted tour)
#46C5423|guide-book (~ tourism)
#46C543|world tour, e.g.: world cruise
#46C55|luggage, travel requisites
#46C551|trunk, suit-case
#46C552|knapsack, rucksack
#46C56|souvenir (~ tourism)
#46C57|fictitious journey; journey to the other world, 'accès à un autre monde'
#46CC21|ships (in general) - CC - more than one ship
#46CC211|shipyard, shipdock - CC - more than one ship
#46CC212|repairing, caulking, careening (~ ship) - CC - more than one ship
#46CC2121|dry-dock, floating-dock - CC - more than one ship
#46CC213|ship-model - CC - more than one ship
#46CC2131|ship-model in bottle - CC - more than one ship
#46CC214|ship's portrait - CC - more than one ship
#46CC215|parts of ship's exterior - CC - more than one ship
#46CC215(...)|parts of ship's exterior (with NAME) - CC - more than one ship
#46CC215(ANCHOR)|parts of ship's exterior: anchor - CC - more than one ship
#46CC215(BOW)|parts of ship's exterior: bow - CC - more than one ship
#46CC215(FIGURE-HEAD)|parts of ship's exterior: figure-head - CC - more than one ship
#46CC215(MAST)|parts of ship's exterior: mast - CC - more than one ship
#46CC215(RUDDER)|parts of ship's exterior: rudder - CC - more than one ship
#46CC216|parts of ship's interior - CC - more than one ship
#46CC216(...)|parts of ship's interior (with NAME) - CC - more than one ship
#46CC219|improvised and unusual traffic on the water - CC - more than one ship
46D|prasa, dziennikarstwo
#46D1|oral spreading of news, town crier
#46D2|distributing pamphlets
#46D3|newspaper, news-sheet
#46D31|sale of newspaper, newspaper stand
#46D32|newsboy, newsman
#46D33|delivery (of newspaper)
#46D4|weekly, monthly, magazine, etc.
#46D41|sensational press, 'canard'
#46D5|pressmen
#46D51|editorial board
#46D52|journalist, reporter
#46D53|press photographer
#46D54|interviewing
46E|poczta; telegraf i telefon; środki łączności
#46E1|messenger
#46E11|messenger's box
#46E12|messenger's badge
#46E13|relay dispatch service, estafette
#46E2|postal service
#46E21|post-office
#46E211|postman
#46E212|mail-coach
#46E2121|stage (~ mail-coach)
#46E213|letter-box, pillar-box
#46E22|postal matter
#46E221|letter, envelope
#46E222|postcard, picture-postcard
#46E223|parcel, packet
#46E224|telegram
#46E225|stamp (~ postal matter)
#46E23|sending and receiving postal matter
#46E231|sending, packing of postal matter
#46E232|delivering; receiving (~ postal matter)
#46E2321|receiving good news, good message
#46E2322|receiving bad news, bad message
#46E3|animal messengers (dog, pigeon)
#46E31|dog (as messenger)
#46E32|pigeon (as messenger)
#46E4|visual signalling
#46E41|flags (~ signalling)
#46E411|flags flown from a mast
#46E412|manual signalling with flags
#46E42|semaphore
#46E43|light, fire, smoke, etc. used for signalling
#46E43(...)|light, fire, smoke, etc. used for signalling (with NAME)
#46E43(ROCKET)|light, fire, smoke, etc. used for signalling: rocket
#46E5|acoustic signalling
#46E51|acoustic signalling without instrument
#46E52|acoustic signalling with instrument
#46E521|bell ~ acoustic signalling
#46E522|megaphone, speaking-trumpet ~ acoustic signalling
#46E523|rattle ~ acoustic signalling
#46E524|siren ~ acoustic signalling
#46E525|whistle ~ acoustic signalling
#46E526|other instruments ~ acoustic signalling
#46E6|electrical and electronic means of (tele)communication
#46E61|(morse) telegraph
#46E610|telegraph (alleg.)
#46E611|telex
#46E612|telegraph pole, telephone pole
#46E62|telephone
#46E621|public call-box
#46E622|(other) telephone equipment
#46E6221|fax machine
#46E6222|mobile phone
#46E6223|answering machine ~ telephone equipment
#46E63|radio, wireless, radio broadcasting
#46E631|radiotelegraph, walkie-talkie
#46E632|radio broadcasting studio
#46E64|television, television broadcasting
#46E641|aerial, antenna; domestic satellite dish
#46E6411|telecommunications tower, antenna tower, radio mast, television tower, TV tower
#46E642|television broadcasting studio
#46E65|phonograph, gramophone; playing recorded sound or video
#46E651|gramophone record, disc, compact disc
#46E652|audio and video playing equipment
#46E6521|audio or video player
#46E653|accessories for audio and video players
#46E6531|audio accessories
#46E65311|amplifier
#46E65312|loudspeaker
#46E653121|headphones
#46E6532|video accessories
#46E65321|monitor, screen
#46E66|tape recorder, video recorder; recording
#46E661|tape, cassette, reel material ~ recording
#46E662|recording equipment and accessories
#46E6621|microphone
#46E663|recording studio
#46E67|telecommunication structure and equipment
#46E671|telecommunications network
#46E6711|computer network
#46E67111|Internet (computer network)
#46E672|communications satellite
#46E673|modem
#46E7|means of determining location
#46E71|acoustical means of determining location
#46E72|optical means of determining location
#46E73|electrical means of determining location
#46E731|radar
#46E8|other means of communication
#46E81|communication by means of 'statue parlanti', such as Marforio and Pasquino in Rome
47|rzemiosło i przemysł
470|'Artes Mechanicae' (Lanificium, Armatura, Navigatio, Agricultura, Venatio, Medicina, Theatrica)
47A|struktury przemysłowe
#47A1|exterior of industrial structures, factories
#47A11|workshop
#47A12|factory-building
#47A121|smoke-stack
#47A122|blast-furnace
