4|Maatschappij, Beschaving, Cultuur
45I4|onderhandelingen voor een wapenstilstand
45I41|onderhandelingen voor een wapenstilstand op een vernietigde brug
45I5|pauze in vijandelijkheden (bestand)
45I51|wapenstilstand van God, 'Trève-Dieu'
45I52|schorsing van vijandelijkheden om de doden te begraven
45I53|bestand, wapenstilstand
45I530|'Tregua' (Ripa)
45I6|victor (na de strijd)
45I61|veroveraar triomferend, triomfantelijke intrede van overwinnaar
45I611|het kronen van de overwinnaar met lauweren
45I612|gevangenen vastgeketend aan de wagen van de overwinnaar
45I62|veroveraar (te paard) vertrapt overwonnenen
45I63|(veroveraar) die het haar van het slachtoffer vastgrijpt
45I7|de verslagenen (na de strijd)
45I71|de verslagenen voor de overwinnaar
45K|belegering, positieoorlog
45K1|vestingwerken, militaire techniek
45K11|tijdelijke versterkingen
45K111|loopgraven
45K112|niemandsland
45K12|permanente versterkingen
45K121|palissades
45K122|bastion, bolwerk
45K13|vesting
45K14|versterkte stad
45K141|muren ~ versterkte stad
45K1411|machicolatie ~ versterkte stad
45K1412|kantelen, kantelen ~ versterkte stad
45K1413|loop-hole ~ versterkte stad
45K142|torens ~ versterkte stad
45K143|gracht ~ versterkte stad
45K1431|brug ~ versterkte stad
45K144|poort ~ versterkte stad
45K1441|valhek
45K2|aanval ~ belegering
45K21|belegering
45K22|blokkade ~ belegering
45K23|bombardement ~ belegering
45K231|belegeringswapens, bijv.: stormram
45K24|'brusque aanvallen'
45K25|travaux d'approche
45K26|aanval ~ belegering
45K27|binnendringen in stad of vesting ~ belegering
45K3|verdediging ~ belegering
45K31|verdediging van vesting of stad
45K32|tegenaanval vanuit een versterking ~ belegering
45K33|binnen de belegerde stad
45K331|het versterken van de fortificaties binnen de belegerde stad
45K4|verovering van stad (na de belegering)
45K5|opheffen van het beleg
45K51|het opheffen van de belegering met externe hulp, verlichting
45K52|bevrijding van belegerde stad
45L|Beroep ~ oorlog
45L1|overgave ~ oorlog
45L11|overdracht van sleutels
45L12|Trek de veroverde plaats binnen
45L13|terugtocht van de verslagen
45L2|heffing
45L21|leveren van in beslag genomen goederen
45L22|verdeling van de buit van oorlog
45L23|het buitmaken van de oorlogsbuit
45L29|veilig conduct
45L3|plundering ~ soldaten
45L31|buit, buit maken
45L311|beker ~ strijd, oorlog
45L3111|'tropaion', d.w.z. decoratieve versiering ~ wapens
45L4|vernietiging van veroverde stad
45L40|allegorie, personificatie van vernietiging van veroverde stad
45L41|sloop (van veroverde stad)
45L42|in brand steken (van veroverde stad)
45L43|verwoeste, geruïneerde plaats of stad (~ oorlogsvoering)
45M|niet-strijders ~ oorlog
45M1|burgers in militaire situaties
45M11|Niet-strijders op het strijdtoneel
45M12|burgers tijdens doorgang van soldaten
45M13|vechtende burgers, bijv.: 'franc tireur'
45M2|soldaten en burgers
45M3|bezetter en burgers
45M31|huis-aan-huis doorzoeking
45M39|ondergrondse beweging, partizanen
45M391|sabotage door partizanen
45M4|burgers tijdens bombardement
45M5|voortvluchtigen
45M51|voortvluchtigen onderweg
45M52|Voortvluchtigen rusten, kamperen
45M6|interneringskamp
45M7|concentratiekamp
46|sociaal en economisch leven, transport en communicatie
46A|gemeenschapsleven
46A1|sociale stratificatie, sociale groepen
46A11|indeling in klassen (~ samenleving)
46A111|de drie standen: adel, geestelijkheid, burgers
46A112|andere indelingen in klassen (~ samenleving)
46A12|adel en patriciaat; ridderlijkheid, ridderschap
46A121|kroontje
46A122|wapenschild, heraldiek
46A122(...)|wapen, heraldiek (met NAAM van familie)
46A122(...)1|wapen, heraldiek (met NAAM van familie) - wapenschild
46A122(...)2|wapenschild, heraldiek (met NAAM van familie) - wapenschild
46A122(...)3|wapenschild, heraldiek (met NAAM van familie) - embleem, motto
46A122(...)4|wapen, heraldiek (met NAAM van familie) - impresa
46A122(...)5|wapenschild, heraldiek (met NAAM van familie) - banier
46A122(...)6|wapen, heraldiek (met NAAM van familie) - zegel
46A123|herald
46A124|ridder
46A1241|ridderorde
46A1241(...)|ridderorde (met NAAM)
46A1241(...)1|ridderorde (met NAAM) - insigne van een ridderorde, bijvoorbeeld: badge, ketting (met NAAM van de orde)
46A1241(GOLDEN FLEECE)|Ridderorde van het Gulden Vlies
46A1241(GOLDEN FLEECE)1|ridderorde van het Gulden Vlies - insigne van een ridderorde, bijvoorbeeld: badge, ketting (met NAAM van de orde)
46A1241(HOLY SPIRIT)|ridderorde van de Heilige Geest
46A1241(HOLY SPIRIT)1|ridderorde van de Heilige Geest - insignes van een ridderorde, bijvoorbeeld: insigne, ketting (met NAAM van de orde)
46A1241(ST. JOHN)|ridderorde van de Orde van Sint-Jan
46A1241(ST. JOHN)1|ridderorde van St. Jan - insignes van een ridderorde, bijvoorbeeld: insigne, ketting (met NAAM van de orde)
46A1241(TEUTONIC ORDER)|ridderorde: Duitse Orde
46A1241(TEUTONIC ORDER)1|ridderorde: Duitse Orde - insignes van een ridderorde, bijvoorbeeld: insigne, ketting (met NAAM van de orde)
46A125|het worden van een ridder, ridderen
46A1251|pagina, lakei
46A1252|schildknaap, schilddrager
46A1253|ridderwijdingen
46A12531|ridderen met weinig ceremonie
46A125311|ridderen van het zwaard (~ tot ridder slaan)
46A125312|slaan of slaan met zwaard, accolade (~ ridderslag)
46A12532|Het ridderen van een ridder met volledige ceremonie
46A125321|kleding (~ ridderslag ceremonie)
46A125322|snelle en hele-nacht wake (~ ridderslag ceremonie)
46A125323|zegening van het zwaard (~ ridderslag ceremonie)
46A125324|bezetting met harnas, sporen en zwaard (~ ridderschap)
46A125325|slaan of slaan met zwaard, accolade (volledige ridderslagceremonie)
46A125326|andere onderdelen van de ridderslagceremonie
46A126|de negen waardigen, 'les neuf preux'
46A1261|Joshua (één van de negen waardigen)
46A1262|David (één van de negen waardigen)
46A1263|Judas Maccabeüs (één van de negen waardigen)
46A1264|Hector (één van de negen waardigen)
46A1265|Alexander (één van de negen waardigen)
46A1266|Julius Caesar (één van de negen waardigen)
46A1267|Arthur (één van de negen waardigen)
46A1268|Karel de Grote (één van de negen waardigen)
46A1269|Godefroy van Bouillon (één van de negen waardigen)
46A127|Mannen of naam of faam, helden, 'homines illustres', 'uomini famosi'
46A13|gewone mensen
46A131|bourgeoisie, middenklasse, burgers, burgers
46A132|dorpelingen; horigen (Dutch: 'dorpers')
46A139|buffoon (in het algemeen) (Duits: 'Schalksnarr')
46A14|boeren
46A141|Gevecht tussen boeren en soldaten
46A15|de arme
46A151|bedelaar
46A1511|bedelnap
46A1512|bedelaarsprocessie
46A152|'fahrende Leute', zwervers
46A153|'bambochades', feestvierders
46A154|Over het algemeen verachte beroepen, 'unehrliche Leute'
46A155|buitenstaanders, paria's
46A16|de rijken
46A161|verwerven van rijkdom
46A1611|schatzoeken, goldrush
46A1612|opgraven van of vinden van schat
46A162|tentoonstelling van rijkdom
46A1621|weergave van juwelen, enz.
46A1622|verspreiden van waardevolle spullen
46A1623|overpeinzen van iemands eigen rijkdom
46A163|bescherming van rijkdom
46A1631|bewaarplaats (van waardevolle spullen)
46A16311|verbergen, verhullen, begraven van een schat
46A1632|geldkist, schatkist, spaarpot
46A16321|kluis, kluisje
46A1633|bewaking van schat
46A16331|bewaking van schat door mannen
46A16332|bewaking van schat door dieren
46A16333|bewaking van schat door mechanische middelen
46A164|bovenste tien
46A165|jet set
46A166|parvenu, 'nouveau riche', upstart
46A17|arbeiders, arbeiders
46A170|Arbeid
46A171|werkgever ~ werknemer
46A1711|medewerker vraagt om werk
46A172|uitbetaling van lonen
46A1721|arbeider weigert betaling
46A1722|werkgever weigert loon te betalen
46A173|arbeiders die naar het werk gaan
46A174|arbeiders die naar huis terugkeren
46A175|kinderarbeid
46A179|werkloosheid
46A1791|werkloze arbeiders
46A18|slavernij; horigen en tot slaaf gemaakte personen
46A180|'Servitù', 'Servitù per forza' (Ripa)
46A181|slavenhandel
46A1811|land of regio van herkomst van de tot slaaf gemaakten
46A1811(...)|land of regio van herkomst van de tot slaaf gemaakte (met NAAM)
46A1812|land of regio van bestemming van de tot slaaf gemaakten
46A1812(...)|land of bestemming van de tot slaaf gemaakte (met NAAM)
46A182|meester ~ tot slaaf gemaakte persoon
46A183|vrijheid ~ slavernij
46A1831|bevrijding (van een tot slaaf gemaakte persoon)
46A1832|aankoop van vrijheid
46A1833|ontsnapping, ontsnappingspogingen (van een tot slaaf gemaakte persoon)
46A1834|afschaffing van slavernij, bestrijding van slavernij
46A2|sociale contrast
46A21|Contrast tussen rijk en arm
46A211|slechte rijke man, goede arme man
46A212|het geven van aalmoezen of andere liefdadigheid, bijv.: voedsel uitdelen
46A2120|'Elemosina' (Ripa)
46A213|filantroop
46A22|Contrast tussen stedelijk en landelijk leven; stadsbewoner versus plattelandsbewoner
46A221|stedelijk leven
46A2211|stadsbewoners
46A2219|ontvolking van steden, stedelijke ontvolking
46A222|landelijk leven
46A2221|landbewoners
46A22219|ontvolking van het platteland, plattelandsontvolking
46A23|Contrast tussen belangrijke en onbelangrijke mensen; de mindere voor de meerdere, de zwakke voor de machtige.
46A231|de protegé voor de beschermheer
46A24|relatie tussen meester en dienaar
46A241|twee heren dienen
46A3|openbare welzijn
46A31|weeshuis
46A311|vondelingenasiel
46A32|zorg voor ouderen
46A321|bejaardentehuis
46A3211|hofje
46A33|liefdadigheidswerken
46A4|relaties tussen rassen
46A41|raciale discriminatie, segregatie
46A42|inter-raciale antipathie, racisme
46A421|rassenrellen
46A422|Ku Klux Klan en soortgelijke organisaties
46A49|anti-racisme; raciale integratie
46A5|linguïstische communicatie
46A51|poging om zichzelf verstaanbaar te maken ~ taalkundige communicatie
46A511|misverstand
46A52|tolk ~ taal
46A53|vertaler
46A54|communicatie met doven of stommen
46A541|lippen lezen
46A542|gebarentaal
46A55|kunstmatige taal
46A551|Esperanto
46A6|maatschappijen en besturen
46A61|bestuur, vooral bestuurders, toezichthouders, enz. (Nederlands: 'regenten')
46A611|voorzitter
46A612|secretaris (van een vereniging)
46A613|penningmeester
46A614|commissieleden, bestuursleden
46A62|lid, lidmaatschap
46A621|lid worden
46A6211|stemming
46A6212|initiatie (~ lidmaatschap van een vereniging)
46A629|schorsing, uitsluiting (uit een vereniging)
46A63|vergadering, bijeenkomst
46A631|het openen van de vergadering
46A632|adres, praat, lezing (~ bijeenkomst)
46A633|debat, discussie (~ bijeenkomst)
46A634|onderbreking, vragen (~ vergadering)
46A635|stemmen (~ bijeenkomst)
46A636|chaos, rommelige procedure (~ vergadering)
46A637|vergadering sluiten
46A638|assemblagezaal
46A7|menigte, menigte
46A71|Individu versus massa
46A8|ongewone manieren van leven
46A81|zwervende gemeenschappen
46A81(...)|zwervende gemeenschappen (met NAAM)
46A81(GIPSIES)|zwervende gemeenschappen: zigeuners
46A81(NOMADS)|zwervende gemeenschappen: nomaden
46A811|zwervende gemeenschappen die in tenten leven
46A812|zwervende gemeenschappen die in woonwagens wonen
46A813|dwalende gemeenschappen die op boten leven
46A82|idealistische gemeenschappen, 'back to nature'
46A821|gemeenschappen, groepen
46A821(...)|gemeenschappen, groepen (met NAAM)
46A8211|gemeenschappelijke deling van alles
46A822|naturisten
46A823|nudisten
46A83|eenzaam wonen
46A831|levend alleen op een onbewoond eiland, Robinsonade
46A84|baanbrekend, grensleven
46A841|Wilde Westen
46A85|avonturier
46A9|primitieve sociale structuur
46A91|matriarchaat
46A92|patriarchaat
46A93|clans, tribale relaties
46AA122|wapen, heraldiek - AA - vrouwelijk
46AA122(...)|wapen, heraldiek (met NAAM van familie) - AA - vrouwelijk
46AA122(...)1|wapen, heraldiek (met NAAM van familie) - AA - vrouw - wapenschild
46AA122(...)2|wapen, heraldiek (met NAAM van familie) - AA - vrouw - helmteken
46AA122(...)3|wapen, heraldiek (met NAAM van familie) - AA - vrouw - embleem, motto
46AA122(...)4|wapenschild, heraldiek (met NAAM van familie) - AA - vrouwelijk - impresa
46AA122(...)5|wapen, heraldiek (met NAAM van familie) - AA - vrouw - banier
46AA122(...)6|wapen, heraldiek (met NAAM van familie) - AA - vrouwelijk - zegel
46AA126|de negen waardigste vrouwen
46AA1261|Esther (één van de negen waardigste vrouwen)
46AA1262|Judith (één van de negen waardigste vrouwen)
46AA1263|Jael (één van de negen waardigste vrouwen)
46AA1264|Lucretia (één van de negen waardigste vrouwen)
46AA1265|Veturia, moeder van Coriolanus (een van de negen waardigste vrouwen)
46AA1266|Virginia (één van de negen waardigste vrouwen)
46AA1267|St. Helena (één van de negen waardigste vrouwen)
46AA1268|St. Brigit (één van de negen waardigste vrouwen)
46AA1269|St. Elizabeth (één van de negen waardigste vrouwen)
46AA127|Mannen of naam of faam, helden, 'homines illustres', 'uomini famosi' - AA - vrouwen of naam of faam, heldinnen, 'femmes célèbres', 'les neuf preuses'
46AA14|boeren - AA - vrouwelijke boer, boerin
46AA17|arbeidersklasse, arbeiders - AA - vrouwen
46AA170|Arbeid - AA - vrouwen
46AA171|werkgever ~ werknemer - AA - vrouwen
46AA1711|medewerker vraagt om werk - AA - vrouwen
46AA172|uitbetaling van lonen - AA - vrouwen
46AA1721|arbeider weigert betaling - AA - vrouwen
46AA1722|werkgever weigert loon te betalen - AA - vrouwen
46AA173|arbeiders die naar het werk gaan - AA - vrouwen
46AA174|arbeiders die naar huis terugkeren - AA - vrouwen
46AA175|kinderarbeid - AA - vrouwen
46AA179|werkloosheid - AA - vrouwen
46AA1791|werkloze arbeiders - AA - vrouwen
46AA24|relatie tussen meester en dienaar - AA - slechte relatie
46AA241|dienen twee meesters - AA - slechte relatie
46AA61|bestuur, vooral gouverneurs, trustees, enz. (Dutch: 'regenten') - AA - vrouwen (Dutch: 'regentessen')
46AA611|voorzitter - AA - vrouwen (Dutch: 'regentessen')
46AA612|secretaris (van een vereniging) - AA - vrouwen (Nederlands: 'regentessen')
46AA613|penningmeester - AA - vrouwen (Dutch: 'regentessen')
46AA614|commissieleden, bestuursleden - AA - vrouwen (Nederlands: 'regentessen')
46AA63|vergadering, bijeenkomst - AA - in de open lucht
46AA631|het openen van de vergadering - AA - in de open lucht
46AA632|adres, praat, lezing (~ bijeenkomst) - AA - in de open lucht
46AA633|debat, discussie (~ bijeenkomst) - AA - in de open lucht
46AA634|onderbreking, vragen (~ vergadering) - AA - in de open lucht
46AA635|stemmen (~ bijeenkomst) - AA - in de open lucht
46AA636|chaos, rommelige procedure (~ vergadering) - AA - in de open lucht
46AA637|Het sluiten van de vergadering - AA - in de open lucht
46AA638|assemblagezaal - AA - in de open lucht
46B|handel, commercie en financiën
46B0|Allegorie van handel; 'Commertio della vita humana' (Ripa)
46B1|locaties voor handel
46B11|markt
46B111|kraam, stand (~ markt)
46B112|marktzaal
46B12|jaarlijkse beurs, vakbeurs
46B13|winkel, winkel
46B131|warenhuis, supermarkt
46B132|etalage
46B133|teller ~ winkel
46B14|weeghuis
46B15|groothandelshuis
46B16|veilingverkoop, openbare verkoop
46B17|Beurs, Beurs
46B18|handelsbeurs, industriebeurs
46B181|wereldtentoonstelling, wereldtentoonstelling
46B19|kermis
46B2|personen actief in handel en commercie
46B21|handelaar, verkoper
46B21(...)|handelaar, verkoper (met NAAM van beroep of vak)
46B22|zwervende of reizende handelaar
46B221|straathandelaar
46B221(...)|straathandelaar (met NAAM van handel of beroep)
46B2211|'Cris de Paris', cries of London, etc.
46B222|venter
46B23|commercieel reiziger
46B24|winkelier
46B241|verkoopmedewerker
46B25|naar de markt gaan
46B26|terugkomend van de markt
46B27|klant
46B271|tevreden klant
46B272|klagende klant
46B3|hulp- en methoden in handel en financiën
46B31|geld
46B310|'Pecunia' (Ripa)
46B311|munt
46B3111|handelsmunt, privé munt
46B312|bankbiljet
46B313|geld in andere vormen, bijv.: metalen staven, schelpen, enz.
46B314|cheque, wissel, wisselbrief
46B3140|concept (alleg.); Cambio, Wissel (Ripa)
46B32|administratie ~ handel en financiën
46B321|boekhouding, accountant
46B3211|tellen
46B322|kantoor (~ administratie)
46B33|wegen
46B331|weeginstrumenten
46B3311|schalen
46B3312|gewicht gebruikt op weegschalen
46B332|wegen van goud of geld
46B34|kubieke meting
46B341|kubieke maat, maat van capaciteit
46B35|reclame
46B351|mondelinge reclame
46B352|handbill
46B3521|brochure
46B353|poster
46B3531|reclamebord
46B3532|posterzuil
46B3533|broodjesman
46B354|naambordje
46B355|handelsmerk, handelsmunt, handelsteken, handelskaart
46B356|advertentie, kennisgeving
46B4|commerciële transacties
46B41|kopen en verkopen
46B411|kopen
46B412|verkopen
46B413|ruilhandel
46B414|aannemen, leasen
46B415|prijs
46B4151|prijskaartje
46B4152|handgeschreven prijs, bijvoorbeeld in een boek
46B416|factuur
46B4161|ontvangst
46B42|onderzoeken van koopwaar
46B43|onderhandelen
46B44|betaling (~ handel) (hier ook terugbetaling van schuld, enz.)
46B45|debet en credit
46B451|debet, schuld
46B4510|'Debito' (Ripa)
46B4511|Ik ben je iets verschuldigd, obligatie
46B452|krediet
46B4520|'Credito' (Ripa)
46B46|koopovereenkomst
46B47|Winst en verlies
46B471|winst (~ handel)
46B4711|interesse (~ handel)
46B472|verlies (~ handel)
46B48|Speculatie in handel en financiën, aandelenhandel
46B481|speculatieve hausse
46B49|importeren en exporteren
46B491|import
46B492|exporteren
46B493|handelsexpeditie
46B494|handelsbedrijf
46B4941|koopvaardij, scheepvaarthandel
46B5|organisatie van handel en financiën
46B51|handelen in geld
46B511|geldwisselaar
46B512|geldschieter, woekeraar
46B5120|'Usura' (Ripa)
46B513|pandjesbaas, lommerd
46B52|effectenbeurs, aandelenmarkt
46B521|beursverslagen
46B53|bank
46B531|bankier
46B54|giro
46B55|verzekering
46B551|verzekeringsagent
46B56|zakenliedenorganisatie
46B561|koopmansgilde
46B562|kamer van koophandel
46B57|vertrouwen, kartel, monopolie
46B6|storten
46B61|verkoop, koopje-verkoop
46B7|economische spionage
46B8|boycot
46B9|negatieve resultaten en ongewenste aspecten van handel
46B91|fraude, oplichting
46B910|'Acquisto cattivo' (Ripa)
46B911|omkoping
46B92|faillissement
46B921|procesbezorger
46B93|depressie, dip
46B931|financiële paniek
46B932|inflatie
46BB2|personen actief in handel en commercie - BB - vrouwen actief in handel en commercie
46BB21|handelaar, verkoper - BB - vrouwen actief in handel en commercie
46BB21(...)|handelaar, verkoper (met NAAM van handel of beroep) - BB - vrouwen actief in handel en commercie
46BB22|zwervende of reizende handelaar - BB - vrouwen actief in handel en commercie
46BB221|straathandelaar - BB - vrouwen actief in handel en commercie
46BB221(...)|straathandelaar (met NAAM van handel of beroep) - BB - vrouwen actief in handel en commercie
46BB2211|'Cris de Paris', cries of London, etc. - BB - vrouwen actief in handel en commercie
46BB222|venter - BB - vrouwen die betrokken zijn bij handel en commercie
46BB23|commercieel reiziger - BB - vrouwen actief in handel en commercie
46BB24|winkelier - BB - vrouwen actief in handel en commercie
46BB241|verkoopmedewerker - BB - vrouwen actief in handel en commercie
46BB25|naar de markt gaan - BB - vrouwen betrokken bij handel en commercie
46BB26|terugkomend van de markt - BB - vrouwen actief in handel en commercie
46BB27|klant - BB - vrouwen actief in handel en commercie
46BB271|Tevreden klant - BB - vrouwen actief in handel en commercie
46BB272|Klagende klant - BB - vrouwen actief in handel en commercie
46C|verkeer en transport
46C1|verkeer op het land
46C11|weg, pad
46C111|Ford
46C1111|het oversteken van een rivier
46C1112|veerboot
46C1113|stapstenen
46C112|brug
46C1121|bruggen door constructie
46C11211|hangbrug
46C11212|uitkragende brug
46C11213|basculebrug
46C1122|brugvormen
46C11221|brug met structuur, d.w.z. overkapping of gebouwen
46C113|viaduct
46C114|ondergrondse weg, tunnel
46C115|verkeersregulering (borden, lichten, enz.)
46C1151|verkeersbord
46C1152|agent op verkeersdienst
46C1153|verkeerslichten
46C1159|verkeersblokkade, verkeersopstopping
46C116|kruispunt, splitsing
46C1160|kruispunt, splitsing (allegorisch of symbolisch gerepresenteerd)
46C1161|wegwijzer
46C1162|mijlpaal
46C117|wegkruising, 'mont-joie'
46C118|andere structuren ~ weg, pad
46C1181|trap van treden
46C12|menselijke kracht ~ verkeer en transport op het land
46C121|iets dragen
46C1211|iets dragen in mand, tas, rugzak, enz.
46C1212|iets dragen met een juk
46C1213|iets dragen met een draagstok
46C1214|iets dragen met een kruiwagen
46C1215|iets op het hoofd of op de schouders dragen
46C122|kruiwagen
46C123|handkar
46C124|riksja
46C125|fiets
46C1251|antieke soorten fietsen
46C1251(...)|antieke soorten fietsen (met NAAM)
46C1252|driewieler
46C12521|driewieler met bakfiets
46C1253|eenwieler
46C1254|tandem
46C1257|andere soorten fietsen
46C1257(...)|Andere soorten fietsen (met NAAM)
46C1258|onderdelen, accessoires van een fiets
46C1258(...)|onderdelen, accessoires van een fiets (met NAAM)
46C126|ongewone vervoersmiddelen
46C1261|stelten
46C127|iemand dragen
46C1271|iemand op de rug dragen
46C1272|(dragen van een persoon op een) draagbaar, brancard
46C1273|(iemand dragen in een) draagstoel
46C128|mens(en) die een voertuig tekenen of duwen dat meestal niet door menskracht wordt voortgestuwd
46C13|dierenmontages; lastdieren
46C131|het berijden van een paard, ezel of muilezel; ruiter, paardenman
46C1311|rijstal, manege
46C13111|middelbare school rijden
46C13112|carrousel
46C1312|paardenstaatsportret
46C1313|ruiterstandbeeld
46C1314|paarden en verwante dieren
46C13141|paard
46C13141(...)|paard (met NAAM van ras of soort)
46C131411|vechtende paarden
46C13142|ezel, ezel
46C13143|muilezel
46C13144|muildier
46C1315|fokkerij
46C1316|opzadelen en optuigen
46C13161|zadel en hoofdstel (zadelmakerij)
46C131611|hoofdstel
46C131612|beetje
46C131613|teugels
46C131614|zadel
46C1316141|howdah
46C131615|stijgbeugel
46C131616|knipperlichten
46C131617|paardendeken
46C1317|verzorging
46C13171|verzorgen
46C13172|roskam
46C1318|paard in beweging
46C13181|wandelen (paard in beweging)
46C13182|draven (paard in beweging)
46C13183|galopperend paard
46C13184|springend (paard in beweging)
46C13185|opvoeding (paard in beweging)
46C13186|schoppend (paard in beweging)
46C13187|leidend een paard aan de teugels; ruiter naast zijn paard
46C1319|ongeval met paard (of verwant dier)
46C13191|wegrennen, weglopen (~ paard)
46C13192|paard dat ruiter afgooit
46C13193|Paard aangevallen door wild dier
46C132|rijden op een dier anders dan paard, ezel of muilezel
46C133|pakdier
46C14|dierlijke trekkracht, door dieren getrokken voertuig (koets etc.)
46C141|aanspannen, inspannen ~ dierentractie
46C1411|tuig
46C14111|juk
46C14112|andere onderdelen van het tuig
46C1412|losgekoppelde dier(en) naast wagen
46C1413|losmaken
46C142|tweewielig, door dieren getrokken voertuig
46C1421|tweewielig voertuig getrokken door één dier
46C1422|tweewielig voertuig getrokken door twee dieren
46C1423|tweewielig voertuig getrokken door drie dieren
46C1424|tweewielig voertuig getrokken door meer dan drie dieren
46C14241|quadriga
46C143|driewielig, door dieren getrokken voertuig
46C1431|driewielig voertuig getrokken door één dier
46C1432|driewielig voertuig getrokken door twee dieren
46C1433|driewielig voertuig getrokken door drie dieren
46C1434|driewielig voertuig getrokken door meer dan drie dieren
46C144|vierwielig, door dieren getrokken voertuig, bijv.: taxi, koets, bus
46C1441|vierwielig voertuig getrokken door één dier
46C1442|voertuig met vier wielen getrokken door twee dieren
46C1443|voertuig met vier wielen getrokken door drie dieren
46C1444|voertuig met vier wielen getrokken door meer dan drie dieren
46C1444(...)|vierwielig voertuig getrokken door meer dan drie dieren (met AANTAL dieren)
46C145|(boeren) wagen, vrachtwagen, kar
46C1451|bedekte wagen, kapwagen
46C146|aanzetten van een rijdier of trekdier
46C1461|prik, prikkel
46C1462|aansporen
46C1463|zweep
46C147|nauwgezetheid, omnibus, paardentram
46C148|diergetrokken slee (Nederlands: 'toeslede')
46C149|ongeval met een door dieren getrokken voertuig
46C1491|aanspannen van trekdieren
46C1492|ongeval met tweewielig, door dieren getrokken voertuig
46C14921|ongeval met tweewielig voertuig, getrokken door een dier
46C14922|ongeval met tweewielig voertuig, getrokken door twee dieren
46C14923|ongeval met een tweewielig voertuig, getrokken door drie dieren
46C14924|ongeval met een tweewielig voertuig, getrokken door meer dan drie dieren
46C149241|ongeval met quadriga
46C1493|ongeval met een driewielig, door dieren getrokken voertuig
46C14931|ongeval met een driewielig voertuig, getrokken door een dier
46C14932|ongeval met een driewielig voertuig, getrokken door twee dieren
46C14933|Ongeval met een driewielig voertuig, getrokken door drie dieren
46C14934|ongeval met een driewielig voertuig, getrokken door meer dan drie dieren
46C1494|ongeval met een vierwielig, door dieren getrokken voertuig, bijv.: taxi, koets, diligence
46C14941|ongeval met een vierwielig voertuig, getrokken door een dier
46C14942|Ongeval met een vierwielig voertuig, getrokken door twee dieren
46C14943|Ongeval met een voertuig op vier wielen, getrokken door drie dieren
46C14944|ongeval met een vierwielig voertuig, getrokken door meer dan drie dieren
46C14944(...)|ongeval met een vierwielig voertuig, getrokken door meer dan drie dieren (met AANTAL dieren)
46C1495|ongeval met (boeren)wagen, goederenwagen, kar
46C1496|aanzetten van een rijdier of trekdier ~ ongeluk
46C14961|prik, aansporing ~ ongeluk
46C14962|spoor ~ ongeluk
46C14963|zweep ~ ongeluk
46C1497|ongeval met ijver, omnibus, paardentram
46C1498|ongeval met een met dieren getrokken slee (Nederlands: 'toeslede')
46C15|spoorwegverkeer
46C151|spoorweg, tramweg; tandradspoorweg
46C1511|spoorweg, trein
46C15111|goederentrein
46C15112|passagierstrein
46C1512|tramlijn, tram
46C15121|tram
46C1513|bergspoorweg
46C152|locomotief
46C1521|stoomlocomotief
46C1522|diesel locomotief
46C1523|elektrische locomotief
46C1529|andere soorten locomotief
46C1529(...)|andere soorten locomotief (met NAAM van type)
46C153|spoorwegrijtuig, spoorwegrijtuig, wagon
46C1531|passagierswagon
46C1532|spoorwegwagon
46C154|signaalsysteem (spoorweg, tramlijn)
46C1541|seinhuis, seinpost (spoorweg, tramlijn)
46C1542|ongecontroleerde spoorwegovergang (spoorweg, tramlijn)
46C1543|bewaakte spoorwegovergang (spoorweg, tramlijn)
46C1544|sein (spoorweg, tramlijn)
46C155|station; shelter (spoorweg, tramhalte)
46C1551|platform (spoorweg, tramlijn)
46C1552|wachtruimte (spoorweg, tramlijn)
46C1559|(ander) gebouwen, constructies ~ spoorweg, tramlijn
46C15591|depot ~ spoorweg, tramlijn
46C156|ondergrondse spoorweg, 'métro'
46C1561|metrostation
46C157|monorail
46C158|suspension railway
46C1581|funiculaire spoorweg
46C159|spoorwegongeval
46C1591|ongeval met spoorweg, tram; tandradspoorweg
46C1592|ongeval met locomotief
46C1593|ongeval met treinwagon, spoorwegrijtuig
46C1594|seinensysteem (spoorwegen) ~ ongeval
46C15941|seinhuis, seinpost ~ ongeluk
46C15942|Ongeval op een onbewaakte spoorwegovergang.
46C15943|ongeval op bewaakte spoorwegovergang
46C1595|ongeval op station; schuilplaats (spoorwegen)
46C1596|ongeval in ondergrondse spoorweg
46C15961|ongeval in ondergronds station
46C1597|ongeval met monorail
46C1598|ongeval met zweeftrein
46C15981|ongeval met kabelspoorweg
46C16|verkeer over de weg of pad met motorvoertuig
46C161|auto
46C1611|driewielige auto, auto
46C162|bus, touringcar
46C163|vrachtwagen, bestelwagen
46C164|amfibievoertuig
46C165|Motorfietsen en andere tweewielige motorvoertuigen
46C166|andere motorvoertuigen die niet bedoeld zijn of hierboven genoemd
46C1661|tractor
46C167|onderdelen, bijlagen van een motorvoertuig
46C1671|delen van een motorvoertuig
46C1671(...)|delen van een motorvoertuig (met NAAM)
46C168|onderhoud, reparatie, opslag ~ motorvoertuigen
46C1681|tankstation
46C16811|benzinepomp
46C16812|reparatiewinkel, garage voor reparaties, benodigdheden etc.
46C16813|auto wassen, autowasmachine
46C1682|parkeervoorzieningen
46C16821|parkeerplaats, parkeerterrein
46C16822|parkeergarage, parkeergebouw, parkeergarage met meerdere verdiepingen
46C16823|parkeermeter
