2|Natuur
26C1324|west-zuidwesten wind (WSW) (één van zestien richtingen)
26C1325|westenwind (W) (één van zestien richtingen)
26C1326|west-noordwesten wind (WNW) (één van zestien richtingen)
26C1327|noordwestenwind (NW) (één van zestien richtingen)
26C1328|noord-noordwesten wind (NNW) (één van zestien richtingen)
26C14|andere verdelingen van winden
26C2|verdeling van winden naar sterkte
26C21|zeetermen voor windkracht
26C21(...)|zeetermen voor windsnelheid (met NAAM)
26C22|schaal van Beaufort
26C3|storm
26C31|storm op land
26C32|storm op zee
26C33|zandstorm
26C34|sneeuwstorm
26C35|wervelwind, cycloon, orkaan, tyfoon, tornado
26C351|wervelwind, cycloon, orkaan, tyfoon, tornado op land
26C352|wervelwind, cycloon, orkaan, tyfoon, tornado op zee
26C4|weathervane
26C41|weathervane
26C42|windzak
26C5|barometer
26C6|wind als een menselijk gezicht, blazend met ronde wangen
26C9|afwezigheid van wind, kalm
26D|vorst, vriesweer
26D1|sneeuw
26D11|lawine
26D111|bescherming tegen lawines
26D2|hagel
26D3|ijsbloemen, rijp
26D4|ijs ~ vriesweer
26D41|drijfijs
26D42|ijspegel
26D5|hevige winters
26D9|ontdooien
26E|onweersbui
26E1|donder
26E2|bliksem, flits van bliksem, donderslag
26E21|bliksemafleider
26E22|ongelukken met bliksem
26E3|andere elektrische weersverschijnselen
26E31|St. Elmo's vuur
26E32|noorderlicht, 'aurora borealis'
26F|goed en slecht weer
26F1|goed weer
26F10|'Salubrità o purità dell'aria' (Ripa)
26F11|hittegolf
26F111|zonnesteek
26F2|slecht weer
26F21|koudegolf
26F22|'Pruina', winterweer
26F3|gevolgen van het weer, bijvoorbeeld Na de droogte, Voor de storm, Na de cycloon
26G|mirage, 'fata morgana'
26H|nog andere meteorologische verschijnselen
29|surrealia, surrealistische voorstellingen
29A|dieren die zich gedragen als mensen
29A1|'mundus inversus', de omgekeerde wereld, de wereld op zijn kop, 'le monde bestourné'
29A2|planten of bomen die optreden als, of worden vergeleken met menselijke wezens
29B|planten die zich gedragen als menselijke wezens of dieren
29C|objecten die tot leven komen, bijvoorbeeld poppen
29D|natuurlijke vormen in stenen, hout, wolken, enz. geïnterpreteerd als representaties
3|Menselijk wezen, Man in het algemeen
31|man in een algemene biologische zin
31A|het (naakte) menselijk figuur; 'Corpo humano' (Ripa)
31A1|canon, verhoudingen
31A11|staande figuur (canon, verhoudingen)
31A12|figuur in cirkel of vierkant, benen uit elkaar en armen omhoog of zijwaarts gestrekt
31A13|andere systemen of canons
31A14|menselijke figuur van ideale verhoudingen, bijv. academisch naakt
31A140|allegorische voorstelling van menselijke figuur van ideale verhoudingen
31A141|naakt met bedekte geslachtsdelen
31A19|'homo Platonis', 'animal bipes implume'
31A2|anatomie (niet-medisch)
31A21|(menselijk) skelet
31A211|(menselijke) schedel
31A2111|kaak (menselijk)
31A2112|tanden
31A21121|voortanden
31A21122|achterste tanden, kiezen
31A212|thorax
31A2121|ribben
31A2122|ruggengraat
31A2123|sleutelbeen
31A2124|schouderblad
31A213|bekken
31A214|botten van de armen
31A2141|humerus, bot van de bovenarm
31A2142|radius en ulna, botten van de onderarm
31A2143|carpus en metacarpus, delen van de hand
31A2144|falangen van de vingers
31A215|botten van de benen
31A2151|femur, bot van het bovenbeen
31A2152|tibia en fibula, botten van het onderbeen
31A2153|tarsus en metatarsus, delen van de voet
31A2154|falangen van de tenen
31A216|botten in het algemeen (menselijk lichaam)
31A22|delen van het menselijk lichaam (skelet uitgezonderd)
31A221|hoofd (mens)
31A2211|gezicht
31A22111|delen van het gezicht
31A22111(...)|delen van het gezicht (met NAAM)
31A22111(LIPS)|delen van het gezicht: lippen
31A22111(NOSE)|delen van het gezicht: neus
31A2212|ogen
31A22121|'imago omnia videntis'
31A2213|oren
31A2214|mond
31A22141|tongue
31A2215|hoofd (intern)
31A22151|hersenen
31A22152|neusholte
31A22153|mond- en keelholte
31A222|borst, buste
31A2221|hart
31A22210|hart symboliek
31A222101|ontheilig hart symbool ~ liefde
31A22211|delen van het hart
31A2222|longen, bronchiën
31A22221|ademhaling
31A22222|ademhalen met horten en stoten
31A22229|verstikkend
31A2223|borsten
31A22231|tepels
31A22232|borsten die melk geven
31A2224|schouder
31A2225|terug
31A2226|torso
31A223|buik (menselijk wezen)
31A2231|externe aspecten ~ buikholte
31A22311|navel
31A22312|heup
31A2232|klieren
31A22321|lever (menselijke anatomie)
31A22322|galblaas
31A22323|milt
31A22324|nier
31A2233|maag
31A22331|slokdarm
31A2234|darmen
31A2235|blaas
31A2236|seksuele organen (menselijk)
31A22361|mannelijke geslachtsorganen
31A223611|testikels
31A223612|penis, fallus
31A2236121|afbeelding van fallus, 'phallos'
31A223613|sperma
31A22362|vrouwelijke geslachtsorganen
31A223621|baarmoeder, uterus
31A2236211|baarmoeder met foetus
31A223622|eierstokken
31A223623|menstruatie
31A223624|vagina
31A2237|achterwerk, 'partes posteriores'
31A22371|anus
31A224|armen
31A2241|bovenarm
31A2242|elleboog
31A2243|onderarm
31A2244|pols
31A2245|hand
31A22451|handafdruk
31A2246|vingers
31A22461|duim
31A22462|wijsvinger
31A22463|middelvinger, tweede vinger
31A22464|ringvinger
31A22465|pinkje
31A2247|nagels (vingers)
31A225|benen
31A2251|bovenbeen
31A2252|knie
31A2253|onderbeen
31A2254|enkel
31A2255|voet
31A22551|very
31A22552|voetafdruk, spoor
31A2256|tenen
31A2257|nagels (tenen)
31A226|andere anatomische details
31A2261|bloedsomloop
31A22611|bloed
31A22612|slagaders
31A22613|aders
31A2262|huid (menselijk)
31A22621|haar
31A22622|lichaamshaar
31A22623|schaamhaar
31A22624|huidskleur
31A22624(...)|huidskleur (met FITZPATRICK nummer)
31A2263|spieren
31A2264|pezen
31A2265|zenuwen
31A23|houdingen van de menselijke figuur
31A231|staande figuur
31A2311|'contrapposto', 'Standbein und Spielbein'
31A2312|'figura serpentinata'
31A2313|staand op één been
31A2319|staand op het hoofd of op de handen
31A232|leunende figuur
31A2321|voorover leunend
31A2322|achterover leunen
31A2323|overhellen
31A233|knielende figuur
31A2331|geknield op beide knieën
31A234|squatting, hurkende figuur
31A2341|samengekrompen figuur
31A235|zittende figuur
31A2351|zittend op de grond
31A2352|zittend op een verhoging
31A2353|zitten met armen of ellebogen op de knieën
31A23531|zitten met hand(en) rustend op de dij of knie
31A2354|zitten op iemands schoot
31A236|liggende figuur
31A2361|liggend op de rug met opgeheven bovenlichaam
31A2362|liggend met het gezicht naar beneden
31A2363|liggend aan één kant, uitgestrekt
31A2364|liggend aan één kant, met opgeheven bovenlichaam en leunend op de arm
31A2365|liggend op de rug met handen onder het hoofd
31A2366|liggend met het gezicht naar beneden en handen onder het hoofd
31A237|hangende figuur (bij de armen, benen, enz.)
31A2371|hangend aan de armen
31A23711|hangend aan één arm
31A2372|hangend aan de benen
31A23721|hangend aan één been
31A2373|hangend aan andere delen van het lichaam
31A23731|hangend aan het haar
31A23732|hangend aan de tanden
31A239|andere houdingen van de menselijke figuur, niet bedoeld of genoemd hierboven
31A2391|buigende figuur
31A24|houdingen van het hoofd
31A241|hoofd in normale rechtopstaande positie
31A242|hoofd opzij gedraaid
31A2421|hoofd naar links gedraaid
31A2422|hoofd naar rechts gedraaid
31A243|hoofd naar achteren gebogen
31A244|hoofd naar voren gebogen; buigen
31A245|hoofd schuin naar links
31A246|hoofd schuin naar rechts
31A247|over de schouder kijken
31A249|andere houdingen van het hoofd, niet bedoeld of hierboven genoemd
31A25|houdingen en gebaren van armen en handen
31A251|houdingen en gebaren van armen en handen in het algemeen
31A2511|arm omhoog gestoken
31A25111|armen omhoog, met gesloten vingers
31A25112|arm omhoog, met vingers gespreid
31A25113|arm omhoog, met vuist
31A2512|arm uitgestrekt vooruit
31A2513|arm uitgestrekt opzij
31A2514|arm achteruit gehouden
31A2515|arm omlaag gehouden
31A2516|arm of hand voor het lichaam gehouden
31A25161|arm of hand voor de borst gehouden
31A251611|hand die de borst vasthoudt
31A25162|hand op het hart
31A25163|hand die de borst slaat
31A25164|hand die de borst ontbloot
31A25165|armen over de buik gekruist
31A2517|arm of hand gebogen achter het lichaam
31A25171|arm achter de rug gebogen
31A25172|hand achter het hoofd
31A2518|hand op de heup
31A2519|hand niet zichtbaar
31A25191|hand in de zak
31A25192|hand in de mouw
31A25193|hand op borst (of maag), gleed in de opening van het gewaad
31A252|houdingen en gebaren van armen en handen ten opzichte van elkaar
31A2521|armen gekruist
31A25211|armen gekruist, achter de rug
31A25212|armen gekruist over de borst
31A2522|handen gevouwen
31A25221|handen gevouwen met vingers in elkaar gestrengeld
31A25222|wrijven, de handen wringen
31A2523|handen tegen elkaar
31A25231|handen met vingertoppen tegen elkaar
31A2524|aftellen van argumenten, berekenen op vingers
31A2525|handen op elkaar
31A253|houdingen en gebaren van armen en handen in relatie tot het hoofd
31A2531|hand(en) zijn naar het hoofd gebogen
31A25311|'caput manui innixum', hoofd ondersteund door de hand(en)
31A25312|hoofd in de hand(en), met ellebogen leunend op een verhoging of op de knieën
31A25313|het bedekken van het hoofd, het tekenen van draperie over het gezicht
31A25314|hand(en) achter het hoofd
31A2532|hand die de baard aanraakt
31A2533|hand naar het voorhoofd
31A25331|wijzend naar het voorhoofd met de wijsvinger
31A25332|'cornuto', d.w.z. opgestoken wijsvinger en pink gebogen boven het voorhoofd
31A2534|hand(en) naar het oog(de)
31A25341|kijkend met de hand boven de ogen
31A25342|gluren tussen de vingers
31A25343|zijn ogen wrijven
31A25344|tranen wegvegen
31A2535|hand(en) naar de neus
31A25351|zijn neus dichtknijpen
31A2536|hand(en) naar de mond
31A25361|fluiten met vingers
31A25362|trekken aan de hoeken van de mond
31A25363|likken van voedsel van een vinger
31A2537|hand(en) naar het oor (oren)
31A25371|een hand aan het oor houden
31A25372|het krabben van iemands oor
31A25373|het bedekken van iemands oor
31A254|houdingen en gebaren van arm(en) en hand(en) ten opzichte van een andere persoon
31A2541|iemand bij de arm vastpakken
31A25411|lopend arm in arm
31A2542|oplegging van handen
31A2543|iemand bij de hand of de pols vastgrijpen; handen in elkaar gevouwen
31A25431|drie of meer samengevouwen handen, wat betekent 'Unity is Strength'
31A25432|iemand bij de hand of pols leiden
31A25433|'immixtio manuum', het plaatsen van gevouwen handen tussen de handen van een andere persoon
31A25434|elkaars handpalmen slaan
31A2544|iemand bij het hoofd vastpakken
31A25441|iemand bij het haar vastpakken
31A25442|iemand bij de nek grijpen
31A25443|iemand bij de keel grijpen
31A2545|iemand bij de schouder vastpakken
31A2546|iemand bij de benen vastpakken
31A25461|iemand bij de voeten vastpakken
31A2549|iemand vastgrijpen bij andere lichaamsdelen
31A255|houdingen en gebaren van hand en vingers
31A2551|houdingen en gebaren van de hand
31A25511|vingers gesloten
31A25512|vingers gespreid
31A25513|hand made into a fist
31A2552|houdingen en gebaren van de handpalm
31A25521|palm van de hand omhoog
31A25522|handpalm naar beneden
31A2553|houdingen en gebaren van de duim
31A25531|duim omhoog
31A25532|duim omlaag
31A2554|houdingen en gebaren van duim en andere vingers
31A25541|strijken met de duim over de bovenkant van de wijsvinger
31A25542|duim tussen de wijsvinger en de middelvinger
31A25543|met de vingers knippen
31A2555|houdingen en gebaren van de wijsvinger
31A25551|wijsvinger omhoog
31A25552|wijsvinger naar voren, wijzend, aanduidend
31A25553|iemand met een vinger wenken
31A2556|houdingen en gebaren van wijsvinger en middelvinger
31A25561|wijsvinger en middelvinger omhoog, gesloten
31A25562|wijsvinger en middelvinger omhoog, gespreid; V-teken
31A2559|houdingen en gebaren van andere vingers
31A256|gebaartaal
31A259|nog andere houdingen en gebaren van arm(en) en hand(en) die niet genoemd of bedoeld zijn onder 31 A 25 1 tot 31 A 25 6
31A26|houdingen van de benen
31A261|benen in dezelfde positie
31A2611|beide benen recht
31A26111|staand of leunend met beide benen recht, naast elkaar, voeten plat op de grond
31A26112|staand of leunend met beide benen recht, naast elkaar, op de tenen staand
31A26113|zitten of liggen met beide benen gestrekt, naast elkaar
31A26114|staand, leunend, zittend of liggend met benen gespreid
31A26115|liggend met opgeheven benen, uitgestrekt
31A2612|beide benen gebogen
31A26121|staand met gebogen benen, naast elkaar
31A26122|zittend met gebogen benen, naast elkaar
31A26123|hurken met benen naast elkaar
31A26124|beide benen gebogen, naast elkaar, knieën op de grond; knielend
31A26125|beide benen gebogen, naast elkaar, knieën opgetrokken tegen de borst
31A26126|staand met gebogen benen, wijdbeens staan
31A26127|zittend met gebogen benen, wijdbeens
31A26128|zitten of liggen met gebogen benen opgetrokken of omhoog gebracht
31A26129|zittend met gekruiste benen, als kleermaker aan het werk
31A261291|Boeddha-houding, 'lotus'-houding
31A262|benen in verschillende posities
31A2621|het ene been voor het andere
31A26211|één been voor het andere, looppositie
31A26212|één been voor het andere, één knie gebogen, lunges
31A26213|benen gebogen met knieën op de grond, één voor de ander
31A2622|gebogen benen naar voren of naar achteren uitgestrekt, met knie of voet geplaatst op een verhoging
31A2623|staand op één been, het andere been vooruit
31A26231|staand op één been, het andere been naar voren, recht
31A262311|staand op één been, het andere been naar voren, (bijna) horizontaal, ganzenpas, 'Hahnentritt'
31A26232|staand op één been, het andere been naar voren, gebogen
31A262321|staand op één been, het andere been naar voren, gebogen en opgetrokken
31A262322|staand op één been, het andere been vooruit, vastgehouden door hand(en)
31A2624|staand op één been, het andere been zijwaarts gehouden
31A26241|staand op één been, het andere been zijwaarts gehouden, recht
31A26242|staand op één been, het andere been zijwaarts gehouden, gebogen
31A2625|staand op één been, het andere been achteruit
31A26251|staand op één been, het andere been achteruit, recht
31A26252|staand op één been, het andere been achteruit, gebogen
31A262521|staand op één been, het andere been achteruit, gebogen en opgetrokken
31A262522|staand op één been, het andere been achteruit vastgehouden met de hand(en)
31A2626|zitten of liggen met één been gestrekt naar voren en het andere been opgetrokken
31A2627|staand, leunend, zittend of liggend met de benen gekruist
31A2628|zitten met de zijkant van de voet van één been op de knie van het andere
31A27|bewegingen van het menselijk lichaam
31A271|voorwaartse beweging van het menselijk lichaam
31A2711|lopen
31A27111|pacing, striding
31A27112|rennen
31A27113|wandelen
31A2712|kruipend, op handen en voeten gaan
31A27121|lopen op de knieën
31A2713|wankelend, waggelend, tollend
31A2714|springen
31A2715|rollen
31A2716|salto (handen raken de grond)
31A2717|lopen op de handen
31A2719|achterwaartse beweging
31A272|opwaartse en neerwaartse beweging
31A2721|springen omhoog
31A2722|zich optrekken
31A2723|klimmen
31A2724|springen naar beneden
31A2725|aflopend
31A2726|vertrappen, betreden, stampen op iemand of iets
31A273|passieve beweging
31A2731|vallend
31A2732|uitglijden
31A27321|struikelen
31A2733|gedragen worden
31A27331|wordt ondersteund
31A2734|wordt gesleept
31A2735|wordt gegooid
31A274|beweging ~ objecten
31A2741|iets gooien
31A27411|iets vrijgeven
31A27412|iets neerwerpen
31A2742|iets proberen te pakken
31A2743|slaan op iets
31A2744|iets schoppen
31A2745|iets begrijpen
31A2746|iets breken
31A2747|tekening, iets trekken
31A2748|iets duwen
31A27481|het draaien van iets, (veroorzakend) een cirkelvormige beweging
31A275|enkele andere bewegingen
31A2751|krullen (beweging van het menselijk lichaam)
31A2752|rekken (beweging van het menselijk lichaam)
31A2753|roterend, draaiend (beweging van het menselijk lichaam)
31A2754|het bewegen van de armen
31A2755|het bewegen van de benen
31A2756|de achterwaartse buiging
31A2757|de radslag (laterale salto)
31A276|beweging in de lucht
31A2761|oplopend (beweging in de lucht)
31A2762|vliegen
31A2763|zwevend in de lucht
31A27631|zitten of staan op wolken
31A2764|vallend door de lucht
31A2765|salto, 'salto mortale' (beweging in de lucht)
31A277|beweging in water
31A2771|waden, pootjebaden
31A2772|baden (beweging in water)
31A2773|zwemmen (beweging in water)
31A2774|drijvend (beweging in water)
31A2775|duiken (beweging in water)
31A2776|zinken (beweging in water)
31A2777|overgebleven geschorst (beweging in water)
31A2778|opduikend uit het water
31A2779|lopen op het water
31A28|man and his shadow
31A281|schaduw verkocht aan de duivel
31A2811|man zonder schaduw
31A282|man die zijn schaduw volgt
31A283|man vechtend tegen zijn eigen schaduw
31A3|de (vijf) zintuigen
31A30|'Sensi', 'Sensi, come si possono rappresentare in una figura sola', 'Senso', 'Sentimenti del corpo' (Ripa)
31A31|zicht, kijken (één van de vijf zintuigen)
31A310|'Viso' (Ripa)
31A311|bril
31A3111|monocle, enkele lorgnet
31A3112|zonnebril, donker getinte bril
31A312|vergrootglas
31A313|'figura cuncta videntis'
31A314|iemand bespioneren
31A319|interferentie met het zicht
31A3191|blinddoek
31A32|horen, luisteren (één van de vijf zintuigen)
31A320|'Udito' (Ripa)
31A321|hoortoestel
31A329|gluiperd
31A33|reuk, ruiken (één van de vijf zintuigen)
31A330|'Odorato' (Ripa)
31A331|aangename geur
31A332|onaangename, afstotende geur
31A333|olfactorische concepten
31A3331|ruikbronnen
31A3332|geurdragers
31A3333|geurende ruimtes
31A334|gebaren en handelingen ~ geur
31A3341|snuffelen
31A3342|geurenproducerende gebaren en handelingen
31A34|smaak, proeven (één van de vijf zintuigen)
31A340|'Gusto' (Ripa)
31A341|aangename versus onaangename smaak
31A3411|aangename smaak
31A3412|onaangename smaak
31A342|zoet (smaak)
31A3420|zoete smaak, allegorisch of symbolisch gerepresenteerd
31A343|zout (smaak)
31A344|zuur (smaak)
31A345|bitter (smaak)
31A3450|bittere smaak, allegorisch of symbolisch gerepresenteerd
31A35|aanraking, gevoel (één van de vijf zintuigen)
31A350|'Tatto' (Ripa)
31A351|aangenaam gevoel
31A352|onaangenaam gevoel
31A4|beperkingen, misvormingen en monsterlijkheden; ziekten
31A41|beperkingen, misvormingen
31A411|beperkingen die de ogen beïnvloeden
31A4111|blind, blindheid
31A41111|de blinde die de blinde leidt (Matteüs 15:14)
31A41112|de blinde leiden de blinde
31A41113|de blinde die het varken slaat
31A4112|scheel kijken; loensen
31A4113|staar
31A4114|bijziendheid, myopie
31A4115|verziendheid
31A412|doof, doofheid
31A4121|doofstom, doof en stom
31A413|misvormingen van het hoofd
31A4131|hazenlip
31A414|verlamd
31A415|gehandicapt
31A4151|klompvoet
31A4152|houten been
31A4153|krukken
31A4154|rolstoel, badstoel
31A4155|beugel, remklauw
31A416|een kromme, gebogen persoon
31A417|bochel
31A418|albino
31A419|verminkte persoon
31A4191|persoon met slechts één arm
31A42|menselijke wezens (legendarisch of niet) van abnormale proporties, grootte, kracht, enz.
31A421|reuzen, kolossen
31A422|dwergen
31A4221|pygmeeën, dwergen
31A4222|kabouters, hobgoblins
31A4223|'grylloi'
31A423|mensen met bovenmenselijke krachten of prestaties
31A423(...)|mensen met bovenmenselijke krachten of prestaties (met NAAM)
31A43|meervoudige geboorte (legendarisch)
31A431|zeer groot aantal geboorten
31A431(...)|zeer groot aantal geboorten (met NUMMER)
31A44|antropomorfe wezens (legendarisch of niet) met hoofden, ledematen of organen van een abnormaal aantal, op abnormale plaatsen of van een abnormale vorm)
31A441|antropomorfe wezens met ontbrekende delen
31A4411|'Acephalia', 'Blemyae', dat wil zeggen wezens zonder hoofd
31A4412|'Scopodes', 'Sciapodes', dat wil zeggen wezens met één been
31A4413|wezens met één oog
31A4414|'Acheiroi', d.w.z. wezens zonder handen
31A442|antropomorfe wezens met meer lichaamsdelen dan normaal
31A4421|driegezicht wezen, 'vultus trifrons'
31A44211|'caput triciput', 'signum triceps'
31A4422|antropomorfisch wezen met twee bovenlichamen
31A443|antropomorfe wezens met ledematen, organen, enz. op ongebruikelijke plaatsen
31A4431|'oculi in humeris habentes' hebben ogen op de schouders
31A444|antropomorfe wezens met delen van abnormale vorm
31A4441|overmatige beharing
31A44411|wilde man, wodewose, woodehouse
31A44412|persoon met grote baard
31A45|monsters van gemengde menselijke en dierlijke vorm; 'Mostri' (Ripa)
31A451|monsters ~ dieren in het algemeen (van onbepaalde soort)
31A4511|monsters met dierenhoofd
31A45111|monsters met drie dierenkoppen
31A4512|dieren met menselijk hoofd
31A4512(...)|dieren met menselijk hoofd (met NAAM)
31A452|monsters ~ zoogdieren
31A4521|monsters ~ huisdieren
31A45211|cynocephalus
31A4522|monsters ~ apen
31A4523|monsters ~ roofdieren (sfinx, 'manticora')
31A45231|sfinx (leeuw/vrouw); 'Sfinge' (Ripa)
31A45232|'manticora'
31A4524|monsters ~ gehoefde dieren
31A4525|monsters ~ getronste dieren
31A4526|monsters ~ knaagdieren
31A4527|monsters ~ zwemmende zoogdieren
31A4528|monsters ~ vliegende zoogdieren
31A4529|monsters ~ andere zoogdieren
31A453|monsters ~ vogels
31A4531|sirene (fantastische vogel met het hoofd van een vrouw)
31A454|monsters ~ reptielen
31A4541|monsters ~ hagedissen
31A4542|monsters ~ slangen
31A455|monsters ~ amfibieën
31A456|monsters ~ vissen
31A4561|zeemeerman
31A457|monsters ~ lagere dieren
31A458|fantastische wezens met vleugels
31A4581|elfje
31A4582|elf
31A46|ziekten
31A461|pijn
31A4611|koorts
31A46110|'Febre' (Ripa)
31A462|ziekten die het hele lichaam aantasten
31A462(...)|ziekten die het hele lichaam aantasten (met NAAM)
31A4621|plaag
31A46210|personificatie van de pest
31A4622|lepra
31A46221|leprammelaar
31A46222|leprozerie
31A46223|processie van melaatsen
31A4623|(andere) besmettelijke ziekten
31A4623(...)|(andere) besmettelijke ziekten (met NAAM)
31A46230|besmettelijke ziekte gepersonifieerd; 'Contagione' (Ripa)
31A4624|huid- en geslachtsziekten
31A4624(...)|huid- en geslachtsziekten (met NAAM)
31A4624(SYPHILIS)|huid- en geslachtsziekten: syfilis
31A46241|jeukende
31A46242|zweer
31A4625|dropsy
31A4626|aids
31A4629|vergiftiging
31A4629(...)|vergiftiging (met NAAM)
31A4629(ERGOTISM)|vergiftiging: ergotisme
31A463|ziekten die delen van het lichaam aantasten
31A463(...)|ziekten die delen van het lichaam aantasten (met NAAM)
31A4631|breuken van botten
31A4632|infecties en wonden
31A46321|litteken
31A4633|ziekten van het hoofd of delen van het hoofd
31A46331|hoofdpijn
31A46332|koud (ziekte)
31A463321|niezen
31A463322|hoesten
31A46333|tandpijn
31A4634|tumoren
31A46341|externe tumoren
31A46342|interne tumoren
31A464|emotionele ziekte, verwarring, waanzin
31A4640|Waanzin
31A4641|bezetenheid (door demonen)
31A4642|manie, obsessie
31A46421|epidemische obsessie
31A464211|dansmanie, Sint-Vitusdans
31A469|gezondheid
31A4690|Gezondheid, 'Sanitas'; 'Sanità' (Ripa)
31A5|zorg voor het lichaam, hygiëne
31A51|toilet maken
31A511|spiegel
31A5111|kijkend in de spiegel; (mogelijk: contemplatie van eigen schoonheid)
31A51111|weerspiegeling (in een spiegel)
31A511111|vervorming
31A5112|magische verfraaiing
31A512|het dragen van juwelen
31A513|verzinnen
31A514|met geuren, parfums, zalven, enz.
31A5141|geuren
31A5141(...)|geuren (met NAAM)
31A5142|parfums
31A5142(...)|parfums (met NAAM)
31A5143|zalfjes
31A5144|poeder ~ toilet maken
31A5145|implementeert ~ het maken van een toilet
31A5145(...)|implementeert ~ het maken van een toilet (met NAAM)
31A51451|pomander, muskusbal
31A51452|parfumfles
31A51453|zalfpot
31A51454|poederdoos
31A51455|lippenstift
31A515|schilderij van lichaam of gezicht
31A5151|tatoeëren
31A51511|tatoeage
31A52|verzorging van handen en voeten
31A521|manicure
31A522|pedicure
31A523|'Spinario', kind dat een doorn uit zijn voet haalt
31A53|kapper
31A531|verzorging van het haar
31A5311|kam, borstel en andere gereedschappen (verzorging van het haar)
31A532|haar knippen
31A5321|kapper
31A533|stijlen van kappers
31A533(...)|hairstijlen (met NAAM)
31A5331|pruik
31A5332|geschoren hoofd
31A5333|tonsurer
31A5334|pluk haar
31A5339|kaalheid
31A534|baard
31A5341|snor
31A5342|snorharen
31A53421|bakkebaarden
31A5349|valse baard of snor
31A535|kapper, kapsalon
31A5351|scheermes
31A5352|barbierskom
31A5353|scheren, geschoren worden
31A53531|zich scheren
31A539|verwarde haren
31A54|wassen en baden
31A541|handen wassen
31A542|het wassen van het gezicht en het hoofd
31A5421|het poetsen van je tanden
31A54211|tandenborstel
31A54212|tandenstoker
31A543|het wassen van iemands voeten
31A544|het wassen van iemands voeten
31A545|een bad nemen
31A5451|openbare baden
31A5452|heupbad
31A5453|douchebad
31A5454|badkuip
31A5455|stoombad
31A5459|'après le bain'
31A546|toiletartikelen ~ wassen en baden
31A5461|zeep
31A54611|zeepbel
31A5462|borstel, spons, enz. (toiletartikelen)
31A5463|handdoek
31A5464|badjas, ochtendjas
31A549|drogen, gedroogd worden
31A55|aankleden en uitkleden
31A551|zich aankleden, aankleden
31A5511|het strikken van een korset
31A552|zich uitkleden, uitkleden
31A553|het aandoen (vastmaken) of uittrekken (losmaken) van sandalen of schoenen
31A5531|aantrekken of uittrekken van kousen
31A554|iemand anders aankleden
31A5541|iemand uitkleden
31A559|gedeeltelijk gekleed
31A5591|verwaarloosd
31A56|dienaar
31A57|insecten van lichaam verwijderen
31A571|'motherly care' moederlijke zorg, delousing ontluizing
31A572|op zoek naar vlooien
31A58|bodybuilding
31A59|gebrek aan hygiëne, onreinheid
31A6|lichamelijke behoeften
31A61|urineren
31A611|po-stoilet
31A62|defecatie
31A621|winderigheid
31A622|vertering
31A6220|'Digestione' (Ripa)
31A623|ontlasting, uitwerpselen
31A63|overgeven
31A631|hikken
31A64|neus snuiten
31A65|spugen
31A651|speeksel, spuug
31A66|zweten, transpiratie
31A7|de geslachten (menselijk wezen)
31A71|mannelijk geslacht; man
31A710|symbolen van mannelijkheid
31A711|mannelijkheid
31A712|schoonheidswedstrijd voor mannen; bodybuildingwedstrijd
31A7121|Meneer Universum
31A719|vrouwelijke man, watje, mietje
31A7191|man doet werk van een vrouw
31A72|vrouwelijk geslacht; vrouw
31A720|symbolen van vrouwelijkheid
31A721|vrouwelijkheid
31A7211|maagdelijkheid
31A72110|'Verginità' (Ripa)
31A722|schoonheidswedstrijd voor vrouwen
31A7221|Miss World
31A729|'virago' virago, man-vrouw
31A73|hermafrodiet, androgyn
31A731|rebis, de goddelijke hermafrodiet, verzoening van geest en materie ~ alchemie
31A74|transgender, transseksueel
31A8|het lichaam beschouwd als een machine
31A9|manieren om te doen alsof je delen van het lichaam geneest of verbetert
31AA|het (naakte) menselijk figuur; 'Corpo humano' (Ripa) - AA - vrouwelijk menselijk figuur
31AA1|canon, verhoudingen - AA - vrouwelijke menselijke figuur
31AA11|staande figuur (canon, verhoudingen) - AA - vrouwelijke menselijke figuur
31AA12|figuur in cirkel of vierkant, benen uit elkaar en armen omhoog of zijwaarts gestrekt - AA - vrouwelijke menselijke figuur
31AA13|andere systemen of canons - AA - vrouwelijke menselijke figuur
31AA14|menselijke figuur van ideale verhoudingen, bijv. academisch naakt - AA - vrouwelijke menselijke figuur
31AA140|allegorische voorstelling van menselijke figuur van ideale verhoudingen - AA - vrouwelijke menselijke figuur van ideale verhoudingen; 'Bellezza feminile' (Ripa)
31AA141|naakt met bedekte geslachtsdelen - AA - vrouwelijke menselijke figuur
31AA19|'homo Platonis', 'animal bipes implume' - AA - vrouwelijke menselijke figuur
31AA2|anatomie (niet-medisch) - AA - vrouwelijke menselijke figuur
31AA21|(menselijk) skelet - AA - vrouwelijke menselijke figuur
31AA211|(menselijke) schedel - AA - vrouwelijke menselijke figuur
31AA2111|kaak (menselijk) - AA - vrouwelijke menselijke figuur
31AA2112|tanden - AA - vrouwelijke menselijke figuur
31AA21121|voortanden - AA - vrouwelijke menselijke figuur
31AA21122|achterste kiezen, kiezen - AA - vrouwelijke menselijke figuur
31AA212|thorax - AA - vrouwelijke menselijke figuur
31AA2121|ribben - AA - vrouwelijke menselijke figuur
31AA2122|wervelkolom - AA - vrouwelijke menselijke figuur
31AA2123|sleutelbeen - AA - vrouwelijke menselijke figuur
31AA2124|scapula, schouderblad - AA - vrouwelijke menselijke figuur
