5|Abstracte Ideeën en Concepten
71U4274|Judith en haar dienstmaagd stoppen het hoofd van Holofernes in een zak.
71U42741|Het hoofd van Holofernes wordt op een schaal gelegd en bedekt met een doek.
71U43|Judith en haar dienstmaagd op weg terug naar Betuliah
71U431|Judith en haar dienstmaagd komen 's nachts aan in Bethuliah; fakkels worden aangestoken.
71U432|Judith toont het hoofd van Holofernes aan de mensen.
71U433|Achior knielt voor Judith neer
71U434|Het hoofd van Holofernes hangt aan de stadsmuur.
71U44|overwinning van de Israëlieten ~ Judith en Holofernes
71U441|de Israëlieten maken een aanval ~ Judith en Holofernes
71U442|De moord op Holofernes wordt ontdekt (door Bagoas)
71U443|de Assyriërs slaan op de vlucht ~ Judith en Holofernes
71U444|het Assyrische kamp wordt geplunderd; Judith krijgt Holofernes' tent met alles wat erin zit
71U5|andere scènes ~ het boek van Judith
71U5(...)|Andere scènes ~ het boek van Judith (met BOEK HOOFDSTUK:VERS)
71U5(Judith 16:23)|Het overlijden van Judith
71V|het boek van Jona
71V1|De roeping en ongehoorzaamheid van Jona (Jona 1)
71V11|Jonah wordt door God naar Nineve gestuurd om te prediken tot zijn zondige burgers.
71V12|Om aan de toegewezen taak van God te ontsnappen, gaat Jona aan boord van een schip dat op het punt staat naar Tarsis te gaan.
71V13|Het schip zit vast in een hevige storm ~ Jona en de zeelieden
71V131|De angstige zeelieden gooien, na gebeden te hebben gericht tot hun goden, de lading overboord ~ verhaal van Jona
71V132|Jonah, die slapend wordt gevonden in het ruim van het schip, wordt gewekt
71V133|De zeelui trekken lootjes om te bepalen wie de schuldige is; wanneer het lot op Jona valt, geeft hij toe dat hij de oorzaak van de storm is.
71V134|De zeelieden werpen met tegenzin de profeet Jona in de zee.
71V1341|Jonah wordt ingeslikt door een grote vis, (zee)monster, walvis, dolfijn, of iets dergelijks
71V135|De zee kalmeert onmiddellijk; de zeelieden brengen offers aan God ~ verhaal van Jona
71V2|Jona in de buik van de vis (Jona 2:1 - 3:2)
71V21|Gebed van Jona
71V22|Na een driedaags verblijf in de buik van het monster wordt Jona op het droge geworpen; Jona mag naakt en kaalhoofdig worden afgebeeld
71V221|Jonah ontvangt opnieuw van God het bevel om te prediken in Nineve.
71V3|Jona in Nineve (Jona 3:3-10)
71V31|Wanneer Jona aankomt in de stad Nineve, voorspelt hij de vernietiging ervan binnen veertig dagen.
71V32|wanneer de koning van Nineve hoort over de vernietiging van de stad in veertig dagen, staat hij op van zijn troon en vaardigt een algemene boetedoening uit voor mens en dier: alle mensen, vee en schapen moeten vasten, mensen moeten rouwgewaad dragen en bidden tot God
71V321|God, ziende de berouw van het volk van Nineve, krijgt medelijden en spaart de slechte stad.
71V4|Jona mokt (Jona 4)
71V41|De boze Jona argumenteert met God en vraagt om zijn eigen dood.
71V42|De profeet Jona trekt zich terug uit Nineve; hij bouwt een hut en terwijl hij geniet van de schaduw van een plant (kalebas of wijnstok) die God voor hem liet groeien, wacht hij op het lot van de stad
71V43|De kalebas (of wijnstok) wordt opgegeten door een worm en Jona wordt blootgesteld aan de brandende stralen van de zon
71V44|Wanneer Jona opnieuw mompelt en wenst te sterven, berispt God hem.
71W|het boek Job
71W1|Rijkdom en vroomheid van Job (Job 1:1-5)
71W11|Rijkdom van Job
71W111|Job's kinderen, zeven zonen en drie dochters
71W112|Job's zonen geven een feest waarvoor ze hun zussen uitnodigen om zich bij hen te voegen
71W12|de vroomheid van Job
71W121|Job biedt een offer aan om zijn kinderen te reinigen
71W122|Taak om aalmoezen te geven, de armen te verlichten
71W2|De 'zonen van God' (engelen) met Satan verzamelen zich voor God (Job 1:6-12)
71W21|God geeft Satan toestemming om de deugd van Job te testen.
71W22|Satan vertrekt om Jobs deugd te testen
71W3|Eerste reeks beproevingen (Job 1:13-22)
71W31|boodschappers presenteren zich aan Job, elk rapporterend over een nieuwe ramp
71W311|De eerste boodschapper meldt de diefstal van Jobs ossen en ezels door de Sabeeërs.
71W3111|de diefstal van Jobs ossen en ezels door de Sabeeërs
71W312|De tweede boodschapper meldt dat de bliksem Job's schapen en herders heeft getroffen.
71W3121|De schapen en herders van Job getroffen door bliksem
71W313|De derde boodschapper meldt de inbeslagname van Jobs kamelen door drie groepen Chaldeeën.
71W3131|de inbeslagname van Jobs kamelen door drie groepen Chaldeeën
71W314|De laatste boodschapper kondigt de dood van Jobs kinderen aan, gedood in een storm die het huis verwoestte waar ze aan het feesten waren.
71W3141|de dood van Jobs kinderen
71W32|Job scheurt zijn kleren in verdriet en scheert zijn hoofd.
71W33|Job valt op de grond en uit zijn ontslag aan Gods wil.
71W4|de 'zonen van God' met Satan verzamelen zich opnieuw voor God (Job 2:1-6)
71W41|God geeft Satan toestemming om Jobs deugd verder te testen.
71W42|Satan vertrekt om Jobs deugd verder te testen
71W5|Baantje op de mesthoop (Job 2:7-13)
71W51|Job bedekt met zweren (of builen) neemt zijn verblijf op een mesthoop (asberg) en schraapt zijn lichaam met een potscherf
71W52|Baantje op de mesthoop met Satan (of duivels) die hem misbruiken en kwellen; de vrouw van Job kan aanwezig zijn
71W521|Job is van top tot teen getroffen door zweren door Satan, of draakachtige monsters die giftige rook op Job blazen.
71W522|Satan geselt Job
71W53|Baantje op de mesthoop bezocht door zijn vrouw
71W531|Vrouw van Job misbruikt hem; Satan kan aanwezig zijn
71W5311|Job berispt door zijn vrouw
71W5312|De vrouw van Job die een emmer water over hem heen giet
71W532|Vrouw van Job brengt eten; ze reikt meestal brood aan op een stok terwijl ze haar neus dichtknijpt; vrienden van Job kunnen aanwezig zijn
71W54|Baantje op de mesthoop bezocht door zijn vrienden (en vrouw)
71W541|Elifaz, Bildad en Zofar gaan naar Job om hem te troosten over zijn tegenslagen (de drie vrienden kunnen worden afgebeeld als koningen)
71W542|Wanneer Elifaz, Bildad en Sofar Job herkennen, huilen ze en scheuren ze hun kleren van verdriet.
71W543|Elifaz, Bildad en Zofar zitten zeven dagen lang zwijgend op de grond bij Job.
71W544|Job wordt bespot door zijn vrienden (en zijn vrouw) omdat hij weigert zijn geloof op te geven
71W55|Baantje op de mesthoop bezocht door een engel die probeert hem te troosten
71W56|Baantje op de mesthoop bezocht door de muzikanten
71W561|Muzikanten, vooral trompettisten, proberen Job te troosten; hij betaalt hen met de korsten van zijn zweren die later veranderen in gouden munten
71W5611|De vrouw van Job brengt de muzikanten binnen.
71W562|Job bespot door blikken muzikanten
71W6|Job bespreekt met zijn vrienden.
71W61|Klaagzang van Job (Job 3)
71W61(...)|Job's beklag (Job 3) (met BOEK HOOFDSTUK:VERS)
71W62|De dialoog ~ Job bespreekt met zijn vrienden (Job 4-31)
71W62(...)|de dialoog ~ Job bespreekt met zijn vrienden (met BOEK HOOFDSTUK:VERS)
71W62(Job 4:11)|De sterke leeuw vergaat door gebrek aan prooi ~ Job's dialoog met zijn vrienden
71W63|Elihu voegt zich bij de drie vrienden van Job en houdt zijn toespraak (Job 32-37)
71W63(...)|Elihu voegt zich bij de drie vrienden van Job en houdt zijn toespraak (met BOEK HOOFDSTUK:VERS)
71W63(Job 34:26)|de slechten worden veroordeeld ~ Elihu antwoordt Job
71W64|God spreekt tot Job vanuit de wervelwind (Job 38 - 42:6)
71W64(...)|God spreekt tot Job vanuit de wervelwind (met BOEK HOOFDSTUK:VERS)
71W64(Job 38:7)|wanneer de ochtendsterren samen zongen ~ God spreekt tot Job
71W64(Job 40:15-24)|'Zie Behemoth' ~ God spreekt tot Job
71W64(Job 41)|'Kun je Leviathan tekenen' ~ God spreekt tot Job
71W641|Job vernedert zichzelf en bekent dat hij onwetend heeft gesproken ~ God spreekt tot Job
71W65|conclusie, epiloog van het boek Job (Job 42:7-9)
71W651|De vrienden van Job worden berispt door God, die hen opdraagt een offer te brengen.
71W652|Job bidt voor zijn vrienden
71W7|Job's voorspoed hersteld; het laatste deel van zijn leven (Job 42:10-17)
71W71|Het voormalige vermogen van Job is verdubbeld.
71W72|Job's broers en vrienden komen hem bezoeken
71W721|Elke broer en vriend van Job biedt hem een geschenk aan
71W73|God zegent Job
71W74|Job verwekt nog tien kinderen
71W741|Job en zijn drie mooie dochters
71W75|Werkend de Heer bedanken
71W76|Dood van Job
71W761|Opstijging van Job
71X|de liedboeken: Psalmen en Hooglied
71X1|het boek Psalmen
71X1(...)|het boek Psalmen (met BOEK HOOFDSTUK:VERS)
71X1(...)1|het boek Psalmen (met BOEK HOOFDSTUK:VERS) - het boek Psalmen ~ scènes uit het Oude Testament
71X1(...)2|het boek Psalmen (met BOEK HOOFDSTUK:VERS) - het boek Psalmen ~ scènes uit het Nieuwe Testament
71X1(...)3|het boek Psalmen (met BOEK HOOFDSTUK:VERS) - het boek Psalmen ~ niet-bijbelse christelijke motieven
71X1(...)4|het boek Psalmen (met BOEK HOOFDSTUK:VERS) - het boek Psalmen ~ andere scènes
71X1(Ps. 1:1)|'Beatus vir' - Gezegend is de man
71X1(Ps. 1:1)1|'Beatus vir' - Gezegend is de man - het boek van Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 1:1)2|'Beatus vir' - Gezegend is de man - het boek van Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 1:1)3|'Beatus vir' - Gezegend is de man - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 1:1)4|'Beatus vir' - Gezegend is de man' - het boek van Psalmen ~ andere scènes
71X1(Ps. 3)|'psalm van David toen hij vluchtte voor Absalom zijn zoon'
71X1(Ps. 3)1|Psalm van David toen hij vluchtte voor Absalom zijn zoon ~ David die vlucht voor Absalom
71X1(Ps. 3)2|'psalm van David toen hij vluchtte voor Absalom zijn zoon' - het boek Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 3)3|'psalm van David toen hij vluchtte voor Absalom zijn zoon' - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 3)4|'psalm van David toen hij vluchtte voor Absalom zijn zoon' - het boek Psalmen ~ andere scènes
71X1(Ps. 22:18)|Ze verdelen mijn kleding
71X1(Ps. 22:18)1|'ze verdelen mijn kleding' - het boek van Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 22:18)2|'ze verdelen mijn kleding' ~ soldaten werpen het lot voor de kleren van Christus
71X1(Ps. 22:18)3|'ze verdelen mijn kleding' - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 22:18)4|'ze verdelen mijn kleding' - het boek van Psalmen ~ andere scènes
71X1(Ps. 26:1)|'Dominus illuminatio' - De Heer is mijn licht
71X1(Ps. 26:1)1|'Dominus illuminatio' - De Heer is mijn licht' - het boek van Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 26:1)2|'Dominus illuminatio' - De Heer is mijn licht - het boek van Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 26:1)3|'Dominus illuminatio' - De Heer is mijn licht - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 26:1)4|'Dominus illuminatio' - De Heer is mijn licht - het boek van Psalmen ~ andere scènes
71X1(Ps. 38:1)|'Dixi custodiam' - Ik zei, ik zal opletten
71X1(Ps. 38:1)1|'Dixi custodiam' - Ik zei, ik zal opletten' - het boek van Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 38:1)2|'Dixi custodiam' - Ik zei, ik zal opletten - het boek van Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 38:1)3|'Dixi custodiam' - ik zei, ik zal opletten' - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 38:1)4|'Dixi custodiam' - Ik zei, ik zal opletten' - het boek van Psalmen ~ andere scènes
71X1(Ps. 49:3)|Mijn mond zal spreken van wijsheid
71X1(Ps. 49:3)1|'mijn mond zal spreken van wijsheid' - het boek Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 49:3)2|'mijn mond zal spreken van wijsheid' - het boek Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 49:3)3|'mijn mond zal spreken van wijsheid' ~ John Chrysostom
71X1(Ps. 49:3)4|'mijn mond zal spreken van wijsheid' - het boek van Psalmen ~ andere scènes
71X1(Ps. 51:1)|'Waarom beroem je je' - Waarom beroem je je
71X1(Ps. 51:1)1|'Waarom beroem je je' - Waarom beroem je je - het boek van Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 51:1)2|'Waarom beroem je je' - Waarom beroem je je - het boek van Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 51:1)3|'Waarom beroem je je' - Waarom beroem je je - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 51:1)4|'Waarom beroem je je' - het boek van Psalmen ~ andere scènes
71X1(Ps. 52:1)|'Dixit insipiens' - De dwaas zegt in zijn hart
71X1(Ps. 52:1)1|'Dixit insipiens' - De dwaas zegt in zijn hart - het boek van Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 52:1)2|'Dixit insipiens' - De dwaas zegt in zijn hart - het boek van Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 52:1)3|'Dixit insipiens' - De dwaas zegt in zijn hart' - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 52:1)4|'Dixit insipiens' - De dwaas zegt in zijn hart' - het boek van Psalmen ~ andere scènes
71X1(Ps. 74:13)|'... breek de koppen van de draken op het water'
71X1(Ps. 74:13)1|'... breek de koppen van de draken op het water' - het boek van Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 74:13)2|'... breek de koppen van de draken op het water' ~ doop van Christus
71X1(Ps. 74:13)3|'... breek de koppen van de draken op het water' - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 74:13)4|'... breek de koppen van de draken op het water' - het boek van Psalmen ~ andere scènes
71X1(Ps. 68:1)|'Salvum me fac' - Red mij
71X1(Ps. 68:1)1|'Salvum me fac' - Red mij - het boek van Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 68:1)2|'Salvum me fac' - Red mij - het boek van Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 68:1)3|'Salvum me fac' - Red mij - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 68:1)4|'Salvum me fac' - Red mij - het boek van Psalmen ~ andere scènes
71X1(Ps. 80:1)|'Exultate deo' - Zing luidkeels voor God
71X1(Ps. 80:1)1|'Exultate deo' - Zing luid tot God - het boek van Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 80:1)2|'Exultate deo' - Zing luid tot God - het boek van Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 80:1)3|'Exultate deo' - Zing luid tot God - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 80:1)4|'Exultate deo' - Zing luid tot God - het boek van Psalmen ~ andere scènes
71X1(Ps. 85:10)|'Rechtvaardigheid en vrede hebben elkaar gekust'
71X1(Ps. 85:10)1|'rechtvaardigheid en vrede hebben elkaar gekust' - het boek Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 85:10)2|'rechtvaardigheid en vrede hebben elkaar gekust' - het boek Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 85:10)3|'rechtvaardigheid en vrede hebben elkaar gekust' - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 85:10)4|'rechtvaardigheid en vrede hebben elkaar gekust' ~ het boek van Psalmen
71X1(Ps. 101:1)|'Heer, hoor mijn gebed'
71X1(Ps. 101:1)1|'Domine exaudi' - Hoor mijn gebed - het boek van Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 101:1)2|'Domine exaudi' - Hoor mijn gebed - het boek van Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 101:1)3|'Domine exaudi' - Hoor mijn gebed - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 101:1)4|'Domine exaudi' - Hoor mijn gebed - het boek van Psalmen ~ andere scènes
71X1(Ps. 109:1)|'Dixit dominus' - De Heer zei tegen mijn Heer
71X1(Ps. 109:1)1|'Dixit dominus' - De Heer zei tegen mijn Heer - het boek van Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 109:1)2|'Dixit dominus' - De Heer zei tegen mijn Heer - het boek van Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 109:1)3|'Dixit dominus' - De Heer zei tegen mijn Heer - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 109:1)4|'Dixit dominus' - De Heer zei tegen mijn Heer - het boek van Psalmen ~ andere scènes
71X1(Ps. 118:22)|'De steen ... is hoofd van de hoek geworden'
71X1(Ps. 118:22)1|'De steen ... is hoofd van de hoek geworden' - het boek Psalmen ~ scènes uit het Oude Testament
71X1(Ps. 118:22)2|'De steen ... is hoofd van de hoek geworden' - het boek van Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 118:22)3|'De steen ... is hoofd van de hoek geworden' - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 118:22)4|'De steen ... is hoofd van de hoek geworden' ~ steen
71X1(Ps. 137:1)|'bij de rivieren van Babylon ...'
71X1(Ps. 137:1)1|'bij de rivieren van Babylon ...' ~ de Hebreeën in gevangenschap treurend aan de rivieroever
71X1(Ps. 137:1)2|'bij de rivieren van Babylon ...' - het boek van Psalmen ~ scènes uit het Nieuwe Testament
71X1(Ps. 137:1)3|'bij de rivieren van Babylon ...' - het boek van Psalmen ~ niet-bijbelse christelijke motieven
71X1(Ps. 137:1)4|'bij de rivieren van Babylon ...' - het boek van Psalmen ~ andere scènes
71X2|Lied van Salomo, Hooglied
71X2(...)|Lied van Salomo, Hooglied (met BOEK HOOFDSTUK:VERS)
71X2(Song of Sol. 2:2)|Als een lelie tussen doornen
71X2(Song of Sol. 3:1-3)|De bruid zoekt de bruidegom
71X2(Song of Sol. 3:4)|De bruid vindt de bruidegom
71X2(Song of Sol. 6:12)|'mijn verbeelding plaatste me in een wagen' ~ wagen van Aminadab
71X21|Shulammite, de geliefde vrouw ~ Hooglied
71X22|'... de kleine vossen die de wijnstokken bederven ...' (Hooglied 2:15)
71X23|Het bed van Salomo bewaakt door zestig soldaten (Hooglied 3:7-10)
71X24|Toren van David (Hooglied 4:4)
71X25|de verzegelde fontein in de omheinde tuin (Hooglied 4:12)
71Y|de boeken van Wijsheid
71Y1|het boek Spreuken
71Y1(...)|het boek Spreuken (met BOEK HOOFDSTUK:VERS)
71Y1(Prov. 20:1)|'wijn is een spotter ...' ~ dronken vechtpartij
71Y1(Prov. 31:18-19)|'haar lamp gaat 's nachts niet uit en haar handen houden de spintol vast' ~ vrouw die 's nachts spint
71Y1(Prov. 6:6)|Ga naar de mieren, O luiaard ~ een mierenhoop en een lui persoon
71Y1(Prov. 9:1)|'Wijsheid heeft haar huis gebouwd, ze heeft haar zeven zuilen opgericht' ~ het oprichten van de zeven zuilen van het huis van Wijsheid
71Y2|boek Prediker, de Prediker
71Y2(...)|Boek Prediker, de Prediker (met BOEK HOOFDSTUK:VERS)
71Y2(Eccles. 12:11)|'de spreuken van de wijzen zijn als prikkels ...' ~ God die de Prediker slaat
71Y2(Eccles. 1:4)|'Een generatie gaat en een generatie komt ...' ~ de drie leeftijden van de mens
71Y2(Eccles. 3:3)|Aan alles is er een tijd, en een tijd voor elk doel onder de hemel ...
71Y2(Eccles. 6:3)|'hij geniet niet van het goede van het leven ... een vroeggeboorte is beter af dan hij' ~ een vrek en een vroeggeboorte
71Y3|de Wijsheid van Salomo
71Y3(...)|De Wijsheid van Salomo (met BOEK HOOFDSTUK:VERS)
71Y4|het boek Ecclesiasticus, de wijsheid van Jezus Sirach
71Y4(...)|het boek Ecclesiasticus, de wijsheid van Jezus Sirach (met BOEK HOOFDSTUK:VERS)
71Y4(Eccles. 30:1)|'wie zijn zoon liefheeft, zal hem vaak slaan' ~ vader die zijn zoon een pak slaag geeft
71Y4(Eccles. 44:16)|Enoch ... werd opgenomen ~ Enoch's vertaling
71Z|(boeken van de) Makkabeeën
71Z1|Eerste boek van de Makkabeeën (deel I)
71Z11|Antiochus IV Epiphanes berooft de tempel van zijn schatten (1 Makkabeeën 1:21-23)
71Z12|Mattathias doodt een Jood, die offers wilde brengen aan heidense goden, en haalt het altaar neer in Modin (1 Makkabeeën 2:23-26)
71Z13|de joden zonder verzet gedood op de sabbat (1 Makkabeeën 2:31-38)
71Z14|Mattathias op zijn sterfbed die zijn zonen instrueert (1 Makkabeeën 2:49-70)
71Z141|Judas Maccabeus aangesteld als leider van de Makkabeeën
71Z15|Judas Maccabeus doodt Apollonius, kapitein van de Musii, en neemt zijn zwaard (1 Makkabeeën 3:10-12)
71Z16|Judas Makkabeüs heeft de tempel gezuiverd en opnieuw ingewijd (1 Makkabeeën 4:36-58)
71Z17|strijd van de Makkabeeën tegen Antiochus V Eupator (1 Makkabeeën 6:28-47)
71Z171|Eleazar, broer van Judas Maccabeus, doodt een oorlogselephant en wordt zelf gedood wanneer de olifant op hem valt.
71Z18|Alcimus beschuldigt Judas Maccabeus bij koning Demetrius (1 Makkabeeën 7:5-7)
71Z19|dood van Nicanor, kapitein van het Syrische leger (1 Makkabeeën 7:39-47)
71Z191|Het hoofd en de hand van Nicanor hingen in de buurt van Jeruzalem.
71Z2|Eerste boek van de Makkabeeën (deel II)
71Z21|strijd van de Makkabeeën tegen Bacchides (1 Makkabeeën 9:5-21)
71Z211|dood van Judas Maccabeus
71Z212|het klaaglied voor Judas Maccabeüs
71Z22|Jonathan aangesteld als leider van de Makkabeeën (1 Makkabeeën 9:28-31)
71Z23|strijd van de Makkabeeën tegen de zonen van Jambri (1 Makkabeeën 9:37-41)
71Z24|Verdrag van Jonathan en Bacchides (1 Makkabeeën 9:70-73)
71Z25|strijd van de Makkabeeën tegen Apollonius, gouverneur van Coelesyrië (1 Makkabeeën 10:74-85)
71Z251|Jonathan geëerd door Alexander Balas, koning van Syrië (1 Makkabeeën 10:88-89)
71Z252|Jonathan klaagde over aan Koning Ptolemaeus VI (1 Makkabeeën 11:5)
71Z26|strijd van de Makkabeeën tegen Demetrius II Nikator van Syrië in de vallei van Asor (1 Makkabeeën 11:67-74)
71Z261|Het leger van Jonathan slaat op de vlucht.
71Z262|Jonathan scheurt zijn kleren en bidt tot God.
71Z263|Het leger van Jonathan hervat de aanval en verslaat het leger van Demetrius II Nikator.
71Z27|Tryphon neemt Jonathan verrassend gevangen (1 Makkabeeën 12:41-49)
71Z271|dood van Jonathan (1 Makkabeeën 13:23)
71Z272|Grafmonument van de Makkabeeën: zeven piramides (1 Makkabeeën 13:25-30)
71Z28|Simon benoemd tot leider van de Makkabeeën (1 Makkabeeën 13:9)
71Z281|Simon Maccabeus verkondigt de onafhankelijkheid van Juda (1 Makkabeeën 13:41-42)
71Z282|Simon Maccabeus en twee van zijn zonen werden gedood tijdens een banket (1 Makkabeeën 16:15-17)
71Z283|John Hyrcanus aangesteld als leider van de Makkabeeën (1 Makkabeeën 16:19-22)
71Z29|andere scènes ~ eerste boek van de Makkabeeën
71Z29(...)|andere scènes ~ eerste boek van de Makkabeeën (met BOEK HOOFDSTUK:VERS)
71Z3|Tweede boek van de Makkabeeën (deel I)
71Z31|Heliodorus in de tempel, aangevallen door een man (of engel) te paard en twee andere mannen (of engelen) (2 Makkabeeën 3:7-35)
71Z311|Heliodorus gered door het gebed van Onias
71Z312|Heliodorus brengt offers.
71Z32|Onias, de hogepriester, wordt belasterd (2 Makkabeeën 4:1-4, 4:34-38)
71Z321|Onias wordt gedood door Andronicus.
71Z322|Andronicus veroordeeld tot de dood door Antiochus IV Epiphanes
71Z33|Na hun aanklacht tegen Menelaüs worden de ambassadeurs van het Hooggerechtshof ter dood veroordeeld door Antiochus IV Epiphanes (2 Makkabeeën 4:43-50)
71Z34|Ruiters worden gezien in de lucht boven de stad Jeruzalem (2 Makkabeeën 5:2)
71Z35|Martelaarschap van Eleazar: de oude man wordt gedwongen om varkensvlees te eten en onderwerpt zich vrijwillig aan de geseling (2 Makkabeeën 6:18-31)
71Z36|het martelaarschap van de zeven Makkabeër broers en hun moeder onder Antiochus IV Epiphanes (2 Makkabeërs 7)
71Z37|ziekte en dood van Antiochus IV Epiphanes (2 Makkabeeën 9)
71Z371|Antiochus IV Epiphanes valt van zijn strijdwagen.
71Z38|Tweede zuivering van de tempel (2 Makkabeeën 10:1-8)
71Z39|Een hemelse ruiter, in wit gewaad en met wapens van goud, helpt de Makkabeeën in hun strijd tegen Lysias (2 Makkabeeën 11:6-12)
71Z4|Tweede boek van de Makkabeeën (deel II)
71Z41|Judas Maccabeus die bidt voor de doden (2 Makkabeeën 12:43-45)
71Z42|dood van Razis: wanneer de troepen van Nicanor de poort van Jeruzalem aanvallen, werpt de oude Razis zichzelf van de muur naar beneden in de menigte; ernstig gewond neemt hij zijn ingewanden in beide handen en slingert ze naar de menigte (2 Makkabeeën 14:37-46)
71Z43|Visioen van Judas Maccabeus: de hogepriester Onias en de profeet Jeremia bidden; Jeremia geeft een gouden zwaard aan Judas (2 Makkabeeën 15:12-16)
71Z44|andere scènes ~ tweede boek van de Makkabeeën
71Z44(...)|Andere scènes ~ tweede boek van de Makkabeeën (met BOEK HOOFDSTUK:VERS)
71Z5|derde boek van de Makkabeeën
71Z5(...)|Derde boek van de Makkabeeën (met BOEK HOOFDSTUK:VERS)
71Z51|Koning Ptolemaeus IV Filopator getroffen door verlamming omdat hij te dicht bij het heiligdom in de tempel van Jeruzalem kwam (3 Makkabeeën 1-2)
71Z52|Koning Ptolemaeus IV Filopator probeert de Joden te laten doden door dronken olifanten; de Joden bidden en worden gered door twee engelen (3 Makkabeeën 5)
71Z6|Vierde boek van de Makkabeeën (4 Makkabeeën)
71Z6(...)|Vierde boek van de Makkabeeën (met BOEK HOOFDSTUK:VERS)
72|Typologische juxtaposities, meestal van scènes uit het Oude Testament en het Nieuwe Testament
72A|typologische juxtaposities
72B|uitgebreide typologische composities
73|Nieuwe Testament
73A|(scènes uit het leven van) Johannes de Doper en Maria
73A(...)|reeks scènes uit het leven van Johannes de Doper en Maria (met NAAM)
73A(JOHN THE BAPTIST)|reeks scènes uit het leven van Johannes de Doper
73A(MARY)|reeks scènes uit het leven van Maria
73A1|Verhaal van de geboorte en jeugd van Johannes de Doper (Lucas 1:5-25, 1:57-80)
73A11|Aankondiging van de geboorte van Johannes de Doper aan Zacharias: terwijl hij wierook aanbiedt in de tempel verschijnt er een engel (Gabriël) aan hem.
73A111|Zacharias sprakeloos voor het volk
73A12|Aankondiging van de geboorte van Johannes de Doper aan Elisabeth
73A13|Ontmoeting van Zacharias en Elisabeth
73A14|Geboorte van Johannes de Doper, soms Maria aanwezig
73A141|Naamgeving van Johannes de Doper; Zacharias schrijft de naam van Johannes op
73A142|Zacharias prijst de Heer
73A15|Besnijdenis van Johannes de Doper
73A16|Elisabeth en John zoeken toevlucht in een grot tijdens hun vlucht voor het bloedbad van de onschuldigen.
73A17|Johannes de Doper verlaat zijn ouders om de wildernis in te gaan
73A171|engelen die Johannes de Doper dragen op weg naar de woestijn
73A172|engelen die Johannes de Doper begeleiden op zijn weg naar de woestijn
73A18|Johannes de Doper in de woestijn, meestal vergezeld door een lam
73A181|Johannes de Doper bidt en mediteert
73A182|Engelen brengen het gewaad van kamelenhaar (haarhemd) ~ Johannes de Doper in de woestijn
73A183|John de Doper kleedt zich uit om zich te bedekken met het ascetische gewaad
73A184|Johannes de Doper die sprinkhanen en honing eet
73A185|Johannes de Doper werd geroepen door een engel
73A19|de moord op Zacharias
73A191|Herstel van de resten van Zacharias
73A2|Voorouders en ouders van Christus
73A21|stamboom van Jesse: genealogische boom die de voorouders van Christus laat zien, ontspruitend uit Jesse's lendenen
73A22|Heilige Verwantschap
73A221|'Anna selbdritt', d.w.z. Anna, Maria en Christus-kind dicht bij elkaar
