0|Abstracte, non-figuratieve Kunst
11H(JUDOC)4|de kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - non-miraculous activities and events ~ male saint
11H(JUDOC)5|De kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - miraculous activities and events ~ male saint
11H(JUDOC)59|De kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - stigmatisering van mannelijke heilige    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - stigmatization of male saint
11H(JUDOC)6|de kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - martelaarschap, lijden, tegenspoed, dood van mannelijke heilige    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - martyrdom, suffering, misfortune, death of male saint
11H(JUDOC)68|de kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - dood, sterfbed van mannelijke heilige    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - death, deathbed of male saint
11H(JUDOC)69|de kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - mishandeling van het lijk van een mannelijke heilige    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - maltreatment of corpse of male saint
11H(JUDOC)7|de kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - apotheose, glorie, triomf van mannelijke heilige    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - apotheosis, glory, triumph of male saint
11H(JUDOC)8|de kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - post-mortem gebeurtenissen ~ mannelijke heilige    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - post-mortem occurrences ~ male saint
11H(JUDOC)81|de kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - vinden, vervoer van relieken van mannelijke heilige    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - finding, transportation of relics of male saint
11H(JUDOC)82|de kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - miracles occurring during handling of relics of male saint
11H(JUDOC)83|de kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - postume daden, verschijningen van mannelijke heiligen    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - posthumous deeds, appearances of male saints
11H(JUDOC)84|de kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - zaligverklaring, heiligverklaring van mannelijke heilige    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - beatification, canonization of male saint
11H(JUDOC)9|de kluizenaar, pelgrim en voormalige prins van Bretagne, Judoc (Josse) van Ponthieu; mogelijke attributen: kroon in hand of aan voeten - portret van mannelijke heilige    # the hermit, pilgrim, and erstwhile prince of Brittany, Judoc (Josse) of Ponthieu; possible attributes: crown in hand or at feet - portrait of male saint
11H(JULIAN)|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword
11H(JULIAN)0|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - mannelijke heilige afgebeeld in een groep    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - male saint represented in a group
11H(JULIAN)1|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - specifieke aspecten ~ mannelijke heilige    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - specific aspects ~ male saint
11H(JULIAN)11|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - mannelijke heilige als patroon, beschermer, bemiddelaar    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - male saint as patron, protector, intercessor
11H(JULIAN)119|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - mannelijke heilige die toegewijden beschermt met een mantel, 'Schutzmantel'    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - male saint protecting devotees with cloak, 'Schutzmantel'
11H(JULIAN)12|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(JULIAN)13|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - mannelijke heilige als stichter van de Orde    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - male saint as founder of Order
11H(JULIAN)131|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - mannelijke heilige ~ bevestiging van de Orde, goedkeuring van Regel(s)    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - male saint ~ confirmation of Order, approval of Rule(s)
11H(JULIAN)2|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - vroege leven van mannelijke heilige    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - early life of male saint
11H(JULIAN)3|persoonlijke toewijding van St. Julian    # personal devotion of St. Julian
11H(JULIAN)31|persoonlijke toewijding van St. Julian - roeping, bekering van mannelijke heilige    # personal devotion of St. Julian - vocation, conversion of male saint
11H(JULIAN)32|Persoonlijke toewijding van St. Julian - doop, wijding, het afleggen van geloften van mannelijke heilige    # personal devotion of St. Julian - baptism, consecration, taking vows of male saint
11H(JULIAN)33|Persoonlijke toewijding van St. Julian - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige    # personal devotion of St. Julian - renouncing worldly goods, ascetic life of male saint
11H(JULIAN)34|Een engel of Christus verschijnt aan St. Julian de Gastvrije en zijn vrouw in hun hospice, oprijzend van het bed van de melaatse naar de hemel.    # an angel or Christ appears to St. Julian the Hospitaller and his wife in their hospice, rising from the leper's bed into heaven
11H(JULIAN)341|St. Julian de Gastvrije draagt de melaatse (soms Christus) op zijn schouders over de rivier    # St. Julian the Hospitaller carrying the leper (sometimes Christ) on his shoulders across the river
11H(JULIAN)35|persoonlijke toewijding van St. Julian - verleiding van mannelijke heilige    # personal devotion of St. Julian - temptation of male saint
11H(JULIAN)36|persoonlijke toewijding van St. Julian - boetedoening van mannelijke heilige    # personal devotion of St. Julian - penitence of male saint
11H(JULIAN)37|persoonlijke devotie van St. Julian - mannelijke heilige die mediteert, in extase    # personal devotion of St. Julian - male saint meditating, in ecstasy
11H(JULIAN)4|niet-miraculeuze activiteiten en gebeurtenissen ~ St. Julian    # non-miraculous activities and events ~ St. Julian
11H(JULIAN)41|St. Julian doodt zijn vader en moeder liggend in bed    # St. Julian slaying his father and mother lying in bed
11H(JULIAN)42|St. Julian de Gastvrije en zijn vrouw verzorgen pelgrims en reizigers in hun hospice    # St. Julian the Hospitaller and his wife tending pilgrims and travellers in their hospice
11H(JULIAN)5|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Julian    # miraculous activities and events ~ St. Julian
11H(JULIAN)51|St. Julian de Gastvrije, meestal met zijn vrouw, die Christus over de rivier vaart in een boot    # St. Julian the Hospitaller, usually with his wife, ferrying Christ across the river in a boat
11H(JULIAN)59|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Julian - stigmatisering van mannelijke heilige    # miraculous activities and events ~ St. Julian - stigmatization of male saint
11H(JULIAN)6|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - martelaarschap, lijden, tegenspoed, dood van mannelijke heilige    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - martyrdom, suffering, misfortune, death of male saint
11H(JULIAN)68|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - dood, sterfbed van mannelijke heilige    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - death, deathbed of male saint
11H(JULIAN)69|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - mishandeling van het lijk van een mannelijke heilige    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - maltreatment of corpse of male saint
11H(JULIAN)7|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - apotheose, glorie, triomf van mannelijke heilige    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - apotheosis, glory, triumph of male saint
11H(JULIAN)8|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - postume verschijningen ~ mannelijke heilige    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - post-mortem occurrences ~ male saint
11H(JULIAN)81|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - vinden, vervoer van relieken van mannelijke heilige    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - finding, transportation of relics of male saint
11H(JULIAN)82|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - miracles occurring during handling of relics of male saint
11H(JULIAN)83|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - postume daden, verschijningen van mannelijke heiligen    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - posthumous deeds, appearances of male saints
11H(JULIAN)84|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - zaligverklaring, heiligverklaring van mannelijke heilige    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - beatification, canonization of male saint
11H(JULIAN)9|Julian de Hospitaalbroeder (Julian(us) Hospitator); mogelijke attributen: boot, boek, hond, valk, roeispaan, hert, zwaard - portret van mannelijke heilige    # Julian the Hospitaller (Julian(us) Hospitator); possible attributes: boat, book, dog, falcon, oar, stag, sword - portrait of male saint
11H(JUSTUS)|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch
11H(JUSTUS)0|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - mannelijke heilige afgebeeld in een groep    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - male saint represented in a group
11H(JUSTUS)1|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - specifieke aspecten ~ mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - specific aspects ~ male saint
11H(JUSTUS)11|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - mannelijke heilige als patroon, beschermer, bemiddelaar    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - male saint as patron, protector, intercessor
11H(JUSTUS)119|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - mannelijke heilige die toegewijden beschermt met mantel, 'Schutzmantel'    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - male saint protecting devotees with cloak, 'Schutzmantel'
11H(JUSTUS)12|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(JUSTUS)13|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - mannelijke heilige als stichter van Orde    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - male saint as founder of Order
11H(JUSTUS)131|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - male saint ~ confirmation of Order, approval of Rule(s)
11H(JUSTUS)2|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - vroege leven van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - early life of male saint
11H(JUSTUS)3|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - persoonlijke devotie van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - personal devotion of male saint
11H(JUSTUS)31|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - roeping, bekering van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - vocation, conversion of male saint
11H(JUSTUS)32|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - doop, wijding, het afleggen van geloften van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - baptism, consecration, taking vows of male saint
11H(JUSTUS)33|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - renouncing worldly goods, ascetic life of male saint
11H(JUSTUS)34|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - visie(s), mystieke huwelijk van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - vision(s), mystic marriage of male saint
11H(JUSTUS)35|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - verleiding van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - temptation of male saint
11H(JUSTUS)36|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - boetedoening van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - penitence of male saint
11H(JUSTUS)37|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - mannelijke heilige die mediteert, in extase    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - male saint meditating, in ecstasy
11H(JUSTUS)4|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - non-miraculous activities and events ~ male saint
11H(JUSTUS)5|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Justus    # miraculous activities and events ~ St. Justus
11H(JUSTUS)51|St. Justus van Beauvais als 'cephalophore', die zijn hoofd in zijn handen draagt na zijn onthoofding    # St. Justus of Beauvais as 'cephalophore', carrying his head in his hands after his beheading
11H(JUSTUS)59|Wonderbaarlijke activiteiten en gebeurtenissen ~ St. Justus - stigmatisering van mannelijke heilige    # miraculous activities and events ~ St. Justus - stigmatization of male saint
11H(JUSTUS)6|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - martelaarschap, lijden, ongeluk, dood van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - martyrdom, suffering, misfortune, death of male saint
11H(JUSTUS)68|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - dood, sterfbed van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - death, deathbed of male saint
11H(JUSTUS)69|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - mishandeling van het lichaam van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - maltreatment of corpse of male saint
11H(JUSTUS)7|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - apotheose, glorie, triomf van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - apotheosis, glory, triumph of male saint
11H(JUSTUS)8|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - post-mortem gebeurtenissen ~ mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - post-mortem occurrences ~ male saint
11H(JUSTUS)81|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - vinden, transport van relieken van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - finding, transportation of relics of male saint
11H(JUSTUS)82|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - miracles occurring during handling of relics of male saint
11H(JUSTUS)83|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - postume daden, verschijningen van mannelijke heiligen    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - posthumous deeds, appearances of male saints
11H(JUSTUS)84|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - zaligverklaring, heiligverklaring van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - beatification, canonization of male saint
11H(JUSTUS)9|de jongen-heilige Justus van Beauvais; mogelijke attributen: hoofd in handen, palm-tak - portret van mannelijke heilige    # the boy-saint Justus of Beauvais; possible attributes: head in hands, palm-branch - portrait of male saint
11H(LAMBERT)|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet
11H(LAMBERT)0|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenatie, zwaard, twee gewapende mannen onder voeten - mannelijke heilige afgebeeld in een groep    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - male saint represented in a group
11H(LAMBERT)1|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - specifieke aspecten ~ mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - specific aspects ~ male saint
11H(LAMBERT)11|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - mannelijke heilige als patroon, beschermer, voorspreker    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - male saint as patron, protector, intercessor
11H(LAMBERT)119|Lambert(us), martelaar bisschop van Maastricht en patroonheilige van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - mannelijke heilige die toegewijden beschermt met mantel, 'Schutzmantel'    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - male saint protecting devotees with cloak, 'Schutzmantel'
11H(LAMBERT)12|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkler    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(LAMBERT)13|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - mannelijke heilige als stichter van Orde    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - male saint as founder of Order
11H(LAMBERT)131|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - male saint ~ confirmation of Order, approval of Rule(s)
11H(LAMBERT)2|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - vroege leven van mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - early life of male saint
11H(LAMBERT)3|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - persoonlijke devotie van mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - personal devotion of male saint
11H(LAMBERT)31|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenatie, zwaard, twee gewapende mannen onder voeten - roeping, bekering van mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - vocation, conversion of male saint
11H(LAMBERT)32|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, rationale, zwaard, twee gewapende mannen onder voeten - doop, wijding, het afleggen van geloften van mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - baptism, consecration, taking vows of male saint
11H(LAMBERT)33|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - renouncing worldly goods, ascetic life of male saint
11H(LAMBERT)34|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - visie(s), mystieke huwelijk van mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - vision(s), mystic marriage of male saint
11H(LAMBERT)35|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - verleiding van mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - temptation of male saint
11H(LAMBERT)36|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - boetedoening van mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - penitence of male saint
11H(LAMBERT)37|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - mannelijke heilige die mediteert, in extase    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - male saint meditating, in ecstasy
