0|Abstracte, non-representatieve kunst
11H(PHILIP BENIZZI)119|Voorafgaande generaal van de Orde van de Servieten, Philip Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - mannelijke heilige die toegewijden beschermt met mantel, Schutzmantel
11H(PHILIP BENIZZI)12|Voor-generaal van de Orde van de Servieten, Philip Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)
11H(PHILIP BENIZZI)13|Voor-generaal van de Orde van de Servieten, Filips Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - mannelijke heilige als stichter van de Orde
11H(PHILIP BENIZZI)131|Voorafgaande generaal van de Orde van de Servieten, Philip Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - mannelijke heilige ~ bevestiging van de Orde, goedkeuring van Regel(s)
11H(PHILIP BENIZZI)2|Voor generaal van de Orde van de Servieten, Filips Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - vroege leven van mannelijke heilige
11H(PHILIP BENIZZI)3|persoonlijke toewijding van St. Philip Benizzi
11H(PHILIP BENIZZI)31|Persoonlijke toewijding van St. Philip Benizzi - roeping, bekering van mannelijke heilige
11H(PHILIP BENIZZI)32|Persoonlijke toewijding van St. Philip Benizzi - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(PHILIP BENIZZI)33|Persoonlijke toewijding van St. Philip Benizzi - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(PHILIP BENIZZI)34|de Maagd Maria, op een wagen getrokken door een leeuw en een lam, verschijnt aan St. Philip Benizzi en geeft hem het habijt van de Orde
11H(PHILIP BENIZZI)35|Persoonlijke toewijding van St. Philip Benizzi - verleiding van mannelijke heilige
11H(PHILIP BENIZZI)36|Persoonlijke toewijding van St. Philip Benizzi - boetedoening van mannelijke heilige
11H(PHILIP BENIZZI)37|Persoonlijke devotie van St. Philip Benizzi - mannelijke heilige die mediteert, in extase
11H(PHILIP BENIZZI)4|Voorzitter-generaal van de Orde van de Servieten, Philip Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige
11H(PHILIP BENIZZI)5|Wonderbaarlijke activiteiten en gebeurtenissen ~ St. Philip Benizzi
11H(PHILIP BENIZZI)51|Wonderbaarlijke genezingen van St. Philip Benizzi
11H(PHILIP BENIZZI)511|genezingen veroorzaakt door het aanraken van het hemd van St. Philip Benizzi
11H(PHILIP BENIZZI)52|gokkers, die St. Philip Benizzi en zijn metgezellen belachelijk maakten in de heuvels bij Florence, worden gedood wanneer de bliksem in een boom inslaat
11H(PHILIP BENIZZI)59|Wonderbaarlijke activiteiten en gebeurtenissen ~ St. Philip Benizzi - stigmatisering van mannelijke heilige
11H(PHILIP BENIZZI)6|martelaarschap, lijden, tegenspoed, dood van St. Philip Benizzi
11H(PHILIP BENIZZI)68|sterfbed van St. Philip Benizzi: Servieten omringen hem, en een kind wordt wonderbaarlijk uit de dood opgewekt
11H(PHILIP BENIZZI)69|martelaarschap, lijden, tegenspoed, dood van St. Philip Benizzi - mishandeling van het lichaam van mannelijke heilige
11H(PHILIP BENIZZI)7|Voorafgaande generaal van de Orde van de Servieten, Philip Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - apotheose, glorie, triomf van mannelijke heilige
11H(PHILIP BENIZZI)8|Voorafgaande generaal van de Orde van de Servieten, Philip Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - postume gebeurtenissen ~ mannelijke heilige
11H(PHILIP BENIZZI)81|Voorafgaande generaal van de Orde van de Servieten, Philip Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - vinden, vervoer van relieken van mannelijke heilige
11H(PHILIP BENIZZI)82|Voor generaal van de Orde van de Servieten, Filips Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - wonderen die plaatsvinden tijdens het hanteren van relieken van een mannelijke heilige
11H(PHILIP BENIZZI)83|Voor-generaal van de Orde van de Servieten, Philip Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - postume daden, verschijningen van mannelijke heiligen
11H(PHILIP BENIZZI)84|Voor-generaal van de Orde van de Servieten, Philip Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - zaligverklaring, heiligverklaring van mannelijke heilige
11H(PHILIP BENIZZI)9|Voor-generaal van de Orde van de Servieten, Philip Benizzi van Florence; mogelijke attributen: boek, kruis, lelie, tiara aan zijn voeten - portret van mannelijke heilige
11H(PHILIP NERI)|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans
11H(PHILIP NERI)0|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - mannelijke heilige afgebeeld in een groep
11H(PHILIP NERI)1|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - specifieke aspecten ~ mannelijke heilige
11H(PHILIP NERI)11|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - mannelijke heilige als patroon, beschermer, bemiddelaar
11H(PHILIP NERI)119|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - mannelijke heilige die toegewijden beschermt met een mantel, 'Schutzmantel'
11H(PHILIP NERI)12|de oprichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)
11H(PHILIP NERI)13|De stichter van de Congregatie van het Oratorium (Oratorianen) Filips Neri; mogelijke attributen: lelie, rozenkrans - mannelijke heilige als stichter van de Orde
11H(PHILIP NERI)131|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - mannelijke heilige ~ bevestiging van de Orde, goedkeuring van Regel(s)
11H(PHILIP NERI)2|de oprichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - vroege leven van mannelijke heilige
11H(PHILIP NERI)3|persoonlijke toewijding van St. Philip Neri
11H(PHILIP NERI)31|Persoonlijke toewijding van St. Philip Neri - roeping, bekering van mannelijke heilige
11H(PHILIP NERI)32|Persoonlijke toewijding van St. Philip Neri - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(PHILIP NERI)33|Persoonlijke devotie van St. Philip Neri - verzaking van wereldse goederen, ascetisch leven van mannelijke heilige
11H(PHILIP NERI)34|De Madonna verschijnt aan St. Philip Neri, die knielt in gebed, of de mis viert; soms ondersteunen twee engelen de bezwijmende Philip.
11H(PHILIP NERI)35|Persoonlijke devotie van St. Philip Neri - verleiding van mannelijke heilige
11H(PHILIP NERI)36|Persoonlijke toewijding van St. Philip Neri - boetedoening van mannelijke heilige
11H(PHILIP NERI)37|Persoonlijke devotie van St. Philip Neri - mannelijke heilige die mediteert, in extase
11H(PHILIP NERI)4|niet-miraculeuze activiteiten en gebeurtenissen ~ St. Philip Neri
11H(PHILIP NERI)41|St. Philip Neri ontmoet Charles Borromeo
11H(PHILIP NERI)42|St. Philip Neri geneest de zieken
11H(PHILIP NERI)5|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige
11H(PHILIP NERI)59|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - stigmatisering van mannelijke heilige
11H(PHILIP NERI)6|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - martelaarschap, lijden, tegenspoed, dood van mannelijke heilige
11H(PHILIP NERI)68|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - dood, sterfbed van mannelijke heilige
11H(PHILIP NERI)69|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - mishandeling van het lichaam van een mannelijke heilige
11H(PHILIP NERI)7|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - apotheose, glorie, triomf van mannelijke heilige
11H(PHILIP NERI)8|de oprichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - postume gebeurtenissen ~ mannelijke heilige
11H(PHILIP NERI)81|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - het vinden, vervoer van relieken van mannelijke heilige
11H(PHILIP NERI)82|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - wonderen die zich voordoen tijdens het hanteren van relieken van mannelijke heilige
11H(PHILIP NERI)83|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - postume daden, verschijningen van mannelijke heiligen
11H(PHILIP NERI)84|de stichter van de Congregatie van het Oratorium (Oratorianen) Filips Neri; mogelijke attributen: lelie, rozenkrans - zaligverklaring, heiligverklaring van mannelijke heilige
11H(PHILIP NERI)9|de stichter van de Congregatie van het Oratorium (Oratorianen) Philip Neri; mogelijke attributen: lelie, rozenkrans - portret van mannelijke heilige
11H(PHILIP)|de apostel Philip; mogelijke attributen: boek, kruis, schotel met slang, lans, rol, steen, zwaard
11H(PHILIP)0|de apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - mannelijke heilige afgebeeld in een groep
11H(PHILIP)1|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - specifieke aspecten ~ mannelijke heilige
11H(PHILIP)11|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - mannelijke heilige als patroon, beschermer, bemiddelaar
11H(PHILIP)119|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - mannelijke heilige die toegewijden beschermt met een mantel, 'Schutzmantel'
11H(PHILIP)12|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijvoorbeeld als Kerkleraar)
11H(PHILIP)13|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - mannelijke heilige als stichter van Orde
11H(PHILIP)131|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)
11H(PHILIP)2|de apostel Philip; mogelijke attributen: boek, kruis, schotel met slang, lans, rol, steen, zwaard - vroege leven van mannelijke heilige
11H(PHILIP)3|De apostel Philip; mogelijke attributen: boek, kruis, schotel met slang, lans, rol, steen, zwaard - persoonlijke devotie van mannelijke heilige
11H(PHILIP)31|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - roeping, bekering van mannelijke heilige
11H(PHILIP)32|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(PHILIP)33|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(PHILIP)34|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - visie(s), mystieke huwelijk van mannelijke heilige
11H(PHILIP)35|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - verleiding van mannelijke heilige
11H(PHILIP)36|De apostel Philip; mogelijke attributen: boek, kruis, schotel met slang, lans, rol, steen, zwaard - boetedoening van mannelijke heilige
11H(PHILIP)37|De apostel Philip; mogelijke attributen: boek, kruis, schotel met slang, lans, rol, steen, zwaard - mannelijke heilige die mediteert, in extase
11H(PHILIP)4|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige
11H(PHILIP)5|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige
11H(PHILIP)59|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - stigmatisering van mannelijke heilige
11H(PHILIP)6|De apostel Philip; mogelijke attributen: boek, kruis, schotel met slang, lans, rol, steen, zwaard - martelaarschap, lijden, tegenspoed, dood van mannelijke heilige
11H(PHILIP)68|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - dood, sterfbed van mannelijke heilige
11H(PHILIP)69|De apostel Filippus; mogelijke attributen: boek, kruis, schotel met slang, lans, rol, steen, zwaard - mishandeling van het lichaam van een mannelijke heilige
11H(PHILIP)7|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - apotheose, glorie, triomf van mannelijke heilige
11H(PHILIP)8|de apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - post-mortem gebeurtenissen ~ mannelijke heilige
11H(PHILIP)81|De apostel Philip; mogelijke attributen: boek, kruis, schotel met slang, lans, rol, steen, zwaard - vinden, vervoer van relieken van mannelijke heilige
11H(PHILIP)82|De apostel Philip; mogelijke attributen: boek, kruis, schotel met slang, lans, rol, steen, zwaard - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige
11H(PHILIP)83|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - postume daden, verschijningen van mannelijke heiligen
11H(PHILIP)84|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - zaligverklaring, heiligverklaring van mannelijke heilige
11H(PHILIP)9|De apostel Philip; mogelijke attributen: boek, kruis, schaal met slang, lans, rol, steen, zwaard - portret van mannelijke heilige
11H(QUINTIN)|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s)
11H(QUINTIN)0|de martelaar Quintin(us) van Vermand; mogelijke attributen: spijker(s) - mannelijke heilige afgebeeld in een groep
11H(QUINTIN)1|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s) - specifieke aspecten ~ mannelijke heilige
11H(QUINTIN)11|de martelaar Quintin(us) van Vermand; mogelijke attributen: spijker(s) - mannelijke heilige als patroon, beschermer, bemiddelaar
11H(QUINTIN)119|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s) - mannelijke heilige die toegewijden beschermt met mantel, 'Schutzmantel'
11H(QUINTIN)12|de martelaar Quintin(us) van Vermand; mogelijke attributen: spijker(s) - mannelijke heilige die schrijft, studeert, lesgeeft, dicteert (bijv. als Kerkleraar)
11H(QUINTIN)13|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s) - mannelijke heilige als stichter van Orde
11H(QUINTIN)131|de martelaar Quintin(us) van Vermand; mogelijke attributen: spijker(s) - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)
11H(QUINTIN)2|de martelaar Quintin(us) van Vermand; mogelijke attributen: spijker(s) - vroege leven van mannelijke heilige
11H(QUINTIN)3|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s) - persoonlijke toewijding van mannelijke heilige
11H(QUINTIN)31|de martelaar Quintin(us) van Vermand; mogelijke attributen: spijker(s) - roeping, bekering van mannelijke heilige
11H(QUINTIN)32|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s) - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(QUINTIN)33|de martelaar Quintin(us) van Vermand; mogelijke attributen: spijker(s) - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(QUINTIN)34|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s) - visioen(en), mystieke huwelijk van mannelijke heilige
11H(QUINTIN)35|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s) - verleiding van mannelijke heilige
11H(QUINTIN)36|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s) - boetedoening van mannelijke heilige
11H(QUINTIN)37|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s) - mannelijke heilige die mediteert, in extase
11H(QUINTIN)4|de martelaar Quintin(us) van Vermand; mogelijke attributen: spijker(s) - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige
11H(QUINTIN)5|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s) - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige
11H(QUINTIN)59|de martelaar Quintin(us) van Vermand; mogelijke attributen: spijker(s) - stigmatisering van mannelijke heilige
11H(QUINTIN)6|martelaarschap, lijden, tegenspoed, dood van St. Quintin
11H(QUINTIN)61|St. Quintin wordt gemarteld met spijkers in zijn hoofd, schouders en/of onder zijn nagels.
11H(QUINTIN)68|St. Quintin wordt onthoofd
11H(QUINTIN)69|het lichaam van St. Quintin wordt in de rivier Somme gegooid
11H(QUINTIN)7|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s) - apotheose, glorie, triomf van mannelijke heilige
11H(QUINTIN)8|post-mortem gebeurtenissen ~ St. Quintin
11H(QUINTIN)81|Met behulp van een engel vindt Eusebia het lichaam en het hoofd van St. Quintin in de rivier Somme.
11H(QUINTIN)82|post-mortem gebeurtenissen ~ St. Quintin - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige
11H(QUINTIN)83|een dief veroordeeld door de rechter om opgehangen te worden, wordt wonderbaarlijk gered door (de relieken van) St. Quintin
11H(QUINTIN)84|post-mortem gebeurtenissen ~ St. Quintin - zaligverklaring, heiligverklaring van mannelijke heilige
11H(QUINTIN)9|de martelaar Quintin(us) (Quentin) van Vermand; mogelijke attributen: spijker(s) - portret van mannelijke heilige
11H(RAYMUND)|de dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie
11H(RAYMUND)0|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - mannelijke heilige afgebeeld in een groep
11H(RAYMUND)1|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - specifieke aspecten ~ mannelijke heilige
11H(RAYMUND)11|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - mannelijke heilige als patroon, beschermer, bemiddelaar
11H(RAYMUND)119|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - mannelijke heilige die toegewijden beschermt met mantel, 'Schutzmantel'
11H(RAYMUND)12|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)
11H(RAYMUND)13|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - mannelijke heilige als stichter van de Orde
11H(RAYMUND)131|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - mannelijke heilige ~ bevestiging van de Orde, goedkeuring van Regel(s)
11H(RAYMUND)2|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - vroege leven van mannelijke heilige
11H(RAYMUND)3|de dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - persoonlijke devotie van mannelijke heilige
11H(RAYMUND)31|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - roeping, bekering van mannelijke heilige
11H(RAYMUND)32|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(RAYMUND)33|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(RAYMUND)34|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - visie(s), mystieke huwelijk van mannelijke heilige
11H(RAYMUND)35|de dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - verleiding van mannelijke heilige
11H(RAYMUND)36|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - boetedoening van mannelijke heilige
11H(RAYMUND)37|de dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - mannelijke heilige die mediteert, in extase
11H(RAYMUND)4|de dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige
11H(RAYMUND)5|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Raymund
11H(RAYMUND)51|St. Raymund, zonder boot, steekt op miraculeuze wijze de zee over door zijn mantel als zeil en zijn staf als mast te gebruiken
11H(RAYMUND)59|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Raymund - stigmatisering van mannelijke heilige
11H(RAYMUND)6|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - martelaarschap, lijden, tegenspoed, dood van mannelijke heilige
11H(RAYMUND)68|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - dood, sterfbed van mannelijke heilige
11H(RAYMUND)69|de dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - mishandeling van het lijk van mannelijke heilige
11H(RAYMUND)7|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - apotheose, glorie, triomf van mannelijke heilige
11H(RAYMUND)8|de dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - postume gebeurtenissen ~ mannelijke heilige
11H(RAYMUND)81|de dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - vinden, vervoer van relieken van mannelijke heilige
11H(RAYMUND)82|de dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige
11H(RAYMUND)83|de dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - postume daden, verschijningen van mannelijke heiligen
11H(RAYMUND)84|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - zaligverklaring, heiligverklaring van mannelijke heilige
11H(RAYMUND)9|de Dominicaanse broeder en stichter van de Mercedariërs, Raymund van Pennafort; mogelijke attributen: kruisbeeld, sleutel, lelie - portret van mannelijke heilige
11H(REMIGIUS)|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie
11H(REMIGIUS)0|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - mannelijke heilige afgebeeld in een groep
11H(REMIGIUS)1|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - specifieke aspecten ~ mannelijke heilige
11H(REMIGIUS)11|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - mannelijke heilige als patroon, beschermer, bemiddelaar
11H(REMIGIUS)119|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - mannelijke heilige die gelovigen beschermt met een mantel, 'Schutzmantel'
11H(REMIGIUS)12|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)
11H(REMIGIUS)13|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - mannelijke heilige als stichter van de Orde
11H(REMIGIUS)131|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - mannelijke heilige ~ bevestiging van de Orde, goedkeuring van Regel(s)
11H(REMIGIUS)2|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - vroege leven van mannelijke heilige
11H(REMIGIUS)3|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - persoonlijke devotie van mannelijke heilige
11H(REMIGIUS)31|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - roeping, bekering van mannelijke heilige
11H(REMIGIUS)32|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - doop, wijding, het afleggen van geloften van een mannelijke heilige
11H(REMIGIUS)33|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(REMIGIUS)34|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - visioen(en), mystieke huwelijk van mannelijke heilige
11H(REMIGIUS)35|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - verleiding van mannelijke heilige
11H(REMIGIUS)36|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - boetedoening van mannelijke heilige
11H(REMIGIUS)37|bisschop Remigius (Rémi) van Reims; mogelijke attributen: duif met een flesje olie in zijn snavel, (knielende) maagd, flesje olie - mannelijke heilige die mediteert, in extase
11H(REMIGIUS)4|niet-miraculeuze activiteiten en gebeurtenissen ~ St. Remigius
11H(REMIGIUS)41|St. Remigius doopt Clovis, koning van de Franken; misschien verschijnt er een duif met een flesje in zijn snavel
11H(REMIGIUS)5|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Remigius
11H(REMIGIUS)51|Wonderbaarlijke genezingen van St. Remigius
